Company,MSE,MAE,R2,MAPE
RTEN.TA,206.5896362,6.403227806,0.784823927,0.031499259
ROTS.TA,59369.06489,168.8490227,0.954048744,0.024074405
RSEL.TA,37107.97746,97.91545044,0.711707249,0.066749459
SRAC.TA,10293.87562,86.70196447,0.98098709,0.020982862
SANO1.TA,78826.74372,185.8129114,0.987347338,0.005616214
SPNS.TA,56976.19644,209.1855738,0.983011464,0.020780016
SRFT.TA,42846.46826,178.7220881,0.69839882,0.04215472
SARN.TA,0.624781908,0.603228204,0.887348172,0.009792273
SVRE.TA,912.8663464,23.76456389,-63.61762795,8.154842626
SVRT.TA,56198.45651,83.3228517,-15.31471588,0.209423748
SHNP.TA,165.5666144,10.49134598,0.99719453,0.006919368
SCDX.TA,28.17590828,3.829072985,0.975474022,0.010955922
SCOP.TA,119687.4177,308.6295366,0.964397876,0.021734575
SEMG.TA,26.86520712,4.635172394,0.98780547,0.017257203
SLARL.TA,32.30774086,4.871250536,0.996597519,0.005405481
SHGR.TA,264.0486008,12.68961978,0.99349064,0.010168652
SHMM.TA,403.0156825,18.21637025,-0.463946621,0.126823848
SHAN.TA,46.85486937,5.316984842,0.992540891,0.01102045
SPEN.TA,106.9585636,8.593556678,0.998609371,0.003389112
SMNR.TA,366.2222741,15.20888887,0.993462522,0.009164446
SBEN.TA,4.197139947,1.697868669,0.976458656,0.007090082
SKBN.TA,196.4316577,11.3670944,0.994923969,0.009802108
SHOM.TA,10.67113593,2.40193871,0.999445146,0.003098126
SAE.TA,18214.91007,115.0210514,0.647193245,0.030970771
SKLN.TA,143.2154267,8.723342381,0.992721238,0.004603316
SLRM.TA,1989.020418,28.21863428,0.92118876,0.039885235
SMAG.TA,9235.978986,35.75492578,0.334224558,8.556845341
SOFW.TA,785.3434812,21.79565372,0.94135326,0.012794494
SOLR.TA,112.4088692,7.093344323,0.996274206,0.00204531
SONO.TA,483.0382438,18.13846797,-1.411179135,0.240702967
SCC.TA,42.52978897,4.192123033,0.153305621,0.108601459
SPDV.TA,2835.304771,10.68929438,-0.350610118,1.523240516
SPRG.TA,3819.744042,58.8687923,0.837782261,0.64087074
SPNTC.TA,77.91051023,7.467980894,0.887887753,0.01748298
STG.TA,181676.8634,268.3183441,0.656727572,0.049789473
STRG.TA,1077.752812,21.61968401,-14.64972022,0.518912128
STRS.TA,9544.80919,89.14079364,0.981994663,0.013121283
STRW.TA,28154.65291,113.039799,0.062029975,0.025303334
SFRN.TA,182.3439617,12.57574435,0.92796542,0.017352384
SMT.TA,2155.239932,35.43202096,0.972880066,0.006281628
SNFL.TA,84.12233083,7.325352575,0.959014153,0.013822285
SNCM.TA,4.779696409,1.596910432,0.978615337,0.012473107
STEC.TA,519.4281125,8.330004836,0.961567701,0.258380727
SNEL.TA,212.4409169,11.28834362,0.989442689,0.007270938
TDRN.TA,322717.6871,517.6072784,0.972665378,0.021528574
TMRP.TA,23885.65172,101.3264499,0.869217019,0.035809161
TRA.TA,6.86836451,1.846644562,0.942586782,0.04488431
TATT.TA,1378113.122,948.2572019,0.368507881,0.099787417
TAYA.TA,563.873869,19.18218722,0.991344648,0.00308304
TNPV.TA,497.1099736,18.1053671,0.989532079,0.014433131
TECT.TA,233.7179405,12.86457489,0.900562159,0.031735614
TEDE.TA,10301.03628,59.17694759,0.530061647,4.474576457
TFRLF.TA,11025.70745,70.65740569,0.881501447,0.020651631
TLSY.TA,21294.74854,96.79347354,0.96459692,0.005505669
TRLT.TA,228.8752012,9.66430682,0.980164508,0.010994034
TRX.TA,401.439131,11.50097395,0.702501135,0.022969414
TUZA.TA,24.45192773,1.179473716,0.437186561,1.69082123
TEVA.TA,53667.35461,142.3956917,0.904348085,0.020193801
TGI.TA,7.418927245,1.972458792,0.985229276,0.010218897
ILCO.TA,517897.3455,557.8715036,0.996422255,0.005945618
TMIS.TA,6546.312277,68.83472277,0.869700755,0.056658128
THES.TA,65.85189736,5.729160517,0.993645666,0.01245736
TIGBUR.TA,2728.795548,39.71791942,0.988995261,0.007264114
TIGI.TA,769.4824702,20.83229358,0.907451458,0.024583213
TKUN.TA,3.251409613,1.345014847,0.604942624,0.037063532
TTAM.TA,76.54806079,7.077414257,0.97204682,0.010470146
TGTR.TA,272.6847454,11.11220903,0.867825436,0.024432537
TOEN.TA,12580.40783,75.54662431,0.879536702,0.036407707
TNDO.TA,139.520556,8.224784287,0.75216071,0.019148743
TOPS.TA,132.1050188,9.272670035,0.993988092,0.009039323
TSEM.TA,231634.1628,367.8603176,0.87661868,0.021351072
TRAN.TA,16.24713223,2.743047567,0.860856738,0.026831775
TSG.TA,42928.41853,151.1471901,-0.750024781,0.009119997
TURB.TA,191.4705163,9.635230526,0.978375192,0.01086274
TRPZ.TA,881.0331211,21.80510165,0.991965068,0.009012105
UMH.TA,3528002.075,1735.342098,0.517790384,5.26335694
UNTC.TA,644.7604668,19.62914806,-0.037132382,0.238953651
UNCT.TA,817727.6624,127.1442623,-45482.58132,38.38306219
UNIT.TA,1643.695539,30.47395897,0.9427157,0.01128531
UPSL.TA,2626.249277,30.0850474,-2.287722815,2.237276354
