Company,Model,MSE,MAE,R2,MAPE,Final_Score,,,,
BIOV.TA,LSTM,716.9716519,22.40870009,-170.5516903,0.782756294,-0.920468442,,,,
BIRM.TA,LightGBM,0.383906957,0.518135621,0.733224869,0.05534095406,-0.2714602627,,,,
BKFR.TA,GRU,70.14398233,6.755486774,0.984216677,0.004654942,-1.310573817,,,,
BKRY.TA,LSTM,23.1575269,3.786452763,0.910154525,0.011042774,-0.6511638166,,,,
BLGO.TA,GRU,15.87270929,2.20003536,0.98617591,0.002909335,-1,,,,
BLITZ-M.TA,LSTM,11899.31399,72.86945018,0.223552919,0.178252959,-0.3951790371,,,,
BLRN.TA,LSTM,317.5582069,13.78698113,-6.563281353,0.26296671,-0.7329404646,,,,
BLRX.TA,LightGBM,35.25812689,4.69287464,0.533715751,0.3857850985,-1,,,,
BLSR.TA,LSTM,268136.8798,456.1053609,0.959754415,0.013948294,-1.017779625,,,,
BOLT.TA,GRU,74.942391,6.381852119,0.991812819,0.012110115,-1.34350826,,,,
BONS.TA,XGBoost,6.710830162,1.846931734,0.517344667,0.1453453709,-1,,,,
BOTI.TA,GRU,3241.67409,45.06558479,0.993628949,0.010839486,-0.2,,,,
BRAM.TA,XGBoost,89.44113673,2.450495986,0.523565485,0.3978667039,-1,,,,
BRAN.TA,GRU,4937.389574,60.75506555,0.736999543,0.041763263,-1.618686085,,,,
BRIH.TA,LSTM,0.96822214,0.747838999,0.98238994,0.00838064,-1,,,,
BRIL.TA,LSTM,732.5377534,21.15077511,0.993144396,0.010038916,-1.038636861,,,,
BRKT.TA,LSTM,1.464231714,0.881201849,0.993634661,0.004350587,-1.152234538,,,,
BRMG.TA,LSTM,856.4894063,18.72484225,0.987918354,0.011757319,-0.8180254416,,,,
BRND.TA,LSTM,2.318229679,1.102667828,0.997278013,0.004016421,-1,,,,
BSEN.TA,GRU,46036955.59,4848.496265,0.34957789,0.121750762,-1.115625053,,,,
BULL-M.TA,LSTM,38.57387012,3.87028128,-15.6302383,6.744996058,-1.056894186,,,,
BVC.TA,LSTM,1.127399682,0.841561175,0.980263243,0.009625344,-1,,,,
BVGG.TA,LSTM,11.12491607,2.530850447,0.994029638,0.002926513,-0.5657306119,,,,
BWAY.TA,LSTM,439.7355999,15.29697475,0.97351598,0.00843789,-1.121876116,,,,
CAMT.TA,LSTM,207497.9128,367.3779602,0.973894442,0.012229139,-1,,,,
CANF.TA,LightGBM,1.337377361,0.956420612,-3.59269973,0.363284863,-1,,,,
CAST.TA,LSTM,19145.30285,98.17923528,0.992291837,0.009460078,-1,,,,
CBI.TA,LSTM,0.670875878,0.672822545,0.820456272,0.018590575,-1,,,,
CDEV.TA,LSTM,681218.5843,522.9845735,0.881815121,0.032138626,-1,,,,
CEL.TA,LSTM,299.0617493,11.31335686,0.997417468,0.005022654,-1.127633329,,,,
CFX.TA,LSTM,5.769896621,1.899704608,0.990045987,0.004947984,-1.016934067,,,,
CGEN.TA,LSTM,410.9369703,12.73873067,0.960928223,0.019792293,-1.129547584,,,,
CILO.TA,XGBoost,1737.771572,37.91545071,-8.419640921,9.702541022,-0.2,,,,
CION.TA,XGBoost,73.62056649,2.483885849,-0.044849751,-0.3598612111,-0.2,,,,
CISY.TA,XGBoost,26124.75552,128.5527573,0.352568273,0.07827542859,-1,,,,
CLAB.TA,LSTM,221.4728486,9.332411587,0.95338239,0.008089754,-1,,,,
CLIS.TA,LSTM,2963.109149,37.0902665,0.998635366,0.004367057,-1,,,,
CMCT.TA,XGBoost,680351.8921,671.5239744,-2.29372916,3.242267834,-1,,,,
CMDR.TA,LSTM,60578.86735,192.0574133,0.997589734,0.005507615,-1,,,,
CMER.TA,LSTM,689545.8746,631.372893,-0.10799412,0.189355882,-1,,,,
CNGL.TA,GRU,787.3020593,20.60197246,0.884239829,0.018518128,-0.5784594558,,,,
CNTC.TA,XGBoost,338358.9335,503.6547511,-15.81538866,43.33294293,-1,,,,
CNTL-M.TA,XGBoost,22124.81095,120.180077,-50.54180495,19.76508714,-1,,,,
CNZN.TA,XGBoost,6682.29282,54.87247635,-0.48801684,19.1651057,-1,,,,
CPIA.TA,LSTM,0.467306027,0.551694936,0.911356906,0.011917048,-0.5611175694,,,,
