,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Dividends Paid,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
MSHR.TA,"[0.98, 10.0, -8.48]","[0.98, 10.0, -8.48]","[None, None, None]","[0.98, 10.0, -8.48]","[0.98, 10.0, -8.48]","[0.98, 10.0, -8.48]","[0.98, 10.0, -8.48]","[0.98, 10.0, -8.48]","[0.98, 10.0, -8.48]","[0.98, 10.0, -8.48]","[0.98, 10.0, -8.48]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[None, None, None]","[3.48, 8.49, -4.42]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[3.48, 8.49, -4.42]","[None, None, None]","[3.48, 8.49, -4.42]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NFTA.TA,"[3.67, 26.7, 0.97]","[3.67, 26.7, 0.97]","[3.67, 26.7, 0.97]","[3.67, 26.7, 0.97]","[3.67, 26.7, 0.97]","[None, None, None]","[None, None, None]","[3.67, 26.7, 0.97]","[3.67, 26.7, 0.97]","[3.67, 26.7, 0.97]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NSTR.TA,"[None, None, None]","[-1.33, -9.23, -35.33]","[-1.33, -9.23, -35.33]","[None, None, None]","[None, None, None]","[-1.33, -9.23, -35.33]","[-1.33, -9.23, -35.33]","[-1.33, -9.23, -35.33]","[-1.33, -9.23, -35.33]","[-1.33, -9.23, -35.33]","[-1.33, -9.23, -35.33]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPAL.TA,"[None, None, None]","[-2.38, 6.07, -6.25]","[-2.38, 6.07, -6.25]","[None, None, None]","[None, None, None]","[-2.38, 6.07, -6.25]","[-2.38, 6.07, -6.25]","[-2.38, 6.07, -6.25]","[-2.38, 6.07, -6.25]","[-2.38, 6.07, -6.25]","[None, None, None]","[-2.38, 6.07, -6.25]","[None, None, None]","[None, None, None]","[None, None, None]"
OPCE.TA,"[1.74, 3.11, 1.12]","[1.74, 3.11, 1.12]","[1.74, 3.11, 1.12]","[1.74, 3.11, 1.12]","[1.74, 3.11, 1.12]","[1.74, 3.11, 1.12]","[1.74, 3.11, 1.12]","[1.74, 3.11, 1.12]","[1.74, 3.11, 1.12]","[1.74, 3.11, 1.12]","[None, None, None]","[None, None, None]","[None, None, None]","[1.74, 3.11, 1.12]","[None, None, None]"
ORBI.TA,"[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[-1.57, 9.33, 36.71]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLSN.TA,"[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[None, None, None]","[None, None, None]","[-0.17, 10.72, 7.44]","[-0.17, 10.72, 7.44]","[None, None, None]"
PPIL.TA,"[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[0.0, 0.23, 2.07]","[None, None, None]","[None, None, None]","[0.0, 0.23, 2.07]","[None, None, None]"
RTPT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[3.61, 17.73, 31.2]","[3.61, 17.73, 31.2]","[3.61, 17.73, 31.2]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
