,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares,Earnings Per Share (EPS)
SNCM.TA,"[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[None, None, None]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]","[0.0, -1.2, -14.16]"
SNEL.TA,"[0.0, -13.36, -0.84]","[0.0, -13.36, -0.84]","[0.0, -13.36, -0.84]","[0.0, -13.36, -0.84]","[0.0, -13.36, -0.84]","[None, None, None]","[0.0, -13.36, -0.84]","[0.0, -13.36, -0.84]","[0.0, -13.36, -0.84]","[None, None, None]","[0.0, -13.36, -0.84]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[None, None, None]","[0.0, 17.58, 28.22]","[None, None, None]","[0.0, 17.58, 28.22]","[0.0, 17.58, 28.22]","[0.0, 17.58, 28.22]","[0.0, 17.58, 28.22]","[0.0, 17.58, 28.22]","[0.0, 17.58, 28.22]","[0.0, 17.58, 28.22]","[None, None, None]","[None, None, None]","[0.0, 17.58, 28.22]","[0.0, 17.58, 28.22]","[0.0, 17.58, 28.22]"
TRA.TA,"[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[None, None, None]","[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[0.0, -5.7, -14.46]","[None, None, None]","[0.0, -5.7, -14.46]"
TFRLF.TA,"[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[None, None, None]","[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[0.0, -0.61, 18.73]","[None, None, None]","[0.0, -0.61, 18.73]"
TRLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TRX.TA,"[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[None, None, None]","[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[0.0, 9.81, -7.89]","[None, None, None]","[0.0, 9.81, -7.89]"
TEVA.TA,"[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[None, None, None]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]","[0.0, 3.66, 13.22]"
ILCO.TA,"[0.0, 2.43, -7.99]","[0.0, 2.43, -7.99]","[None, None, None]","[0.0, 2.43, -7.99]","[None, None, None]","[None, None, None]","[0.0, 2.43, -7.99]","[0.0, 2.43, -7.99]","[0.0, 2.43, -7.99]","[None, None, None]","[None, None, None]","[0.0, 2.43, -7.99]","[0.0, 2.43, -7.99]","[None, None, None]","[None, None, None]"
TTAM.TA,"[0.0, -0.97, -1.96]","[0.0, -0.97, -1.96]","[0.0, -0.97, -1.96]","[0.0, -0.97, -1.96]","[0.0, -0.97, -1.96]","[0.0, -0.97, -1.96]","[0.0, -0.97, -1.96]","[0.0, -0.97, -1.96]","[0.0, -0.97, -1.96]","[0.0, -0.97, -1.96]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -0.97, -1.96]"
TOEN.TA,"[0.0, 4.68, 20.36]","[0.0, 4.68, 20.36]","[None, None, None]","[None, None, None]","[0.0, 4.68, 20.36]","[0.0, 4.68, 20.36]","[0.0, 4.68, 20.36]","[0.0, 4.68, 20.36]","[0.0, 4.68, 20.36]","[None, None, None]","[0.0, 4.68, 20.36]","[0.0, 4.68, 20.36]","[0.0, 4.68, 20.36]","[None, None, None]","[0.0, 4.68, 20.36]"
TOPS.TA,"[0.0, -10.74, -11.89]","[0.0, -10.74, -11.89]","[0.0, -10.74, -11.89]","[0.0, -10.74, -11.89]","[0.0, -10.74, -11.89]","[0.0, -10.74, -11.89]","[0.0, -10.74, -11.89]","[0.0, -10.74, -11.89]","[0.0, -10.74, -11.89]","[None, None, None]","[None, None, None]","[0.0, -10.74, -11.89]","[0.0, -10.74, -11.89]","[None, None, None]","[0.0, -10.74, -11.89]"
TRPZ.TA,"[0.0, 8.05, -17.25]","[0.0, 8.05, -17.25]","[0.0, 8.05, -17.25]","[0.0, 8.05, -17.25]","[0.0, 8.05, -17.25]","[0.0, 8.05, -17.25]","[0.0, 8.05, -17.25]","[0.0, 8.05, -17.25]","[0.0, 8.05, -17.25]","[0.0, 8.05, -17.25]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 8.05, -17.25]"
WATR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
WILC.TA,"[0.0, -1.14, -11.67]","[0.0, -1.14, -11.67]","[0.0, -1.14, -11.67]","[0.0, -1.14, -11.67]","[0.0, -1.14, -11.67]","[0.0, -1.14, -11.67]","[0.0, -1.14, -11.67]","[0.0, -1.14, -11.67]","[0.0, -1.14, -11.67]","[None, None, None]","[0.0, -1.14, -11.67]","[None, None, None]","[None, None, None]","[0.0, -1.14, -11.67]","[0.0, -1.14, -11.67]"
