,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
SAE.TA,"[-0.27, 0.02, -0.32]","[-0.27, 0.02, -0.32]","[-0.27, 0.02, -0.32]","[-0.27, 0.02, -0.32]","[-0.27, 0.02, -0.32]","[-0.27, 0.02, -0.32]","[None, None, None]","[-0.27, 0.02, -0.32]","[-0.27, 0.02, -0.32]","[-0.27, 0.02, -0.32]","[-0.27, 0.02, -0.32]","[-0.27, 0.02, -0.32]","[None, None, None]","[-0.27, 0.02, -0.32]","[None, None, None]"
SKLN.TA,"[-0.09, -8.06, 6.67]","[-0.09, -8.06, 6.67]","[-0.09, -8.06, 6.67]","[None, None, None]","[-0.09, -8.06, 6.67]","[-0.09, -8.06, 6.67]","[None, None, None]","[-0.09, -8.06, 6.67]","[None, None, None]","[None, None, None]","[-0.09, -8.06, 6.67]","[-0.09, -8.06, 6.67]","[None, None, None]","[None, None, None]","[None, None, None]"
STRS.TA,"[-0.66, -1.66, 3.25]","[None, None, None]","[-0.66, -1.66, 3.25]","[None, None, None]","[-0.66, -1.66, 3.25]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.66, -1.66, 3.25]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SMT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.56, 0.53, 15.66]","[None, None, None]","[None, None, None]","[0.56, 0.53, 15.66]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TDRN.TA,"[-0.88, 1.68, 7.7]","[-0.88, 1.68, 7.7]","[-0.88, 1.68, 7.7]","[-0.88, 1.68, 7.7]","[-0.88, 1.68, 7.7]","[-0.88, 1.68, 7.7]","[None, None, None]","[-0.88, 1.68, 7.7]","[-0.88, 1.68, 7.7]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]","[None, None, None]","[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]","[None, None, None]","[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]","[-0.14, 2.57, 19.6]"
TAYA.TA,"[1.19, 3.23, 5.73]","[1.19, 3.23, 5.73]","[None, None, None]","[None, None, None]","[1.19, 3.23, 5.73]","[1.19, 3.23, 5.73]","[None, None, None]","[1.19, 3.23, 5.73]","[None, None, None]","[1.19, 3.23, 5.73]","[1.19, 3.23, 5.73]","[1.19, 3.23, 5.73]","[None, None, None]","[None, None, None]","[1.19, 3.23, 5.73]"
TFRLF.TA,"[-0.17, 2.67, 5.21]","[-0.17, 2.67, 5.21]","[-0.17, 2.67, 5.21]","[-0.17, 2.67, 5.21]","[-0.17, 2.67, 5.21]","[None, None, None]","[None, None, None]","[-0.17, 2.67, 5.21]","[None, None, None]","[-0.17, 2.67, 5.21]","[-0.17, 2.67, 5.21]","[-0.17, 2.67, 5.21]","[None, None, None]","[None, None, None]","[None, None, None]"
ILCO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.41, 10.12, 18.04]","[None, None, None]","[None, None, None]","[0.41, 10.12, 18.04]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TIGBUR.TA,"[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]","[-0.48, 2.97, 30.59]"
