,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
SLARL.TA,"[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[None, None, None]","[None, None, None]","[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[0.12, 6.05, 14.95]","[None, None, None]"
SHGR.TA,"[1.46, -2.42, -7.57]","[1.46, -2.42, -7.57]","[None, None, None]","[1.46, -2.42, -7.57]","[1.46, -2.42, -7.57]","[1.46, -2.42, -7.57]","[None, None, None]","[None, None, None]","[1.46, -2.42, -7.57]","[1.46, -2.42, -7.57]","[1.46, -2.42, -7.57]","[1.46, -2.42, -7.57]","[1.46, -2.42, -7.57]","[None, None, None]","[None, None, None]"
SKBN.TA,"[-1.46, 0.08, -0.96]","[-1.46, 0.08, -0.96]","[None, None, None]","[-1.46, 0.08, -0.96]","[-1.46, 0.08, -0.96]","[-1.46, 0.08, -0.96]","[None, None, None]","[None, None, None]","[-1.46, 0.08, -0.96]","[-1.46, 0.08, -0.96]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHOM.TA,"[None, None, None]","[5.03, -0.55, -9.52]","[5.03, -0.55, -9.52]","[None, None, None]","[5.03, -0.55, -9.52]","[5.03, -0.55, -9.52]","[None, None, None]","[None, None, None]","[5.03, -0.55, -9.52]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[5.03, -0.55, -9.52]"
SAE.TA,"[-0.27, -2.0, -2.75]","[-0.27, -2.0, -2.75]","[-0.27, -2.0, -2.75]","[-0.27, -2.0, -2.75]","[-0.27, -2.0, -2.75]","[-0.27, -2.0, -2.75]","[None, None, None]","[None, None, None]","[-0.27, -2.0, -2.75]","[-0.27, -2.0, -2.75]","[-0.27, -2.0, -2.75]","[-0.27, -2.0, -2.75]","[-0.27, -2.0, -2.75]","[None, None, None]","[-0.27, -2.0, -2.75]"
SKLN.TA,"[-0.78, -0.66, 22.76]","[-0.78, -0.66, 22.76]","[-0.78, -0.66, 22.76]","[None, None, None]","[-0.78, -0.66, 22.76]","[-0.78, -0.66, 22.76]","[-0.78, -0.66, 22.76]","[-0.78, -0.66, 22.76]","[-0.78, -0.66, 22.76]","[None, None, None]","[-0.78, -0.66, 22.76]","[-0.78, -0.66, 22.76]","[-0.78, -0.66, 22.76]","[None, None, None]","[None, None, None]"
STRS.TA,"[-0.52, 1.9, 2.61]","[-0.52, 1.9, 2.61]","[-0.52, 1.9, 2.61]","[None, None, None]","[-0.52, 1.9, 2.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.52, 1.9, 2.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TDRN.TA,"[-0.69, -0.57, 8.28]","[-0.69, -0.57, 8.28]","[-0.69, -0.57, 8.28]","[-0.69, -0.57, 8.28]","[-0.69, -0.57, 8.28]","[-0.69, -0.57, 8.28]","[-0.69, -0.57, 8.28]","[-0.69, -0.57, 8.28]","[-0.69, -0.57, 8.28]","[-0.69, -0.57, 8.28]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.69, -0.57, 8.28]"
TMRP.TA,"[0.15, 5.31, 3.78]","[0.15, 5.31, 3.78]","[0.15, 5.31, 3.78]","[None, None, None]","[0.15, 5.31, 3.78]","[0.15, 5.31, 3.78]","[None, None, None]","[None, None, None]","[0.15, 5.31, 3.78]","[None, None, None]","[0.15, 5.31, 3.78]","[0.15, 5.31, 3.78]","[0.15, 5.31, 3.78]","[0.15, 5.31, 3.78]","[None, None, None]"
TAYA.TA,"[3.04, 13.12, 14.58]","[3.04, 13.12, 14.58]","[None, None, None]","[None, None, None]","[3.04, 13.12, 14.58]","[3.04, 13.12, 14.58]","[None, None, None]","[None, None, None]","[3.04, 13.12, 14.58]","[None, None, None]","[3.04, 13.12, 14.58]","[3.04, 13.12, 14.58]","[3.04, 13.12, 14.58]","[3.04, 13.12, 14.58]","[None, None, None]"
