,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
LPSN.TA,"[1.18, 3.87, 15.76]","[1.18, 3.87, 15.76]","[1.18, 3.87, 15.76]","[None, None, None]","[1.18, 3.87, 15.76]","[1.18, 3.87, 15.76]","[1.18, 3.87, 15.76]","[1.18, 3.87, 15.76]","[1.18, 3.87, 15.76]","[1.18, 3.87, 15.76]","[None, None, None]","[None, None, None]","[1.18, 3.87, 15.76]","[None, None, None]","[1.18, 3.87, 15.76]"
LUZN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLTM.TA,"[1.32, -0.26, 9.5]","[1.32, -0.26, 9.5]","[1.32, -0.26, 9.5]","[1.32, -0.26, 9.5]","[1.32, -0.26, 9.5]","[1.32, -0.26, 9.5]","[1.32, -0.26, 9.5]","[1.32, -0.26, 9.5]","[1.32, -0.26, 9.5]","[1.32, -0.26, 9.5]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.32, -0.26, 9.5]"
MTRX.TA,"[-0.61, 8.58, -3.65]","[-0.61, 8.58, -3.65]","[-0.61, 8.58, -3.65]","[-0.61, 8.58, -3.65]","[-0.61, 8.58, -3.65]","[None, None, None]","[None, None, None]","[-0.61, 8.58, -3.65]","[-0.61, 8.58, -3.65]","[-0.61, 8.58, -3.65]","[None, None, None]","[-0.61, 8.58, -3.65]","[-0.61, 8.58, -3.65]","[-0.61, 8.58, -3.65]","[None, None, None]"
MTRN.TA,"[1.19, 16.02, 10.24]","[1.19, 16.02, 10.24]","[1.19, 16.02, 10.24]","[1.19, 16.02, 10.24]","[1.19, 16.02, 10.24]","[None, None, None]","[None, None, None]","[1.19, 16.02, 10.24]","[1.19, 16.02, 10.24]","[1.19, 16.02, 10.24]","[None, None, None]","[None, None, None]","[1.19, 16.02, 10.24]","[1.19, 16.02, 10.24]","[None, None, None]"
MDTR.TA,"[1.1, -2.93, 9.18]","[1.1, -2.93, 9.18]","[None, None, None]","[1.1, -2.93, 9.18]","[None, None, None]","[1.1, -2.93, 9.18]","[1.1, -2.93, 9.18]","[1.1, -2.93, 9.18]","[1.1, -2.93, 9.18]","[1.1, -2.93, 9.18]","[None, None, None]","[None, None, None]","[1.1, -2.93, 9.18]","[None, None, None]","[None, None, None]"
MGOR.TA,"[None, None, None]","[0.38, 3.31, 11.99]","[None, None, None]","[None, None, None]","[0.38, 3.31, 11.99]","[None, None, None]","[None, None, None]","[0.38, 3.31, 11.99]","[0.38, 3.31, 11.99]","[0.38, 3.31, 11.99]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLSR.TA,"[3.4, 4.86, 18.85]","[3.4, 4.86, 18.85]","[None, None, None]","[None, None, None]","[None, None, None]","[3.4, 4.86, 18.85]","[3.4, 4.86, 18.85]","[3.4, 4.86, 18.85]","[3.4, 4.86, 18.85]","[3.4, 4.86, 18.85]","[None, None, None]","[None, None, None]","[3.4, 4.86, 18.85]","[3.4, 4.86, 18.85]","[None, None, None]"
MNIN.TA,"[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[None, None, None]","[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[0.38, 3.19, 23.32]","[None, None, None]","[None, None, None]"
MMHD.TA,"[4.23, 13.3, 26.85]","[4.23, 13.3, 26.85]","[4.23, 13.3, 26.85]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[4.23, 13.3, 26.85]","[4.23, 13.3, 26.85]","[4.23, 13.3, 26.85]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MCRNT.TA,"[-4.21, -3.85, -2.47]","[-4.21, -3.85, -2.47]","[None, None, None]","[-4.21, -3.85, -2.47]","[-4.21, -3.85, -2.47]","[-4.21, -3.85, -2.47]","[-4.21, -3.85, -2.47]","[-4.21, -3.85, -2.47]","[-4.21, -3.85, -2.47]","[-4.21, -3.85, -2.47]","[-4.21, -3.85, -2.47]","[-4.21, -3.85, -2.47]","[None, None, None]","[None, None, None]","[None, None, None]"
MGDL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[4.34, 18.45, 41.19]","[4.34, 18.45, 41.19]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.72, 3.07, -8.17]","[1.72, 3.07, -8.17]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MSHR.TA,"[0.36, 6.31, 18.69]","[0.36, 6.31, 18.69]","[None, None, None]","[0.36, 6.31, 18.69]","[0.36, 6.31, 18.69]","[0.36, 6.31, 18.69]","[0.36, 6.31, 18.69]","[0.36, 6.31, 18.69]","[0.36, 6.31, 18.69]","[0.36, 6.31, 18.69]","[0.36, 6.31, 18.69]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[None, None, None]","[5.88, 9.17, 6.46]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[5.88, 9.17, 6.46]","[5.88, 9.17, 6.46]","[5.88, 9.17, 6.46]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MYDS.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[2.7, 3.4, 33.23]","[2.7, 3.4, 33.23]","[2.7, 3.4, 33.23]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NFTA.TA,"[1.05, 5.87, 13.9]","[1.05, 5.87, 13.9]","[1.05, 5.87, 13.9]","[1.05, 5.87, 13.9]","[1.05, 5.87, 13.9]","[None, None, None]","[None, None, None]","[1.05, 5.87, 13.9]","[1.05, 5.87, 13.9]","[1.05, 5.87, 13.9]","[None, None, None]","[None, None, None]","[1.05, 5.87, 13.9]","[None, None, None]","[None, None, None]"
NVPT.TA,"[None, None, None]","[0.8, 4.56, 15.41]","[None, None, None]","[None, None, None]","[0.8, 4.56, 15.41]","[None, None, None]","[None, None, None]","[0.8, 4.56, 15.41]","[0.8, 4.56, 15.41]","[0.8, 4.56, 15.41]","[None, None, None]","[0.8, 4.56, 15.41]","[None, None, None]","[None, None, None]","[None, None, None]"
NTO.TA,"[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[3.22, 9.55, 12.85]","[None, None, None]","[None, None, None]","[3.22, 9.55, 12.85]","[None, None, None]"
NTML.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[2.56, 10.39, 10.0]","[2.56, 10.39, 10.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[4.12, 14.95, 60.0]","[4.12, 14.95, 60.0]","[4.12, 14.95, 60.0]","[4.12, 14.95, 60.0]","[None, None, None]","[4.12, 14.95, 60.0]","[4.12, 14.95, 60.0]","[4.12, 14.95, 60.0]","[4.12, 14.95, 60.0]","[4.12, 14.95, 60.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[4.12, 14.95, 60.0]"
NISA.TA,"[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[None, None, None]","[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[0.42, -0.9, 14.84]","[None, None, None]","[None, None, None]"
NSTR.TA,"[None, None, None]","[0.77, -17.44, 21.35]","[0.77, -17.44, 21.35]","[None, None, None]","[None, None, None]","[0.77, -17.44, 21.35]","[0.77, -17.44, 21.35]","[0.77, -17.44, 21.35]","[0.77, -17.44, 21.35]","[0.77, -17.44, 21.35]","[0.77, -17.44, 21.35]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPCE.TA,"[6.06, 3.28, -1.77]","[6.06, 3.28, -1.77]","[6.06, 3.28, -1.77]","[6.06, 3.28, -1.77]","[None, None, None]","[6.06, 3.28, -1.77]","[6.06, 3.28, -1.77]","[6.06, 3.28, -1.77]","[6.06, 3.28, -1.77]","[6.06, 3.28, -1.77]","[None, None, None]","[None, None, None]","[6.06, 3.28, -1.77]","[None, None, None]","[None, None, None]"
OPK.TA,"[12.58, 43.89, 0.75]","[12.58, 43.89, 0.75]","[12.58, 43.89, 0.75]","[12.58, 43.89, 0.75]","[12.58, 43.89, 0.75]","[None, None, None]","[None, None, None]","[12.58, 43.89, 0.75]","[12.58, 43.89, 0.75]","[12.58, 43.89, 0.75]","[None, None, None]","[12.58, 43.89, 0.75]","[None, None, None]","[None, None, None]","[12.58, 43.89, 0.75]"
ORMP.TA,"[-0.79, -0.58, 18.74]","[-0.79, -0.58, 18.74]","[-0.79, -0.58, 18.74]","[None, None, None]","[-0.79, -0.58, 18.74]","[-0.79, -0.58, 18.74]","[-0.79, -0.58, 18.74]","[-0.79, -0.58, 18.74]","[-0.79, -0.58, 18.74]","[-0.79, -0.58, 18.74]","[-0.79, -0.58, 18.74]","[None, None, None]","[-0.79, -0.58, 18.74]","[None, None, None]","[-0.79, -0.58, 18.74]"
ORBI.TA,"[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[0.69, 0.33, 45.21]","[None, None, None]","[None, None, None]"
ORIN.TA,"[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[3.35, -1.06, 36.92]","[None, None, None]","[3.35, -1.06, 36.92]"
ORA.TA,"[-0.71, 6.55, 17.33]","[-0.71, 6.55, 17.33]","[-0.71, 6.55, 17.33]","[-0.71, 6.55, 17.33]","[-0.71, 6.55, 17.33]","[None, None, None]","[None, None, None]","[-0.71, 6.55, 17.33]","[-0.71, 6.55, 17.33]","[-0.71, 6.55, 17.33]","[None, None, None]","[-0.71, 6.55, 17.33]","[-0.71, 6.55, 17.33]","[None, None, None]","[-0.71, 6.55, 17.33]"
PLRM.TA,"[2.55, 1.75, 15.97]","[2.55, 1.75, 15.97]","[2.55, 1.75, 15.97]","[2.55, 1.75, 15.97]","[2.55, 1.75, 15.97]","[2.55, 1.75, 15.97]","[2.55, 1.75, 15.97]","[2.55, 1.75, 15.97]","[2.55, 1.75, 15.97]","[2.55, 1.75, 15.97]","[None, None, None]","[None, None, None]","[None, None, None]","[2.55, 1.75, 15.97]","[None, None, None]"
PTNR.TA,"[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[-0.6, -4.95, 7.8]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.6, -4.95, 7.8]"
PAYT.TA,"[-1.34, 0.71, 13.18]","[-1.34, 0.71, 13.18]","[-1.34, 0.71, 13.18]","[-1.34, 0.71, 13.18]","[-1.34, 0.71, 13.18]","[-1.34, 0.71, 13.18]","[None, None, None]","[-1.34, 0.71, 13.18]","[-1.34, 0.71, 13.18]","[-1.34, 0.71, 13.18]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PAZ.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.62, 7.26, 12.41]","[0.62, 7.26, 12.41]","[None, None, None]","[0.62, 7.26, 12.41]","[0.62, 7.26, 12.41]","[0.62, 7.26, 12.41]","[0.62, 7.26, 12.41]","[None, None, None]","[None, None, None]","[None, None, None]","[0.62, 7.26, 12.41]","[None, None, None]"
PLSN.TA,"[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[None, None, None]","[None, None, None]","[-0.57, 5.68, 7.93]","[-0.57, 5.68, 7.93]","[None, None, None]"
PLUR.TA,"[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[0.48, -7.01, -14.72]","[None, None, None]","[None, None, None]","[None, None, None]","[0.48, -7.01, -14.72]"
POLI.TA,"[3.23, 3.82, 4.05]","[3.23, 3.82, 4.05]","[3.23, 3.82, 4.05]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[3.23, 3.82, 4.05]","[3.23, 3.82, 4.05]","[3.23, 3.82, 4.05]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RMN.TA,"[None, None, None]","[2.82, 2.12, 57.37]","[2.82, 2.12, 57.37]","[2.82, 2.12, 57.37]","[2.82, 2.12, 57.37]","[2.82, 2.12, 57.37]","[2.82, 2.12, 57.37]","[2.82, 2.12, 57.37]","[2.82, 2.12, 57.37]","[2.82, 2.12, 57.37]","[2.82, 2.12, 57.37]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RAVD.TA,"[-0.53, 5.77, 10.92]","[-0.53, 5.77, 10.92]","[None, None, None]","[-0.53, 5.77, 10.92]","[-0.53, 5.77, 10.92]","[-0.53, 5.77, 10.92]","[-0.53, 5.77, 10.92]","[-0.53, 5.77, 10.92]","[-0.53, 5.77, 10.92]","[-0.53, 5.77, 10.92]","[None, None, None]","[-0.53, 5.77, 10.92]","[-0.53, 5.77, 10.92]","[None, None, None]","[None, None, None]"
RVL.TA,"[-3.06, 7.98, 26.88]","[-3.06, 7.98, 26.88]","[-3.06, 7.98, 26.88]","[-3.06, 7.98, 26.88]","[None, None, None]","[-3.06, 7.98, 26.88]","[-3.06, 7.98, 26.88]","[-3.06, 7.98, 26.88]","[-3.06, 7.98, 26.88]","[None, None, None]","[-3.06, 7.98, 26.88]","[-3.06, 7.98, 26.88]","[None, None, None]","[None, None, None]","[-3.06, 7.98, 26.88]"
RIT1.TA,"[4.23, 4.32, 10.47]","[4.23, 4.32, 10.47]","[4.23, 4.32, 10.47]","[None, None, None]","[None, None, None]","[None, None, None]","[4.23, 4.32, 10.47]","[4.23, 4.32, 10.47]","[4.23, 4.32, 10.47]","[4.23, 4.32, 10.47]","[None, None, None]","[4.23, 4.32, 10.47]","[4.23, 4.32, 10.47]","[None, None, None]","[4.23, 4.32, 10.47]"
RIMO.TA,"[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.8, 1.83, 26.2]","[-0.8, 1.83, 26.2]"
SPNS.TA,"[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[None, None, None]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]","[0.56, -0.76, -1.36]"
SCOP.TA,"[2.92, 0.34, 11.46]","[2.92, 0.34, 11.46]","[2.92, 0.34, 11.46]","[2.92, 0.34, 11.46]","[2.92, 0.34, 11.46]","[2.92, 0.34, 11.46]","[2.92, 0.34, 11.46]","[2.92, 0.34, 11.46]","[2.92, 0.34, 11.46]","[2.92, 0.34, 11.46]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHAN.TA,"[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[-0.25, 0.36, 3.58]","[None, None, None]","[None, None, None]","[-0.25, 0.36, 3.58]","[None, None, None]"
SPEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHOM.TA,"[3.89, 5.17, 23.61]","[3.89, 5.17, 23.61]","[3.89, 5.17, 23.61]","[None, None, None]","[3.89, 5.17, 23.61]","[3.89, 5.17, 23.61]","[3.89, 5.17, 23.61]","[3.89, 5.17, 23.61]","[3.89, 5.17, 23.61]","[3.89, 5.17, 23.61]","[None, None, None]","[None, None, None]","[3.89, 5.17, 23.61]","[None, None, None]","[None, None, None]"
SAE.TA,"[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[None, None, None]","[None, None, None]","[-0.85, 1.26, 4.21]","[-0.85, 1.26, 4.21]","[None, None, None]"
SKLN.TA,"[-1.49, 1.12, 18.75]","[-1.49, 1.12, 18.75]","[-1.49, 1.12, 18.75]","[None, None, None]","[-1.49, 1.12, 18.75]","[-1.49, 1.12, 18.75]","[-1.49, 1.12, 18.75]","[-1.49, 1.12, 18.75]","[-1.49, 1.12, 18.75]","[-1.49, 1.12, 18.75]","[-1.49, 1.12, 18.75]","[None, None, None]","[-1.49, 1.12, 18.75]","[None, None, None]","[None, None, None]"
SMT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.86, -3.19, 23.41]","[1.86, -3.19, 23.41]","[1.86, -3.19, 23.41]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SNCM.TA,"[1.08, 6.5, 16.55]","[1.08, 6.5, 16.55]","[1.08, 6.5, 16.55]","[1.08, 6.5, 16.55]","[1.08, 6.5, 16.55]","[1.08, 6.5, 16.55]","[1.08, 6.5, 16.55]","[1.08, 6.5, 16.55]","[1.08, 6.5, 16.55]","[1.08, 6.5, 16.55]","[None, None, None]","[None, None, None]","[1.08, 6.5, 16.55]","[None, None, None]","[1.08, 6.5, 16.55]"
TMRP.TA,"[-1.66, 3.17, 15.29]","[-1.66, 3.17, 15.29]","[-1.66, 3.17, 15.29]","[None, None, None]","[-1.66, 3.17, 15.29]","[-1.66, 3.17, 15.29]","[-1.66, 3.17, 15.29]","[-1.66, 3.17, 15.29]","[-1.66, 3.17, 15.29]","[-1.66, 3.17, 15.29]","[None, None, None]","[-1.66, 3.17, 15.29]","[-1.66, 3.17, 15.29]","[None, None, None]","[-1.66, 3.17, 15.29]"
TFRLF.TA,"[None, None, None]","[1.93, -1.37, 70.55]","[1.93, -1.37, 70.55]","[1.93, -1.37, 70.55]","[1.93, -1.37, 70.55]","[1.93, -1.37, 70.55]","[1.93, -1.37, 70.55]","[1.93, -1.37, 70.55]","[1.93, -1.37, 70.55]","[1.93, -1.37, 70.55]","[None, None, None]","[1.93, -1.37, 70.55]","[1.93, -1.37, 70.55]","[None, None, None]","[None, None, None]"
TEVA.TA,"[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[1.76, -6.08, -14.16]","[None, None, None]","[1.76, -6.08, -14.16]"
ILCO.TA,"[4.26, 3.62, 43.96]","[4.26, 3.62, 43.96]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[4.26, 3.62, 43.96]","[4.26, 3.62, 43.96]","[4.26, 3.62, 43.96]","[None, None, None]","[None, None, None]","[4.26, 3.62, 43.96]","[None, None, None]","[None, None, None]"
TTAM.TA,"[2.07, 1.75, 67.06]","[2.07, 1.75, 67.06]","[2.07, 1.75, 67.06]","[2.07, 1.75, 67.06]","[2.07, 1.75, 67.06]","[None, None, None]","[None, None, None]","[2.07, 1.75, 67.06]","[2.07, 1.75, 67.06]","[2.07, 1.75, 67.06]","[None, None, None]","[None, None, None]","[None, None, None]","[2.07, 1.75, 67.06]","[None, None, None]"
TSEM.TA,"[0.09, 9.56, 11.53]","[0.09, 9.56, 11.53]","[0.09, 9.56, 11.53]","[0.09, 9.56, 11.53]","[0.09, 9.56, 11.53]","[None, None, None]","[None, None, None]","[0.09, 9.56, 11.53]","[0.09, 9.56, 11.53]","[0.09, 9.56, 11.53]","[0.09, 9.56, 11.53]","[0.09, 9.56, 11.53]","[0.09, 9.56, 11.53]","[None, None, None]","[0.09, 9.56, 11.53]"
VCTR.TA,"[0.93, 5.66, 4.53]","[0.93, 5.66, 4.53]","[0.93, 5.66, 4.53]","[0.93, 5.66, 4.53]","[None, None, None]","[0.93, 5.66, 4.53]","[0.93, 5.66, 4.53]","[0.93, 5.66, 4.53]","[0.93, 5.66, 4.53]","[0.93, 5.66, 4.53]","[0.93, 5.66, 4.53]","[None, None, None]","[None, None, None]","[0.93, 5.66, 4.53]","[None, None, None]"
VTNA.TA,"[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[None, None, None]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[4.56, -1.19, 9.92]","[None, None, None]"
WILC.TA,"[None, 6.68, 14.39]","[None, 6.68, 14.39]","[None, 6.68, 14.39]","[None, 6.68, 14.39]","[None, 6.68, 14.39]","[None, None, None]","[None, None, None]","[None, 6.68, 14.39]","[None, 6.68, 14.39]","[None, 6.68, 14.39]","[None, 6.68, 14.39]","[None, None, None]","[None, None, None]","[None, None, None]","[None, 6.68, 14.39]"
XTLB.TA,"[None, None, None]","[-1.74, 11.22, 39.1]","[-1.74, 11.22, 39.1]","[None, None, None]","[-1.74, 11.22, 39.1]","[None, None, None]","[None, None, None]","[-1.74, 11.22, 39.1]","[-1.74, 11.22, 39.1]","[-1.74, 11.22, 39.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.74, 11.22, 39.1]"
