,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
DORL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.87, 19.93, 59.53]","[-0.87, 19.93, 59.53]","[-0.87, 19.93, 59.53]","[None, None, None]","[-0.87, 19.93, 59.53]","[-0.87, 19.93, 59.53]","[None, None, None]","[None, None, None]"
DUNI.TA,"[0.49, -0.3, 10.65]","[0.49, -0.3, 10.65]","[0.49, -0.3, 10.65]","[0.49, -0.3, 10.65]","[0.49, -0.3, 10.65]","[0.49, -0.3, 10.65]","[0.49, -0.3, 10.65]","[0.49, -0.3, 10.65]","[0.49, -0.3, 10.65]","[0.49, -0.3, 10.65]","[None, None, None]","[0.49, -0.3, 10.65]","[None, None, None]","[None, None, None]","[None, None, None]"
ELAL.TA,"[-1.44, 3.55, 4.95]","[-1.44, 3.55, 4.95]","[None, None, None]","[-1.44, 3.55, 4.95]","[-1.44, 3.55, 4.95]","[-1.44, 3.55, 4.95]","[-1.44, 3.55, 4.95]","[-1.44, 3.55, 4.95]","[None, None, None]","[-1.44, 3.55, 4.95]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]","[0.91, -3.27, -6.21]"
ELTR.TA,"[0.79, 0.48, 6.25]","[0.79, 0.48, 6.25]","[None, None, None]","[0.79, 0.48, 6.25]","[0.79, 0.48, 6.25]","[0.79, 0.48, 6.25]","[0.79, 0.48, 6.25]","[0.79, 0.48, 6.25]","[0.79, 0.48, 6.25]","[0.79, 0.48, 6.25]","[None, None, None]","[None, None, None]","[None, None, None]","[0.79, 0.48, 6.25]","[None, None, None]"
ELCP.TA,"[1.79, -0.24, -0.99]","[1.79, -0.24, -0.99]","[None, None, None]","[None, None, None]","[1.79, -0.24, -0.99]","[1.79, -0.24, -0.99]","[1.79, -0.24, -0.99]","[1.79, -0.24, -0.99]","[1.79, -0.24, -0.99]","[1.79, -0.24, -0.99]","[1.79, -0.24, -0.99]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELCRE.TA,"[4.88, 5.67, 30.34]","[4.88, 5.67, 30.34]","[4.88, 5.67, 30.34]","[None, None, None]","[None, None, None]","[4.88, 5.67, 30.34]","[4.88, 5.67, 30.34]","[4.88, 5.67, 30.34]","[4.88, 5.67, 30.34]","[4.88, 5.67, 30.34]","[None, None, None]","[4.88, 5.67, 30.34]","[4.88, 5.67, 30.34]","[None, None, None]","[4.88, 5.67, 30.34]"
ELMR.TA,"[-0.86, 3.31, 4.09]","[-0.86, 3.31, 4.09]","[-0.86, 3.31, 4.09]","[-0.86, 3.31, 4.09]","[-0.86, 3.31, 4.09]","[-0.86, 3.31, 4.09]","[-0.86, 3.31, 4.09]","[-0.86, 3.31, 4.09]","[-0.86, 3.31, 4.09]","[-0.86, 3.31, 4.09]","[None, None, None]","[-0.86, 3.31, 4.09]","[None, None, None]","[-0.86, 3.31, 4.09]","[None, None, None]"
ENLT.TA,"[0.17, 8.01, 10.73]","[0.17, 8.01, 10.73]","[None, None, None]","[0.17, 8.01, 10.73]","[None, None, None]","[0.17, 8.01, 10.73]","[0.17, 8.01, 10.73]","[0.17, 8.01, 10.73]","[0.17, 8.01, 10.73]","[0.17, 8.01, 10.73]","[0.17, 8.01, 10.73]","[0.17, 8.01, 10.73]","[0.17, 8.01, 10.73]","[None, None, None]","[None, None, None]"
ENLV.TA,"[None, None, None]","[45.05, 67.12, 39.58]","[45.05, 67.12, 39.58]","[None, None, None]","[45.05, 67.12, 39.58]","[45.05, 67.12, 39.58]","[45.05, 67.12, 39.58]","[45.05, 67.12, 39.58]","[45.05, 67.12, 39.58]","[45.05, 67.12, 39.58]","[45.05, 67.12, 39.58]","[None, None, None]","[45.05, 67.12, 39.58]","[None, None, None]","[45.05, 67.12, 39.58]"
FIBI.TA,"[None, None, None]","[3.21, 5.99, 6.99]","[3.21, 5.99, 6.99]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[3.21, 5.99, 6.99]","[3.21, 5.99, 6.99]","[3.21, 5.99, 6.99]","[None, None, None]","[None, None, None]","[3.21, 5.99, 6.99]","[3.21, 5.99, 6.99]","[None, None, None]"
FIBIH.TA,"[None, None, None]","[4.32, 5.18, 6.81]","[None, None, None]","[None, None, None]","[None, None, None]","[4.32, 5.18, 6.81]","[4.32, 5.18, 6.81]","[4.32, 5.18, 6.81]","[4.32, 5.18, 6.81]","[4.32, 5.18, 6.81]","[None, None, None]","[None, None, None]","[4.32, 5.18, 6.81]","[None, None, None]","[None, None, None]"
FRSX.TA,"[None, None, None]","[-5.48, -5.92, 134.34]","[-5.48, -5.92, 134.34]","[None, None, None]","[-5.48, -5.92, 134.34]","[-5.48, -5.92, 134.34]","[-5.48, -5.92, 134.34]","[-5.48, -5.92, 134.34]","[-5.48, -5.92, 134.34]","[-5.48, -5.92, 134.34]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FORTY.TA,"[0.05, 2.2, -3.21]","[0.05, 2.2, -3.21]","[0.05, 2.2, -3.21]","[0.05, 2.2, -3.21]","[0.05, 2.2, -3.21]","[None, None, None]","[None, None, None]","[0.05, 2.2, -3.21]","[0.05, 2.2, -3.21]","[0.05, 2.2, -3.21]","[None, None, None]","[0.05, 2.2, -3.21]","[0.05, 2.2, -3.21]","[None, None, None]","[0.05, 2.2, -3.21]"
FOX.TA,"[None, None, None]","[-1.42, 8.11, 49.63]","[-1.42, 8.11, 49.63]","[-1.42, 8.11, 49.63]","[-1.42, 8.11, 49.63]","[-1.42, 8.11, 49.63]","[-1.42, 8.11, 49.63]","[-1.42, 8.11, 49.63]","[-1.42, 8.11, 49.63]","[-1.42, 8.11, 49.63]","[-1.42, 8.11, 49.63]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GAGR.TA,"[-7.1, -7.56, 19.07]","[-7.1, -7.56, 19.07]","[None, None, None]","[-7.1, -7.56, 19.07]","[-7.1, -7.56, 19.07]","[-7.1, -7.56, 19.07]","[-7.1, -7.56, 19.07]","[-7.1, -7.56, 19.07]","[-7.1, -7.56, 19.07]","[-7.1, -7.56, 19.07]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GAON-M.TA,"[0.0, 0.44, 27.62]","[0.0, 0.44, 27.62]","[0.0, 0.44, 27.62]","[0.0, 0.44, 27.62]","[0.0, 0.44, 27.62]","[None, None, None]","[None, None, None]","[0.0, 0.44, 27.62]","[0.0, 0.44, 27.62]","[0.0, 0.44, 27.62]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNRS.TA,"[None, None, None]","[None, None, None]","[1.27, 3.96, 14.15]","[None, None, None]","[None, None, None]","[1.27, 3.96, 14.15]","[1.27, 3.96, 14.15]","[1.27, 3.96, 14.15]","[1.27, 3.96, 14.15]","[1.27, 3.96, 14.15]","[None, None, None]","[None, None, None]","[1.27, 3.96, 14.15]","[None, None, None]","[None, None, None]"
GILT.TA,"[-2.91, -5.95, -2.33]","[-2.91, -5.95, -2.33]","[-2.91, -5.95, -2.33]","[-2.91, -5.95, -2.33]","[-2.91, -5.95, -2.33]","[-2.91, -5.95, -2.33]","[-2.91, -5.95, -2.33]","[-2.91, -5.95, -2.33]","[-2.91, -5.95, -2.33]","[-2.91, -5.95, -2.33]","[None, None, None]","[-2.91, -5.95, -2.33]","[None, None, None]","[None, None, None]","[-2.91, -5.95, -2.33]"
GNGR.TA,"[-3.83, 0.31, 20.67]","[-3.83, 0.31, 20.67]","[None, None, None]","[-3.83, 0.31, 20.67]","[-3.83, 0.31, 20.67]","[-3.83, 0.31, 20.67]","[-3.83, 0.31, 20.67]","[-3.83, 0.31, 20.67]","[-3.83, 0.31, 20.67]","[-3.83, 0.31, 20.67]","[-3.83, 0.31, 20.67]","[None, None, None]","[None, None, None]","[-3.83, 0.31, 20.67]","[None, None, None]"
GKL.TA,"[-1.99, 4.24, 32.87]","[-1.99, 4.24, 32.87]","[None, None, None]","[-1.99, 4.24, 32.87]","[None, None, None]","[-1.99, 4.24, 32.87]","[-1.99, 4.24, 32.87]","[-1.99, 4.24, 32.87]","[None, None, None]","[-1.99, 4.24, 32.87]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GOLD.TA,"[0.58, 19.25, 22.27]","[0.58, 19.25, 22.27]","[0.58, 19.25, 22.27]","[0.58, 19.25, 22.27]","[0.58, 19.25, 22.27]","[0.58, 19.25, 22.27]","[0.58, 19.25, 22.27]","[0.58, 19.25, 22.27]","[0.58, 19.25, 22.27]","[0.58, 19.25, 22.27]","[None, None, None]","[None, None, None]","[0.58, 19.25, 22.27]","[None, None, None]","[0.58, 19.25, 22.27]"
GOHO.TA,"[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[None, None, None]","[1.75, 0.81, 19.69]","[1.75, 0.81, 19.69]","[None, None, None]","[1.75, 0.81, 19.69]"
GOLF.TA,"[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[1.34, 9.79, 87.6]","[None, None, None]","[None, None, None]"
MSBI.TA,"[-1.44, -12.1, -8.22]","[-1.44, -12.1, -8.22]","[-1.44, -12.1, -8.22]","[-1.44, -12.1, -8.22]","[-1.44, -12.1, -8.22]","[-1.44, -12.1, -8.22]","[-1.44, -12.1, -8.22]","[-1.44, -12.1, -8.22]","[-1.44, -12.1, -8.22]","[-1.44, -12.1, -8.22]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[None, None, None]","[1.48, -3.24, 19.68]","[1.48, -3.24, 19.68]","[None, None, None]","[None, None, None]"
HARL.TA,"[5.18, 17.73, 22.29]","[5.18, 17.73, 22.29]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[5.18, 17.73, 22.29]","[5.18, 17.73, 22.29]","[5.18, 17.73, 22.29]","[5.18, 17.73, 22.29]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[-0.59, 5.35, 4.17]","[-0.59, 5.35, 4.17]","[None, None, None]","[-0.59, 5.35, 4.17]","[-0.59, 5.35, 4.17]","[None, None, None]","[None, None, None]","[-0.59, 5.35, 4.17]","[-0.59, 5.35, 4.17]","[-0.59, 5.35, 4.17]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HRON.TA,"[-2.5, -2.1, 3.89]","[-2.5, -2.1, 3.89]","[None, None, None]","[-2.5, -2.1, 3.89]","[None, None, None]","[-2.5, -2.1, 3.89]","[-2.5, -2.1, 3.89]","[-2.5, -2.1, 3.89]","[-2.5, -2.1, 3.89]","[-2.5, -2.1, 3.89]","[-2.5, -2.1, 3.89]","[-2.5, -2.1, 3.89]","[None, None, None]","[-2.5, -2.1, 3.89]","[None, None, None]"
ICL.TA,"[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[None, None, None]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]","[3.0, 3.33, 24.29]"
IDIN.TA,"[0.86, -2.37, 5.79]","[0.86, -2.37, 5.79]","[None, None, None]","[None, None, None]","[None, None, None]","[0.86, -2.37, 5.79]","[0.86, -2.37, 5.79]","[0.86, -2.37, 5.79]","[0.86, -2.37, 5.79]","[0.86, -2.37, 5.79]","[0.86, -2.37, 5.79]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ILX.TA,"[3.79, 14.27, 16.1]","[3.79, 14.27, 16.1]","[3.79, 14.27, 16.1]","[3.79, 14.27, 16.1]","[3.79, 14.27, 16.1]","[3.79, 14.27, 16.1]","[3.79, 14.27, 16.1]","[3.79, 14.27, 16.1]","[3.79, 14.27, 16.1]","[3.79, 14.27, 16.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
INRM.TA,"[-0.4, 0.94, 13.54]","[-0.4, 0.94, 13.54]","[-0.4, 0.94, 13.54]","[-0.4, 0.94, 13.54]","[-0.4, 0.94, 13.54]","[-0.4, 0.94, 13.54]","[-0.4, 0.94, 13.54]","[-0.4, 0.94, 13.54]","[-0.4, 0.94, 13.54]","[-0.4, 0.94, 13.54]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ININ.TA,"[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[-0.32, 12.8, 61.98]","[None, None, None]","[None, None, None]"
