,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,"[2.32, 8.01, 24.44]","[2.32, 8.01, 24.44]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[1.59, 10.36, 4.65]","[1.59, 10.36, 4.65]","[1.59, 10.36, 4.65]","[1.59, 10.36, 4.65]","[1.59, 10.36, 4.65]","[1.59, 10.36, 4.65]","[1.59, 10.36, 4.65]","[1.59, 10.36, 4.65]"
ADGR.TA,"[1.65, -4.59, -7.5]","[1.65, -4.59, -7.5]","[1.65, -4.59, -7.5]","[1.65, -4.59, -7.5]","[1.65, -4.59, -7.5]","[1.65, -4.59, -7.5]","[1.65, -4.59, -7.5]","[1.65, -4.59, -7.5]"
ARDM.TA,"[10.61, 24.04, 14.65]","[10.61, 24.04, 14.65]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[2.69, -0.1, -2.17]","[2.69, -0.1, -2.17]","[2.69, -0.1, -2.17]","[2.69, -0.1, -2.17]","[2.69, -0.1, -2.17]","[2.69, -0.1, -2.17]","[2.69, -0.1, -2.17]","[2.69, -0.1, -2.17]"
AFPR.TA,"[0.56, -7.56, -1.26]","[0.56, -7.56, -1.26]","[0.56, -7.56, -1.26]","[0.56, -7.56, -1.26]","[0.56, -7.56, -1.26]","[0.56, -7.56, -1.26]","[0.56, -7.56, -1.26]","[0.56, -7.56, -1.26]"
AFRE.TA,"[1.38, -4.2, 3.93]","[1.38, -4.2, 3.93]","[1.38, -4.2, 3.93]","[1.38, -4.2, 3.93]","[1.38, -4.2, 3.93]","[1.38, -4.2, 3.93]","[1.38, -4.2, 3.93]","[1.38, -4.2, 3.93]"
ARPT.TA,"[2.28, -3.23, -8.67]","[2.28, -3.23, -8.67]","[2.28, -3.23, -8.67]","[2.28, -3.23, -8.67]","[2.28, -3.23, -8.67]","[2.28, -3.23, -8.67]","[2.28, -3.23, -8.67]","[2.28, -3.23, -8.67]"
ARTS.TA,"[-2.24, -22.94, 2.14]","[-2.24, -22.94, 2.14]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALAR.TA,"[2.04, 46.58, 131.35]","[2.04, 46.58, 131.35]","[2.04, 46.58, 131.35]","[2.04, 46.58, 131.35]","[2.04, 46.58, 131.35]","[2.04, 46.58, 131.35]","[2.04, 46.58, 131.35]","[2.04, 46.58, 131.35]"
ALBA.TA,"[-0.79, 6.53, 1.19]","[-0.79, 6.53, 1.19]","[-0.79, 6.53, 1.19]","[-0.79, 6.53, 1.19]","[-0.79, 6.53, 1.19]","[-0.79, 6.53, 1.19]","[-0.79, 6.53, 1.19]","[-0.79, 6.53, 1.19]"
ALLT.TA,"[-0.98, -0.74, 17.88]","[-0.98, -0.74, 17.88]","[-0.98, -0.74, 17.88]","[-0.98, -0.74, 17.88]","[-0.98, -0.74, 17.88]","[-0.98, -0.74, 17.88]","[-0.98, -0.74, 17.88]","[-0.98, -0.74, 17.88]"
ALMA.TA,"[1.23, 4.97, 4.5]","[1.23, 4.97, 4.5]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[2.33, -8.66, -7.87]","[2.33, -8.66, -7.87]","[2.33, -8.66, -7.87]","[2.33, -8.66, -7.87]","[2.33, -8.66, -7.87]","[2.33, -8.66, -7.87]","[2.33, -8.66, -7.87]","[2.33, -8.66, -7.87]"
ALRPR.TA,"[3.03, -0.58, 3.53]","[3.03, -0.58, 3.53]","[3.03, -0.58, 3.53]","[3.03, -0.58, 3.53]","[3.03, -0.58, 3.53]","[3.03, -0.58, 3.53]","[3.03, -0.58, 3.53]","[3.03, -0.58, 3.53]"
ALUMA.TA,"[None, None, None]","[1.47, -4.13, -10.47]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[-0.57, 1.34, 10.25]","[-0.57, 1.34, 10.25]","[-0.57, 1.34, 10.25]","[-0.57, 1.34, 10.25]","[-0.57, 1.34, 10.25]","[-0.57, 1.34, 10.25]","[-0.57, 1.34, 10.25]","[None, None, None]"
AMOT.TA,"[0.02, -7.2, -12.81]","[0.02, -7.2, -12.81]","[0.02, -7.2, -12.81]","[0.02, -7.2, -12.81]","[0.02, -7.2, -12.81]","[0.02, -7.2, -12.81]","[0.02, -7.2, -12.81]","[0.02, -7.2, -12.81]"
APLP.TA,"[3.33, -9.83, -8.06]","[3.33, -9.83, -8.06]","[3.33, -9.83, -8.06]","[3.33, -9.83, -8.06]","[3.33, -9.83, -8.06]","[3.33, -9.83, -8.06]","[3.33, -9.83, -8.06]","[None, None, None]"
ARD.TA,"[-1.08, 0.22, -9.21]","[-1.08, 0.22, -9.21]","[-1.08, 0.22, -9.21]","[-1.08, 0.22, -9.21]","[-1.08, 0.22, -9.21]","[-1.08, 0.22, -9.21]","[-1.08, 0.22, -9.21]","[-1.08, 0.22, -9.21]"
ARF.TA,"[0.61, -1.88, -14.67]","[0.61, -1.88, -14.67]","[0.61, -1.88, -14.67]","[0.61, -1.88, -14.67]","[0.61, -1.88, -14.67]","[0.61, -1.88, -14.67]","[0.61, -1.88, -14.67]","[0.61, -1.88, -14.67]"
ASHG.TA,"[1.1, -4.18, -13.0]","[1.1, -4.18, -13.0]","[1.1, -4.18, -13.0]","[1.1, -4.18, -13.0]","[1.1, -4.18, -13.0]","[1.1, -4.18, -13.0]","[1.1, -4.18, -13.0]","[1.1, -4.18, -13.0]"
ASGR.TA,"[3.28, -7.83, -7.24]","[3.28, -7.83, -7.24]","[3.28, -7.83, -7.24]","[3.28, -7.83, -7.24]","[3.28, -7.83, -7.24]","[3.28, -7.83, -7.24]","[3.28, -7.83, -7.24]","[3.28, -7.83, -7.24]"
AUDC.TA,"[0.02, -8.2, -4.96]","[0.02, -8.2, -4.96]","[0.02, -8.2, -4.96]","[0.02, -8.2, -4.96]","[0.02, -8.2, -4.96]","[0.02, -8.2, -4.96]","[0.02, -8.2, -4.96]","[None, None, None]"
AUSA-M.TA,"[None, None, None]","[0.0, 450.0, 450.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVGL.TA,"[2.19, -5.77, -11.6]","[2.19, -5.77, -11.6]","[2.19, -5.77, -11.6]","[2.19, -5.77, -11.6]","[2.19, -5.77, -11.6]","[2.19, -5.77, -11.6]","[2.19, -5.77, -11.6]","[2.19, -5.77, -11.6]"
AVIA.TA,"[1.24, 13.96, 11.93]","[1.24, 13.96, 11.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AILN.TA,"[8.59, -9.49, -18.1]","[8.59, -9.49, -18.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[2.7, -2.06, -2.64]","[2.7, -2.06, -2.64]","[2.7, -2.06, -2.64]","[2.7, -2.06, -2.64]","[2.7, -2.06, -2.64]","[2.7, -2.06, -2.64]","[2.7, -2.06, -2.64]","[2.7, -2.06, -2.64]"
BCOM.TA,"[1.24, -3.58, -10.9]","[1.24, -3.58, -10.9]","[1.24, -3.58, -10.9]","[1.24, -3.58, -10.9]","[None, None, None]","[1.24, -3.58, -10.9]","[1.24, -3.58, -10.9]","[1.24, -3.58, -10.9]"
BIG.TA,"[1.94, -2.63, -0.91]","[1.94, -2.63, -0.91]","[1.94, -2.63, -0.91]","[1.94, -2.63, -0.91]","[1.94, -2.63, -0.91]","[1.94, -2.63, -0.91]","[1.94, -2.63, -0.91]","[1.94, -2.63, -0.91]"
BLSR.TA,"[5.04, 5.45, 4.4]","[5.04, 5.45, 4.4]","[5.04, 5.45, 4.4]","[5.04, 5.45, 4.4]","[5.04, 5.45, 4.4]","[5.04, 5.45, 4.4]","[5.04, 5.45, 4.4]","[5.04, 5.45, 4.4]"
BONS.TA,"[-0.49, 1.86, 5.34]","[-0.49, 1.86, 5.34]","[None, None, None]","[-0.49, 1.86, 5.34]","[None, None, None]","[-0.49, 1.86, 5.34]","[-0.49, 1.86, 5.34]","[None, None, None]"
BWAY.TA,"[0.7, -0.85, -1.07]","[0.7, -0.85, -1.07]","[0.7, -0.85, -1.07]","[0.7, -0.85, -1.07]","[0.7, -0.85, -1.07]","[0.7, -0.85, -1.07]","[0.7, -0.85, -1.07]","[None, None, None]"
CLAB.TA,"[0.89, -16.6, -10.38]","[0.89, -16.6, -10.38]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[-0.02, 8.98, 36.71]","[-0.02, 8.98, 36.71]","[-0.02, 8.98, 36.71]","[-0.02, 8.98, 36.71]","[-0.02, 8.98, 36.71]","[-0.02, 8.98, 36.71]","[-0.02, 8.98, 36.71]","[-0.02, 8.98, 36.71]"
CPTP.TA,"[0.0, -8.63, -10.41]","[0.0, -8.63, -10.41]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[2.12, 3.0, 6.6]","[2.12, 3.0, 6.6]","[2.12, 3.0, 6.6]","[2.12, 3.0, 6.6]","[2.12, 3.0, 6.6]","[2.12, 3.0, 6.6]","[2.12, 3.0, 6.6]","[2.12, 3.0, 6.6]"
CRSR.TA,"[5.34, -8.77, -2.42]","[5.34, -8.77, -2.42]","[5.34, -8.77, -2.42]","[5.34, -8.77, -2.42]","[5.34, -8.77, -2.42]","[5.34, -8.77, -2.42]","[5.34, -8.77, -2.42]","[5.34, -8.77, -2.42]"
CRML.TA,"[1.91, 3.63, -6.35]","[1.91, 3.63, -6.35]","[1.91, 3.63, -6.35]","[1.91, 3.63, -6.35]","[1.91, 3.63, -6.35]","[1.91, 3.63, -6.35]","[1.91, 3.63, -6.35]","[1.91, 3.63, -6.35]"
CRMT.TA,"[1.79, 5.32, -4.12]","[1.79, 5.32, -4.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
