,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
MLSR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MNIN.TA,"[0.0, -7.45, 6.79]","[0.0, -7.45, 6.79]","[0.0, -7.45, 6.79]","[0.0, -7.45, 6.79]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -7.45, 6.79]","[0.0, -7.45, 6.79]","[0.0, -7.45, 6.79]","[0.0, -7.45, 6.79]","[0.0, -7.45, 6.79]","[None, None, None]","[0.0, -7.45, 6.79]","[0.0, -7.45, 6.79]"
MNRT.TA,"[None, None, None]","[0.0, 0.41, -10.1]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.41, -10.1]","[0.0, 0.41, -10.1]","[0.0, 0.41, -10.1]","[0.0, 0.41, -10.1]","[0.0, 0.41, -10.1]","[0.0, 0.41, -10.1]","[0.0, 0.41, -10.1]","[None, None, None]","[None, None, None]","[None, None, None]"
MCMN.TA,"[0.0, 18.3, 24.18]","[0.0, 18.3, 24.18]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 18.3, 24.18]","[0.0, 18.3, 24.18]","[0.0, 18.3, 24.18]","[None, None, None]","[None, None, None]","[0.0, 18.3, 24.18]","[None, None, None]","[None, None, None]"
MGDL.TA,"[0.0, 5.42, 2.4]","[0.0, 5.42, 2.4]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 5.42, 2.4]","[0.0, 5.42, 2.4]","[0.0, 5.42, 2.4]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[0.0, 1.3, -0.18]","[0.0, 1.3, -0.18]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.3, -0.18]","[0.0, 1.3, -0.18]","[0.0, 1.3, -0.18]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MDIN.TA,"[0.0, 1.38, -2.41]","[0.0, 1.38, -2.41]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.38, -2.41]","[0.0, 1.38, -2.41]","[0.0, 1.38, -2.41]","[0.0, 1.38, -2.41]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NFTA.TA,"[0.0, 5.93, 3.82]","[0.0, 5.93, 3.82]","[0.0, 5.93, 3.82]","[0.0, 5.93, 3.82]","[0.0, 5.93, 3.82]","[None, None, None]","[None, None, None]","[0.0, 5.93, 3.82]","[0.0, 5.93, 3.82]","[0.0, 5.93, 3.82]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NVPT.TA,"[0.0, 8.13, 7.47]","[0.0, 8.13, 7.47]","[0.0, 8.13, 7.47]","[0.0, 8.13, 7.47]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 8.13, 7.47]","[0.0, 8.13, 7.47]","[None, None, None]","[0.0, 8.13, 7.47]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NYAX.TA,"[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[0.0, -12.87, -16.59]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -12.87, -16.59]"
NTO.TA,"[0.0, 7.93, 2.85]","[0.0, 7.93, 2.85]","[0.0, 7.93, 2.85]","[None, None, None]","[None, None, None]","[0.0, 7.93, 2.85]","[0.0, 7.93, 2.85]","[0.0, 7.93, 2.85]","[0.0, 7.93, 2.85]","[0.0, 7.93, 2.85]","[0.0, 7.93, 2.85]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NTML.TA,"[0.0, 12.02, 15.6]","[0.0, 12.02, 15.6]","[0.0, 12.02, 15.6]","[0.0, 12.02, 15.6]","[None, None, None]","[0.0, 12.02, 15.6]","[0.0, 12.02, 15.6]","[0.0, 12.02, 15.6]","[0.0, 12.02, 15.6]","[0.0, 12.02, 15.6]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[None, None, None]","[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[0.0, -1.68, -17.23]","[None, None, None]","[0.0, -1.68, -17.23]"
NXFR.TA,"[0.0, -10.25, -17.7]","[0.0, -10.25, -17.7]","[0.0, -10.25, -17.7]","[0.0, -10.25, -17.7]","[None, None, None]","[0.0, -10.25, -17.7]","[0.0, -10.25, -17.7]","[0.0, -10.25, -17.7]","[0.0, -10.25, -17.7]","[0.0, -10.25, -17.7]","[0.0, -10.25, -17.7]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NICE.TA,"[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[None, None, None]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]","[0.0, -10.33, -13.47]"
NISA.TA,"[0.0, 3.42, -12.07]","[0.0, 3.42, -12.07]","[0.0, 3.42, -12.07]","[0.0, 3.42, -12.07]","[None, None, None]","[0.0, 3.42, -12.07]","[0.0, 3.42, -12.07]","[0.0, 3.42, -12.07]","[0.0, 3.42, -12.07]","[0.0, 3.42, -12.07]","[0.0, 3.42, -12.07]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.42, -12.07]"
NOFR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -5.09, -1.53]","[0.0, -5.09, -1.53]","[0.0, -5.09, -1.53]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -5.09, -1.53]","[0.0, -5.09, -1.53]"
OPCE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.43, -0.67]","[0.0, 2.43, -0.67]","[0.0, 2.43, -0.67]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.43, -0.67]","[0.0, 2.43, -0.67]"
OPK.TA,"[0.0, -28.17, -22.26]","[0.0, -28.17, -22.26]","[None, None, None]","[0.0, -28.17, -22.26]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -28.17, -22.26]","[0.0, -28.17, -22.26]","[0.0, -28.17, -22.26]","[0.0, -28.17, -22.26]","[None, None, None]","[0.0, -28.17, -22.26]","[None, None, None]","[None, None, None]"
ORMP.TA,"[0.0, -35.17, -37.05]","[0.0, -35.17, -37.05]","[None, None, None]","[0.0, -35.17, -37.05]","[0.0, -35.17, -37.05]","[0.0, -35.17, -37.05]","[0.0, -35.17, -37.05]","[0.0, -35.17, -37.05]","[0.0, -35.17, -37.05]","[0.0, -35.17, -37.05]","[0.0, -35.17, -37.05]","[None, None, None]","[0.0, -35.17, -37.05]","[None, None, None]","[None, None, None]"
ORIN.TA,"[0.0, -6.34, -13.11]","[0.0, -6.34, -13.11]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -6.34, -13.11]","[0.0, -6.34, -13.11]","[0.0, -6.34, -13.11]","[0.0, -6.34, -13.11]","[0.0, -6.34, -13.11]","[None, None, None]","[None, None, None]","[0.0, -6.34, -13.11]","[None, None, None]","[0.0, -6.34, -13.11]"
OVRS.TA,"[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]","[None, None, None]","[None, None, None]","[0.0, 0.36, 5.12]","[0.0, 0.36, 5.12]"
PMNT.TA,"[0.0, -5.32, -12.76]","[0.0, -5.32, -12.76]","[None, None, None]","[0.0, -5.32, -12.76]","[None, None, None]","[0.0, -5.32, -12.76]","[0.0, -5.32, -12.76]","[0.0, -5.32, -12.76]","[0.0, -5.32, -12.76]","[0.0, -5.32, -12.76]","[0.0, -5.32, -12.76]","[None, None, None]","[None, None, None]","[0.0, -5.32, -12.76]","[None, None, None]"
PAZ.TA,"[0.0, 11.44, 4.96]","[None, None, None]","[0.0, 11.44, 4.96]","[0.0, 11.44, 4.96]","[0.0, 11.44, 4.96]","[0.0, 11.44, 4.96]","[0.0, 11.44, 4.96]","[0.0, 11.44, 4.96]","[0.0, 11.44, 4.96]","[0.0, 11.44, 4.96]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 11.44, 4.96]","[0.0, 11.44, 4.96]"
PERI.TA,"[0.0, -10.06, -5.62]","[0.0, -10.06, -5.62]","[None, None, None]","[0.0, -10.06, -5.62]","[0.0, -10.06, -5.62]","[0.0, -10.06, -5.62]","[0.0, -10.06, -5.62]","[0.0, -10.06, -5.62]","[0.0, -10.06, -5.62]","[0.0, -10.06, -5.62]","[0.0, -10.06, -5.62]","[None, None, None]","[0.0, -10.06, -5.62]","[None, None, None]","[None, None, None]"
PLUR.TA,"[None, None, None]","[0.0, -8.27, 2.54]","[None, None, None]","[0.0, -8.27, 2.54]","[0.0, -8.27, 2.54]","[0.0, -8.27, 2.54]","[0.0, -8.27, 2.54]","[0.0, -8.27, 2.54]","[0.0, -8.27, 2.54]","[0.0, -8.27, 2.54]","[0.0, -8.27, 2.54]","[None, None, None]","[0.0, -8.27, 2.54]","[None, None, None]","[0.0, -8.27, 2.54]"
POLI.TA,"[0.0, 1.06, -2.77]","[0.0, 1.06, -2.77]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.06, -2.77]","[0.0, 1.06, -2.77]","[0.0, 1.06, -2.77]","[0.0, 1.06, -2.77]","[0.0, 1.06, -2.77]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRSK.TA,"[0.0, -1.67, -3.59]","[0.0, -1.67, -3.59]","[0.0, -1.67, -3.59]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.67, -3.59]","[0.0, -1.67, -3.59]","[0.0, -1.67, -3.59]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRTC.TA,"[0.0, -8.83, -17.15]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -8.83, -17.15]","[0.0, -8.83, -17.15]","[0.0, -8.83, -17.15]","[0.0, -8.83, -17.15]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RMLI.TA,"[0.0, 3.83, 3.28]","[0.0, 3.83, 3.28]","[0.0, 3.83, 3.28]","[None, None, None]","[0.0, 3.83, 3.28]","[0.0, 3.83, 3.28]","[0.0, 3.83, 3.28]","[0.0, 3.83, 3.28]","[0.0, 3.83, 3.28]","[0.0, 3.83, 3.28]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RANI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.92, -14.28]","[0.0, -4.92, -14.28]","[0.0, -4.92, -14.28]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RPAC.TA,"[0.0, -1.99, 0.01]","[0.0, -1.99, 0.01]","[0.0, -1.99, 0.01]","[0.0, -1.99, 0.01]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.99, 0.01]","[0.0, -1.99, 0.01]","[0.0, -1.99, 0.01]","[0.0, -1.99, 0.01]","[None, None, None]","[0.0, -1.99, 0.01]","[None, None, None]","[None, None, None]"
RATI.TA,"[0.0, 15.23, 26.43]","[0.0, 15.23, 26.43]","[None, None, None]","[None, None, None]","[0.0, 15.23, 26.43]","[0.0, 15.23, 26.43]","[0.0, 15.23, 26.43]","[0.0, 15.23, 26.43]","[0.0, 15.23, 26.43]","[0.0, 15.23, 26.43]","[0.0, 15.23, 26.43]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RAVD.TA,"[0.0, 4.03, -14.56]","[0.0, 4.03, -14.56]","[0.0, 4.03, -14.56]","[0.0, 4.03, -14.56]","[None, None, None]","[0.0, 4.03, -14.56]","[0.0, 4.03, -14.56]","[0.0, 4.03, -14.56]","[0.0, 4.03, -14.56]","[0.0, 4.03, -14.56]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.03, -14.56]"
RVL.TA,"[0.0, 0.93, -12.37]","[0.0, 0.93, -12.37]","[0.0, 0.93, -12.37]","[None, None, None]","[None, None, None]","[0.0, 0.93, -12.37]","[0.0, 0.93, -12.37]","[0.0, 0.93, -12.37]","[0.0, 0.93, -12.37]","[0.0, 0.93, -12.37]","[0.0, 0.93, -12.37]","[0.0, 0.93, -12.37]","[None, None, None]","[None, None, None]","[None, None, None]"
RZR.TA,"[0.0, -14.22, -43.29]","[0.0, -14.22, -43.29]","[0.0, -14.22, -43.29]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -14.22, -43.29]","[0.0, -14.22, -43.29]","[0.0, -14.22, -43.29]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RTLS.TA,"[0.0, 0.48, -20.32]","[0.0, 0.48, -20.32]","[0.0, 0.48, -20.32]","[0.0, 0.48, -20.32]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.48, -20.32]","[0.0, 0.48, -20.32]","[0.0, 0.48, -20.32]","[0.0, 0.48, -20.32]","[0.0, 0.48, -20.32]","[None, None, None]","[None, None, None]","[None, None, None]"
RIMO.TA,"[0.0, 0.68, -3.22]","[0.0, 0.68, -3.22]","[0.0, 0.68, -3.22]","[None, None, None]","[None, None, None]","[0.0, 0.68, -3.22]","[0.0, 0.68, -3.22]","[0.0, 0.68, -3.22]","[0.0, 0.68, -3.22]","[0.0, 0.68, -3.22]","[0.0, 0.68, -3.22]","[None, None, None]","[0.0, 0.68, -3.22]","[None, None, None]","[None, None, None]"
RTEN.TA,"[0.0, -1.84, -3.55]","[0.0, -1.84, -3.55]","[0.0, -1.84, -3.55]","[0.0, -1.84, -3.55]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.84, -3.55]","[0.0, -1.84, -3.55]","[0.0, -1.84, -3.55]","[0.0, -1.84, -3.55]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SCOP.TA,"[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]","[None, None, None]","[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]","[None, None, None]","[0.0, 3.41, 9.35]","[0.0, 3.41, 9.35]"
SLARL.TA,"[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.83, -6.23]","[0.0, 3.83, -6.23]"
SPEN.TA,"[0.0, 1.52, 3.06]","[None, None, None]","[0.0, 1.52, 3.06]","[0.0, 1.52, 3.06]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.52, 3.06]","[0.0, 1.52, 3.06]","[0.0, 1.52, 3.06]","[0.0, 1.52, 3.06]","[0.0, 1.52, 3.06]","[None, None, None]","[0.0, 1.52, 3.06]","[0.0, 1.52, 3.06]"
SHOM.TA,"[None, None, None]","[0.0, -4.35, -4.49]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.35, -4.49]","[0.0, -4.35, -4.49]","[0.0, -4.35, -4.49]","[0.0, -4.35, -4.49]","[0.0, -4.35, -4.49]","[None, None, None]","[None, None, None]","[0.0, -4.35, -4.49]"
SKLN.TA,"[0.0, -8.03, -2.72]","[0.0, -8.03, -2.72]","[None, None, None]","[0.0, -8.03, -2.72]","[None, None, None]","[0.0, -8.03, -2.72]","[0.0, -8.03, -2.72]","[0.0, -8.03, -2.72]","[0.0, -8.03, -2.72]","[0.0, -8.03, -2.72]","[0.0, -8.03, -2.72]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SOLR.TA,"[0.0, -4.26, -1.64]","[None, None, None]","[0.0, -4.26, -1.64]","[None, None, None]","[0.0, -4.26, -1.64]","[0.0, -4.26, -1.64]","[0.0, -4.26, -1.64]","[0.0, -4.26, -1.64]","[0.0, -4.26, -1.64]","[0.0, -4.26, -1.64]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.26, -1.64]"
TDRN.TA,"[0.0, 5.74, 6.7]","[0.0, 5.74, 6.7]","[0.0, 5.74, 6.7]","[0.0, 5.74, 6.7]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 5.74, 6.7]","[0.0, 5.74, 6.7]","[0.0, 5.74, 6.7]","[0.0, 5.74, 6.7]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[0.0, -4.47, 16.72]","[0.0, -4.47, 16.72]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.47, 16.72]","[0.0, -4.47, 16.72]","[0.0, -4.47, 16.72]","[None, None, None]","[None, None, None]","[0.0, -4.47, 16.72]","[None, None, None]","[None, None, None]"
TFRLF.TA,"[0.0, -4.82, -10.06]","[0.0, -4.82, -10.06]","[0.0, -4.82, -10.06]","[0.0, -4.82, -10.06]","[None, None, None]","[0.0, -4.82, -10.06]","[0.0, -4.82, -10.06]","[0.0, -4.82, -10.06]","[0.0, -4.82, -10.06]","[0.0, -4.82, -10.06]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.82, -10.06]","[0.0, -4.82, -10.06]"
TRX.TA,"[0.0, 5.61, -19.66]","[0.0, 5.61, -19.66]","[0.0, 5.61, -19.66]","[0.0, 5.61, -19.66]","[None, None, None]","[0.0, 5.61, -19.66]","[0.0, 5.61, -19.66]","[0.0, 5.61, -19.66]","[0.0, 5.61, -19.66]","[None, None, None]","[0.0, 5.61, -19.66]","[None, None, None]","[None, None, None]","[0.0, 5.61, -19.66]","[None, None, None]"
TEVA.TA,"[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[None, None, None]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]","[0.0, 0.55, 1.65]"
ILCO.TA,"[0.0, 0.14, 12.1]","[0.0, 0.14, 12.1]","[0.0, 0.14, 12.1]","[0.0, 0.14, 12.1]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.14, 12.1]","[0.0, 0.14, 12.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TIGBUR.TA,"[0.0, 6.32, -1.12]","[0.0, 6.32, -1.12]","[0.0, 6.32, -1.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 6.32, -1.12]","[0.0, 6.32, -1.12]","[None, None, None]","[0.0, 6.32, -1.12]","[None, None, None]","[0.0, 6.32, -1.12]","[None, None, None]","[None, None, None]"
TSEM.TA,"[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[None, None, None]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]","[0.0, -4.44, 15.14]"
VRDS.TA,"[0.0, 8.67, 1.6]","[0.0, 8.67, 1.6]","[0.0, 8.67, 1.6]","[0.0, 8.67, 1.6]","[None, None, None]","[0.0, 8.67, 1.6]","[0.0, 8.67, 1.6]","[0.0, 8.67, 1.6]","[0.0, 8.67, 1.6]","[0.0, 8.67, 1.6]","[0.0, 8.67, 1.6]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VTNA.TA,"[None, None, None]","[0.0, -5.85, -7.63]","[0.0, -5.85, -7.63]","[None, None, None]","[None, None, None]","[0.0, -5.85, -7.63]","[0.0, -5.85, -7.63]","[0.0, -5.85, -7.63]","[0.0, -5.85, -7.63]","[0.0, -5.85, -7.63]","[0.0, -5.85, -7.63]","[0.0, -5.85, -7.63]","[None, None, None]","[None, None, None]","[0.0, -5.85, -7.63]"
WATR.TA,"[0.0, -12.02, -20.23]","[0.0, -12.02, -20.23]","[0.0, -12.02, -20.23]","[0.0, -12.02, -20.23]","[0.0, -12.02, -20.23]","[0.0, -12.02, -20.23]","[0.0, -12.02, -20.23]","[0.0, -12.02, -20.23]","[0.0, -12.02, -20.23]","[0.0, -12.02, -20.23]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -12.02, -20.23]"
WLFD.TA,"[0.0, -5.8, 0.13]","[0.0, -5.8, 0.13]","[0.0, -5.8, 0.13]","[0.0, -5.8, 0.13]","[None, None, None]","[0.0, -5.8, 0.13]","[0.0, -5.8, 0.13]","[0.0, -5.8, 0.13]","[0.0, -5.8, 0.13]","[0.0, -5.8, 0.13]","[0.0, -5.8, 0.13]","[None, None, None]","[0.0, -5.8, 0.13]","[None, None, None]","[None, None, None]"
WILC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.44, -3.56]","[None, None, None]","[None, None, None]"
XTLB.TA,"[None, None, None]","[0.0, -4.07, -19.89]","[None, None, None]","[0.0, -4.07, -19.89]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.07, -19.89]","[0.0, -4.07, -19.89]","[0.0, -4.07, -19.89]","[0.0, -4.07, -19.89]","[None, None, None]","[0.0, -4.07, -19.89]","[None, None, None]","[None, None, None]"
