,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
DNYA.TA,"[0.0, 0.72, -7.26]","[0.0, 0.72, -7.26]","[0.0, 0.72, -7.26]","[0.0, 0.72, -7.26]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.72, -7.26]","[0.0, 0.72, -7.26]","[0.0, 0.72, -7.26]","[None, None, None]","[0.0, 0.72, -7.26]","[None, None, None]","[None, None, None]","[None, None, None]"
DLEA.TA,"[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[0.0, 2.75, -4.55]","[None, None, None]","[None, None, None]","[None, None, None]"
DELG.TA,"[0.0, -2.41, -8.92]","[0.0, -2.41, -8.92]","[0.0, -2.41, -8.92]","[0.0, -2.41, -8.92]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -2.41, -8.92]","[0.0, -2.41, -8.92]","[0.0, -2.41, -8.92]","[0.0, -2.41, -8.92]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DIMRI.TA,"[0.0, 4.01, -4.58]","[0.0, 4.01, -4.58]","[0.0, 4.01, -4.58]","[None, None, None]","[None, None, None]","[0.0, 4.01, -4.58]","[0.0, 4.01, -4.58]","[0.0, 4.01, -4.58]","[0.0, 4.01, -4.58]","[0.0, 4.01, -4.58]","[0.0, 4.01, -4.58]","[0.0, 4.01, -4.58]","[None, None, None]","[None, None, None]","[0.0, 4.01, -4.58]"
DIPL.TA,"[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[0.0, 4.66, -1.42]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DSCT.TA,"[0.0, 1.19, -5.56]","[0.0, 1.19, -5.56]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.19, -5.56]","[0.0, 1.19, -5.56]","[0.0, 1.19, -5.56]","[0.0, 1.19, -5.56]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DISI.TA,"[0.0, -4.0, -16.45]","[0.0, -4.0, -16.45]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.0, -16.45]","[0.0, -4.0, -16.45]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DRAL.TA,"[0.0, 5.56, 14.3]","[0.0, 5.56, 14.3]","[0.0, 5.56, 14.3]","[0.0, 5.56, 14.3]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 5.56, 14.3]","[0.0, 5.56, 14.3]","[0.0, 5.56, 14.3]","[0.0, 5.56, 14.3]","[None, None, None]","[0.0, 5.56, 14.3]","[None, None, None]","[None, None, None]"
ELAL.TA,"[0.0, 43.3, 31.86]","[0.0, 43.3, 31.86]","[0.0, 43.3, 31.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 43.3, 31.86]","[0.0, 43.3, 31.86]","[0.0, 43.3, 31.86]","[None, None, None]","[None, None, None]","[0.0, 43.3, 31.86]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]","[0.0, 0.78, 19.67]"
ELTR.TA,"[0.0, -0.92, -3.06]","[0.0, -0.92, -3.06]","[None, None, None]","[0.0, -0.92, -3.06]","[None, None, None]","[0.0, -0.92, -3.06]","[0.0, -0.92, -3.06]","[0.0, -0.92, -3.06]","[0.0, -0.92, -3.06]","[0.0, -0.92, -3.06]","[None, None, None]","[0.0, -0.92, -3.06]","[None, None, None]","[None, None, None]","[0.0, -0.92, -3.06]"
ECP.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELCP.TA,"[0.0, 7.08, 2.25]","[0.0, 7.08, 2.25]","[None, None, None]","[0.0, 7.08, 2.25]","[0.0, 7.08, 2.25]","[0.0, 7.08, 2.25]","[0.0, 7.08, 2.25]","[0.0, 7.08, 2.25]","[0.0, 7.08, 2.25]","[0.0, 7.08, 2.25]","[None, None, None]","[0.0, 7.08, 2.25]","[None, None, None]","[None, None, None]","[0.0, 7.08, 2.25]"
ENRG.TA,"[0.0, -6.96, -9.26]","[0.0, -6.96, -9.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -6.96, -9.26]","[0.0, -6.96, -9.26]","[0.0, -6.96, -9.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLT.TA,"[0.0, -6.01, -6.03]","[None, None, None]","[None, None, None]","[0.0, -6.01, -6.03]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FOX.TA,"[0.0, -0.7, -12.89]","[0.0, -0.7, -12.89]","[0.0, -0.7, -12.89]","[0.0, -0.7, -12.89]","[None, None, None]","[0.0, -0.7, -12.89]","[0.0, -0.7, -12.89]","[0.0, -0.7, -12.89]","[0.0, -0.7, -12.89]","[0.0, -0.7, -12.89]","[0.0, -0.7, -12.89]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -0.7, -12.89]"
GAGR.TA,"[0.0, 5.57, 2.82]","[0.0, 5.57, 2.82]","[0.0, 5.57, 2.82]","[0.0, 5.57, 2.82]","[None, None, None]","[0.0, 5.57, 2.82]","[None, None, None]","[0.0, 5.57, 2.82]","[0.0, 5.57, 2.82]","[0.0, 5.57, 2.82]","[0.0, 5.57, 2.82]","[0.0, 5.57, 2.82]","[0.0, 5.57, 2.82]","[None, None, None]","[None, None, None]"
GVYM.TA,"[0.0, 0.4, -12.19]","[0.0, 0.4, -12.19]","[None, None, None]","[0.0, 0.4, -12.19]","[0.0, 0.4, -12.19]","[0.0, 0.4, -12.19]","[0.0, 0.4, -12.19]","[0.0, 0.4, -12.19]","[0.0, 0.4, -12.19]","[0.0, 0.4, -12.19]","[None, None, None]","[0.0, 0.4, -12.19]","[None, None, None]","[None, None, None]","[None, None, None]"
GNCL.TA,"[0.0, -12.68, -37.47]","[0.0, -12.68, -37.47]","[0.0, -12.68, -37.47]","[None, None, None]","[0.0, -12.68, -37.47]","[0.0, -12.68, -37.47]","[0.0, -12.68, -37.47]","[0.0, -12.68, -37.47]","[0.0, -12.68, -37.47]","[0.0, -12.68, -37.47]","[0.0, -12.68, -37.47]","[None, None, None]","[0.0, -12.68, -37.47]","[None, None, None]","[None, None, None]"
GNRS.TA,"[None, None, None]","[0.0, 3.24, 5.52]","[None, None, None]","[None, None, None]","[0.0, 3.24, 5.52]","[0.0, 3.24, 5.52]","[0.0, 3.24, 5.52]","[0.0, 3.24, 5.52]","[0.0, 3.24, 5.52]","[0.0, 3.24, 5.52]","[0.0, 3.24, 5.52]","[0.0, 3.24, 5.52]","[None, None, None]","[None, None, None]","[None, None, None]"
GILT.TA,"[0.0, -3.12, 0.89]","[0.0, -3.12, 0.89]","[0.0, -3.12, 0.89]","[0.0, -3.12, 0.89]","[None, None, None]","[0.0, -3.12, 0.89]","[None, None, None]","[0.0, -3.12, 0.89]","[0.0, -3.12, 0.89]","[0.0, -3.12, 0.89]","[0.0, -3.12, 0.89]","[None, None, None]","[0.0, -3.12, 0.89]","[None, None, None]","[None, None, None]"
GRIN.TA,"[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]","[None, None, None]","[0.0, -3.3, -6.28]","[0.0, -3.3, -6.28]"
GOLD.TA,"[0.0, -2.68, -0.17]","[0.0, -2.68, -0.17]","[0.0, -2.68, -0.17]","[None, None, None]","[None, None, None]","[0.0, -2.68, -0.17]","[0.0, -2.68, -0.17]","[0.0, -2.68, -0.17]","[0.0, -2.68, -0.17]","[0.0, -2.68, -0.17]","[0.0, -2.68, -0.17]","[0.0, -2.68, -0.17]","[None, None, None]","[None, None, None]","[None, None, None]"
G107.TA,"[0.0, -3.46, -14.04]","[0.0, -3.46, -14.04]","[0.0, -3.46, -14.04]","[0.0, -3.46, -14.04]","[None, None, None]","[0.0, -3.46, -14.04]","[0.0, -3.46, -14.04]","[0.0, -3.46, -14.04]","[0.0, -3.46, -14.04]","[0.0, -3.46, -14.04]","[0.0, -3.46, -14.04]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[0.0, -2.17, -2.97]","[0.0, -2.17, -2.97]","[0.0, -2.17, -2.97]","[0.0, -2.17, -2.97]","[None, None, None]","[0.0, -2.17, -2.97]","[0.0, -2.17, -2.97]","[0.0, -2.17, -2.97]","[0.0, -2.17, -2.97]","[0.0, -2.17, -2.97]","[0.0, -2.17, -2.97]","[None, None, None]","[None, None, None]","[0.0, -2.17, -2.97]","[0.0, -2.17, -2.97]"
