,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,"[0.17, 8.19, 8.61]","[0.17, 8.19, 8.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[-0.65, 10.6, 2.64]","[-0.65, 10.6, 2.64]","[-0.65, 10.6, 2.64]","[-0.65, 10.6, 2.64]","[-0.65, 10.6, 2.64]","[-0.65, 10.6, 2.64]","[-0.65, 10.6, 2.64]","[-0.65, 10.6, 2.64]"
ADGR.TA,"[-0.7, 1.09, -3.95]","[-0.7, 1.09, -3.95]","[-0.7, 1.09, -3.95]","[-0.7, 1.09, -3.95]","[-0.7, 1.09, -3.95]","[-0.7, 1.09, -3.95]","[-0.7, 1.09, -3.95]","[-0.7, 1.09, -3.95]"
ARDM.TA,"[6.52, 3.85, -26.29]","[6.52, 3.85, -26.29]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.64, -2.19, -2.71]","[0.64, -2.19, -2.71]","[0.64, -2.19, -2.71]","[0.64, -2.19, -2.71]","[0.64, -2.19, -2.71]","[0.64, -2.19, -2.71]","[0.64, -2.19, -2.71]","[0.64, -2.19, -2.71]"
AFPR.TA,"[-2.65, -6.34, -2.6]","[-2.65, -6.34, -2.6]","[-2.65, -6.34, -2.6]","[-2.65, -6.34, -2.6]","[-2.65, -6.34, -2.6]","[-2.65, -6.34, -2.6]","[-2.65, -6.34, -2.6]","[-2.65, -6.34, -2.6]"
AFRE.TA,"[-1.97, 0.13, -4.05]","[-1.97, 0.13, -4.05]","[-1.97, 0.13, -4.05]","[-1.97, 0.13, -4.05]","[-1.97, 0.13, -4.05]","[-1.97, 0.13, -4.05]","[-1.97, 0.13, -4.05]","[-1.97, 0.13, -4.05]"
ARPT.TA,"[0.13, -2.5, -5.66]","[0.13, -2.5, -5.66]","[0.13, -2.5, -5.66]","[0.13, -2.5, -5.66]","[0.13, -2.5, -5.66]","[0.13, -2.5, -5.66]","[0.13, -2.5, -5.66]","[0.13, -2.5, -5.66]"
ARTS.TA,"[4947.88, 6105.89, 5445.93]","[4947.88, 6105.89, 5445.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALAR.TA,"[-2.07, 0.94, 4.22]","[-2.07, 0.94, 4.22]","[-2.07, 0.94, 4.22]","[-2.07, 0.94, 4.22]","[-2.07, 0.94, 4.22]","[-2.07, 0.94, 4.22]","[-2.07, 0.94, 4.22]","[-2.07, 0.94, 4.22]"
ALBA.TA,"[-0.02, 0.33, -4.65]","[-0.02, 0.33, -4.65]","[-0.02, 0.33, -4.65]","[-0.02, 0.33, -4.65]","[-0.02, 0.33, -4.65]","[-0.02, 0.33, -4.65]","[-0.02, 0.33, -4.65]","[-0.02, 0.33, -4.65]"
ALLT.TA,"[-0.84, 9.34, 16.38]","[-0.84, 9.34, 16.38]","[-0.84, 9.34, 16.38]","[-0.84, 9.34, 16.38]","[-0.84, 9.34, 16.38]","[-0.84, 9.34, 16.38]","[-0.84, 9.34, 16.38]","[-0.84, 9.34, 16.38]"
ALMA.TA,"[-1.48, 10.15, 1.9]","[-1.48, 10.15, 1.9]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.22, -0.65, 6.76]","[0.22, -0.65, 6.76]","[0.22, -0.65, 6.76]","[0.22, -0.65, 6.76]","[0.22, -0.65, 6.76]","[0.22, -0.65, 6.76]","[0.22, -0.65, 6.76]","[0.22, -0.65, 6.76]"
ALRPR.TA,"[-1.07, -0.01, -7.39]","[-1.07, -0.01, -7.39]","[-1.07, -0.01, -7.39]","[-1.07, -0.01, -7.39]","[-1.07, -0.01, -7.39]","[-1.07, -0.01, -7.39]","[-1.07, -0.01, -7.39]","[-1.07, -0.01, -7.39]"
ALUMA.TA,"[None, None, None]","[2.57, -7.71, -0.56]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[-0.1, -0.4, 5.51]","[-0.1, -0.4, 5.51]","[-0.1, -0.4, 5.51]","[-0.1, -0.4, 5.51]","[-0.1, -0.4, 5.51]","[-0.1, -0.4, 5.51]","[-0.1, -0.4, 5.51]","[None, None, None]"
AMOT.TA,"[-1.1, -3.32, -5.17]","[-1.1, -3.32, -5.17]","[-1.1, -3.32, -5.17]","[-1.1, -3.32, -5.17]","[-1.1, -3.32, -5.17]","[-1.1, -3.32, -5.17]","[-1.1, -3.32, -5.17]","[-1.1, -3.32, -5.17]"
APLP.TA,"[1.07, -7.22, -10.13]","[1.07, -7.22, -10.13]","[1.07, -7.22, -10.13]","[1.07, -7.22, -10.13]","[1.07, -7.22, -10.13]","[1.07, -7.22, -10.13]","[1.07, -7.22, -10.13]","[None, None, None]"
ARD.TA,"[-2.37, -1.78, -3.31]","[-2.37, -1.78, -3.31]","[-2.37, -1.78, -3.31]","[-2.37, -1.78, -3.31]","[-2.37, -1.78, -3.31]","[-2.37, -1.78, -3.31]","[-2.37, -1.78, -3.31]","[-2.37, -1.78, -3.31]"
ARF.TA,"[-3.61, -7.4, -22.86]","[-3.61, -7.4, -22.86]","[-3.61, -7.4, -22.86]","[-3.61, -7.4, -22.86]","[-3.61, -7.4, -22.86]","[-3.61, -7.4, -22.86]","[-3.61, -7.4, -22.86]","[-3.61, -7.4, -22.86]"
ASHO.TA,"[0.16, -0.55, 31.48]","[0.16, -0.55, 31.48]","[0.16, -0.55, 31.48]","[0.16, -0.55, 31.48]","[0.16, -0.55, 31.48]","[0.16, -0.55, 31.48]","[0.16, -0.55, 31.48]","[None, None, None]"
