,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ASHG.TA,"[-1.6, 3.35, -4.72]","[-1.6, 3.35, -4.72]","[-1.6, 3.35, -4.72]","[-1.6, 3.35, -4.72]","[-1.6, 3.35, -4.72]","[-1.6, 3.35, -4.72]","[-1.6, 3.35, -4.72]","[-1.6, 3.35, -4.72]"
ASGR.TA,"[-0.59, -2.15, -12.48]","[-0.59, -2.15, -12.48]","[-0.59, -2.15, -12.48]","[-0.59, -2.15, -12.48]","[-0.59, -2.15, -12.48]","[-0.59, -2.15, -12.48]","[-0.59, -2.15, -12.48]","[-0.59, -2.15, -12.48]"
AUDC.TA,"[-1.12, -5.93, -14.26]","[-1.12, -5.93, -14.26]","[-1.12, -5.93, -14.26]","[-1.12, -5.93, -14.26]","[-1.12, -5.93, -14.26]","[-1.12, -5.93, -14.26]","[-1.12, -5.93, -14.26]","[None, None, None]"
AUSA-M.TA,"[None, None, None]","[0.0, 450.0, 6428.23]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVGL.TA,"[1.54, -1.01, -5.25]","[1.54, -1.01, -5.25]","[1.54, -1.01, -5.25]","[1.54, -1.01, -5.25]","[1.54, -1.01, -5.25]","[1.54, -1.01, -5.25]","[1.54, -1.01, -5.25]","[1.54, -1.01, -5.25]"
AVIA.TA,"[0.71, 3.79, -2.27]","[0.71, 3.79, -2.27]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AILN.TA,"[1.02, -10.02, -14.49]","[1.02, -10.02, -14.49]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[-0.63, -1.63, -1.83]","[-0.63, -1.63, -1.83]","[-0.63, -1.63, -1.83]","[-0.63, -1.63, -1.83]","[-0.63, -1.63, -1.83]","[-0.63, -1.63, -1.83]","[-0.63, -1.63, -1.83]","[-0.63, -1.63, -1.83]"
BCOM.TA,"[1.53, 2.91, -5.73]","[1.53, 2.91, -5.73]","[1.53, 2.91, -5.73]","[1.53, 2.91, -5.73]","[None, None, None]","[1.53, 2.91, -5.73]","[1.53, 2.91, -5.73]","[1.53, 2.91, -5.73]"
BIG.TA,"[-0.69, -0.76, 1.84]","[-0.69, -0.76, 1.84]","[-0.69, -0.76, 1.84]","[-0.69, -0.76, 1.84]","[-0.69, -0.76, 1.84]","[-0.69, -0.76, 1.84]","[-0.69, -0.76, 1.84]","[-0.69, -0.76, 1.84]"
BOLT.TA,"[-2.27, -10.3, -0.42]","[-2.27, -10.3, -0.42]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BLITZ-M.TA,"[None, None, None]","[-4.83, -16.87, -13.43]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BLSR.TA,"[0.77, 6.75, 5.7]","[0.77, 6.75, 5.7]","[0.77, 6.75, 5.7]","[0.77, 6.75, 5.7]","[0.77, 6.75, 5.7]","[0.77, 6.75, 5.7]","[0.77, 6.75, 5.7]","[0.77, 6.75, 5.7]"
BONS.TA,"[-1.44, -5.67, -17.12]","[-1.44, -5.67, -17.12]","[None, None, None]","[-1.44, -5.67, -17.12]","[None, None, None]","[-1.44, -5.67, -17.12]","[-1.44, -5.67, -17.12]","[None, None, None]"
BWAY.TA,"[-2.26, 9.76, 23.75]","[-2.26, 9.76, 23.75]","[-2.26, 9.76, 23.75]","[-2.26, 9.76, 23.75]","[-2.26, 9.76, 23.75]","[-2.26, 9.76, 23.75]","[-2.26, 9.76, 23.75]","[None, None, None]"
BLGO.TA,"[-0.01, -0.64, 6.08]","[-0.01, -0.64, 6.08]","[-0.01, -0.64, 6.08]","[-0.01, -0.64, 6.08]","[None, None, None]","[-0.01, -0.64, 6.08]","[-0.01, -0.64, 6.08]","[None, None, None]"
CLAB.TA,"[-1.0, -15.15, -15.83]","[-1.0, -15.15, -15.83]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[-0.27, -9.82, 6.98]","[-0.27, -9.82, 6.98]","[-0.27, -9.82, 6.98]","[-0.27, -9.82, 6.98]","[-0.27, -9.82, 6.98]","[-0.27, -9.82, 6.98]","[-0.27, -9.82, 6.98]","[-0.27, -9.82, 6.98]"
CPTP.TA,"[0.0, -4.36, -7.92]","[0.0, -4.36, -7.92]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[2.86, 6.94, 6.67]","[2.86, 6.94, 6.67]","[2.86, 6.94, 6.67]","[2.86, 6.94, 6.67]","[2.86, 6.94, 6.67]","[2.86, 6.94, 6.67]","[2.86, 6.94, 6.67]","[2.86, 6.94, 6.67]"
CRSR.TA,"[0.49, -4.8, -1.69]","[0.49, -4.8, -1.69]","[0.49, -4.8, -1.69]","[0.49, -4.8, -1.69]","[0.49, -4.8, -1.69]","[0.49, -4.8, -1.69]","[0.49, -4.8, -1.69]","[0.49, -4.8, -1.69]"
CRML.TA,"[0.73, -0.34, -6.67]","[0.73, -0.34, -6.67]","[0.73, -0.34, -6.67]","[0.73, -0.34, -6.67]","[0.73, -0.34, -6.67]","[0.73, -0.34, -6.67]","[0.73, -0.34, -6.67]","[0.73, -0.34, -6.67]"
CRMT.TA,"[0.0, 0.38, -58.69]","[0.0, 0.38, -58.69]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[-0.17, 6.22, 19.1]","[-0.17, 6.22, 19.1]","[-0.17, 6.22, 19.1]","[-0.17, 6.22, 19.1]","[-0.17, 6.22, 19.1]","[-0.17, 6.22, 19.1]","[-0.17, 6.22, 19.1]","[-0.17, 6.22, 19.1]"
CEL.TA,"[-1.01, 5.02, 6.03]","[-1.01, 5.02, 6.03]","[-1.01, 5.02, 6.03]","[-1.01, 5.02, 6.03]","[-1.01, 5.02, 6.03]","[-1.01, 5.02, 6.03]","[-1.01, 5.02, 6.03]","[-1.01, 5.02, 6.03]"
CPIA.TA,"[None, None, None]","[-0.35, 3.1, -5.29]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CBI.TA,"[1.02, 21.56, 0.7]","[1.02, 21.56, 0.7]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[-0.43, 3.52, -3.05]","[-0.43, 3.52, -3.05]","[-0.43, 3.52, -3.05]","[-0.43, 3.52, -3.05]","[None, None, None]","[None, None, None]","[-0.43, 3.52, -3.05]","[None, None, None]"
CFX.TA,"[-0.5, -10.31, -10.37]","[-0.5, -10.31, -10.37]","[-0.5, -10.31, -10.37]","[-0.5, -10.31, -10.37]","[-0.5, -10.31, -10.37]","[-0.5, -10.31, -10.37]","[-0.5, -10.31, -10.37]","[-0.5, -10.31, -10.37]"
CGEN.TA,"[0.69, -11.59, -14.14]","[0.69, -11.59, -14.14]","[0.69, -11.59, -14.14]","[0.69, -11.59, -14.14]","[0.69, -11.59, -14.14]","[0.69, -11.59, -14.14]","[0.69, -11.59, -14.14]","[None, None, None]"
DANH.TA,"[0.0, 1.5, 1.49]","[0.0, 1.5, 1.49]","[0.0, 1.5, 1.49]","[0.0, 1.5, 1.49]","[0.0, 1.5, 1.49]","[0.0, 1.5, 1.49]","[0.0, 1.5, 1.49]","[0.0, 1.5, 1.49]"
DNYA.TA,"[-2.78, -1.1, -8.99]","[-2.78, -1.1, -8.99]","[-2.78, -1.1, -8.99]","[-2.78, -1.1, -8.99]","[-2.78, -1.1, -8.99]","[-2.78, -1.1, -8.99]","[-2.78, -1.1, -8.99]","[None, None, None]"
DLEKG.TA,"[0.04, -4.02, -7.73]","[0.04, -4.02, -7.73]","[0.04, -4.02, -7.73]","[0.04, -4.02, -7.73]","[0.04, -4.02, -7.73]","[0.04, -4.02, -7.73]","[0.04, -4.02, -7.73]","[0.04, -4.02, -7.73]"
DLTI.TA,"[-2.13, -4.26, 1.25]","[-2.13, -4.26, 1.25]","[-2.13, -4.26, 1.25]","[-2.13, -4.26, 1.25]","[-2.13, -4.26, 1.25]","[-2.13, -4.26, 1.25]","[-2.13, -4.26, 1.25]","[None, None, None]"
DELG.TA,"[0.99, 4.39, 1.98]","[0.99, 4.39, 1.98]","[0.99, 4.39, 1.98]","[0.99, 4.39, 1.98]","[0.99, 4.39, 1.98]","[0.99, 4.39, 1.98]","[0.99, 4.39, 1.98]","[0.99, 4.39, 1.98]"
DIPL.TA,"[0.04, -0.83, -4.39]","[0.04, -0.83, -4.39]","[0.04, -0.83, -4.39]","[0.04, -0.83, -4.39]","[0.04, -0.83, -4.39]","[0.04, -0.83, -4.39]","[0.04, -0.83, -4.39]","[0.04, -0.83, -4.39]"
DISI.TA,"[3.37, 7.84, -0.69]","[3.37, 7.84, -0.69]","[3.37, 7.84, -0.69]","[3.37, 7.84, -0.69]","[3.37, 7.84, -0.69]","[3.37, 7.84, -0.69]","[3.37, 7.84, -0.69]","[3.37, 7.84, -0.69]"
DRSH.TA,"[0.51, 2.52, 3.42]","[0.51, 2.52, 3.42]","[0.51, 2.52, 3.42]","[0.51, 2.52, 3.42]","[None, None, None]","[0.51, 2.52, 3.42]","[0.51, 2.52, 3.42]","[0.51, 2.52, 3.42]"
ELAL.TA,"[-1.85, 9.54, 13.45]","[-1.85, 9.54, 13.45]","[-1.85, 9.54, 13.45]","[-1.85, 9.54, 13.45]","[-1.85, 9.54, 13.45]","[-1.85, 9.54, 13.45]","[-1.85, 9.54, 13.45]","[-1.85, 9.54, 13.45]"
ESLT.TA,"[-0.03, -0.04, -2.52]","[-0.03, -0.04, -2.52]","[-0.03, -0.04, -2.52]","[-0.03, -0.04, -2.52]","[-0.03, -0.04, -2.52]","[-0.03, -0.04, -2.52]","[-0.03, -0.04, -2.52]","[-0.03, -0.04, -2.52]"
ELCO.TA,"[-2.86, -3.58, -10.45]","[-2.86, -3.58, -10.45]","[-2.86, -3.58, -10.45]","[-2.86, -3.58, -10.45]","[-2.86, -3.58, -10.45]","[-2.86, -3.58, -10.45]","[-2.86, -3.58, -10.45]","[-2.86, -3.58, -10.45]"
ELDAV-M.TA,"[1.34, 2.21, 10.66]","[1.34, 2.21, 10.66]","[1.34, 2.21, 10.66]","[1.34, 2.21, 10.66]","[1.34, 2.21, 10.66]","[1.34, 2.21, 10.66]","[1.34, 2.21, 10.66]","[1.34, 2.21, 10.66]"
ECP.TA,"[-1.49, -2.59, -7.26]","[-1.49, -2.59, -7.26]","[-1.49, -2.59, -7.26]","[-1.49, -2.59, -7.26]","[-1.49, -2.59, -7.26]","[-1.49, -2.59, -7.26]","[-1.49, -2.59, -7.26]","[-1.49, -2.59, -7.26]"
ELCRE.TA,"[-3.25, 2.99, 4.55]","[-3.25, 2.99, 4.55]","[-3.25, 2.99, 4.55]","[-3.25, 2.99, 4.55]","[-3.25, 2.99, 4.55]","[-3.25, 2.99, 4.55]","[-3.25, 2.99, 4.55]","[-3.25, 2.99, 4.55]"
ELWS.TA,"[-5.03, 8.35, 3.14]","[-5.03, 8.35, 3.14]","[-5.03, 8.35, 3.14]","[-5.03, 8.35, 3.14]","[-5.03, 8.35, 3.14]","[-5.03, 8.35, 3.14]","[-5.03, 8.35, 3.14]","[None, None, None]"
ELLO.TA,"[0.42, -0.04, -12.63]","[0.42, -0.04, -12.63]","[0.42, -0.04, -12.63]","[0.42, -0.04, -12.63]","[0.42, -0.04, -12.63]","[0.42, -0.04, -12.63]","[0.42, -0.04, -12.63]","[0.42, -0.04, -12.63]"
ELSPC.TA,"[-0.47, 8.56, -0.47]","[-0.47, 8.56, -0.47]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[1.99, 3.1, -5.49]","[1.99, 3.1, -5.49]","[1.99, 3.1, -5.49]","[1.99, 3.1, -5.49]","[1.99, 3.1, -5.49]","[1.99, 3.1, -5.49]","[1.99, 3.1, -5.49]","[1.99, 3.1, -5.49]"
ENLV.TA,"[3.24, -27.83, -26.71]","[3.24, -27.83, -26.71]","[None, None, None]","[3.24, -27.83, -26.71]","[None, None, None]","[3.24, -27.83, -26.71]","[3.24, -27.83, -26.71]","[None, None, None]"
EPIT.TA,"[0.14, -5.72, 105.08]","[0.14, -5.72, 105.08]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
EQTL.TA,"[0.31, -5.0, 0.88]","[0.31, -5.0, 0.88]","[0.31, -5.0, 0.88]","[0.31, -5.0, 0.88]","[0.31, -5.0, 0.88]","[0.31, -5.0, 0.88]","[0.31, -5.0, 0.88]","[0.31, -5.0, 0.88]"
EVGN.TA,"[0.13, -15.71, -38.06]","[0.13, -15.71, -38.06]","[0.13, -15.71, -38.06]","[0.13, -15.71, -38.06]","[0.13, -15.71, -38.06]","[0.13, -15.71, -38.06]","[0.13, -15.71, -38.06]","[0.13, -15.71, -38.06]"
FTAL.TA,"[-1.48, -1.18, -7.73]","[-1.48, -1.18, -7.73]","[-1.48, -1.18, -7.73]","[-1.48, -1.18, -7.73]","[-1.48, -1.18, -7.73]","[-1.48, -1.18, -7.73]","[-1.48, -1.18, -7.73]","[-1.48, -1.18, -7.73]"
FLYS.TA,"[-1.76, -12.55, -3.67]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FBRT.TA,"[0.12, -3.31, -11.94]","[0.12, -3.31, -11.94]","[0.12, -3.31, -11.94]","[0.12, -3.31, -11.94]","[0.12, -3.31, -11.94]","[0.12, -3.31, -11.94]","[0.12, -3.31, -11.94]","[None, None, None]"
FRSX.TA,"[0.89, -0.41, -17.12]","[0.89, -0.41, -17.12]","[0.89, -0.41, -17.12]","[0.89, -0.41, -17.12]","[0.89, -0.41, -17.12]","[0.89, -0.41, -17.12]","[0.89, -0.41, -17.12]","[None, None, None]"
FORTY.TA,"[-0.65, 0.66, -1.84]","[-0.65, 0.66, -1.84]","[-0.65, 0.66, -1.84]","[-0.65, 0.66, -1.84]","[-0.65, 0.66, -1.84]","[-0.65, 0.66, -1.84]","[-0.65, 0.66, -1.84]","[-0.65, 0.66, -1.84]"
GCT.TA,"[1.23, 6.9, 11.63]","[1.23, 6.9, 11.63]","[1.23, 6.9, 11.63]","[1.23, 6.9, 11.63]","[1.23, 6.9, 11.63]","[1.23, 6.9, 11.63]","[1.23, 6.9, 11.63]","[1.23, 6.9, 11.63]"
GVYM.TA,"[-1.18, 2.32, 5.34]","[-1.18, 2.32, 5.34]","[-1.18, 2.32, 5.34]","[-1.18, 2.32, 5.34]","[-1.18, 2.32, 5.34]","[-1.18, 2.32, 5.34]","[-1.18, 2.32, 5.34]","[-1.18, 2.32, 5.34]"
GEFR.TA,"[2.43, 14.67, 11.78]","[2.43, 14.67, 11.78]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNCL.TA,"[0.68, -17.89, -29.66]","[0.68, -17.89, -29.66]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNRS.TA,"[0.12, -4.05, -0.18]","[0.12, -4.05, -0.18]","[0.12, -4.05, -0.18]","[0.12, -4.05, -0.18]","[0.12, -4.05, -0.18]","[0.12, -4.05, -0.18]","[0.12, -4.05, -0.18]","[0.12, -4.05, -0.18]"
GILT.TA,"[0.09, -3.12, -3.52]","[0.09, -3.12, -3.52]","[0.09, -3.12, -3.52]","[0.09, -3.12, -3.52]","[0.09, -3.12, -3.52]","[0.09, -3.12, -3.52]","[0.09, -3.12, -3.52]","[0.09, -3.12, -3.52]"
GLTL.TA,"[0.28, 2.39, -4.76]","[0.28, 2.39, -4.76]","[0.28, 2.39, -4.76]","[0.28, 2.39, -4.76]","[0.28, 2.39, -4.76]","[0.28, 2.39, -4.76]","[0.28, 2.39, -4.76]","[0.28, 2.39, -4.76]"
GKL.TA,"[0.19, 7.54, 5.94]","[0.19, 7.54, 5.94]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GLRS.TA,"[1.39, 2.75, 1.18]","[1.39, 2.75, 1.18]","[1.39, 2.75, 1.18]","[1.39, 2.75, 1.18]","[1.39, 2.75, 1.18]","[1.39, 2.75, 1.18]","[1.39, 2.75, 1.18]","[1.39, 2.75, 1.18]"
GOHO.TA,"[4.49, 14.7, 0.68]","[4.49, 14.7, 0.68]","[4.49, 14.7, 0.68]","[4.49, 14.7, 0.68]","[4.49, 14.7, 0.68]","[4.49, 14.7, 0.68]","[4.49, 14.7, 0.68]","[4.49, 14.7, 0.68]"
GRAC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
G107.TA,"[-2.07, -4.82, 22.64]","[-2.07, -4.82, 22.64]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HGG.TA,"[4.12, 0.66, -3.7]","[4.12, 0.66, -3.7]","[4.12, 0.66, -3.7]","[4.12, 0.66, -3.7]","[4.12, 0.66, -3.7]","[4.12, 0.66, -3.7]","[4.12, 0.66, -3.7]","[4.12, 0.66, -3.7]"
MSBI.TA,"[-0.67, 4.82, 15.56]","[-0.67, 4.82, 15.56]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[-1.16, 2.28, -0.51]","[-1.16, 2.28, -0.51]","[-1.16, 2.28, -0.51]","[-1.16, 2.28, -0.51]","[-1.16, 2.28, -0.51]","[-1.16, 2.28, -0.51]","[-1.16, 2.28, -0.51]","[-1.16, 2.28, -0.51]"
HICN.TA,"[-4.07, -8.55, -8.55]","[-4.07, -8.55, -8.55]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[-1.24, -3.79, -9.75]","[-1.24, -3.79, -9.75]","[-1.24, -3.79, -9.75]","[-1.24, -3.79, -9.75]","[-1.24, -3.79, -9.75]","[-1.24, -3.79, -9.75]","[-1.24, -3.79, -9.75]","[-1.24, -3.79, -9.75]"
HIPR.TA,"[-0.51, -7.19, -13.37]","[-0.51, -7.19, -13.37]","[-0.51, -7.19, -13.37]","[-0.51, -7.19, -13.37]","[-0.51, -7.19, -13.37]","[-0.51, -7.19, -13.37]","[-0.51, -7.19, -13.37]","[-0.51, -7.19, -13.37]"
HIVE.TA,"[None, None, None]","[0.0, 0.0, 0.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLMS.TA,"[-2.04, -2.4, -2.27]","[-2.04, -2.4, -2.27]","[-2.04, -2.4, -2.27]","[-2.04, -2.4, -2.27]","[-2.04, -2.4, -2.27]","[-2.04, -2.4, -2.27]","[-2.04, -2.4, -2.27]","[-2.04, -2.4, -2.27]"
HMGS.TA,"[-1.5, -16.94, -46.2]","[-1.5, -16.94, -46.2]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HUMX.TA,"[1.55, -9.29, 0.23]","[1.55, -9.29, 0.23]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ICON.TA,"[1.36, 1.35, -7.72]","[1.36, 1.35, -7.72]","[1.36, 1.35, -7.72]","[1.36, 1.35, -7.72]","[1.36, 1.35, -7.72]","[1.36, 1.35, -7.72]","[1.36, 1.35, -7.72]","[None, None, None]"
IDNT.TA,"[-6.57, 83.78, -5.37]","[-6.57, 83.78, -5.37]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
IDMO.TA,"[4.35, -8.95, -25.55]","[4.35, -8.95, -25.55]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ILX.TA,"[0.05, 3.97, -2.26]","[0.05, 3.97, -2.26]","[0.05, 3.97, -2.26]","[0.05, 3.97, -2.26]","[0.05, 3.97, -2.26]","[0.05, 3.97, -2.26]","[0.05, 3.97, -2.26]","[0.05, 3.97, -2.26]"
INRM.TA,"[-0.61, 5.97, 3.26]","[-0.61, 5.97, 3.26]","[-0.61, 5.97, 3.26]","[-0.61, 5.97, 3.26]","[-0.61, 5.97, 3.26]","[-0.61, 5.97, 3.26]","[-0.61, 5.97, 3.26]","[-0.61, 5.97, 3.26]"
INCR.TA,"[-0.57, 3.33, -13.96]","[-0.57, 3.33, -13.96]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISHI.TA,"[-0.4, 1.86, -5.51]","[-0.4, 1.86, -5.51]","[-0.4, 1.86, -5.51]","[-0.4, 1.86, -5.51]","[-0.4, 1.86, -5.51]","[-0.4, 1.86, -5.51]","[-0.4, 1.86, -5.51]","[-0.4, 1.86, -5.51]"
ISRG.TA,"[-1.52, -2.11, 0.92]","[-1.52, -2.11, 0.92]","[-1.52, -2.11, 0.92]","[-1.52, -2.11, 0.92]","[-1.52, -2.11, 0.92]","[-1.52, -2.11, 0.92]","[-1.52, -2.11, 0.92]","[-1.52, -2.11, 0.92]"
ISRO.TA,"[-1.9, -2.48, -10.85]","[-1.9, -2.48, -10.85]","[-1.9, -2.48, -10.85]","[-1.9, -2.48, -10.85]","[-1.9, -2.48, -10.85]","[-1.9, -2.48, -10.85]","[-1.9, -2.48, -10.85]","[-1.9, -2.48, -10.85]"
