,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Short-Term Debt,Number of Outstanding Shares
BONS.TA,"[None, None, None]","[None, None, None]","[0.0, -3.97, 2.5]","[None, None, None]","[None, None, None]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BCNV-M.TA,"[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[None, None, None]","[None, None, None]","[0.0, -11.19, -20.27]","[None, None, None]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[None, None, None]","[0.0, -11.19, -20.27]","[None, None, None]"
BLGO.TA,"[None, None, None]","[0.0, -6.36, -4.88]","[0.0, -6.36, -4.88]","[None, None, None]","[None, None, None]","[0.0, -6.36, -4.88]","[0.0, -6.36, -4.88]","[0.0, -6.36, -4.88]","[0.0, -6.36, -4.88]","[0.0, -6.36, -4.88]","[0.0, -6.36, -4.88]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CISY.TA,"[0.0, 4.75, 9.84]","[0.0, 4.75, 9.84]","[0.0, 4.75, 9.84]","[0.0, 4.75, 9.84]","[0.0, 4.75, 9.84]","[None, None, None]","[0.0, 4.75, 9.84]","[0.0, 4.75, 9.84]","[0.0, 4.75, 9.84]","[0.0, 4.75, 9.84]","[0.0, 4.75, 9.84]","[None, None, None]","[0.0, 4.75, 9.84]","[None, None, None]","[None, None, None]"
CANF.TA,"[0.0, -15.97, -17.02]","[0.0, -15.97, -17.02]","[None, None, None]","[None, None, None]","[0.0, -15.97, -17.02]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -15.97, -17.02]","[0.0, -15.97, -17.02]","[0.0, -15.97, -17.02]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -15.97, -17.02]"
CRML.TA,"[0.0, -1.97, -13.19]","[0.0, -1.97, -13.19]","[None, None, None]","[0.0, -1.97, -13.19]","[0.0, -1.97, -13.19]","[None, None, None]","[0.0, -1.97, -13.19]","[0.0, -1.97, -13.19]","[0.0, -1.97, -13.19]","[0.0, -1.97, -13.19]","[0.0, -1.97, -13.19]","[0.0, -1.97, -13.19]","[None, None, None]","[0.0, -1.97, -13.19]","[None, None, None]"
CAST.TA,"[None, None, None]","[None, None, None]","[0.0, -5.25, 4.46]","[0.0, -5.25, 4.46]","[0.0, -5.25, 4.46]","[None, None, None]","[0.0, -5.25, 4.46]","[0.0, -5.25, 4.46]","[0.0, -5.25, 4.46]","[0.0, -5.25, 4.46]","[0.0, -5.25, 4.46]","[0.0, -5.25, 4.46]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[0.0, -13.76, 1.62]","[0.0, -13.76, 1.62]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -13.76, 1.62]","[0.0, -13.76, 1.62]","[0.0, -13.76, 1.62]","[0.0, -13.76, 1.62]","[None, None, None]","[None, None, None]","[None, None, None]"
CDEV.TA,"[0.0, -9.84, 13.21]","[0.0, -9.84, 13.21]","[0.0, -9.84, 13.21]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -9.84, 13.21]","[0.0, -9.84, 13.21]","[0.0, -9.84, 13.21]","[0.0, -9.84, 13.21]","[0.0, -9.84, 13.21]","[None, None, None]","[0.0, -9.84, 13.21]","[None, None, None]","[None, None, None]"
DANE.TA,"[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[None, None, None]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[0.0, -3.79, 6.66]","[None, None, None]"
DSCT.TA,"[None, None, None]","[0.0, -5.87, -0.38]","[0.0, -5.87, -0.38]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -5.87, -0.38]","[None, None, None]","[0.0, -5.87, -0.38]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DISI.TA,"[None, None, None]","[0.0, 4.14, 2.17]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.14, 2.17]","[None, None, None]","[0.0, 4.14, 2.17]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DUNI.TA,"[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[0.0, -7.12, 3.48]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ECNR.TA,"[None, None, None]","[0.0, 6.07, 27.38]","[None, None, None]","[None, None, None]","[0.0, 6.07, 27.38]","[0.0, 6.07, 27.38]","[0.0, 6.07, 27.38]","[0.0, 6.07, 27.38]","[0.0, 6.07, 27.38]","[0.0, 6.07, 27.38]","[0.0, 6.07, 27.38]","[0.0, 6.07, 27.38]","[None, None, None]","[None, None, None]","[None, None, None]"
