,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
GOHO.TA,"[-0.29, -2.11, 19.45]","[-0.29, -2.11, 19.45]","[None, None, None]","[-0.29, -2.11, 19.45]","[-0.29, -2.11, 19.45]","[None, None, None]","[-0.29, -2.11, 19.45]","[-0.29, -2.11, 19.45]","[-0.29, -2.11, 19.45]","[-0.29, -2.11, 19.45]","[-0.29, -2.11, 19.45]","[-0.29, -2.11, 19.45]","[None, None, None]","[None, None, None]","[None, None, None]"
GOLF.TA,"[0.21, 2.04, 63.62]","[0.21, 2.04, 63.62]","[0.21, 2.04, 63.62]","[0.21, 2.04, 63.62]","[0.21, 2.04, 63.62]","[None, None, None]","[0.21, 2.04, 63.62]","[0.21, 2.04, 63.62]","[0.21, 2.04, 63.62]","[0.21, 2.04, 63.62]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MSBI.TA,"[-1.44, -5.52, -1.04]","[-1.44, -5.52, -1.04]","[None, None, None]","[-1.44, -5.52, -1.04]","[-1.44, -5.52, -1.04]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.44, -5.52, -1.04]","[-1.44, -5.52, -1.04]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[0.0, -5.6, 11.16]","[None, None, None]","[None, None, None]","[None, None, None]"
HARL.TA,"[2.21, 6.05, 24.15]","[2.21, 6.05, 24.15]","[None, None, None]","[None, None, None]","[None, None, None]","[2.21, 6.05, 24.15]","[None, None, None]","[None, None, None]","[2.21, 6.05, 24.15]","[2.21, 6.05, 24.15]","[2.21, 6.05, 24.15]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[-0.3, 0.64, 4.31]","[-0.3, 0.64, 4.31]","[None, None, None]","[-0.3, 0.64, 4.31]","[-0.3, 0.64, 4.31]","[None, None, None]","[-0.3, 0.64, 4.31]","[-0.3, 0.64, 4.31]","[-0.3, 0.64, 4.31]","[-0.3, 0.64, 4.31]","[-0.3, 0.64, 4.31]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HRON.TA,"[-2.5, -7.4, -2.54]","[-2.5, -7.4, -2.54]","[-2.5, -7.4, -2.54]","[None, None, None]","[None, None, None]","[None, None, None]","[-2.5, -7.4, -2.54]","[-2.5, -7.4, -2.54]","[-2.5, -7.4, -2.54]","[-2.5, -7.4, -2.54]","[-2.5, -7.4, -2.54]","[None, None, None]","[-2.5, -7.4, -2.54]","[None, None, None]","[-2.5, -7.4, -2.54]"
ICL.TA,"[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]","[3.63, 5.21, 24.75]"
IDIN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.53, 1.1, 21.2]","[0.53, 1.1, 21.2]","[0.53, 1.1, 21.2]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
INRM.TA,"[-0.18, -2.9, 8.67]","[-0.18, -2.9, 8.67]","[-0.18, -2.9, 8.67]","[-0.18, -2.9, 8.67]","[-0.18, -2.9, 8.67]","[None, None, None]","[-0.18, -2.9, 8.67]","[-0.18, -2.9, 8.67]","[-0.18, -2.9, 8.67]","[-0.18, -2.9, 8.67]","[-0.18, -2.9, 8.67]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
