,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
ORBI.TA,"[0.98, 13.12, 30.92]","[0.98, 13.12, 30.92]","[None, None, None]","[0.98, 13.12, 30.92]","[0.98, 13.12, 30.92]","[0.98, 13.12, 30.92]","[0.98, 13.12, 30.92]","[0.98, 13.12, 30.92]","[0.98, 13.12, 30.92]","[0.98, 13.12, 30.92]","[0.98, 13.12, 30.92]","[0.98, 13.12, 30.92]","[None, None, None]","[None, None, None]","[None, None, None]"
ORIN.TA,"[0.32, 0.1, 14.56]","[0.32, 0.1, 14.56]","[0.32, 0.1, 14.56]","[0.32, 0.1, 14.56]","[0.32, 0.1, 14.56]","[None, None, None]","[0.32, 0.1, 14.56]","[0.32, 0.1, 14.56]","[0.32, 0.1, 14.56]","[0.32, 0.1, 14.56]","[0.32, 0.1, 14.56]","[None, None, None]","[None, None, None]","[0.32, 0.1, 14.56]","[None, None, None]"
ORA.TA,"[-0.05, 24.73, 16.3]","[-0.05, 24.73, 16.3]","[-0.05, 24.73, 16.3]","[-0.05, 24.73, 16.3]","[-0.05, 24.73, 16.3]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.05, 24.73, 16.3]","[-0.05, 24.73, 16.3]","[-0.05, 24.73, 16.3]","[-0.05, 24.73, 16.3]","[None, None, None]","[-0.05, 24.73, 16.3]","[-0.05, 24.73, 16.3]"
OVRS.TA,"[-0.62, 4.5, 22.29]","[-0.62, 4.5, 22.29]","[-0.62, 4.5, 22.29]","[-0.62, 4.5, 22.29]","[None, None, None]","[None, None, None]","[-0.62, 4.5, 22.29]","[-0.62, 4.5, 22.29]","[-0.62, 4.5, 22.29]","[-0.62, 4.5, 22.29]","[-0.62, 4.5, 22.29]","[-0.62, 4.5, 22.29]","[None, None, None]","[None, None, None]","[-0.62, 4.5, 22.29]"
PLRM.TA,"[1.78, 3.27, 5.79]","[1.78, 3.27, 5.79]","[1.78, 3.27, 5.79]","[1.78, 3.27, 5.79]","[1.78, 3.27, 5.79]","[None, None, None]","[1.78, 3.27, 5.79]","[1.78, 3.27, 5.79]","[1.78, 3.27, 5.79]","[1.78, 3.27, 5.79]","[1.78, 3.27, 5.79]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PTNR.TA,"[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[-0.63, -5.71, 10.69]","[None, None, None]","[None, None, None]","[-0.63, -5.71, 10.69]"
PAYT.TA,"[-1.0, -1.45, 0.43]","[-1.0, -1.45, 0.43]","[-1.0, -1.45, 0.43]","[-1.0, -1.45, 0.43]","[-1.0, -1.45, 0.43]","[None, None, None]","[-1.0, -1.45, 0.43]","[None, None, None]","[-1.0, -1.45, 0.43]","[-1.0, -1.45, 0.43]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PAZ.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.8, 5.45, 6.81]","[0.8, 5.45, 6.81]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8, 5.45, 6.81]","[0.8, 5.45, 6.81]","[0.8, 5.45, 6.81]","[None, None, None]","[0.8, 5.45, 6.81]","[None, None, None]","[None, None, None]"
PHOE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.95, 9.78, 35.56]","[1.95, 9.78, 35.56]","[1.95, 9.78, 35.56]","[1.95, 9.78, 35.56]","[None, None, None]","[None, None, None]","[None, None, None]"
PLSN.TA,"[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[None, None, None]","[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[-0.7, 6.31, 1.83]","[None, None, None]","[None, None, None]"
PLUR.TA,"[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[-0.78, -3.27, -35.12]","[None, None, None]","[None, None, None]","[-0.78, -3.27, -35.12]","[None, None, None]"
POLI.TA,"[1.09, 7.82, 19.51]","[1.09, 7.82, 19.51]","[1.09, 7.82, 19.51]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.09, 7.82, 19.51]","[1.09, 7.82, 19.51]","[1.09, 7.82, 19.51]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRTC.TA,"[1.16, 11.14, 26.65]","[1.16, 11.14, 26.65]","[1.16, 11.14, 26.65]","[None, None, None]","[None, None, None]","[None, None, None]","[1.16, 11.14, 26.65]","[1.16, 11.14, 26.65]","[1.16, 11.14, 26.65]","[1.16, 11.14, 26.65]","[1.16, 11.14, 26.65]","[None, None, None]","[None, None, None]","[None, None, None]","[1.16, 11.14, 26.65]"
RMLI.TA,"[-0.78, -4.29, -4.21]","[-0.78, -4.29, -4.21]","[None, None, None]","[-0.78, -4.29, -4.21]","[-0.78, -4.29, -4.21]","[-0.78, -4.29, -4.21]","[-0.78, -4.29, -4.21]","[-0.78, -4.29, -4.21]","[-0.78, -4.29, -4.21]","[-0.78, -4.29, -4.21]","[-0.78, -4.29, -4.21]","[None, None, None]","[-0.78, -4.29, -4.21]","[None, None, None]","[-0.78, -4.29, -4.21]"
RAVD.TA,"[-0.51, -0.05, 12.54]","[-0.51, -0.05, 12.54]","[None, None, None]","[-0.51, -0.05, 12.54]","[-0.51, -0.05, 12.54]","[None, None, None]","[-0.51, -0.05, 12.54]","[-0.51, -0.05, 12.54]","[-0.51, -0.05, 12.54]","[-0.51, -0.05, 12.54]","[-0.51, -0.05, 12.54]","[-0.51, -0.05, 12.54]","[None, None, None]","[None, None, None]","[-0.51, -0.05, 12.54]"
RVL.TA,"[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]","[None, None, None]","[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]","[None, None, None]","[-1.65, 3.49, 23.86]","[-1.65, 3.49, 23.86]"
RIT1.TA,"[-0.36, -1.08, 11.08]","[None, None, None]","[-0.36, -1.08, 11.08]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.36, -1.08, 11.08]","[-0.36, -1.08, 11.08]","[-0.36, -1.08, 11.08]","[None, None, None]","[None, None, None]","[-0.36, -1.08, 11.08]","[None, None, None]"
REKA.TA,"[1.11, 0.9, -0.28]","[1.11, 0.9, -0.28]","[1.11, 0.9, -0.28]","[1.11, 0.9, -0.28]","[1.11, 0.9, -0.28]","[None, None, None]","[1.11, 0.9, -0.28]","[1.11, 0.9, -0.28]","[1.11, 0.9, -0.28]","[1.11, 0.9, -0.28]","[1.11, 0.9, -0.28]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIMO.TA,"[-0.49, -1.25, 9.39]","[-0.49, -1.25, 9.39]","[-0.49, -1.25, 9.39]","[-0.49, -1.25, 9.39]","[-0.49, -1.25, 9.39]","[None, None, None]","[-0.49, -1.25, 9.39]","[-0.49, -1.25, 9.39]","[-0.49, -1.25, 9.39]","[-0.49, -1.25, 9.39]","[-0.49, -1.25, 9.39]","[None, None, None]","[-0.49, -1.25, 9.39]","[-0.49, -1.25, 9.39]","[None, None, None]"
SPNS.TA,"[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]","[-0.7, -0.21, -2.12]"
SCOP.TA,"[-0.16, 4.8, 18.35]","[-0.16, 4.8, 18.35]","[-0.16, 4.8, 18.35]","[-0.16, 4.8, 18.35]","[-0.16, 4.8, 18.35]","[None, None, None]","[-0.16, 4.8, 18.35]","[-0.16, 4.8, 18.35]","[-0.16, 4.8, 18.35]","[-0.16, 4.8, 18.35]","[-0.16, 4.8, 18.35]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHAN.TA,"[0.24, 4.28, 4.13]","[0.24, 4.28, 4.13]","[None, None, None]","[0.24, 4.28, 4.13]","[0.24, 4.28, 4.13]","[None, None, None]","[0.24, 4.28, 4.13]","[0.24, 4.28, 4.13]","[0.24, 4.28, 4.13]","[0.24, 4.28, 4.13]","[0.24, 4.28, 4.13]","[None, None, None]","[None, None, None]","[0.24, 4.28, 4.13]","[None, None, None]"
SPEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SKBN.TA,"[-0.58, 2.57, 10.44]","[-0.58, 2.57, 10.44]","[None, None, None]","[-0.58, 2.57, 10.44]","[-0.58, 2.57, 10.44]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.58, 2.57, 10.44]","[-0.58, 2.57, 10.44]","[-0.58, 2.57, 10.44]","[None, None, None]","[-0.58, 2.57, 10.44]","[None, None, None]","[None, None, None]"
SKLN.TA,"[-1.57, -10.14, 20.35]","[-1.57, -10.14, 20.35]","[-1.57, -10.14, 20.35]","[None, None, None]","[-1.57, -10.14, 20.35]","[-1.57, -10.14, 20.35]","[-1.57, -10.14, 20.35]","[-1.57, -10.14, 20.35]","[-1.57, -10.14, 20.35]","[-1.57, -10.14, 20.35]","[-1.57, -10.14, 20.35]","[-1.57, -10.14, 20.35]","[None, None, None]","[None, None, None]","[-1.57, -10.14, 20.35]"
SMT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.81, -1.77, 28.2]","[0.81, -1.77, 28.2]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SNCM.TA,"[-1.13, 2.89, 9.73]","[-1.13, 2.89, 9.73]","[-1.13, 2.89, 9.73]","[-1.13, 2.89, 9.73]","[-1.13, 2.89, 9.73]","[None, None, None]","[-1.13, 2.89, 9.73]","[-1.13, 2.89, 9.73]","[-1.13, 2.89, 9.73]","[-1.13, 2.89, 9.73]","[-1.13, 2.89, 9.73]","[-1.13, 2.89, 9.73]","[None, None, None]","[-1.13, 2.89, 9.73]","[None, None, None]"
TMRP.TA,"[-2.37, 18.82, 42.99]","[-2.37, 18.82, 42.99]","[-2.37, 18.82, 42.99]","[None, None, None]","[None, None, None]","[None, None, None]","[-2.37, 18.82, 42.99]","[None, None, None]","[-2.37, 18.82, 42.99]","[-2.37, 18.82, 42.99]","[-2.37, 18.82, 42.99]","[-2.37, 18.82, 42.99]","[None, None, None]","[-2.37, 18.82, 42.99]","[None, None, None]"
TFRLF.TA,"[1.13, -0.27, 69.49]","[1.13, -0.27, 69.49]","[1.13, -0.27, 69.49]","[1.13, -0.27, 69.49]","[1.13, -0.27, 69.49]","[None, None, None]","[1.13, -0.27, 69.49]","[1.13, -0.27, 69.49]","[1.13, -0.27, 69.49]","[1.13, -0.27, 69.49]","[1.13, -0.27, 69.49]","[1.13, -0.27, 69.49]","[None, None, None]","[None, None, None]","[1.13, -0.27, 69.49]"
TEVA.TA,"[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]","[None, None, None]","[1.35, 14.21, 12.1]","[1.35, 14.21, 12.1]"
TTAM.TA,"[1.63, -0.47, 9.98]","[None, None, None]","[None, None, None]","[1.63, -0.47, 9.98]","[1.63, -0.47, 9.98]","[None, None, None]","[None, None, None]","[None, None, None]","[1.63, -0.47, 9.98]","[None, None, None]","[1.63, -0.47, 9.98]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TSEM.TA,"[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]","[None, None, None]","[-0.13, 12.81, 20.3]","[-0.13, 12.81, 20.3]"
VTNA.TA,"[1.2, -7.36, 6.36]","[1.2, -7.36, 6.36]","[1.2, -7.36, 6.36]","[1.2, -7.36, 6.36]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.2, -7.36, 6.36]","[1.2, -7.36, 6.36]","[1.2, -7.36, 6.36]","[1.2, -7.36, 6.36]","[1.2, -7.36, 6.36]","[None, None, None]","[None, None, None]"
WILC.TA,"[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[-0.75, 1.21, 8.4]","[None, None, None]","[-0.75, 1.21, 8.4]","[None, None, None]"
YBOX.TA,"[0.21, 22.52, 37.13]","[0.21, 22.52, 37.13]","[0.21, 22.52, 37.13]","[0.21, 22.52, 37.13]","[0.21, 22.52, 37.13]","[None, None, None]","[None, None, None]","[None, None, None]","[0.21, 22.52, 37.13]","[0.21, 22.52, 37.13]","[0.21, 22.52, 37.13]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
