,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
GNRS.TA,"[None, None, None]","[0.0, 0.39, 3.48]","[None, None, None]","[None, None, None]","[0.0, 0.39, 3.48]","[0.0, 0.39, 3.48]","[0.0, 0.39, 3.48]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.39, 3.48]","[None, None, None]"
GILT.TA,"[0.0, -1.45, 2.7]","[0.0, -1.45, 2.7]","[None, None, None]","[0.0, -1.45, 2.7]","[0.0, -1.45, 2.7]","[0.0, -1.45, 2.7]","[0.0, -1.45, 2.7]","[0.0, -1.45, 2.7]","[None, None, None]","[0.0, -1.45, 2.7]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.45, 2.7]"
GLTL.TA,"[0.0, 0.29, -22.45]","[0.0, 0.29, -22.45]","[None, None, None]","[0.0, 0.29, -22.45]","[0.0, 0.29, -22.45]","[0.0, 0.29, -22.45]","[0.0, 0.29, -22.45]","[0.0, 0.29, -22.45]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GKL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.54, 0.92]","[0.0, -1.54, 0.92]","[0.0, -1.54, 0.92]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.54, 0.92]"
GOLD.TA,"[0.0, 2.24, 16.62]","[0.0, 2.24, 16.62]","[0.0, 2.24, 16.62]","[0.0, 2.24, 16.62]","[0.0, 2.24, 16.62]","[0.0, 2.24, 16.62]","[0.0, 2.24, 16.62]","[None, None, None]","[None, None, None]","[0.0, 2.24, 16.62]","[0.0, 2.24, 16.62]","[None, None, None]","[0.0, 2.24, 16.62]","[0.0, 2.24, 16.62]","[None, None, None]"
GOHO.TA,"[0.0, 3.84, 1.73]","[0.0, 3.84, 1.73]","[None, None, None]","[0.0, 3.84, 1.73]","[0.0, 3.84, 1.73]","[0.0, 3.84, 1.73]","[0.0, 3.84, 1.73]","[0.0, 3.84, 1.73]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.84, 1.73]","[0.0, 3.84, 1.73]","[None, None, None]","[None, None, None]"
G107.TA,"[0.0, -2.61, -9.26]","[0.0, -2.61, -9.26]","[0.0, -2.61, -9.26]","[0.0, -2.61, -9.26]","[0.0, -2.61, -9.26]","[0.0, -2.61, -9.26]","[0.0, -2.61, -9.26]","[0.0, -2.61, -9.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MSBI.TA,"[0.0, -8.42, -18.85]","[0.0, -8.42, -18.85]","[None, None, None]","[0.0, -8.42, -18.85]","[0.0, -8.42, -18.85]","[0.0, -8.42, -18.85]","[None, None, None]","[0.0, -8.42, -18.85]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[0.0, 6.75, 28.31]","[0.0, 6.75, 28.31]","[None, None, None]","[0.0, 6.75, 28.31]","[0.0, 6.75, 28.31]","[0.0, 6.75, 28.31]","[0.0, 6.75, 28.31]","[0.0, 6.75, 28.31]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HARL.TA,"[None, None, None]","[0.0, 4.62, 8.44]","[None, None, None]","[None, None, None]","[0.0, 4.62, 8.44]","[0.0, 4.62, 8.44]","[0.0, 4.62, 8.44]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.62, 8.44]","[0.0, 4.62, 8.44]","[None, None, None]","[None, None, None]"
HLAN.TA,"[0.0, -3.41, 4.93]","[0.0, -3.41, 4.93]","[None, None, None]","[0.0, -3.41, 4.93]","[0.0, -3.41, 4.93]","[0.0, -3.41, 4.93]","[0.0, -3.41, 4.93]","[0.0, -3.41, 4.93]","[None, None, None]","[0.0, -3.41, 4.93]","[0.0, -3.41, 4.93]","[0.0, -3.41, 4.93]","[0.0, -3.41, 4.93]","[0.0, -3.41, 4.93]","[None, None, None]"
HUMX.TA,"[0.0, -21.84, -35.07]","[None, None, None]","[0.0, -21.84, -35.07]","[0.0, -21.84, -35.07]","[0.0, -21.84, -35.07]","[0.0, -21.84, -35.07]","[0.0, -21.84, -35.07]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ILX.TA,"[0.0, -0.55, 15.79]","[0.0, -0.55, 15.79]","[0.0, -0.55, 15.79]","[0.0, -0.55, 15.79]","[0.0, -0.55, 15.79]","[0.0, -0.55, 15.79]","[0.0, -0.55, 15.79]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -0.55, 15.79]","[None, None, None]","[0.0, -0.55, 15.79]","[None, None, None]"
INRM.TA,"[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[0.0, 2.47, -2.27]","[None, None, None]"
INCR.TA,"[0.0, -4.63, 1.63]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.63, 1.63]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISCN.TA,"[0.0, 1.35, 16.59]","[0.0, 1.35, 16.59]","[0.0, 1.35, 16.59]","[None, None, None]","[0.0, 1.35, 16.59]","[0.0, 1.35, 16.59]","[0.0, 1.35, 16.59]","[0.0, 1.35, 16.59]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.35, 16.59]"
ILDC.TA,"[None, None, None]","[0.0, 7.31, 12.66]","[0.0, 7.31, 12.66]","[None, None, None]","[0.0, 7.31, 12.66]","[0.0, 7.31, 12.66]","[0.0, 7.31, 12.66]","[None, None, None]","[None, None, None]","[0.0, 7.31, 12.66]","[0.0, 7.31, 12.66]","[None, None, None]","[0.0, 7.31, 12.66]","[None, None, None]","[None, None, None]"
ISHI.TA,"[0.0, 2.87, 22.86]","[0.0, 2.87, 22.86]","[None, None, None]","[0.0, 2.87, 22.86]","[0.0, 2.87, 22.86]","[0.0, 2.87, 22.86]","[0.0, 2.87, 22.86]","[0.0, 2.87, 22.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.87, 22.86]","[None, None, None]","[None, None, None]"
ISRA.TA,"[0.0, 0.65, 4.74]","[0.0, 0.65, 4.74]","[None, None, None]","[None, None, None]","[0.0, 0.65, 4.74]","[0.0, 0.65, 4.74]","[0.0, 0.65, 4.74]","[0.0, 0.65, 4.74]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISRS.TA,"[0.0, -2.38, 4.46]","[0.0, -2.38, 4.46]","[0.0, -2.38, 4.46]","[0.0, -2.38, 4.46]","[0.0, -2.38, 4.46]","[0.0, -2.38, 4.46]","[0.0, -2.38, 4.46]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -2.38, 4.46]","[0.0, -2.38, 4.46]","[None, None, None]","[None, None, None]"
ISRO.TA,"[0.0, 1.54, 15.14]","[0.0, 1.54, 15.14]","[0.0, 1.54, 15.14]","[0.0, 1.54, 15.14]","[0.0, 1.54, 15.14]","[0.0, 1.54, 15.14]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISTA.TA,"[None, None, None]","[0.0, 17.01, 31.7]","[0.0, 17.01, 31.7]","[0.0, 17.01, 31.7]","[0.0, 17.01, 31.7]","[0.0, 17.01, 31.7]","[0.0, 17.01, 31.7]","[None, None, None]","[None, None, None]","[0.0, 17.01, 31.7]","[0.0, 17.01, 31.7]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
JBNK.TA,"[None, None, None]","[0.0, 12.23, 14.75]","[0.0, 12.23, 14.75]","[None, None, None]","[0.0, 12.23, 14.75]","[0.0, 12.23, 14.75]","[0.0, 12.23, 14.75]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 12.23, 14.75]","[0.0, 12.23, 14.75]","[None, None, None]"
KAFR.TA,"[0.0, -1.15, 0.25]","[0.0, -1.15, 0.25]","[None, None, None]","[0.0, -1.15, 0.25]","[0.0, -1.15, 0.25]","[None, None, None]","[None, None, None]","[0.0, -1.15, 0.25]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KMDA.TA,"[0.0, -0.59, 4.26]","[0.0, -0.59, 4.26]","[0.0, -0.59, 4.26]","[0.0, -0.59, 4.26]","[0.0, -0.59, 4.26]","[0.0, -0.59, 4.26]","[0.0, -0.59, 4.26]","[0.0, -0.59, 4.26]","[None, None, None]","[0.0, -0.59, 4.26]","[0.0, -0.59, 4.26]","[0.0, -0.59, 4.26]","[None, None, None]","[None, None, None]","[None, None, None]"
KRDI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.27, 4.1]","[0.0, -1.27, 4.1]","[0.0, -1.27, 4.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KARE.TA,"[0.0, 4.79, 16.28]","[0.0, 4.79, 16.28]","[0.0, 4.79, 16.28]","[0.0, 4.79, 16.28]","[0.0, 4.79, 16.28]","[0.0, 4.79, 16.28]","[0.0, 4.79, 16.28]","[0.0, 4.79, 16.28]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.79, 16.28]","[None, None, None]"
KRUR.TA,"[0.0, -5.05, -4.61]","[0.0, -5.05, -4.61]","[0.0, -5.05, -4.61]","[0.0, -5.05, -4.61]","[0.0, -5.05, -4.61]","[0.0, -5.05, -4.61]","[0.0, -5.05, -4.61]","[0.0, -5.05, -4.61]","[None, None, None]","[0.0, -5.05, -4.61]","[0.0, -5.05, -4.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KLIL.TA,"[0.0, -0.73, -1.6]","[0.0, -0.73, -1.6]","[None, None, None]","[0.0, -0.73, -1.6]","[0.0, -0.73, -1.6]","[0.0, -0.73, -1.6]","[0.0, -0.73, -1.6]","[0.0, -0.73, -1.6]","[None, None, None]","[0.0, -0.73, -1.6]","[0.0, -0.73, -1.6]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LAHAV.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -7.39, 3.6]","[0.0, -7.39, 3.6]","[0.0, -7.39, 3.6]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -7.39, 3.6]","[None, None, None]","[None, None, None]"
LPHL.TA,"[0.0, -3.57, 0.44]","[0.0, -3.57, 0.44]","[0.0, -3.57, 0.44]","[None, None, None]","[0.0, -3.57, 0.44]","[0.0, -3.57, 0.44]","[0.0, -3.57, 0.44]","[0.0, -3.57, 0.44]","[0.0, -3.57, 0.44]","[0.0, -3.57, 0.44]","[0.0, -3.57, 0.44]","[None, None, None]","[None, None, None]","[0.0, -3.57, 0.44]","[None, None, None]"
LSCO.TA,"[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[0.0, 2.62, -1.32]","[None, None, None]","[None, None, None]"
LEOF.TA,"[0.0, -2.04, -5.39]","[0.0, -2.04, -5.39]","[None, None, None]","[0.0, -2.04, -5.39]","[0.0, -2.04, -5.39]","[0.0, -2.04, -5.39]","[0.0, -2.04, -5.39]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -2.04, -5.39]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LEVI.TA,"[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[None, None, None]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[0.0, -4.28, 16.78]","[None, None, None]"
LCTX.TA,"[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[0.0, -24.86, -23.56]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -24.86, -23.56]"
LUZN.TA,"[None, None, None]","[0.0, 10.89, 16.32]","[0.0, 10.89, 16.32]","[None, None, None]","[0.0, 10.89, 16.32]","[0.0, 10.89, 16.32]","[0.0, 10.89, 16.32]","[None, None, None]","[None, None, None]","[0.0, 10.89, 16.32]","[None, None, None]","[0.0, 10.89, 16.32]","[0.0, 10.89, 16.32]","[None, None, None]","[None, None, None]"
MTRX.TA,"[0.0, -3.64, -1.2]","[0.0, -3.64, -1.2]","[None, None, None]","[0.0, -3.64, -1.2]","[0.0, -3.64, -1.2]","[0.0, -3.64, -1.2]","[0.0, -3.64, -1.2]","[0.0, -3.64, -1.2]","[None, None, None]","[None, None, None]","[0.0, -3.64, -1.2]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MTRN.TA,"[0.0, -5.88, -8.24]","[0.0, -5.88, -8.24]","[0.0, -5.88, -8.24]","[0.0, -5.88, -8.24]","[0.0, -5.88, -8.24]","[0.0, -5.88, -8.24]","[0.0, -5.88, -8.24]","[0.0, -5.88, -8.24]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -5.88, -8.24]","[None, None, None]"
MDPR.TA,"[0.0, 1.46, 13.57]","[0.0, 1.46, 13.57]","[0.0, 1.46, 13.57]","[None, None, None]","[0.0, 1.46, 13.57]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.46, 13.57]","[0.0, 1.46, 13.57]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLSR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MNIN.TA,"[0.0, -4.23, 14.82]","[0.0, -4.23, 14.82]","[0.0, -4.23, 14.82]","[0.0, -4.23, 14.82]","[0.0, -4.23, 14.82]","[0.0, -4.23, 14.82]","[0.0, -4.23, 14.82]","[0.0, -4.23, 14.82]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.23, 14.82]","[0.0, -4.23, 14.82]","[0.0, -4.23, 14.82]","[None, None, None]"
MNRT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -0.64, 2.48]","[0.0, -0.64, 2.48]","[0.0, -0.64, 2.48]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -0.64, 2.48]","[None, None, None]"
MCMN.TA,"[None, None, None]","[0.0, 14.31, 22.96]","[None, None, None]","[None, None, None]","[0.0, 14.31, 22.96]","[0.0, 14.31, 22.96]","[0.0, 14.31, 22.96]","[None, None, None]","[0.0, 14.31, 22.96]","[0.0, 14.31, 22.96]","[0.0, 14.31, 22.96]","[None, None, None]","[0.0, 14.31, 22.96]","[None, None, None]","[0.0, 14.31, 22.96]"
MCRNT.TA,"[0.0, -16.95, -23.85]","[0.0, -16.95, -23.85]","[None, None, None]","[0.0, -16.95, -23.85]","[0.0, -16.95, -23.85]","[0.0, -16.95, -23.85]","[0.0, -16.95, -23.85]","[0.0, -16.95, -23.85]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -16.95, -23.85]","[None, None, None]","[None, None, None]","[None, None, None]"
MLD.TA,"[0.0, -2.14, -33.1]","[0.0, -2.14, -33.1]","[None, None, None]","[0.0, -2.14, -33.1]","[0.0, -2.14, -33.1]","[0.0, -2.14, -33.1]","[0.0, -2.14, -33.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MVNE.TA,"[0.0, 0.45, 6.42]","[0.0, 0.45, 6.42]","[None, None, None]","[0.0, 0.45, 6.42]","[0.0, 0.45, 6.42]","[0.0, 0.45, 6.42]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.29, 7.81]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLRN.TA,"[None, None, None]","[0.0, 1.46, 0.76]","[0.0, 1.46, 0.76]","[None, None, None]","[0.0, 1.46, 0.76]","[None, None, None]","[0.0, 1.46, 0.76]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.46, 0.76]"
MDIN.TA,"[0.0, 7.03, 4.79]","[0.0, 7.03, 4.79]","[None, None, None]","[None, None, None]","[0.0, 7.03, 4.79]","[0.0, 7.03, 4.79]","[0.0, 7.03, 4.79]","[0.0, 7.03, 4.79]","[None, None, None]","[0.0, 7.03, 4.79]","[0.0, 7.03, 4.79]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NFTA.TA,"[0.0, 16.45, 26.51]","[0.0, 16.45, 26.51]","[None, None, None]","[None, None, None]","[0.0, 16.45, 26.51]","[0.0, 16.45, 26.51]","[0.0, 16.45, 26.51]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NVPT.TA,"[0.0, 11.88, 9.92]","[0.0, 11.88, 9.92]","[None, None, None]","[0.0, 11.88, 9.92]","[0.0, 11.88, 9.92]","[0.0, 11.88, 9.92]","[None, None, None]","[0.0, 11.88, 9.92]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NYAX.TA,"[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[0.0, -17.93, -29.11]","[None, None, None]","[None, None, None]"
NTO.TA,"[0.0, 2.48, 20.97]","[0.0, 2.48, 20.97]","[0.0, 2.48, 20.97]","[0.0, 2.48, 20.97]","[0.0, 2.48, 20.97]","[0.0, 2.48, 20.97]","[0.0, 2.48, 20.97]","[0.0, 2.48, 20.97]","[None, None, None]","[0.0, 2.48, 20.97]","[0.0, 2.48, 20.97]","[0.0, 2.48, 20.97]","[None, None, None]","[0.0, 2.48, 20.97]","[None, None, None]"
NXTM.TA,"[0.0, 4.08, 5.2]","[0.0, 4.08, 5.2]","[0.0, 4.08, 5.2]","[0.0, 4.08, 5.2]","[0.0, 4.08, 5.2]","[None, None, None]","[0.0, 4.08, 5.2]","[0.0, 4.08, 5.2]","[None, None, None]","[0.0, 4.08, 5.2]","[0.0, 4.08, 5.2]","[None, None, None]","[None, None, None]","[0.0, 4.08, 5.2]","[None, None, None]"
NXFR.TA,"[0.0, -4.4, -2.86]","[0.0, -4.4, -2.86]","[0.0, -4.4, -2.86]","[0.0, -4.4, -2.86]","[0.0, -4.4, -2.86]","[0.0, -4.4, -2.86]","[0.0, -4.4, -2.86]","[0.0, -4.4, -2.86]","[None, None, None]","[0.0, -4.4, -2.86]","[0.0, -4.4, -2.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NICE.TA,"[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[0.0, -9.91, -8.81]","[None, None, None]","[0.0, -9.91, -8.81]"
NISA.TA,"[0.0, 3.77, -13.77]","[0.0, 3.77, -13.77]","[0.0, 3.77, -13.77]","[0.0, 3.77, -13.77]","[0.0, 3.77, -13.77]","[0.0, 3.77, -13.77]","[0.0, 3.77, -13.77]","[0.0, 3.77, -13.77]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.77, -13.77]","[None, None, None]","[None, None, None]"
NOFR.TA,"[0.0, 5.32, 7.62]","[0.0, 5.32, 7.62]","[None, None, None]","[0.0, 5.32, 7.62]","[0.0, 5.32, 7.62]","[0.0, 5.32, 7.62]","[0.0, 5.32, 7.62]","[0.0, 5.32, 7.62]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 5.32, 7.62]","[0.0, 5.32, 7.62]","[None, None, None]","[None, None, None]"
OPCE.TA,"[0.0, 7.54, 9.82]","[0.0, 7.54, 9.82]","[None, None, None]","[0.0, 7.54, 9.82]","[0.0, 7.54, 9.82]","[0.0, 7.54, 9.82]","[0.0, 7.54, 9.82]","[None, None, None]","[0.0, 7.54, 9.82]","[0.0, 7.54, 9.82]","[0.0, 7.54, 9.82]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPK.TA,"[0.0, -21.33, 2.33]","[0.0, -21.33, 2.33]","[0.0, -21.33, 2.33]","[None, None, None]","[0.0, -21.33, 2.33]","[0.0, -21.33, 2.33]","[0.0, -21.33, 2.33]","[0.0, -21.33, 2.33]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -21.33, 2.33]"
ORAD.TA,"[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[0.0, 1.16, -3.76]","[None, None, None]","[None, None, None]","[None, None, None]"
ORMP.TA,"[0.0, -14.89, -34.75]","[0.0, -14.89, -34.75]","[0.0, -14.89, -34.75]","[None, None, None]","[0.0, -14.89, -34.75]","[0.0, -14.89, -34.75]","[0.0, -14.89, -34.75]","[0.0, -14.89, -34.75]","[None, None, None]","[0.0, -14.89, -34.75]","[0.0, -14.89, -34.75]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -14.89, -34.75]"
ORBI.TA,"[0.0, 0.79, 11.23]","[0.0, 0.79, 11.23]","[None, None, None]","[0.0, 0.79, 11.23]","[0.0, 0.79, 11.23]","[0.0, 0.79, 11.23]","[0.0, 0.79, 11.23]","[0.0, 0.79, 11.23]","[None, None, None]","[0.0, 0.79, 11.23]","[0.0, 0.79, 11.23]","[0.0, 0.79, 11.23]","[0.0, 0.79, 11.23]","[None, None, None]","[0.0, 0.79, 11.23]"
ORIN.TA,"[0.0, -2.48, -1.1]","[0.0, -2.48, -1.1]","[None, None, None]","[None, None, None]","[0.0, -2.48, -1.1]","[0.0, -2.48, -1.1]","[0.0, -2.48, -1.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -2.48, -1.1]","[None, None, None]","[None, None, None]"
ORON.TA,"[0.0, -3.61, -4.44]","[0.0, -3.61, -4.44]","[0.0, -3.61, -4.44]","[0.0, -3.61, -4.44]","[0.0, -3.61, -4.44]","[0.0, -3.61, -4.44]","[0.0, -3.61, -4.44]","[0.0, -3.61, -4.44]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -3.61, -4.44]","[None, None, None]"
OVRS.TA,"[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[None, None, None]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[0.0, -2.06, -0.33]","[None, None, None]"
PLRM.TA,"[0.0, 4.5, -8.14]","[0.0, 4.5, -8.14]","[0.0, 4.5, -8.14]","[0.0, 4.5, -8.14]","[0.0, 4.5, -8.14]","[None, None, None]","[0.0, 4.5, -8.14]","[0.0, 4.5, -8.14]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.5, -8.14]","[None, None, None]"
PAZ.TA,"[0.0, 13.42, 14.89]","[0.0, 13.42, 14.89]","[None, None, None]","[0.0, 13.42, 14.89]","[0.0, 13.42, 14.89]","[0.0, 13.42, 14.89]","[0.0, 13.42, 14.89]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PCBT.TA,"[0.0, -4.43, 2.55]","[0.0, -4.43, 2.55]","[0.0, -4.43, 2.55]","[0.0, -4.43, 2.55]","[0.0, -4.43, 2.55]","[0.0, -4.43, 2.55]","[0.0, -4.43, 2.55]","[0.0, -4.43, 2.55]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PERI.TA,"[0.0, 17.91, 13.38]","[0.0, 17.91, 13.38]","[0.0, 17.91, 13.38]","[None, None, None]","[0.0, 17.91, 13.38]","[0.0, 17.91, 13.38]","[0.0, 17.91, 13.38]","[0.0, 17.91, 13.38]","[0.0, 17.91, 13.38]","[0.0, 17.91, 13.38]","[0.0, 17.91, 13.38]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 17.91, 13.38]"
PTX.TA,"[0.0, 1.38, 17.31]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.38, 17.31]","[0.0, 1.38, 17.31]","[0.0, 1.38, 17.31]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.38, 17.31]","[0.0, 1.38, 17.31]","[None, None, None]","[None, None, None]"
