,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
AVGL.TA,"[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[None, None, None]","[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[0.0, 9.15, -2.79]","[None, None, None]","[0.0, 9.15, -2.79]"
AVIV.TA,"[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]","[None, None, None]","[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]","[None, None, None]","[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]","[0.0, -2.9, -9.35]"
AVRT.TA,"[0.0, -4.58, -3.04]","[0.0, -4.58, -3.04]","[0.0, -4.58, -3.04]","[0.0, -4.58, -3.04]","[0.0, -4.58, -3.04]","[0.0, -4.58, -3.04]","[0.0, -4.58, -3.04]","[0.0, -4.58, -3.04]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.58, -3.04]"
AYAL.TA,"[None, None, None]","[0.0, 7.02, 0.66]","[None, None, None]","[None, None, None]","[0.0, 7.02, 0.66]","[0.0, 7.02, 0.66]","[0.0, 7.02, 0.66]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 7.02, 0.66]","[None, None, None]","[None, None, None]"
AZRM.TA,"[0.0, 2.61, 14.05]","[0.0, 2.61, 14.05]","[0.0, 2.61, 14.05]","[0.0, 2.61, 14.05]","[0.0, 2.61, 14.05]","[0.0, 2.61, 14.05]","[0.0, 2.61, 14.05]","[None, None, None]","[0.0, 2.61, 14.05]","[0.0, 2.61, 14.05]","[0.0, 2.61, 14.05]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[None, None, None]","[0.0, -1.15, -0.79]","[0.0, -1.15, -0.79]","[None, None, None]","[0.0, -1.15, -0.79]","[None, None, None]","[0.0, -1.15, -0.79]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.15, -0.79]","[0.0, -1.15, -0.79]"
BCOM.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BSEN.TA,"[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[0.0, 5.88, 7.83]","[None, None, None]","[0.0, 5.88, 7.83]","[None, None, None]","[None, None, None]"
BEZQ.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.13, 21.96]","[0.0, 3.13, 21.96]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BIG.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.74, 1.48]","[None, None, None]","[0.0, -1.74, 1.48]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BKRY.TA,"[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[0.0, -0.48, 0.16]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BOLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.29, -3.03]"
BONS.TA,"[None, None, None]","[0.0, -21.18, -34.1]","[0.0, -21.18, -34.1]","[None, None, None]","[0.0, -21.18, -34.1]","[0.0, -21.18, -34.1]","[0.0, -21.18, -34.1]","[0.0, -21.18, -34.1]","[None, None, None]","[0.0, -21.18, -34.1]","[0.0, -21.18, -34.1]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BCNV-M.TA,"[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[None, None, None]","[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[0.0, 5.8, 25.05]","[None, None, None]","[None, None, None]"
BRIL.TA,"[0.0, 3.85, 3.59]","[0.0, 3.85, 3.59]","[0.0, 3.85, 3.59]","[0.0, 3.85, 3.59]","[0.0, 3.85, 3.59]","[0.0, 3.85, 3.59]","[0.0, 3.85, 3.59]","[0.0, 3.85, 3.59]","[None, None, None]","[None, None, None]","[0.0, 3.85, 3.59]","[0.0, 3.85, 3.59]","[None, None, None]","[None, None, None]","[None, None, None]"
CISY.TA,"[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]","[None, None, None]","[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]","[None, None, None]","[0.0, -1.09, 3.25]","[0.0, -1.09, 3.25]"
CAMT.TA,"[0.0, -14.69, -12.39]","[0.0, -14.69, -12.39]","[0.0, -14.69, -12.39]","[0.0, -14.69, -12.39]","[0.0, -14.69, -12.39]","[0.0, -14.69, -12.39]","[0.0, -14.69, -12.39]","[0.0, -14.69, -12.39]","[0.0, -14.69, -12.39]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -14.69, -12.39]"
CAST.TA,"[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[0.0, -3.01, 9.67]","[None, None, None]","[None, None, None]"
CEL.TA,"[0.0, 5.67, 30.76]","[0.0, 5.67, 30.76]","[None, None, None]","[0.0, 5.67, 30.76]","[0.0, 5.67, 30.76]","[0.0, 5.67, 30.76]","[0.0, 5.67, 30.76]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CBI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 10.54, -7.01]","[0.0, 10.54, -7.01]","[0.0, 10.54, -7.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[None, None, None]","[0.0, 3.24, 5.01]","[None, None, None]","[None, None, None]","[0.0, 3.24, 5.01]","[0.0, 3.24, 5.01]","[0.0, 3.24, 5.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CMDR.TA,"[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[0.0, -6.82, 2.32]","[None, None, None]","[None, None, None]","[0.0, -6.82, 2.32]","[None, None, None]"
DANH.TA,"[0.0, 2.59, 2.41]","[0.0, 2.59, 2.41]","[0.0, 2.59, 2.41]","[None, None, None]","[0.0, 2.59, 2.41]","[0.0, 2.59, 2.41]","[0.0, 2.59, 2.41]","[0.0, 2.59, 2.41]","[None, None, None]","[None, None, None]","[0.0, 2.59, 2.41]","[0.0, 2.59, 2.41]","[0.0, 2.59, 2.41]","[None, None, None]","[None, None, None]"
DLEA.TA,"[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[0.0, 4.97, 8.6]","[None, None, None]","[None, None, None]","[0.0, 4.97, 8.6]","[None, None, None]"
DELG.TA,"[0.0, -3.37, 16.22]","[0.0, -3.37, 16.22]","[0.0, -3.37, 16.22]","[0.0, -3.37, 16.22]","[0.0, -3.37, 16.22]","[0.0, -3.37, 16.22]","[0.0, -3.37, 16.22]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -3.37, 16.22]","[None, None, None]"
DIMRI.TA,"[0.0, 2.02, 14.2]","[0.0, 2.02, 14.2]","[0.0, 2.02, 14.2]","[0.0, 2.02, 14.2]","[0.0, 2.02, 14.2]","[0.0, 2.02, 14.2]","[0.0, 2.02, 14.2]","[None, None, None]","[None, None, None]","[0.0, 2.02, 14.2]","[0.0, 2.02, 14.2]","[None, None, None]","[0.0, 2.02, 14.2]","[0.0, 2.02, 14.2]","[None, None, None]"
DIPL.TA,"[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[0.0, 5.95, -1.95]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DSCT.TA,"[None, None, None]","[0.0, 7.06, 8.22]","[0.0, 7.06, 8.22]","[None, None, None]","[0.0, 7.06, 8.22]","[0.0, 7.06, 8.22]","[0.0, 7.06, 8.22]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DISI.TA,"[0.0, -2.54, 7.25]","[0.0, -2.54, 7.25]","[None, None, None]","[None, None, None]","[0.0, -2.54, 7.25]","[0.0, -2.54, 7.25]","[None, None, None]","[None, None, None]","[0.0, -2.54, 7.25]","[0.0, -2.54, 7.25]","[0.0, -2.54, 7.25]","[None, None, None]","[0.0, -2.54, 7.25]","[None, None, None]","[None, None, None]"
DRAL.TA,"[0.0, 0.63, 16.39]","[0.0, 0.63, 16.39]","[0.0, 0.63, 16.39]","[None, None, None]","[0.0, 0.63, 16.39]","[0.0, 0.63, 16.39]","[0.0, 0.63, 16.39]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.63, 16.39]"
ELAL.TA,"[0.0, 24.89, 4.4]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 24.89, 4.4]","[None, None, None]","[0.0, 24.89, 4.4]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 24.89, 4.4]"
ESLT.TA,"[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]","[0.0, 1.78, 24.02]"
ELTR.TA,"[0.0, 1.94, 8.71]","[0.0, 1.94, 8.71]","[None, None, None]","[0.0, 1.94, 8.71]","[0.0, 1.94, 8.71]","[None, None, None]","[0.0, 1.94, 8.71]","[0.0, 1.94, 8.71]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.94, 8.71]","[None, None, None]"
ECP.TA,"[0.0, 3.11, 8.45]","[0.0, 3.11, 8.45]","[None, None, None]","[0.0, 3.11, 8.45]","[0.0, 3.11, 8.45]","[0.0, 3.11, 8.45]","[0.0, 3.11, 8.45]","[0.0, 3.11, 8.45]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.11, 8.45]"
ELCP.TA,"[0.0, 10.21, -4.28]","[0.0, 10.21, -4.28]","[None, None, None]","[None, None, None]","[0.0, 10.21, -4.28]","[0.0, 10.21, -4.28]","[0.0, 10.21, -4.28]","[0.0, 10.21, -4.28]","[0.0, 10.21, -4.28]","[0.0, 10.21, -4.28]","[0.0, 10.21, -4.28]","[None, None, None]","[0.0, 10.21, -4.28]","[None, None, None]","[None, None, None]"
EMCO.TA,"[0.0, -1.31, -9.42]","[0.0, -1.31, -9.42]","[None, None, None]","[0.0, -1.31, -9.42]","[0.0, -1.31, -9.42]","[0.0, -1.31, -9.42]","[0.0, -1.31, -9.42]","[0.0, -1.31, -9.42]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.31, -9.42]","[0.0, -1.31, -9.42]","[None, None, None]","[None, None, None]"
EMDV.TA,"[0.0, -0.01, -1.52]","[0.0, -0.01, -1.52]","[None, None, None]","[0.0, -0.01, -1.52]","[0.0, -0.01, -1.52]","[0.0, -0.01, -1.52]","[0.0, -0.01, -1.52]","[0.0, -0.01, -1.52]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -0.01, -1.52]"
ENRG.TA,"[0.0, 0.62, -6.24]","[0.0, 0.62, -6.24]","[None, None, None]","[None, None, None]","[0.0, 0.62, -6.24]","[0.0, 0.62, -6.24]","[0.0, 0.62, -6.24]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLV.TA,"[None, None, None]","[0.0, -14.24, -23.88]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
EXPO.TA,"[None, None, None]","[0.0, 14.05, 22.73]","[None, None, None]","[None, None, None]","[0.0, 14.05, 22.73]","[0.0, 14.05, 22.73]","[0.0, 14.05, 22.73]","[None, None, None]","[None, None, None]","[0.0, 14.05, 22.73]","[0.0, 14.05, 22.73]","[None, None, None]","[0.0, 14.05, 22.73]","[0.0, 14.05, 22.73]","[None, None, None]"
FTAL.TA,"[0.0, 15.36, 25.88]","[0.0, 15.36, 25.88]","[None, None, None]","[None, None, None]","[0.0, 15.36, 25.88]","[0.0, 15.36, 25.88]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FOX.TA,"[0.0, 4.52, 14.6]","[0.0, 4.52, 14.6]","[0.0, 4.52, 14.6]","[0.0, 4.52, 14.6]","[0.0, 4.52, 14.6]","[0.0, 4.52, 14.6]","[0.0, 4.52, 14.6]","[0.0, 4.52, 14.6]","[None, None, None]","[0.0, 4.52, 14.6]","[0.0, 4.52, 14.6]","[None, None, None]","[0.0, 4.52, 14.6]","[0.0, 4.52, 14.6]","[None, None, None]"
GSFI.TA,"[0.0, -0.07, -3.55]","[0.0, -0.07, -3.55]","[0.0, -0.07, -3.55]","[0.0, -0.07, -3.55]","[0.0, -0.07, -3.55]","[0.0, -0.07, -3.55]","[0.0, -0.07, -3.55]","[0.0, -0.07, -3.55]","[None, None, None]","[0.0, -0.07, -3.55]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GAGR.TA,"[0.0, -5.12, 5.63]","[0.0, -5.12, 5.63]","[0.0, -5.12, 5.63]","[0.0, -5.12, 5.63]","[0.0, -5.12, 5.63]","[0.0, -5.12, 5.63]","[0.0, -5.12, 5.63]","[0.0, -5.12, 5.63]","[None, None, None]","[0.0, -5.12, 5.63]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -5.12, 5.63]","[None, None, None]"
GVYM.TA,"[0.0, 8.54, 6.0]","[0.0, 8.54, 6.0]","[None, None, None]","[None, None, None]","[0.0, 8.54, 6.0]","[0.0, 8.54, 6.0]","[0.0, 8.54, 6.0]","[0.0, 8.54, 6.0]","[0.0, 8.54, 6.0]","[None, None, None]","[0.0, 8.54, 6.0]","[0.0, 8.54, 6.0]","[0.0, 8.54, 6.0]","[0.0, 8.54, 6.0]","[None, None, None]"
