,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Operating Income (EBIT),Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Number of Outstanding Shares,Dividends Paid
DRAL.TA,"[0.38, 1.47, 10.11]","[0.38, 1.47, 10.11]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.38, 1.47, 10.11]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.38, 1.47, 10.11]","[None, None, None]","[None, None, None]"
ELAL.TA,"[0.34, -1.82, -9.42]","[0.34, -1.82, -9.42]","[None, None, None]","[0.34, -1.82, -9.42]","[0.34, -1.82, -9.42]","[0.34, -1.82, -9.42]","[0.34, -1.82, -9.42]","[0.34, -1.82, -9.42]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.34, -1.82, -9.42]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]","[0.62, 1.32, 0.59]"
ELCO.TA,"[0.34, 3.28, 8.9]","[0.34, 3.28, 8.9]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.34, 3.28, 8.9]","[0.34, 3.28, 8.9]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.34, 3.28, 8.9]"
ELTR.TA,"[-0.82, 1.14, 1.6]","[-0.82, 1.14, 1.6]","[None, None, None]","[-0.82, 1.14, 1.6]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.82, 1.14, 1.6]","[None, None, None]","[-0.82, 1.14, 1.6]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELCP.TA,"[-0.26, 3.6, -3.67]","[-0.26, 3.6, -3.67]","[None, None, None]","[None, None, None]","[-0.26, 3.6, -3.67]","[-0.26, 3.6, -3.67]","[-0.26, 3.6, -3.67]","[-0.26, 3.6, -3.67]","[-0.26, 3.6, -3.67]","[-0.26, 3.6, -3.67]","[None, None, None]","[None, None, None]","[-0.26, 3.6, -3.67]","[None, None, None]","[None, None, None]"
ELCRE.TA,"[None, None, None]","[1.27, 4.85, 29.18]","[None, None, None]","[None, None, None]","[1.27, 4.85, 29.18]","[1.27, 4.85, 29.18]","[1.27, 4.85, 29.18]","[1.27, 4.85, 29.18]","[1.27, 4.85, 29.18]","[None, None, None]","[1.27, 4.85, 29.18]","[1.27, 4.85, 29.18]","[1.27, 4.85, 29.18]","[1.27, 4.85, 29.18]","[1.27, 4.85, 29.18]"
ELMR.TA,"[-0.48, 6.45, 28.02]","[-0.48, 6.45, 28.02]","[-0.48, 6.45, 28.02]","[-0.48, 6.45, 28.02]","[None, None, None]","[-0.48, 6.45, 28.02]","[-0.48, 6.45, 28.02]","[-0.48, 6.45, 28.02]","[-0.48, 6.45, 28.02]","[-0.48, 6.45, 28.02]","[-0.48, 6.45, 28.02]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.48, 6.45, 28.02]"
EMCO.TA,"[0.48, 37.75, 32.47]","[0.48, 37.75, 32.47]","[None, None, None]","[0.48, 37.75, 32.47]","[None, None, None]","[None, None, None]","[None, None, None]","[0.48, 37.75, 32.47]","[0.48, 37.75, 32.47]","[0.48, 37.75, 32.47]","[None, None, None]","[None, None, None]","[0.48, 37.75, 32.47]","[None, None, None]","[0.48, 37.75, 32.47]"
ENOG.TA,"[0.63, 0.65, -0.39]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLT.TA,"[1.49, 0.36, 0.71]","[1.49, 0.36, 0.71]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.49, 0.36, 0.71]","[1.49, 0.36, 0.71]","[None, None, None]","[None, None, None]","[None, None, None]","[1.49, 0.36, 0.71]","[None, None, None]","[None, None, None]"
ENLV.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[2.95, 24.22, 3.81]","[None, None, None]"
EQTL.TA,"[-0.57, 0.11, 2.47]","[-0.57, 0.11, 2.47]","[None, None, None]","[None, None, None]","[-0.57, 0.11, 2.47]","[-0.57, 0.11, 2.47]","[None, None, None]","[-0.57, 0.11, 2.47]","[-0.57, 0.11, 2.47]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.57, 0.11, 2.47]","[None, None, None]","[None, None, None]"
FIBIH.TA,"[None, None, None]","[-0.43, 4.33, 12.38]","[-0.43, 4.33, 12.38]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.43, 4.33, 12.38]","[-0.43, 4.33, 12.38]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.43, 4.33, 12.38]","[None, None, None]","[None, None, None]"
FRSX.TA,"[None, None, None]","[3.65, 51.04, 12.15]","[3.65, 51.04, 12.15]","[None, None, None]","[3.65, 51.04, 12.15]","[3.65, 51.04, 12.15]","[3.65, 51.04, 12.15]","[3.65, 51.04, 12.15]","[3.65, 51.04, 12.15]","[3.65, 51.04, 12.15]","[None, None, None]","[None, None, None]","[3.65, 51.04, 12.15]","[None, None, None]","[None, None, None]"
FORTY.TA,"[-0.27, 4.72, 2.19]","[-0.27, 4.72, 2.19]","[-0.27, 4.72, 2.19]","[-0.27, 4.72, 2.19]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.27, 4.72, 2.19]","[None, None, None]","[-0.27, 4.72, 2.19]","[-0.27, 4.72, 2.19]","[-0.27, 4.72, 2.19]","[-0.27, 4.72, 2.19]","[-0.27, 4.72, 2.19]","[None, None, None]"
GSFI.TA,"[-0.05, -0.3, 3.87]","[-0.05, -0.3, 3.87]","[-0.05, -0.3, 3.87]","[-0.05, -0.3, 3.87]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.05, -0.3, 3.87]","[-0.05, -0.3, 3.87]","[-0.05, -0.3, 3.87]","[None, None, None]","[None, None, None]","[-0.05, -0.3, 3.87]","[None, None, None]","[None, None, None]"
GAGR.TA,"[0.98, 9.83, 10.37]","[0.98, 9.83, 10.37]","[0.98, 9.83, 10.37]","[0.98, 9.83, 10.37]","[None, None, None]","[0.98, 9.83, 10.37]","[0.98, 9.83, 10.37]","[0.98, 9.83, 10.37]","[0.98, 9.83, 10.37]","[0.98, 9.83, 10.37]","[None, None, None]","[None, None, None]","[0.98, 9.83, 10.37]","[None, None, None]","[None, None, None]"
GNRS.TA,"[None, None, None]","[None, None, None]","[0.18, 11.02, 6.69]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.18, 11.02, 6.69]"
GILT.TA,"[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[None, None, None]","[None, None, None]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]","[1.31, 42.79, 31.1]"
GOLD.TA,"[0.0, 9.88, 13.82]","[0.0, 9.88, 13.82]","[0.0, 9.88, 13.82]","[0.0, 9.88, 13.82]","[None, None, None]","[0.0, 9.88, 13.82]","[0.0, 9.88, 13.82]","[0.0, 9.88, 13.82]","[0.0, 9.88, 13.82]","[None, None, None]","[0.0, 9.88, 13.82]","[0.0, 9.88, 13.82]","[0.0, 9.88, 13.82]","[0.0, 9.88, 13.82]","[None, None, None]"
GOHO.TA,"[0.0, -1.74, 0.43]","[0.0, -1.74, 0.43]","[None, None, None]","[0.0, -1.74, 0.43]","[None, None, None]","[0.0, -1.74, 0.43]","[0.0, -1.74, 0.43]","[0.0, -1.74, 0.43]","[0.0, -1.74, 0.43]","[0.0, -1.74, 0.43]","[None, None, None]","[None, None, None]","[0.0, -1.74, 0.43]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[0.57, 9.11, 20.13]","[0.57, 9.11, 20.13]","[0.57, 9.11, 20.13]","[0.57, 9.11, 20.13]","[0.57, 9.11, 20.13]","[0.57, 9.11, 20.13]","[0.57, 9.11, 20.13]","[0.57, 9.11, 20.13]","[0.57, 9.11, 20.13]","[0.57, 9.11, 20.13]","[None, None, None]","[None, None, None]","[0.57, 9.11, 20.13]","[None, None, None]","[None, None, None]"
HARL.TA,"[-0.3, -1.56, 4.42]","[-0.3, -1.56, 4.42]","[None, None, None]","[None, None, None]","[-0.3, -1.56, 4.42]","[None, None, None]","[None, None, None]","[-0.3, -1.56, 4.42]","[-0.3, -1.56, 4.42]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.3, -1.56, 4.42]","[None, None, None]","[None, None, None]"
HLAN.TA,"[0.88, 3.43, 2.0]","[0.88, 3.43, 2.0]","[0.88, 3.43, 2.0]","[0.88, 3.43, 2.0]","[None, None, None]","[0.88, 3.43, 2.0]","[0.88, 3.43, 2.0]","[0.88, 3.43, 2.0]","[0.88, 3.43, 2.0]","[0.88, 3.43, 2.0]","[None, None, None]","[None, None, None]","[0.88, 3.43, 2.0]","[None, None, None]","[None, None, None]"
HRON.TA,"[None, None, None]","[0.0, 1.61, 0.82]","[0.0, 1.61, 0.82]","[None, None, None]","[None, None, None]","[0.0, 1.61, 0.82]","[0.0, 1.61, 0.82]","[0.0, 1.61, 0.82]","[0.0, 1.61, 0.82]","[None, None, None]","[0.0, 1.61, 0.82]","[0.0, 1.61, 0.82]","[0.0, 1.61, 0.82]","[None, None, None]","[None, None, None]"
INRM.TA,"[-0.61, 0.42, -0.58]","[-0.61, 0.42, -0.58]","[-0.61, 0.42, -0.58]","[-0.61, 0.42, -0.58]","[None, None, None]","[-0.61, 0.42, -0.58]","[-0.61, 0.42, -0.58]","[-0.61, 0.42, -0.58]","[-0.61, 0.42, -0.58]","[-0.61, 0.42, -0.58]","[None, None, None]","[None, None, None]","[-0.61, 0.42, -0.58]","[None, None, None]","[-0.61, 0.42, -0.58]"
INCR.TA,"[4.83, 26.19, 22.09]","[4.83, 26.19, 22.09]","[4.83, 26.19, 22.09]","[4.83, 26.19, 22.09]","[None, None, None]","[4.83, 26.19, 22.09]","[4.83, 26.19, 22.09]","[4.83, 26.19, 22.09]","[4.83, 26.19, 22.09]","[4.83, 26.19, 22.09]","[None, None, None]","[None, None, None]","[4.83, 26.19, 22.09]","[None, None, None]","[None, None, None]"
