,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,"[0.7, 22.78, 24.96]","[0.7, 22.78, 24.96]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[3.18, 5.52, 15.25]","[3.18, 5.52, 15.25]","[3.18, 5.52, 15.25]","[3.18, 5.52, 15.25]","[3.18, 5.52, 15.25]","[3.18, 5.52, 15.25]","[3.18, 5.52, 15.25]","[3.18, 5.52, 15.25]"
ADGR.TA,"[0.62, -2.85, 1.26]","[0.62, -2.85, 1.26]","[0.62, -2.85, 1.26]","[0.62, -2.85, 1.26]","[0.62, -2.85, 1.26]","[0.62, -2.85, 1.26]","[0.62, -2.85, 1.26]","[0.62, -2.85, 1.26]"
ARDM.TA,"[-1.11, 93.37, 32.63]","[-1.11, 93.37, 32.63]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.82, 4.9, 45.63]","[0.82, 4.9, 45.63]","[0.82, 4.9, 45.63]","[0.82, 4.9, 45.63]","[0.82, 4.9, 45.63]","[0.82, 4.9, 45.63]","[0.82, 4.9, 45.63]","[0.82, 4.9, 45.63]"
AFPR.TA,"[0.09, 2.64, -0.44]","[0.09, 2.64, -0.44]","[0.09, 2.64, -0.44]","[0.09, 2.64, -0.44]","[0.09, 2.64, -0.44]","[0.09, 2.64, -0.44]","[0.09, 2.64, -0.44]","[0.09, 2.64, -0.44]"
AFRE.TA,"[1.29, 2.95, -2.99]","[1.29, 2.95, -2.99]","[1.29, 2.95, -2.99]","[1.29, 2.95, -2.99]","[1.29, 2.95, -2.99]","[1.29, 2.95, -2.99]","[1.29, 2.95, -2.99]","[1.29, 2.95, -2.99]"
ARPT.TA,"[-0.5, 3.06, -3.48]","[-0.5, 3.06, -3.48]","[-0.5, 3.06, -3.48]","[-0.5, 3.06, -3.48]","[-0.5, 3.06, -3.48]","[-0.5, 3.06, -3.48]","[-0.5, 3.06, -3.48]","[-0.5, 3.06, -3.48]"
ARTS.TA,"[-1.22, 18.85, 34.72]","[-1.22, 18.85, 34.72]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALAR.TA,"[-2.8, 10.39, -21.08]","[-2.8, 10.39, -21.08]","[-2.8, 10.39, -21.08]","[-2.8, 10.39, -21.08]","[-2.8, 10.39, -21.08]","[-2.8, 10.39, -21.08]","[-2.8, 10.39, -21.08]","[-2.8, 10.39, -21.08]"
