,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
GVYM.TA,"[0.2751, 0.3443, 0.4135]","[-0.2236, -0.1545, -0.0852]","[None, None, None]","[None, None, None]","[0.838, 0.9072, 0.9764]","[0.8462, 0.9153, 0.9846]","[None, None, None]","[None, None, None]","[0.835, 0.9041, 0.9734]","[-0.1045, -0.0354, 0.0338]","[0.9804, 0.9505, 0.8812]","[None, None, None]","[0.9804, 0.9505, 0.8812]","[None, None, None]","[-0.5425, -0.4734, -0.4041]"
GNRS.TA,"[None, None, None]","[0.9929, 0.9436, 0.9349]","[None, None, None]","[None, None, None]","[0.9929, 0.9436, 0.9349]","[0.9929, 0.9436, 0.9349]","[None, None, None]","[None, None, None]","[0.9929, 0.9436, 0.9349]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9929, 0.9436, 0.9349]"
GILT.TA,"[0.7379, 0.7251, 0.6553]","[0.0363, 0.0235, -0.0463]","[0.0109, -0.0018, -0.0716]","[0.6583, 0.6455, 0.5757]","[0.9612, 0.9739, 0.9563]","[0.8738, 0.8866, 0.9564]","[None, None, None]","[None, None, None]","[0.9917, 0.9956, 0.9258]","[0.1031, 0.0904, 0.0206]","[-1.0, -1.0, -1.0]","[-0.8754, -0.8627, -0.7929]","[None, None, None]","[0.9976, 0.9897, 0.9199]","[0.9891, 0.9982, 0.9284]"
GRIN.TA,"[-0.1435, -0.079, 0.0231]","[0.7129, 0.6484, 0.5463]","[0.7793, 0.8438, 0.9459]","[-0.1621, -0.0975, 0.0045]","[0.9886, 0.9469, 0.8448]","[0.9886, 0.9469, 0.8448]","[0.9886, 0.9469, 0.8448]","[0.9886, 0.9469, 0.8448]","[0.9886, 0.9469, 0.8448]","[-0.0684, -0.0039, 0.0982]","[0.5294, 0.4649, 0.3628]","[0.0082, 0.0727, 0.1748]","[0.2147, 0.2792, 0.3813]","[None, None, None]","[None, None, None]"
GOLD.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9891, 0.8979, 0.9174]","[0.9795, 0.8884, 0.9079]","[0.2865, 0.1953, 0.2148]","[0.6337, 0.5425, 0.562]","[0.9929, 0.9017, 0.9212]","[None, None, None]","[-0.0246, 0.0666, 0.0471]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9989, 0.91, 0.9295]","[None, None, None]"
GOHO.TA,"[0.415, 0.455, 0.3978]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.3758, 0.4158, 0.3586]","[0.9473, 0.9874, 0.9301]","[0.9379, 0.9779, 0.9207]","[None, None, None]","[None, None, None]","[0.9644, 0.9955, 0.9472]","[0.4891, 0.5291, 0.4719]","[-0.1878, -0.2278, -0.1706]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9775, 0.9824, 0.9603]","[None, None, None]"
HAMAT.TA,"[-0.0515, 0.0554, 0.0919]","[0.1411, 0.248, 0.2845]","[0.1788, 0.072, 0.0355]","[0.0155, 0.1224, 0.1589]","[0.9992, 0.8939, 0.8574]","[0.9493, 0.8424, 0.8059]","[None, None, None]","[None, None, None]","[0.8842, 0.991, 0.9725]","[0.1669, 0.2737, 0.3102]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HARL.TA,"[0.0067, 0.0208, 0.0032]","[-0.0766, -0.0908, -0.0731]","[None, None, None]","[None, None, None]","[0.0051, 0.0193, 0.0016]","[0.0051, 0.0193, 0.0016]","[None, None, None]","[None, None, None]","[-0.0038, -0.018, -0.0003]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[0.0131, 0.06, 0.0641]","[0.0188, 0.0657, 0.0698]","[None, None, None]","[0.0419, 0.0888, 0.0929]","[0.935, 0.9819, 0.986]","[0.9509, 0.9978, 0.9981]","[0.6932, 0.6463, 0.6422]","[0.825, 0.7781, 0.774]","[0.9815, 0.9346, 0.9305]","[0.0447, 0.0916, 0.0957]","[-1.0, -1.0, -1.0]","[0.0619, 0.1088, 0.1129]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
HRON.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9948, 0.9419, 0.9189]","[0.9903, 0.9463, 0.9233]","[0.8245, 0.8879, 0.9109]","[0.9161, 0.9795, 0.9975]","[0.9862, 0.9228, 0.8998]","[0.9821, 0.9187, 0.8957]","[None, None, None]","[0.9948, 0.9419, 0.9189]","[0.9948, 0.9419, 0.9189]","[0.9948, 0.9419, 0.9189]","[None, None, None]","[None, None, None]"
HLMS.TA,"[-1.0, -1.0, -1.0]","[-0.0437, -0.0262, -0.0638]","[0.9906, 0.973, 0.9893]","[-0.2084, -0.2259, -0.1883]","[0.946, 0.9285, 0.9661]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8514, 0.8338, 0.8715]","[None, None, None]","[0.8614, 0.8438, 0.8815]","[0.674, 0.6564, 0.6941]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
INRM.TA,"[-0.0314, 0.0434, -0.0332]","[-0.1838, -0.109, -0.1857]","[0.2252, 0.3, 0.2233]","[0.0147, 0.0894, 0.0128]","[0.9318, 0.9935, 0.9299]","[0.942, 0.9832, 0.9401]","[None, None, None]","[None, None, None]","[0.9567, 0.8819, 0.9585]","[-0.1614, -0.0866, -0.1632]","[0.0793, 0.154, 0.0774]","[-0.0185, -0.0932, -0.0166]","[0.7028, 0.628, 0.7047]","[None, None, None]","[0.267, 0.3418, 0.2651]"
INCR.TA,"[0.6707, 0.5796, 0.6034]","[0.215, 0.1239, 0.1476]","[-0.1426, -0.2337, -0.2099]","[0.6307, 0.5396, 0.5633]","[0.3229, 0.2318, 0.2556]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.5196, 0.4285, 0.4523]","[0.3037, 0.2126, 0.2363]","[0.221, 0.3121, 0.2883]","[-0.2897, -0.1986, -0.2223]","[-1.0, -1.0, -1.0]","[0.9623, 0.9466, 0.9704]","[None, None, None]"
ISCN.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISRA.TA,"[0.0264, 0.0896, 0.0938]","[-0.5473, -0.4841, -0.4799]","[-0.6037, -0.5404, -0.5362]","[None, None, None]","[0.9517, 0.8885, 0.8843]","[0.9311, 0.8678, 0.8636]","[None, None, None]","[None, None, None]","[0.9794, 0.9162, 0.912]","[-0.583, -0.5198, -0.5156]","[0.4569, 0.5201, 0.5244]","[0.9431, 0.8798, 0.8756]","[0.5299, 0.4666, 0.4624]","[0.9993, 0.9375, 0.9333]","[None, None, None]"
ISTA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -0.9409, -0.9824]","[-0.4189, -0.331, -0.3726]","[-1.0, -1.0, -1.0]","[0.972, 0.9401, 0.9817]","[0.9593, 0.9528, 0.9943]","[None, None, None]","[None, None, None]","[0.9689, 0.881, 0.9225]","[0.481, 0.5689, 0.5274]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9649, 0.877, 0.9185]","[None, None, None]"
JBNK.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[-0.5426, -0.5332, -0.4068]","[-0.6072, -0.5978, -0.4714]","[None, None, None]","[-0.4111, -0.4018, -0.2754]","[0.9888, 0.9982, 0.8754]","[0.9733, 0.9827, 0.8909]","[0.8368, 0.8275, 0.7011]","[0.7096, 0.7002, 0.5738]","[0.9733, 0.9827, 0.8909]","[-0.7101, -0.7007, -0.5743]","[0.9937, 0.9969, 0.8705]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
KMDA.TA,"[0.031, -0.0214, -0.0583]","[0.6557, 0.6033, 0.5664]","[0.6711, 0.6187, 0.5818]","[-0.0114, -0.0638, -0.1006]","[0.9768, 0.9244, 0.8875]","[0.8877, 0.9401, 0.977]","[0.4759, 0.5283, 0.5652]","[0.2456, 0.298, 0.3349]","[0.9982, 0.9458, 0.9089]","[0.5619, 0.5095, 0.4727]","[-0.5648, -0.5124, -0.4756]","[-0.0051, -0.0575, -0.0944]","[0.0328, 0.0852, 0.1221]","[None, None, None]","[None, None, None]"
KRDI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9437, 0.5454, 0.6921]","[0.9884, 0.5902, 0.7368]","[None, None, None]","[None, None, None]","[0.8674, 0.4691, 0.6158]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[0.1326, 0.1533, 0.3269]","[0.0397, 0.0604, 0.234]","[0.4761, 0.4967, 0.6704]","[0.97, 0.9906, 0.8358]","[0.9769, 0.9976, 0.8288]","[0.9978, 0.9816, 0.8079]","[0.5458, 0.5664, 0.7401]","[0.94, 0.9606, 0.8657]","[-0.9209, -0.9415, -1.0]","[0.0433, 0.0639, 0.2375]","[0.3168, 0.2962, 0.1225]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
KRUR.TA,"[-0.2685, -0.3028, -0.2629]","[-0.5104, -0.5448, -0.5048]","[0.9969, 0.9625, 0.9975]","[-0.2993, -0.3336, -0.2937]","[0.9829, 0.9827, 0.9773]","[0.9969, 0.9625, 0.9975]","[None, None, None]","[None, None, None]","[0.9969, 0.9625, 0.9975]","[0.9984, 0.9672, 0.9928]","[0.5254, 0.5598, 0.5198]","[-1.0, -1.0, -1.0]","[0.9969, 0.9625, 0.9975]","[None, None, None]","[0.9969, 0.9625, 0.9975]"
LAHAV.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LPHL.TA,"[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9725, 0.9831, 0.9765]","[0.9619, 0.9514, 0.958]","[None, None, None]","[None, None, None]","[0.3769, 0.3874, 0.3809]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LSCO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.879, 0.9851, 0.9789]","[0.9073, 0.9568, 0.9928]","[None, None, None]","[None, None, None]","[0.8144, 0.9502, 0.9142]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LEOF.TA,"[-1.0, -1.0, -1.0]","[0.3345, 0.2665, -0.114]","[0.9889, 0.9431, 0.5626]","[-1.0, -1.0, -1.0]","[0.9889, 0.9431, 0.5626]","[0.9889, 0.9431, 0.5626]","[None, None, None]","[None, None, None]","[0.9889, 0.9431, 0.5626]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LCTX.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LPSN.TA,"[0.8839, 0.8981, 0.9679]","[0.9889, 0.9969, 0.9272]","[0.9925, 0.9933, 0.9236]","[None, None, None]","[0.9932, 0.9925, 0.9228]","[0.9956, 0.9902, 0.9204]","[None, None, None]","[0.9763, 0.9905, 0.9398]","[0.9861, 0.9997, 0.93]","[0.9888, 0.997, 0.9273]","[0.779, 0.7933, 0.863]","[-0.1388, -0.153, -0.2227]","[-0.4191, -0.4049, -0.3352]","[0.9755, 0.9897, 0.9406]","[None, None, None]"
MLTM.TA,"[0.0206, 0.053, 0.082]","[0.2661, 0.2985, 0.3275]","[0.2621, 0.2944, 0.3234]","[0.0916, 0.1239, 0.1529]","[0.9901, 0.9577, 0.9287]","[0.9901, 0.9577, 0.9287]","[0.7377, 0.77, 0.799]","[0.9792, 0.9885, 0.9595]","[0.9877, 0.98, 0.951]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9901, 0.9577, 0.9287]","[None, None, None]"
MTRX.TA,"[0.0462, 0.0791, 0.0829]","[0.0134, 0.0463, 0.0501]","[0.9803, 0.9869, 0.9831]","[-0.0155, 0.0173, 0.0211]","[0.999, 0.9662, 0.9624]","[0.8093, 0.7764, 0.7726]","[0.7458, 0.7786, 0.7824]","[0.8882, 0.8553, 0.8515]","[0.9961, 0.9711, 0.9673]","[0.0007, 0.0336, 0.0374]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.7527, 0.7199, 0.7161]","[None, None, None]","[-1.0, -1.0, -1.0]"
MAXO.TA,"[0.1661, 0.1176, 0.0871]","[0.3192, 0.2707, 0.2402]","[0.3782, 0.3297, 0.2991]","[0.1455, 0.097, 0.0665]","[0.922, 0.9706, 0.9989]","[0.6716, 0.7201, 0.7506]","[0.0874, 0.0389, 0.0084]","[0.8472, 0.8957, 0.9262]","[0.7231, 0.7717, 0.8022]","[0.2281, 0.1796, 0.149]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MTRN.TA,"[-0.1873, -0.1242, -0.0446]","[-0.2047, -0.1415, -0.0619]","[-0.1977, -0.1346, -0.055]","[-0.1958, -0.1327, -0.0531]","[0.9511, 0.9858, 0.9062]","[0.8593, 0.7962, 0.7166]","[0.8541, 0.791, 0.7114]","[0.9939, 0.9308, 0.8512]","[0.7993, 0.8624, 0.942]","[-0.2231, -0.16, -0.0804]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9993, 0.9362, 0.8566]"
MDPR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9945, 0.9812, 0.969]","[None, None, None]"
MNIN.TA,"[0.0062, 0.0181, 0.1801]","[0.0333, 0.0451, 0.2071]","[0.0292, 0.041, 0.203]","[0.0104, 0.0222, 0.1842]","[0.9803, 0.9685, 0.8065]","[0.9506, 0.9388, 0.7768]","[0.9373, 0.9255, 0.7635]","[0.8729, 0.861, 0.699]","[0.9837, 0.9955, 0.8425]","[0.1126, 0.1245, 0.2864]","[0.9772, 0.9891, 0.8489]","[-1.0, -1.0, -1.0]","[-0.2559, -0.2678, -0.4297]","[None, None, None]","[0.9811, 0.9692, 0.8072]"
MNRT.TA,"[None, None, None]","[-0.2275, -0.1328, -0.1334]","[-0.0007, 0.094, 0.0934]","[None, None, None]","[0.89, 0.9847, 0.9841]","[0.9751, 0.8804, 0.881]","[None, None, None]","[0.9979, 0.9074, 0.908]","[0.981, 0.9243, 0.9249]","[None, None, None]","[0.123, 0.2177, 0.2171]","[0.5815, 0.4869, 0.4874]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -0.906, -0.9066]"
MGRT.TA,"[None, None, None]","[-0.6043, -0.5075, -0.567]","[-0.5807, -0.4839, -0.5433]","[None, None, None]","[0.9012, 0.998, 0.9386]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9626, 0.9406, 0.9999]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MCRNT.TA,"[-1.0, -1.0, -1.0]","[0.4767, 0.3589, 0.2817]","[None, None, None]","[-1.0, -1.0, -1.0]","[-0.2652, -0.1474, -0.0702]","[0.8532, 0.971, 0.9517]","[0.0102, -0.1076, -0.1849]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLD.TA,"[-0.379, -0.4564, -0.4305]","[0.7254, 0.648, 0.6739]","[None, None, None]","[-0.1325, -0.2099, -0.184]","[0.5725, 0.6499, 0.624]","[0.5892, 0.6667, 0.6408]","[None, None, None]","[None, None, None]","[0.5952, 0.6726, 0.6467]","[0.9421, 0.8647, 0.8906]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[None, None, None]","[0.012, -0.0128, -0.1207]","[None, None, None]","[None, None, None]","[0.092, 0.0672, -0.0408]","[0.0988, 0.074, -0.034]","[None, None, None]","[0.7153, 0.6905, 0.5825]","[0.0157, -0.0091, -0.117]","[None, None, None]","[0.0116, -0.0132, -0.1211]","[-0.8522, -0.8274, -0.7194]","[-0.0313, -0.0561, -0.1641]","[None, None, None]","[None, None, None]"
MLRN.TA,"[None, None, None]","[-0.3789, -0.3157, -0.2407]","[-0.4009, -0.3378, -0.2627]","[None, None, None]","[0.7903, 0.8534, 0.9285]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9602, 0.9767, 0.9016]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9918, 0.9287, 0.8536]","[-1.0, -1.0, -1.0]"
MDIN.TA,"[-0.5225, -0.4393, -0.2632]","[-0.7518, -0.6686, -0.4926]","[-0.5642, -0.481, -0.305]","[None, None, None]","[-0.7884, -0.7052, -0.5292]","[0.6807, 0.7639, 0.9399]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.3792, -0.296, -0.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[-0.1111, -0.1523, -0.1176]","[0.2298, 0.1887, 0.2234]","[None, None, None]","[0.0965, 0.0553, 0.09]","[0.9979, 0.961, 0.9957]","[0.8474, 0.8062, 0.8409]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9944, 0.9532, 0.9879]","[None, None, None]"
NXFR.TA,"[0.9677, 0.9837, 0.9494]","[0.9677, 0.9837, 0.9494]","[-1.0, -1.0, -1.0]","[0.9677, 0.9837, 0.9494]","[0.9525, 0.9989, 0.9646]","[0.8174, 0.7688, 0.7345]","[None, None, None]","[None, None, None]","[0.8333, 0.8819, 0.9161]","[0.9677, 0.9837, 0.9494]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NICE.TA,"[0.9816, 0.8903, 0.8699]","[0.8298, 0.7385, 0.7181]","[0.8383, 0.7471, 0.7266]","[0.974, 0.8828, 0.8623]","[0.9752, 0.884, 0.8636]","[0.9236, 0.8324, 0.8119]","[None, None, None]","[0.984, 0.8928, 0.8723]","[0.9912, 0.9176, 0.8972]","[0.9418, 0.8506, 0.8301]","[0.475, 0.3837, 0.3633]","[0.9949, 0.9036, 0.8832]","[0.1156, 0.0244, 0.004]","[0.9762, 0.885, 0.8645]","[None, None, None]"
NISA.TA,"[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[0.9914, 0.9738, 0.9408]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
NSTR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NVLG.TA,"[0.5683, 0.5601, 0.5668]","[0.9836, 0.9918, 0.9852]","[0.9836, 0.9918, 0.9852]","[0.5916, 0.5834, 0.59]","[0.9836, 0.9918, 0.9852]","[0.9836, 0.9918, 0.9852]","[0.0203, 0.0121, 0.0187]","[0.0195, 0.0113, 0.0179]","[0.9836, 0.9918, 0.9852]","[None, None, None]","[0.4536, 0.4454, 0.452]","[0.9836, 0.9918, 0.9852]","[0.9836, 0.9918, 0.9852]","[0.9836, 0.9918, 0.9852]","[None, None, None]"
OPCE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.332, 0.3746, 0.3853]","[0.4172, 0.4598, 0.4705]","[None, None, None]","[None, None, None]","[0.1396, 0.1822, 0.1929]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPK.TA,"[0.8076, 0.8582, 0.888]","[-0.5248, -0.4741, -0.4444]","[-0.6039, -0.5532, -0.5235]","[None, None, None]","[0.9573, 0.9921, 0.9623]","[0.8212, 0.8718, 0.9016]","[None, None, None]","[None, None, None]","[0.9767, 0.9261, 0.8963]","[0.1416, 0.1922, 0.222]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9943, 0.9436, 0.9139]","[None, None, None]"
ORAD.TA,"[0.0616, 0.0917, 0.2587]","[0.5943, 0.6245, 0.7914]","[0.978, 0.9919, 0.825]","[0.1084, 0.1385, 0.3054]","[0.9395, 0.9094, 0.7424]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9554, 0.9855, 0.8476]","[0.4536, 0.4837, 0.6507]","[0.7101, 0.7402, 0.9071]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
ORMP.TA,"[0.0264, 0.04, 0.5091]","[0.1596, 0.146, -0.3231]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.5082, 0.5218, 0.9909]","[0.9443, 0.9307, 0.4616]","[None, None, None]","[None, None, None]","[0.2606, 0.2742, 0.7433]","[None, None, None]","[0.4588, 0.4452, -0.0239]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.825, 0.8386, 0.6923]","[None, None, None]"
ORIN.TA,"[-1.0, -1.0, -1.0]","[0.6948, 0.6736, 0.6623]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9862, 0.9926, 0.9812]","[0.9722, 0.9934, 0.9952]","[0.7807, 0.8019, 0.8133]","[0.9808, 0.998, 0.9867]","[0.9256, 0.9045, 0.8931]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OVRS.TA,"[-0.0694, -0.0643, -0.0703]","[0.108, 0.1131, 0.1071]","[0.131, 0.1361, 0.1301]","[-0.1521, -0.147, -0.153]","[0.943, 0.9481, 0.9421]","[0.9887, 0.9836, 0.9896]","[0.7179, 0.7128, 0.7188]","[0.8878, 0.8929, 0.8869]","[0.9851, 0.9902, 0.9842]","[None, None, None]","[0.0964, 0.1016, 0.0956]","[-0.1163, -0.1214, -0.1154]","[-0.0412, -0.0463, -0.0403]","[None, None, None]","[None, None, None]"
PLRM.TA,"[-0.008, 0.0256, 0.3108]","[0.5345, 0.5682, 0.8534]","[None, None, None]","[-0.011, 0.0226, 0.3078]","[0.9309, 0.8973, 0.6121]","[0.9437, 0.9773, 0.7375]","[None, None, None]","[None, None, None]","[0.9652, 0.9988, 0.716]","[0.3695, 0.4032, 0.6884]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8038, 0.8375, 0.8773]"
PAZ.TA,"[-0.275, -0.1934, -0.2075]","[None, None, None]","[None, None, None]","[0.0316, 0.1131, 0.099]","[0.9712, 0.9473, 0.9614]","[0.9598, 0.9586, 0.9727]","[0.961, 0.8794, 0.8935]","[None, None, None]","[0.9987, 0.9198, 0.9339]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PERI.TA,"[0.805, 0.7002, 0.8247]","[-0.1161, -0.2209, -0.0964]","[-0.0847, -0.1895, -0.0651]","[None, None, None]","[0.9792, 0.8745, 0.9989]","[0.9709, 0.8661, 0.9906]","[None, None, None]","[None, None, None]","[0.9841, 0.8794, 0.9962]","[-0.2661, -0.3709, -0.2465]","[0.9426, 0.8378, 0.9622]","[0.7319, 0.6271, 0.7515]","[0.0136, 0.1183, -0.0061]","[0.9911, 0.8863, 0.9893]","[None, None, None]"
PTCH.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9341, 0.8051, 0.9658]","[0.6515, 0.5225, 0.6832]","[None, None, None]","[None, None, None]","[0.5309, 0.6598, 0.4991]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PHOE.TA,"[None, None, None]","[-0.0162, -0.001, -0.1307]","[None, None, None]","[None, None, None]","[0.0108, 0.0261, -0.1036]","[0.0127, 0.028, -0.1017]","[None, None, None]","[0.9778, 0.993, 0.8634]","[-0.0166, -0.0014, -0.1311]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLCR.TA,"[0.9903, 0.9214, 0.9591]","[0.9903, 0.9214, 0.9591]","[0.9903, 0.9214, 0.9591]","[0.9903, 0.9214, 0.9591]","[0.9903, 0.9214, 0.9591]","[0.9903, 0.9214, 0.9591]","[None, None, None]","[None, None, None]","[0.9903, 0.9214, 0.9591]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9903, 0.9214, 0.9591]"
PPIL.TA,"[-0.1607, -0.1303, -0.1749]","[-0.0255, 0.0049, -0.0396]","[0.0, 0.0304, -0.0142]","[-0.1579, -0.1275, -0.1721]","[0.9568, 0.9264, 0.971]","[0.9865, 0.9831, 0.9724]","[0.7278, 0.6974, 0.7419]","[0.3492, 0.3796, 0.335]","[0.9728, 0.9967, 0.9587]","[-0.6058, -0.5754, -0.6199]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9696, 0.9858]","[None, None, None]"
PLUR.TA,"[None, None, None]","[-0.5278, -0.4075, -0.279]","[-0.5338, -0.4135, -0.2849]","[None, None, None]","[0.8377, 0.958, 0.9135]","[0.9376, 0.8173, 0.6888]","[None, None, None]","[None, None, None]","[0.7917, 0.912, 0.9595]","[-0.5453, -0.425, -0.2965]","[-0.3261, -0.2058, -0.0773]","[-0.7544, -0.8747, -1.0]","[-1.0, -1.0, -1.0]","[0.9599, 0.9198, 0.7913]","[None, None, None]"
POLI.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
POLP.TA,"[-0.1368, -0.0946, 0.0734]","[-0.3276, -0.2854, -0.1174]","[-0.31, -0.2678, -0.0999]","[None, None, None]","[0.8933, 0.9355, 0.8966]","[0.8189, 0.8611, 0.9709]","[None, None, None]","[None, None, None]","[0.9858, 0.972, 0.8041]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9958, 0.962, 0.794]","[-0.0042, 0.038, 0.206]"
