,Revenue,Net Income,Earnings Per Share (EPS),Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Gross Profit,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Operating Cash Flow,Number of Outstanding Shares
MDIN.TA,"[-0.0602, -0.0938, -0.2048]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[1.0, 0.9664, 0.8554]","[0.869, 0.8354, 0.7244]","[0.2939, 0.2603, 0.1494]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.1332, 0.0996, -0.0114]","[None, None, None]"
NFTA.TA,"[-0.1579, -0.0378, -0.1441]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.2944, -0.1744, -0.2807]","[0.9482, 0.9317, 0.9619]","[0.9984, 0.8783, 0.9847]","[0.8885, 0.9914, 0.9022]","[None, None, None]","[-0.1761, -0.0561, -0.1624]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NVPT.TA,"[0.0024, 0.0256, 0.011]","[-0.8133, -0.7901, -0.8047]","[-1.0, -1.0, -1.0]","[0.0781, 0.1012, 0.0866]","[0.9606, 0.9838, 0.9692]","[0.9847, 0.9616, 0.9762]","[0.868, 0.8912, 0.8766]","[None, None, None]","[0.0359, 0.059, 0.0444]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NYAX.TA,"[-0.2074, -0.0132, 0.0302]","[-0.0582, -0.2524, -0.2958]","[-0.0535, -0.2477, -0.2911]","[0.029, -0.1652, -0.2086]","[0.9465, 0.8593, 0.8159]","[0.7982, 0.9924, 0.9642]","[0.936, 0.7418, 0.6984]","[None, None, None]","[-0.0774, 0.1168, 0.1602]","[0.7021, 0.5079, 0.4645]","[0.7165, 0.5223, 0.4789]","[None, None, None]","[0.3181, 0.124, 0.0805]","[-1.0, -1.0, -1.0]","[None, None, None]"
NTML.TA,"[0.0037, -0.0004, 0.1556]","[0.0048, 0.0007, 0.1567]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.001, -0.0031, 0.1528]","[0.0012, -0.003, 0.153]","[0.0009, -0.0032, 0.1528]","[None, None, None]","[0.0042, 0.0001, 0.156]","[-0.0011, 0.003, -0.153]","[0.0029, 0.007, -0.149]","[0.001, -0.0031, 0.1529]","[None, None, None]","[0.0011, -0.003, 0.153]","[0.001, -0.0031, 0.1528]"
NXFR.TA,"[-0.881, -0.9836, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.8774, 0.7747, 0.6087]","[0.9335, 0.8308, 0.6649]","[0.8526, 0.7499, 0.5839]","[None, None, None]","[0.2308, 0.1281, -0.0379]","[1.0, 0.8973, 0.7314]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NICE.TA,"[0.994, 0.99, 0.9913]","[0.8678, 0.8838, 0.8651]","[0.8621, 0.8781, 0.8594]","[0.8295, 0.8456, 0.8268]","[0.9919, 0.9759, 0.9946]","[0.9597, 0.9436, 0.9624]","[0.9874, 0.9966, 0.9847]","[None, None, None]","[0.9854, 0.9986, 0.9827]","[-1.0, -1.0, -1.0]","[0.443, 0.459, 0.4403]","[0.8639, 0.8478, 0.8666]","[0.9991, 0.9849, 0.9964]","[0.083, 0.067, 0.0857]","[0.9913, 0.9753, 0.9941]"
NISA.TA,"[-1.0, -1.0, -1.0]","[0.1655, 0.1866, 0.2924]","[0.2632, 0.2843, 0.39]","[0.2606, 0.2394, 0.1337]","[0.9334, 0.9546, 0.9397]","[0.6122, 0.6334, 0.7391]","[0.9794, 0.9995, 0.8937]","[0.9992, 0.9796, 0.8739]","[-0.6864, -0.7076, -0.8133]","[0.141, 0.1622, 0.2679]","[-1.0, -1.0, -1.0]","[0.8819, 0.9031, 0.9912]","[0.9318, 0.9106, 0.8049]","[0.6259, 0.647, 0.7528]","[None, None, None]"
NOFR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9956, 0.9607, 0.9009]","[0.6559, 0.6996, 0.7594]","[0.9648, 0.9211, 0.8614]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.994, 0.9502, 0.8905]","[1.0, 0.9563, 0.8965]","[None, None, None]","[None, None, None]"
NSTR.TA,"[None, None, None]","[0.2353, 0.2989, -0.014]","[0.2314, 0.295, -0.0179]","[None, None, None]","[0.9976, 0.9388, 0.7483]","[None, None, None]","[0.9699, 0.9666, 0.7206]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
ORMP.TA,"[0.0119, 0.2134, 0.0207]","[None, None, None]","[-0.4545, -0.253, -0.4457]","[None, None, None]","[0.8895, 0.688, 0.8807]","[0.787, 0.5854, 0.7781]","[0.8994, 0.6979, 0.8906]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9874, 0.811, 0.9963]"
ORIN.TA,"[0.0758, 0.0886, 0.0003]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9542, 0.9414, 0.9703]","[0.6594, 0.6466, 0.7349]","[0.82, 0.8329, 0.7445]","[None, None, None]","[-0.1051, -0.0922, -0.1805]","[0.7455, 0.7583, 0.67]","[-1.0, -1.0, -1.0]","[0.8145, 0.8016, 0.8899]","[0.6292, 0.6164, 0.7047]","[-1.0, -1.0, -1.0]","[1.0, 0.9872, 0.9245]"
PAZ.TA,"[0.8026, 0.8546, 0.7225]","[None, None, None]","[None, None, None]","[0.8962, 0.9483, 0.8161]","[0.8787, 0.8267, 0.9588]","[0.6607, 0.6087, 0.7408]","[0.9283, 0.8763, 0.9916]","[None, None, None]","[0.8246, 0.8767, 0.7445]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLUR.TA,"[None, None, None]","[0.043, 0.2215, 0.2993]","[0.0556, 0.234, 0.3118]","[0.0565, 0.235, 0.3127]","[0.9694, 0.8521, 0.7744]","[0.8133, 0.6348, 0.5571]","[0.8146, 0.9931, 0.9292]","[None, None, None]","[None, None, None]","[-0.9772, -1.0, -1.0]","[0.0, -0.1785, -0.2562]","[None, None, None]","[0.9462, 0.8753, 0.7976]","[None, None, None]","[0.996, 0.8175, 0.7398]"
POLI.TA,"[1.0, 0.9747, 0.9918]","[-0.2206, -0.1953, -0.2124]","[None, None, None]","[None, None, None]","[0.9181, 0.8928, 0.9099]","[0.7714, 0.7968, 0.7796]","[0.9917, 0.9829, 0.9999]","[None, None, None]","[None, None, None]","[1.0, 0.9747, 0.9918]","[1.0, 0.9747, 0.9918]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRSK.TA,"[1.0, 0.9259, 0.8533]","[1.0, 0.9259, 0.8533]","[1.0, 0.9259, 0.8533]","[None, None, None]","[0.885, 0.8109, 0.7382]","[0.8973, 0.8232, 0.7505]","[0.863, 0.789, 0.7163]","[None, None, None]","[1.0, 0.9259, 0.8533]","[None, None, None]","[None, None, None]","[0.5997, 0.6738, 0.7464]","[0.6959, 0.77, 0.8427]","[None, None, None]","[None, None, None]"
PRTC.TA,"[-0.2888, -0.2868, -0.3965]","[None, None, None]","[1.0, 0.998, 0.8922]","[None, None, None]","[1.0, 0.998, 0.8922]","[1.0, 0.998, 0.8922]","[1.0, 0.998, 0.8922]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RMLI.TA,"[0.9315, 0.9051, 0.921]","[0.4493, 0.4229, 0.4388]","[None, None, None]","[None, None, None]","[0.9439, 0.9176, 0.9334]","[0.944, 0.9177, 0.9335]","[0.9574, 0.931, 0.9469]","[None, None, None]","[0.9674, 0.941, 0.9569]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RANI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9388, 0.93, 0.8111]","[0.8652, 0.874, 0.9929]","[0.9781, 0.9868, 0.8942]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RPAC.TA,"[0.9836, 0.9559, 0.9289]","[0.5196, 0.4591, 0.4321]","[0.8191, 0.8796, 0.9067]","[0.5471, 0.4867, 0.4596]","[0.9604, 0.9, 0.8729]","[0.9222, 0.8618, 0.8347]","[0.6826, 0.6222, 0.5951]","[None, None, None]","[0.735, 0.6746, 0.6475]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9395, 0.9125]"
RATI.TA,"[-0.1768, -0.0704, -0.0852]","[-0.607, -0.5006, -0.5154]","[-0.64, -0.5336, -0.5483]","[-0.308, -0.2016, -0.2164]","[0.9602, 0.9334, 0.9481]","[0.999, 0.8945, 0.9093]","[0.8196, 0.926, 0.9112]","[None, None, None]","[None, None, None]","[0.9902, 0.9033, 0.9181]","[1.0, 0.8936, 0.9083]","[None, None, None]","[None, None, None]","[0.1385, 0.2449, 0.2301]","[None, None, None]"
