,Revenue,Net Income,Earnings Per Share (EPS),Total Assets,Long-Term Debt,Gross Profit,Operating Income (EBIT),Number of Outstanding Shares
PLRM.TA,"[0.2254, 0.1774, 0.214]","[0.1426, 0.0946, 0.1312]","[0.091, 0.043, 0.0796]","[0.9571, 0.9949, 0.9685]","[None, None, None]","[0.3721, 0.3241, 0.3607]","[0.1651, 0.1171, 0.1537]","[None, None, None]"
PMVM.TA,"[None, None, None]","[None, None, None]","[-0.689, -0.5759, -0.7519]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRSK.TA,"[0.7769, 0.8137, 0.8179]","[0.4035, 0.3667, 0.3625]","[0.5328, 0.5696, 0.5737]","[0.9415, 0.9783, 0.9825]","[None, None, None]","[0.9974, 0.9606, 0.9565]","[0.1512, 0.188, 0.1921]","[None, None, None]"
PRTC.TA,"[-1.0, -1.0, -1.0]","[0.141, 0.14, 0.0597]","[0.0386, 0.0377, -0.0427]","[0.9811, 0.982, 0.9376]","[0.363, 0.3621, 0.2817]","[None, None, None]","[None, None, None]","[None, None, None]"
RIT1.TA,"[None, None, None]","[0.0491, 0.0623, 0.0902]","[0.0953, 0.1085, 0.1365]","[0.9951, 0.9917, 0.9637]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9938, 0.993, 0.965]"
SPNS.TA,"[0.2627, 0.1993, 0.0355]","[0.27, 0.2067, 0.0428]","[0.0517, -0.0116, -0.1755]","[0.9925, 0.9291, 0.7652]","[0.6664, 0.603, 0.4392]","[0.2648, 0.2014, 0.0376]","[0.2842, 0.2209, 0.057]","[0.9877, 0.9244, 0.7605]"
SPEN.TA,"[0.274, 0.3053, 0.3003]","[0.141, 0.1723, 0.1673]","[0.2857, 0.3171, 0.312]","[0.9948, 0.9739, 0.9789]","[0.8844, 0.853, 0.8581]","[0.2416, 0.273, 0.2679]","[0.2191, 0.2504, 0.2454]","[None, None, None]"
SHOM.TA,"[None, None, None]","[None, None, None]","[0.755, 0.7564, 0.6908]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SAE.TA,"[0.2537, 0.2502, 0.2746]","[-1.0, -1.0, -1.0]","[0.0972, 0.0937, 0.1181]","[1.0, 0.9965, 0.9791]","[None, None, None]","[0.2584, 0.2549, 0.2793]","[0.6453, 0.6418, 0.6662]","[None, None, None]"
SKLN.TA,"[0.2579, 0.2899, 0.1562]","[-1.0, -1.0, -1.0]","[0.0389, 0.0069, 0.1406]","[0.986, 0.982, 0.8843]","[0.857, 0.825, 0.9587]","[None, None, None]","[0.7181, 0.7502, 0.6164]","[None, None, None]"
SOLR.TA,"[1.0, 0.9931, 0.99]","[-0.5844, -0.5913, -0.5944]","[0.652, 0.659, 0.662]","[1.0, 0.9931, 0.99]","[0.645, 0.6519, 0.6549]","[0.1736, 0.1666, 0.1636]","[0.73, 0.7231, 0.7201]","[None, None, None]"
STRS.TA,"[0.3011, 0.3428, 0.3634]","[0.6362, 0.5945, 0.5739]","[0.215, 0.2567, 0.2773]","[0.5916, 0.6333, 0.654]","[0.3461, 0.3878, 0.4085]","[0.2159, 0.2577, 0.2783]","[0.447, 0.4888, 0.5094]","[None, None, None]"
TMRP.TA,"[None, None, None]","[0.3078, 0.3106, 0.1752]","[0.1479, 0.1506, 0.0153]","[0.9817, 0.9844, 0.8491]","[0.9635, 0.9662, 0.8309]","[None, None, None]","[0.3887, 0.3914, 0.2561]","[0.9983, 0.999, 0.8657]"
TFRLF.TA,"[0.2472, 0.2541, 0.0018]","[0.2502, 0.257, 0.0047]","[0.0341, 0.041, -0.2113]","[0.9163, 0.9232, 0.6709]","[-0.5372, -0.5441, -0.2918]","[0.2649, 0.2718, 0.0195]","[0.2993, 0.3061, 0.0538]","[None, None, None]"
TRX.TA,"[0.2422, 0.3194, 0.6178]","[0.3943, 0.3171, 0.0187]","[-0.135, -0.0578, 0.2406]","[0.9926, 0.9302, 0.6318]","[0.2175, 0.1403, -0.1581]","[0.2345, 0.3118, 0.6101]","[0.2962, 0.219, -0.0793]","[None, None, None]"
TSEM.TA,"[0.2122, 0.2115, 0.2792]","[0.2684, 0.2677, 0.3353]","[0.0902, 0.0894, 0.1571]","[0.9884, 0.9891, 0.9215]","[0.9589, 0.9582, 0.9741]","[0.2059, 0.2052, 0.2728]","[0.2946, 0.2939, 0.3616]","[0.9839, 0.9832, 0.9491]"
VTNA.TA,"[0.2661, 0.3374, 0.4098]","[0.0997, 0.171, 0.2435]","[0.1307, 0.202, 0.2744]","[0.9871, 0.9157, 0.8433]","[None, None, None]","[0.2711, 0.3425, 0.4149]","[None, None, None]","[None, None, None]"
WILC.TA,"[0.3038, 0.2589, 0.3351]","[0.2598, 0.2149, 0.2911]","[0.1538, 0.1089, 0.1851]","[0.9782, 0.9769, 0.9469]","[None, None, None]","[0.2795, 0.2346, 0.3108]","[0.2883, 0.2433, 0.3195]","[1.0, 0.9551, 0.9687]"
XTLB.TA,"[None, None, None]","[0.6818, 0.7059, 0.6582]","[0.0, 0.0241, -0.0235]","[0.7936, 0.7695, 0.8171]","[None, None, None]","[None, None, None]","[0.2852, 0.3093, 0.2617]","[0.6182, 0.5941, 0.6418]"
