,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,"[0.9983, 0.9181, 0.9139]","[0.9983, 0.9181, 0.9139]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[0.9935, 0.894, 0.9736]","[0.9935, 0.894, 0.9736]","[0.8888, 0.9987, 0.9218]","[0.9531, 0.8406, 0.9201]","[0.9979, 0.8854, 0.965]","[0.9991, 0.8885, 0.968]","[0.9965, 0.8841, 0.9636]","[0.9331, 0.8206, 0.9001]"
ADGR.TA,"[0.993, 0.9891, 0.9605]","[0.993, 0.9891, 0.9605]","[0.9881, 0.9941, 0.9556]","[-1.0, -1.0, -1.0]","[0.9979, 0.9842, 0.9654]","[0.9996, 0.9825, 0.9671]","[0.9463, 0.9641, 0.9138]","[0.9086, 0.9264, 0.876]"
ARDM.TA,"[0.9348, 0.9615, 0.7371]","[0.9348, 0.9615, 0.7371]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.9936, 0.9781, 0.9729]","[0.9936, 0.9781, 0.9729]","[0.9798, 0.9515, 0.9463]","[0.5307, 0.559, 0.5642]","[0.9543, 0.926, 0.9208]","[0.9579, 0.9296, 0.9244]","[0.9583, 0.93, 0.9248]","[0.9729, 0.9988, 0.9936]"
AFPR.TA,"[0.9735, 0.9366, 0.974]","[0.9735, 0.9366, 0.974]","[0.8972, 0.8603, 0.8977]","[0.7427, 0.7058, 0.7432]","[0.8238, 0.7869, 0.8243]","[0.8242, 0.7873, 0.8247]","[0.9468, 0.9099, 0.9473]","[0.9352, 0.8983, 0.9357]"
AFRE.TA,"[0.9803, 0.9987, 0.9595]","[0.9803, 0.9987, 0.9595]","[0.8064, 0.8275, 0.7857]","[0.5308, 0.5519, 0.5101]","[0.6727, 0.6938, 0.652]","[0.5153, 0.5364, 0.4946]","[0.936, 0.9571, 0.9153]","[0.82, 0.8411, 0.7993]"
ARPT.TA,"[0.9987, 0.975, 0.9434]","[0.9987, 0.975, 0.9434]","[0.9985, 0.9751, 0.9436]","[0.6113, 0.6376, 0.6692]","[0.9917, 0.9819, 0.9504]","[0.9288, 0.9025, 0.8709]","[0.9875, 0.9861, 0.9546]","[0.9991, 0.9727, 0.9412]"
ARTS.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALAR.TA,"[0.9793, 0.9906, 0.9578]","[0.9793, 0.9906, 0.9578]","[0.9187, 0.9488, 0.9816]","[-0.2231, -0.2532, -0.286]","[0.9398, 0.9698, 0.9973]","[0.9433, 0.9734, 0.9937]","[0.7713, 0.8014, 0.8342]","[0.5967, 0.5666, 0.5337]"
