,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Dividends Paid,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
PPIL.TA,"[-0.0195, -0.0172, 0.0012]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.2022, -0.1999, -0.1815]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9972, 0.9995, 0.9821]","[0.9602, 0.958, 0.9396]","[0.9749, 0.9772, 0.9956]","[-0.8746, -0.8723, -0.8539]","[None, None, None]","[None, None, None]","[0.3472, 0.3449, 0.3265]","[None, None, None]"
RTPT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0649, -0.0763, -0.211]","[-0.0344, -0.1756, -0.3103]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RAVD.TA,"[0.5245, 0.5293, 0.6592]","[0.0454, 0.0501, 0.18]","[None, None, None]","[0.2422, 0.2469, 0.3768]","[0.172, 0.1767, 0.3067]","[0.7541, 0.7494, 0.6194]","[0.1531, 0.1484, 0.0185]","[0.9651, 0.9698, 0.9003]","[0.3432, 0.3479, 0.4778]","[0.942, 0.9468, 0.9233]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.8027, 0.8075, 0.9374]","[0.974, 0.9693, 0.8394]","[None, None, None]"
RIMO.TA,"[-0.2196, -0.1624, 0.0579]","[-0.652, -0.5949, -0.3746]","[-0.819, -0.7619, -0.5415]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -0.9742]","[-1.0, -1.0, -1.0]","[0.7937, 0.7365, 0.5162]","[0.9777, 0.9652, 0.7448]","[0.5132, 0.5704, 0.7907]","[0.935, 0.8779, 0.6576]","[None, None, None]","[None, None, None]","[0.6625, 0.6053, 0.385]","[None, None, None]","[0.9987, 0.9415, 0.7212]"
SHAN.TA,"[0.839, 0.7852, 0.7664]","[0.038, 0.0918, 0.1106]","[-0.0319, 0.0219, 0.0407]","[0.1884, 0.2422, 0.261]","[0.9927, 0.9389, 0.9201]","[-0.0727, -0.1266, -0.1454]","[0.9626, 0.9088, 0.89]","[0.9756, 0.9705, 0.9518]","[0.9681, 0.9781, 0.9593]","[0.9492, 0.9969, 0.9782]","[None, None, None]","[0.9857, 0.9604, 0.9417]","[None, None, None]","[None, None, None]","[None, None, None]"
SMT.TA,"[-0.0395, -0.1361, 0.0704]","[-0.0403, -0.1369, 0.0695]","[-1.0, -1.0, -1.0]","[-0.0397, -0.1363, 0.0702]","[-0.039, -0.1356, 0.0708]","[-0.0431, -0.1397, 0.0668]","[-1.0, -1.0, -1.0]","[-0.0411, -0.1377, 0.0688]","[-0.0411, -0.1377, 0.0687]","[-0.041, -0.1375, 0.0689]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.042, -0.1386, 0.0679]"
SNCM.TA,"[0.9558, 0.8656, 0.9897]","[0.0962, 0.006, 0.1301]","[0.0906, 0.0004, 0.1245]","[0.8022, 0.712, 0.8361]","[0.9128, 0.8226, 0.9467]","[-0.4675, -0.5577, -0.4336]","[0.3412, 0.251, 0.3751]","[0.9097, 0.8195, 0.9436]","[0.7047, 0.7949, 0.6708]","[0.9884, 0.9214, 0.9545]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9927, 0.9171, 0.9588]"
TMRP.TA,"[0.4383, 0.5816, 0.3775]","[0.3748, 0.5181, 0.314]","[None, None, None]","[None, None, None]","[0.5304, 0.6737, 0.4696]","[0.1482, 0.0049, 0.2091]","[0.9103, 0.767, 0.9711]","[0.9387, 0.7954, 0.9995]","[0.9333, 0.79, 0.9941]","[0.9617, 0.8184, 0.9775]","[None, None, None]","[None, None, None]","[0.917, 0.7737, 0.9778]","[0.9182, 0.7749, 0.979]","[0.9172, 0.7739, 0.9781]"
TFRLF.TA,"[None, None, None]","[-0.9343, -1.0, -0.6709]","[-0.9752, -1.0, -0.7118]","[0.2462, 0.3717, -0.0172]","[-0.287, -0.4126, -0.0236]","[-0.3689, -0.2433, -0.6323]","[0.6897, 0.8153, 0.4263]","[0.9062, 0.7807, 0.8303]","[0.8415, 0.716, 0.8951]","[0.9515, 0.826, 0.7851]","[None, None, None]","[None, None, None]","[0.4437, 0.5692, 0.1803]","[0.8816, 0.9928, 0.6182]","[None, None, None]"
TTAM.TA,"[0.0075, -0.1427, -0.7486]","[0.0085, -0.1417, -0.7477]","[-1.0, -0.998, -0.3921]","[0.0075, -0.1427, -0.7486]","[0.0079, -0.1422, -0.7482]","[0.0015, 0.1516, 0.7576]","[0.0037, -0.1465, -0.7525]","[0.0063, -0.1439, -0.7498]","[0.0068, -0.1433, -0.7493]","[0.0064, -0.1437, -0.7497]","[None, None, None]","[-0.0069, 0.1433, 0.7492]","[0.9962, 0.8536, 0.2477]","[0.006, -0.1441, -0.7501]","[None, None, None]"
VCTR.TA,"[-0.016, 0.0616, 0.1437]","[0.1508, 0.2284, 0.3105]","[0.1578, 0.2354, 0.3175]","[-0.0217, 0.0559, 0.138]","[None, None, None]","[0.8202, 0.7426, 0.6605]","[-1.0, -1.0, -1.0]","[0.9456, 0.868, 0.7859]","[0.9449, 0.8673, 0.7853]","[0.9797, 0.9021, 0.82]","[None, None, None]","[0.9697, 0.892, 0.81]","[None, None, None]","[None, None, None]","[-0.022, -0.0996, -0.1817]"
VILR.TA,"[None, None, None]","[None, None, None]","[0.2928, 0.2431, 0.3211]","[None, None, None]","[None, None, None]","[0.0009, 0.0506, -0.0274]","[-0.1424, -0.0927, -0.1707]","[0.0016, -0.048, 0.03]","[0.0019, -0.0477, 0.0303]","[0.0018, -0.0478, 0.0302]","[None, None, None]","[None, None, None]","[None, None, None]","[0.002, -0.0477, 0.0304]","[None, None, None]"
VTNA.TA,"[0.0515, 0.1468, -0.0633]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.1564, 0.2517, 0.0416]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.5409, 0.6362, 0.4261]","[0.9982, 0.9065, 0.8834]","[0.0435, 0.1388, -0.0713]","[0.9684, 0.8731, 0.9168]","[0.56, 0.6553, 0.4451]","[0.9656, 0.8703, 0.9196]","[0.8528, 0.9481, 0.738]","[0.9314, 0.8361, 0.9538]","[None, None, None]"
XTLB.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.1651, 0.0615, -0.0826]","[None, None, None]","[None, None, None]","[0.9434, 0.8399, 0.6958]","[0.0361, -0.0674, -0.2115]","[0.9482, 0.8447, 0.7006]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9906, 0.9059, 0.7618]"
YHNF.TA,"[0.9163, 0.8221, 0.783]","[0.0961, 0.1903, 0.2294]","[0.8914, 0.9856, 0.9753]","[0.9409, 0.8467, 0.8076]","[0.8764, 0.7822, 0.7432]","[0.0772, -0.017, -0.0561]","[-1.0, -1.0, -1.0]","[0.9682, 0.874, 0.8349]","[0.3565, 0.2623, 0.2232]","[-0.1097, -0.0155, 0.0236]","[-0.008, -0.1022, -0.1412]","[0.9878, 0.8936, 0.8545]","[0.7593, 0.8535, 0.8926]","[0.9898, 0.916, 0.877]","[None, None, None]"
