,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Dividends Paid,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
EMDV.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9653, 0.8579, 0.8019]"
FIBI.TA,"[None, None, None]","[0.0199, 0.0431, -0.0893]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9811, 0.9958, 0.8718]","[0.8841, 0.9073, 0.7749]","[0.9825, 0.9944, 0.8732]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FORTY.TA,"[0.037, 0.2099, 0.2273]","[-0.0456, 0.1273, 0.1447]","[-0.0547, 0.1182, 0.1356]","[-0.0244, 0.1485, 0.1659]","[-0.0756, 0.0973, 0.1147]","[None, None, None]","[None, None, None]","[0.9565, 0.8706, 0.8532]","[None, None, None]","[0.5134, 0.3405, 0.3231]","[None, None, None]","[None, None, None]","[0.6133, 0.4404, 0.423]","[0.7134, 0.8863, 0.9037]","[0.9735, 0.8536, 0.8362]"
GAON-M.TA,"[-0.0273, 0.0056, 0.0249]","[0.2774, 0.2445, 0.2251]","[0.5524, 0.5196, 0.5002]","[0.0561, 0.089, 0.1084]","[0.3649, 0.332, 0.3127]","[0.6687, 0.7016, 0.721]","[None, None, None]","[0.9946, 0.9617, 0.9424]","[0.9874, 0.9797, 0.9603]","[0.9979, 0.9692, 0.9499]","[None, None, None]","[None, None, None]","[0.9065, 0.9394, 0.9588]","[0.9991, 0.968, 0.9487]","[None, None, None]"
GNRS.TA,"[None, None, None]","[None, None, None]","[0.9884, 0.8782, 0.9342]","[None, None, None]","[None, None, None]","[-0.0116, 0.1218, 0.0658]","[0.0116, -0.1217, -0.0658]","[0.0128, -0.1205, -0.0646]","[0.0246, -0.1088, -0.0528]","[0.0126, -0.1207, -0.0648]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GILT.TA,"[0.8127, 0.8135, 0.9588]","[0.3504, 0.3497, 0.2043]","[0.3719, 0.3712, 0.2259]","[0.912, 0.9113, 0.7659]","[0.3118, 0.3111, 0.1658]","[0.9668, 0.9661, 0.8207]","[0.0174, 0.0166, -0.1287]","[0.967, 0.9677, 0.887]","[0.8994, 0.9002, 0.9545]","[0.9973, 0.998, 0.8567]","[None, None, None]","[None, None, None]","[0.991, 0.9903, 0.8449]","[0.009, 0.0097, 0.1551]","[0.9908, 0.99, 0.8447]"
GNGR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.3024, -0.2949, -0.1678]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]"
GKL.TA,"[0.0297, 0.066, -0.1113]","[0.8859, 0.8497, 0.9731]","[None, None, None]","[0.0594, 0.0956, -0.0816]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.3364, 0.3001, 0.4774]","[0.9344, 0.8982, 0.9246]","[0.6207, 0.5845, 0.7617]","[0.9814, 0.9451, 0.8776]","[None, None, None]","[None, None, None]","[None, None, None]","[0.1406, 0.1768, -0.0004]","[None, None, None]"
GOLD.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9198, 0.8028, 0.8061]","[-1.0, -1.0, -1.0]","[-0.4703, -0.7478, -0.7445]","[-1.0, -1.0, -1.0]","[0.3531, 0.6305, 0.6272]","[0.3072, 0.5846, 0.5813]","[0.373, 0.6504, 0.6471]","[-0.159, 0.1184, 0.1151]","[0.998, 0.7206, 0.7239]","[None, None, None]","[None, None, None]","[None, None, None]"
GOHO.TA,"[0.4822, 0.4933, 0.5749]","[-0.2034, -0.1923, -0.1106]","[0.9178, 0.9067, 0.825]","[0.5011, 0.5122, 0.5938]","[-0.1559, -0.1448, -0.0631]","[0.9828, 0.9939, 0.9245]","[0.0829, 0.0718, -0.0099]","[0.9864, 0.9975, 0.9208]","[0.9949, 0.9838, 0.9021]","[0.9827, 0.9938, 0.9245]","[0.0576, 0.0687, 0.1504]","[None, None, None]","[0.9359, 0.947, 0.9713]","[0.9727, 0.9616, 0.8799]","[0.983, 0.9941, 0.9243]"
GOLF.TA,"[0.0006, -0.0177, -0.4417]","[0.0017, 0.02, 0.444]","[0.3613, 0.3797, 0.8037]","[0.0007, -0.0176, -0.4416]","[0.0012, 0.0196, 0.4436]","[0.0025, 0.0209, 0.4449]","[0.0079, 0.0263, 0.4503]","[-0.0003, -0.0187, -0.4427]","[-0.0003, -0.0187, -0.4427]","[-0.0002, -0.0186, -0.4426]","[0.001, -0.0174, -0.4414]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MSBI.TA,"[0.0015, 0.0822, 0.0972]","[-0.0004, -0.0811, -0.0961]","[-0.5714, -0.6521, -0.6671]","[0.0016, 0.0823, 0.0972]","[0.0005, 0.0812, 0.0961]","[0.0012, -0.0795, -0.0944]","[0.0012, -0.0795, -0.0944]","[0.001, 0.0817, 0.0966]","[0.0013, 0.082, 0.0969]","[0.0012, 0.0819, 0.0968]","[None, None, None]","[None, None, None]","[0.0282, 0.1089, 0.1238]","[0.0001, 0.0807, 0.0957]","[None, None, None]"
HAMAT.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.2569, 0.3547, 0.4867]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HARL.TA,"[0.3305, 0.5079, 0.3708]","[0.9394, 0.8833, 0.9796]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0039, -0.1735, -0.0363]","[0.0039, -0.1735, -0.0363]","[0.0042, -0.1732, -0.0361]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HRON.TA,"[0.9326, 0.9381, 0.9862]","[0.8854, 0.756, 0.8317]","[None, None, None]","[0.9808, 0.8514, 0.9271]","[None, None, None]","[0.3449, 0.4743, 0.3986]","[-1.0, -1.0, -1.0]","[0.991, 0.8617, 0.9374]","[0.0941, -0.0353, 0.0405]","[0.9954, 0.8752, 0.9509]","[None, None, None]","[0.9975, 0.8682, 0.9439]","[0.9393, 0.8099, 0.8856]","[0.9975, 0.8682, 0.9439]","[None, None, None]"
ILX.TA,"[0.8165, 0.9919, 0.9508]","[-1.0, -1.0, -1.0]","[0.1779, 0.3533, 0.3122]","[0.7015, 0.8769, 0.8359]","[-0.2313, -0.0559, -0.0969]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8853, 0.9392, 0.9803]","[0.8361, 0.9884, 0.9705]","[0.9262, 0.8984, 0.9394]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ININ.TA,"[0.9143, 0.8347, 0.8608]","[0.5317, 0.4521, 0.4782]","[0.6554, 0.5759, 0.602]","[0.6459, 0.7255, 0.6994]","[0.3157, 0.3952, 0.3691]","[-0.5451, -0.6247, -0.5986]","[-1.0, -1.0, -1.0]","[0.2084, 0.1288, 0.1549]","[-0.0137, -0.0933, -0.0671]","[0.8634, 0.7838, 0.8099]","[-0.105, -0.1846, -0.1585]","[None, None, None]","[0.8142, 0.7346, 0.7607]","[0.8313, 0.7517, 0.7778]","[None, None, None]"
ISTA.TA,"[-0.0305, -0.1481, 0.1304]","[-0.0204, -0.138, 0.1405]","[-1.0, -1.0, -1.0]","[-0.0324, -0.15, 0.1285]","[-0.0349, -0.1526, 0.1259]","[0.0435, 0.1612, -0.1173]","[-0.035, -0.1527, 0.1258]","[-0.0381, -0.1557, 0.1228]","[-0.0378, -0.1555, 0.123]","[-0.0381, -0.1557, 0.1228]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.0381, -0.1557, 0.1228]"
JBNK.TA,"[-0.0127, 0.0252, -0.0363]","[0.2229, 0.2607, 0.1992]","[0.7806, 0.7428, 0.8043]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9496, 0.9874, 0.9259]","[0.9473, 0.9852, 0.9237]","[0.9808, 0.9813, 0.9572]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[-0.1382, -0.0865, 0.0303]","[0.1066, 0.1583, 0.2751]","[0.8627, 0.8111, 0.6943]","[-0.1302, -0.0786, 0.0382]","[-0.2561, -0.2044, -0.0876]","[0.9785, 0.9698, 0.853]","[-1.0, -1.0, -1.0]","[0.9737, 0.9747, 0.8579]","[0.9194, 0.9711, 0.9121]","[0.9927, 0.9556, 0.8388]","[None, None, None]","[-0.0215, 0.0302, 0.147]","[0.9348, 0.9865, 0.8967]","[0.5394, 0.5911, 0.7079]","[None, None, None]"
KRDI.TA,"[0.9095, 0.9183, 0.9835]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9095, 0.9183, 0.9835]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9881, 0.9793, 0.9141]","[0.9201, 0.9289, 0.9941]","[0.8869, 0.8781, 0.8129]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.5287, 0.352, 0.4117]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.7788, 0.9555, 0.8958]","[0.8939, 0.9294, 0.989]","[0.4661, 0.6428, 0.5831]","[0.8428, 0.9805, 0.9598]","[None, None, None]","[0.4346, 0.258, 0.3176]","[0.9005, 0.7238, 0.7835]","[None, None, None]"
KNFM.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.8965, 0.8553, 0.99]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LPHL.TA,"[0.2703, 0.2428, 0.2403]","[0.2133, 0.1858, 0.1833]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.1555, 0.128, 0.1255]","[0.0918, 0.0643, 0.0618]","[0.4576, 0.4301, 0.4276]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LEOF.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-0.0022, 0.0087, 0.0134]","[0.327, 0.3379, 0.3426]","[0.8478, 0.8587, 0.8634]","[-0.1783, -0.1892, -0.1939]","[-0.2969, -0.286, -0.2812]","[0.9071, 0.918, 0.9227]","[None, None, None]","[0.9659, 0.9768, 0.9816]","[None, None, None]","[None, None, None]","[0.572, 0.5611, 0.5563]","[0.9983, 0.9908, 0.986]","[None, None, None]"
LEVI.TA,"[None, None, None]","[0.7215, 0.6191, 0.7942]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.941, 0.9566, 0.8683]","[0.9886, 0.909, 0.9158]","[0.9886, 0.909, 0.9158]","[0.9859, 0.8835, 0.9414]","[0.9373, 0.8349, 0.99]","[0.9886, 0.909, 0.9158]","[None, None, None]","[0.5183, 0.4159, 0.591]","[None, None, None]","[None, None, None]","[None, None, None]"
MGOR.TA,"[None, None, None]","[0.0075, -0.0083, 0.0358]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0067, -0.0091, 0.035]","[0.0067, -0.009, 0.0351]","[0.0067, -0.009, 0.0351]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MNIN.TA,"[0.0049, -0.0258, -0.088]","[0.0049, -0.0259, -0.0881]","[None, None, None]","[0.0049, -0.0259, -0.0881]","[0.0049, -0.0259, -0.0881]","[-0.0014, 0.0294, 0.0916]","[-0.0012, 0.0296, 0.0918]","[0.004, -0.0268, -0.089]","[0.004, -0.0268, -0.089]","[0.004, -0.0268, -0.089]","[0.0047, -0.0261, -0.0883]","[None, None, None]","[0.0034, -0.0274, -0.0896]","[0.0033, -0.0275, -0.0897]","[None, None, None]"
