,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Short-Term Debt,Number of Outstanding Shares
GLTL.TA,"[0.4776, 0.3901, 0.6578]","[-1.0, -1.0, -1.0]","[-1.0, -0.9125, -1.0]","[0.5407, 0.4533, 0.721]","[-1.0, -1.0, -1.0]","[0.0305, -0.057, 0.2107]","[-0.6414, -0.7289, -0.4612]","[0.7795, 0.867, 0.5993]","[0.992, 0.9045, 0.8278]","[0.9925, 0.92, 0.8123]","[0.9386, 0.8511, 0.8812]","[0.0, 0.0875, -0.1802]","[None, None, None]","[None, None, None]","[0.9492, 0.8617, 0.8706]"
GOLF.TA,"[0.9308, 0.9883, 0.8917]","[0.0645, 0.1455, 0.2421]","[0.1, 0.181, 0.2776]","[0.8741, 0.9551, 0.9483]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9959, 0.915, 0.8184]","[0.3773, 0.4582, 0.5548]","[0.9125, 0.9934, 0.91]","[0.9463, 0.9728, 0.8762]","[None, None, None]","[0.794, 0.713, 0.6164]","[None, None, None]"
HAMAT.TA,"[0.4462, 0.3264, 0.2898]","[0.1109, -0.009, -0.0455]","[None, None, None]","[0.4258, 0.3059, 0.2694]","[0.2838, 0.1639, 0.1274]","[0.7565, 0.6366, 0.6001]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.8801, 0.8436]","[1.0, 0.8801, 0.8436]","[1.0, 0.8801, 0.8436]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HARL.TA,"[0.743, 0.8408, 0.7418]","[0.1076, 0.2053, 0.1064]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -0.9987]","[1.0, 0.9023, 0.9987]","[0.9903, 0.8926, 0.9916]","[0.9903, 0.8926, 0.9916]","[0.9902, 0.9121, 0.9889]","[0.9985, 0.9008, 0.9998]","[None, None, None]","[0.8495, 0.7518, 0.8508]","[None, None, None]"
HLAN.TA,"[0.4887, 0.4025, 0.514]","[0.5762, 0.49, 0.6015]","[None, None, None]","[0.5222, 0.4361, 0.5476]","[0.571, 0.4848, 0.5963]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9708, 0.943, 0.9455]","[0.9148, 0.999, 0.8895]","[0.915, 0.9989, 0.8896]","[0.8333, 0.7472, 0.8587]","[1.0, 0.9139, 0.9746]","[-0.451, -0.5371, -0.4256]","[None, None, None]"
HIPR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HRON.TA,"[0.4245, 0.392, 0.3594]","[0.431, 0.3986, 0.366]","[None, None, None]","[0.6122, 0.6446, 0.6772]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9844, 0.9519, 0.9193]","[0.7256, 0.6931, 0.6605]","[0.9833, 0.9842, 0.9516]","[None, None, None]","[1.0, 0.9675, 0.935]","[0.949, 0.9165, 0.884]","[None, None, None]"
HUMX.TA,"[1.0, 0.9255, 0.8363]","[1.0, 0.9255, 0.8363]","[None, None, None]","[1.0, 0.9255, 0.8363]","[1.0, 0.9255, 0.8363]","[None, None, None]","[1.0, 0.9255, 0.8363]","[1.0, 0.9255, 0.8363]","[1.0, 0.9255, 0.8363]","[1.0, 0.9255, 0.8363]","[1.0, 0.9255, 0.8363]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ICON.TA,"[0.0029, 0.1448, 0.1365]","[0.0024, 0.1444, 0.136]","[None, None, None]","[0.0014, 0.1433, 0.135]","[0.0013, 0.1432, 0.1348]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0013, 0.1432, 0.1349]","[0.0013, 0.1432, 0.1348]","[0.0006, 0.1425, 0.1341]","[None, None, None]","[1.0, 0.8581, 0.8665]","[0.0007, 0.1426, 0.1343]","[None, None, None]"
IDIN.TA,"[0.0015, 0.0953, -0.091]","[0.001, 0.0948, -0.0915]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, 0.0948, -0.0915]","[0.001, 0.0948, -0.0915]","[0.0009, 0.0947, -0.0916]","[None, None, None]","[-0.002, 0.0918, -0.0945]","[None, None, None]","[None, None, None]"
