,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ISCN.TA,"[-1.0, -1.0, -0.9404]","[0.6303, 0.4826, 0.1407]","[-0.3077, -0.1599, 0.182]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.2193, 0.0715, -0.2703]","[0.3343, 0.1865, -0.1554]","[0.1192, -0.0285, -0.3704]","[-1.0, -1.0, -1.0]","[0.0699, -0.0779, -0.4198]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
ISRA.TA,"[0.6415, 0.724, 0.7203]","[0.2566, 0.339, 0.3354]","[0.9883, 0.9059, 0.9095]","[None, None, None]","[0.2869, 0.3694, 0.3657]","[-1.0, -1.0, -1.0]","[0.6497, 0.7322, 0.7285]","[0.9918, 0.9094, 0.913]","[0.8917, 0.9741, 0.9705]","[0.8888, 0.9712, 0.9676]","[None, None, None]","[0.6791, 0.5966, 0.6003]","[0.9933, 0.9109, 0.9145]","[-0.9883, -0.9059, -0.9095]","[0.9883, 0.9059, 0.9095]"
ISRO.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
JBNK.TA,"[0.4904, 0.5073, 0.5201]","[0.7702, 0.7872, 0.7999]","[-0.8286, -0.8117, -0.7989]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.99, 0.9731, 0.9603]","[0.9884, 0.9715, 0.9587]","[0.9999, 0.9832, 0.9704]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[0.4572, 0.4699, 0.7435]","[0.4765, 0.4892, 0.7629]","[0.7981, 0.8108, 0.9156]","[0.4543, 0.467, 0.7406]","[0.3987, 0.4114, 0.685]","[0.8026, 0.7899, 0.5163]","[0.2076, 0.2202, 0.4939]","[0.9819, 0.9693, 0.6956]","[0.9574, 0.9447, 0.671]","[0.9724, 0.9851, 0.7413]","[None, None, None]","[0.7661, 0.7788, 0.9476]","[0.7356, 0.7483, 0.9781]","[0.4868, 0.4995, 0.7731]","[None, None, None]"
KMDA.TA,"[0.4617, 0.4328, 0.3663]","[0.2105, 0.1817, 0.1151]","[0.2434, 0.2145, 0.148]","[0.3391, 0.3102, 0.2437]","[0.1084, 0.0795, 0.013]","[0.9228, 0.9517, 0.9818]","[0.9917, 0.9795, 0.913]","[0.9921, 0.9633, 0.8968]","[0.984, 0.9871, 0.9206]","[0.9523, 0.9235, 0.857]","[0.6007, 0.6295, 0.696]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRDI.TA,"[0.6504, 0.7555, 0.4665]","[0.5996, 0.4946, 0.7836]","[0.9933, 0.9017, 0.8093]","[0.559, 0.6641, 0.375]","[0.6642, 0.5591, 0.8482]","[0.0687, 0.1737, -0.1153]","[0.8419, 0.9469, 0.6579]","[0.8765, 0.9816, 0.6925]","[0.952, 0.9429, 0.768]","[0.868, 0.973, 0.684]","[0.9718, 0.8667, 0.8443]","[0.8584, 0.9635, 0.6744]","[None, None, None]","[None, None, None]","[-0.0067, 0.0983, -0.1907]"
KEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KRUR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.2931, 0.3572, 0.2796]","[-0.2564, -0.3205, -0.2429]","[0.9982, 0.9341, 0.9883]","[0.9853, 0.9212, 0.9988]","[-1.0, -1.0, -1.0]","[0.9786, 0.9573, 0.9651]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KLIL.TA,"[0.5701, 0.5789, 0.5102]","[0.838, 0.8468, 0.7781]","[None, None, None]","[0.578, 0.5869, 0.5181]","[0.6228, 0.6316, 0.5629]","[None, None, None]","[None, None, None]","[0.978, 0.9692, 0.9621]","[None, None, None]","[0.987, 0.9782, 0.9531]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
