,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,"[0.9768, 0.9199, 0.7556]","[0.9768, 0.9199, 0.7556]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[0.9841, 0.8964, 0.9535]","[0.9841, 0.8964, 0.9535]","[0.1713, 0.0836, 0.1406]","[0.147, 0.0593, 0.1164]","[0.1738, 0.0861, 0.1432]","[0.1431, 0.0554, 0.1125]","[0.9551, 0.8673, 0.9244]","[0.9153, 0.8275, 0.8846]"
ADGR.TA,"[0.9835, 0.9541, 0.925]","[0.9835, 0.9541, 0.925]","[0.217, 0.2794, 0.3085]","[0.0174, 0.0798, 0.1089]","[0.2142, 0.2766, 0.3057]","[0.2132, 0.2756, 0.3047]","[0.9841, 0.9535, 0.9244]","[0.9798, 0.9174, 0.8883]"
ARDM.TA,"[0.8939, 0.7596, 0.8535]","[0.8939, 0.7596, 0.8535]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.9731, 0.999, 0.9783]","[0.9731, 0.999, 0.9783]","[0.176, 0.2038, 0.2246]","[-1.0, -1.0, -1.0]","[0.3111, 0.339, 0.3598]","[0.8779, 0.9058, 0.9265]","[0.9308, 0.9587, 0.9794]","[0.9114, 0.9393, 0.9601]"
AFPR.TA,"[0.9944, 0.9244, 0.9874]","[0.9944, 0.9244, 0.9874]","[0.2451, 0.3263, 0.2633]","[0.2733, 0.3544, 0.2915]","[0.2731, 0.3542, 0.2913]","[0.2733, 0.3544, 0.2914]","[0.9892, 0.9081, 0.971]","[0.9845, 0.9034, 0.9663]"
AFRE.TA,"[0.9862, 0.958, 0.9607]","[0.9862, 0.958, 0.9607]","[0.1791, 0.2349, 0.1536]","[0.1227, 0.1785, 0.0972]","[0.1761, 0.2319, 0.1506]","[0.1507, 0.2066, 0.1252]","[0.9403, 0.8844, 0.9658]","[0.8305, 0.8863, 0.8049]"
ARPT.TA,"[0.9772, 0.9677, 0.9133]","[0.9772, 0.9677, 0.9133]","[0.2344, 0.2895, 0.344]","[0.4529, 0.508, 0.5624]","[0.2366, 0.2917, 0.3461]","[0.2177, 0.2727, 0.3272]","[0.9708, 0.9742, 0.9197]","[0.9304, 0.9854, 0.9601]"
ARTS.TA,"[0.9776, 0.7706, 0.9786]","[0.9776, 0.7706, 0.9786]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALAR.TA,"[0.9796, 0.5342, -0.3135]","[0.9796, 0.5342, -0.3135]","[0.2954, -0.15, -0.9977]","[-0.2402, 0.2052, 0.9472]","[0.329, -0.1164, -0.964]","[-1.0, -0.6498, 0.1978]","[0.7206, 0.834, -0.0136]","[0.8412, 0.3957, -0.4519]"
