,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
TRAN.TA,"[None, None, None]","[0.9614, 0.9628, 0.9123]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TURB.TA,"[None, None, None]","[0.9986, 0.9794, 0.748]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
UMH.TA,"[0.505, 0.9863, 0.9449]","[0.505, 0.9863, 0.9449]","[-1.0, -1.0, -1.0]","[-0.1639, 0.3175, 0.2761]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.4636, 0.9449, 0.9035]","[0.5054, 0.9867, 0.9453]"
UTRN.TA,"[0.9562, 0.7952, 0.7191]","[0.9562, 0.7952, 0.7191]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VRDS.TA,"[0.9907, 0.9217, 0.969]","[0.9907, 0.9217, 0.969]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.1568, -0.0878, -0.197]","[0.9716, 0.9026, 0.9882]","[0.9987, 0.9296, 0.9611]"
VCTR.TA,"[0.9905, 0.9942, 0.9066]","[0.9905, 0.9942, 0.9066]","[-1.0, -1.0, -1.0]","[-0.7389, -0.7542, -0.8418]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9542, 0.9695, 0.9429]","[0.9213, 0.9366, 0.9758]"
VISN.TA,"[1.0, -1.0, -1.0]","[1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VTNA.TA,"[0.9933, 0.9756, 0.9894]","[0.9933, 0.9756, 0.9894]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9699, 0.999, 0.9872]","[0.8606, 0.8296, 0.8434]"
WILC.TA,"[0.9937, 0.9727, 0.8158]","[0.9937, 0.9727, 0.8158]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -0.9377]","[0.9715, 0.9925, 0.8506]","[None, None, None]"
XTLB.TA,"[0.9957, 0.8137, 0.7184]","[0.9957, 0.8137, 0.7184]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
YBOX.TA,"[0.9839, 0.8796, 0.7411]","[0.9839, 0.8796, 0.7411]","[-0.8149, -0.6784, -0.5399]","[0.9909, 0.8726, 0.7341]","[-1.0, -1.0, -0.9756]","[-1.0, -1.0, -1.0]","[0.9052, 0.9583, 0.8198]","[0.86, 0.9965, 0.865]"
ZNKL.TA,"[0.9993, 0.9906, 0.9918]","[0.9993, 0.9906, 0.9918]","[-1.0, -1.0, -1.0]","[-1.0, -0.9993, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9632, 0.9718, 0.9707]","[-0.0007, -0.0094, -0.0082]"
ZOOZ.TA,"[0.9667, 0.9672, 0.9934]","[0.9667, 0.9672, 0.9934]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ZUR.TA,"[0.9989, 0.9439, 0.7979]","[0.9989, 0.9439, 0.7979]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.5802, -0.5252, -0.3793]","[-1.0, -1.0, -1.0]","[0.9872, 0.9322, 0.7863]","[None, None, None]"
