,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Operating Income (EBIT),Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Number of Outstanding Shares,Dividends Paid
SKLN.TA,"[0.2474, 0.2856, 0.0769]","[0.0017, -0.0366, 0.1722]","[-0.0161, -0.0544, 0.1544]","[None, None, None]","[-0.3795, -0.4178, -0.209]","[0.1913, 0.153, 0.3618]","[0.0445, 0.0828, -0.126]","[0.9947, 0.967, 0.8242]","[0.9912, 0.9705, 0.8207]","[0.8585, 0.8968, 0.688]","[-0.0193, -0.0576, 0.1512]","[0.5239, 0.5622, 0.3534]","[0.9987, 0.9605, 0.8307]","[None, None, None]","[None, None, None]"
SPNTC.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9851, 0.9701, 0.9607]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]"
STRS.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.3712, 0.3596, 0.3954]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[0.1327, -0.1678, -0.2071]","[-0.0265, -0.327, -0.3663]","[-0.0429, -0.3433, -0.3826]","[None, None, None]","[None, None, None]","[0.9951, 0.6947, 0.6554]","[None, None, None]","[0.9382, 0.7614, 0.7221]","[0.9467, 0.6462, 0.6069]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9869, 0.6865, 0.6472]","[0.9998, 0.6994, 0.6601]","[None, None, None]"
TFRLF.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.7816, 0.5583, -0.1036]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
TEVA.TA,"[0.2323, 0.1271, 0.1808]","[-0.0131, 0.092, 0.0384]","[-0.013, 0.0921, 0.0384]","[0.2369, 0.1318, 0.1854]","[-0.3392, -0.4444, -0.3907]","[0.5825, 0.4773, 0.531]","[0.2677, 0.3728, 0.3192]","[0.9615, 0.8564, 0.91]","[None, None, None]","[-0.1153, -0.0102, -0.0638]","[0.8398, 0.7347, 0.7883]","[0.9743, 0.8692, 0.9228]","[0.9912, 0.8861, 0.9397]","[0.9952, 0.8997, 0.9533]","[None, None, None]"
TIGBUR.TA,"[None, 0.1842, -0.275]","[None, 0.4809, 0.0218]","[None, None, None]","[None, 0.1949, -0.2642]","[None, None, None]","[None, None, None]","[None, None, None]","[None, 0.9779, 0.5188]","[None, 0.325, 0.7841]","[None, 0.3564, -0.1027]","[None, 0.683, 0.2239]","[None, -0.0672, -0.5263]","[None, 0.9782, 0.519]","[None, 0.8899, 0.4308]","[None, 0.4265, -0.0326]"
TGTR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TSEM.TA,"[0.9991, 0.9269, 0.9309]","[0.9788, 0.9048, 0.9088]","[0.891, 0.817, 0.8211]","[0.9918, 0.9178, 0.9219]","[0.8081, 0.8821, 0.878]","[0.8028, 0.8768, 0.8728]","[-1.0, -1.0, -1.0]","[0.9866, 0.9126, 0.9166]","[0.9325, 0.8585, 0.8625]","[0.9787, 0.9047, 0.9088]","[0.9455, 0.8715, 0.8755]","[0.846, 0.772, 0.7761]","[0.9896, 0.9364, 0.9404]","[0.9961, 0.9221, 0.9262]","[None, None, None]"
UNIT.TA,"[0.2698, 0.0675, -0.3735]","[0.3977, 0.1954, -0.2456]","[0.4621, 0.2598, -0.1812]","[0.2702, 0.0679, -0.3731]","[None, None, None]","[0.6258, 0.8282, 0.7309]","[0.1804, 0.3827, 0.8237]","[0.9583, 0.7559, 0.315]","[0.3877, 0.59, 0.969]","[None, None, None]","[0.9944, 0.8033, 0.3623]","[0.9944, 0.8033, 0.3623]","[0.9178, 0.8799, 0.4389]","[None, None, None]","[None, None, None]"
VILR.TA,"[-0.1988, -0.0693, -0.1048]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.8421, 0.9716, 0.9361]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9982, 0.8687, 0.9042]","[0.3274, 0.4568, 0.4214]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7316, 0.6022, 0.6377]","[None, None, None]","[None, None, None]"
VTNA.TA,"[0.3049, 0.2603, 0.1336]","[None, None, None]","[-0.0077, -0.0522, -0.179]","[0.3222, 0.2776, 0.1508]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8133, 0.8579, 0.9846]","[0.4904, 0.5349, 0.6617]","[None, None, None]","[None, None, None]","[0.3105, 0.2659, 0.1391]","[0.9571, 0.9125, 0.7857]","[None, None, None]","[0.9832, 0.9386, 0.8118]"
WILC.TA,"[0.2626, 0.278, 0.2266]","[0.3979, 0.4133, 0.3619]","[0.3861, 0.4015, 0.3501]","[0.2548, 0.2702, 0.2188]","[0.0715, 0.087, 0.0356]","[-0.5335, -0.5489, -0.4975]","[-0.006, 0.0094, -0.042]","[0.9514, 0.936, 0.9874]","[0.845, 0.8295, 0.8809]","[0.2668, 0.2822, 0.2308]","[None, None, None]","[None, None, None]","[0.9594, 0.944, 0.9954]","[0.9621, 0.9467, 0.9981]","[None, None, None]"
YBOX.TA,"[0.9967, 0.6997, 0.683]","[0.9974, 0.6989, 0.6823]","[0.9967, 0.6997, 0.683]","[0.9967, 0.6997, 0.683]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9967, 0.6997, 0.683]","[0.9967, 0.6997, 0.683]","[0.9967, 0.6997, 0.683]","[None, None, None]","[None, None, None]","[0.9967, 0.6997, 0.683]","[None, None, None]","[None, None, None]"
