,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Operating Income (EBIT),Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Number of Outstanding Shares,Dividends Paid
KAFR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
KMDA.TA,"[0.1789, 0.1736, 0.2231]","[0.1491, 0.1438, 0.1933]","[0.1498, 0.1445, 0.1941]","[0.1795, 0.1743, 0.2238]","[0.1019, 0.0967, 0.1462]","[0.8106, 0.8159, 0.7664]","[-0.0253, -0.0306, 0.0189]","[0.9913, 0.986, 0.9645]","[0.8871, 0.8818, 0.9314]","[0.1148, 0.1095, 0.1591]","[0.5255, 0.5202, 0.5698]","[0.5475, 0.5422, 0.5917]","[0.9936, 0.9989, 0.9494]","[None, None, None]","[None, None, None]"
KRDI.TA,"[0.0377, -0.2329, -0.0977]","[0.969, 0.6984, 0.8336]","[None, None, None]","[0.1366, -0.134, 0.0011]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7249, 0.4543, 0.5894]","[0.9063, 0.6357, 0.7709]","[None, None, None]","[None, None, None]","[None, None, None]","[0.5022, 0.2316, 0.3668]","[None, None, None]","[None, None, None]"
KEN.TA,"[None, None, None]","[0.3539, 0.3531, 0.2652]","[0.2092, 0.21, 0.298]","[0.319, 0.3182, 0.2303]","[0.2342, 0.2334, 0.1454]","[0.4058, 0.4066, 0.4946]","[0.1357, 0.1349, 0.0469]","[0.7318, 0.7326, 0.8205]","[0.8532, 0.854, 0.9419]","[0.1891, 0.1883, 0.1003]","[0.9845, 0.9853, 0.9267]","[0.8196, 0.8188, 0.7309]","[0.9751, 0.976, 0.9361]","[None, None, None]","[None, None, None]"
KRUR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9985, 0.943, 0.967]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
LAHAV.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LPHL.TA,"[0.2503, 0.2158, 0.1532]","[None, None, None]","[0.1087, 0.0743, 0.0116]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9561, 0.9905, 0.9468]","[0.9769, 0.9424, 0.8798]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
LSCO.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.2006, -0.2887, -0.4196]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
LCTX.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LPSN.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.2016, 0.24, 0.2193]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9808, 0.9808, 0.9986]","[None, None, None]"
