,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
RMN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RMLI.TA,"[0.004, -0.0501, -0.0452]","[0.005, -0.0491, -0.0442]","[None, None, None]","[0.0041, -0.05, -0.0451]","[0.001, -0.0531, -0.0482]","[0.001, -0.0531, -0.0482]","[0.0012, -0.0529, -0.0481]","[None, None, None]","[0.0008, -0.0533, -0.0484]","[0.0017, 0.0558, 0.051]","[0.0013, 0.0554, 0.0505]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RANI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RPAC.TA,"[0.0014, 0.0186, -0.0417]","[0.0009, 0.0181, -0.0422]","[0.0642, 0.0471, 0.1073]","[0.0015, 0.0186, -0.0416]","[0.0008, 0.018, -0.0423]","[None, None, None]","[0.0017, 0.0189, -0.0414]","[0.0009, 0.018, -0.0422]","[0.0017, 0.0188, -0.0414]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.4729, 0.49, 0.4298]"
RATI.TA,"[0.7046, 0.8179, 0.9953]","[0.7288, 0.8422, 0.9805]","[0.7222, 0.8356, 0.9871]","[None, None, None]","[0.9818, 0.9048, 0.7275]","[0.965, 0.9216, 0.7443]","[0.955, 0.8417, 0.6644]","[None, None, None]","[0.5763, 0.6896, 0.8669]","[0.8418, 0.7285, 0.5512]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RTPT.TA,"[None, None, None]","[0.0061, -0.0034, -0.1765]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.001, 0.0106, 0.1836]","[0.0009, 0.0105, 0.1836]","[0.001, 0.0106, 0.1836]","[None, None, None]","[-0.0017, 0.0079, 0.1809]","[0.001, -0.0085, -0.1816]","[0.001, 0.0106, 0.1836]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RAVD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.2028, 0.14, 0.1781]","[0.2643, 0.2016, 0.2396]","[0.1222, 0.0594, 0.0974]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0851, 0.0224, 0.0604]","[None, None, None]","[None, None, None]"
RVL.TA,"[0.9682, 0.9699, 0.9608]","[1.0, 0.9982, 0.929]","[0.9507, 0.949, 0.8797]","[0.8732, 0.875, 0.9442]","[1.0, 0.9982, 0.929]","[0.941, 0.9427, 0.988]","[0.991, 0.9927, 0.938]","[None, None, None]","[None, None, None]","[0.3943, 0.3926, 0.3233]","[0.6885, 0.6903, 0.7595]","[0.7766, 0.7784, 0.8476]","[0.6892, 0.6874, 0.6181]","[-1.0, -1.0, -1.0]","[0.9843, 0.986, 0.9447]"
RZR.TA,"[0.7877, 0.6905, 0.5991]","[0.6011, 0.6983, 0.7897]","[None, None, None]","[0.9294, 0.9734, 0.882]","[-1.0, -1.0, -1.0]","[0.3389, 0.2417, 0.1502]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIT1.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0012, -0.0339, -0.0724]","[0.0009, -0.0342, -0.0727]","[0.0011, -0.0339, -0.0725]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, -0.034, -0.0726]","[None, None, None]"
REKA.TA,"[0.609, 0.6446, 0.6225]","[-0.0067, 0.029, 0.0068]","[None, None, None]","[0.5736, 0.6092, 0.5871]","[1.0, 0.9644, 0.9865]","[0.2734, 0.309, 0.2869]","[0.9548, 0.9904, 0.9683]","[0.4017, 0.4373, 0.4152]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RTLS.TA,"[0.0015, -0.0385, -0.1301]","[0.0023, -0.0376, -0.1293]","[None, None, None]","[0.0015, -0.0384, -0.1301]","[0.001, -0.0389, -0.1306]","[0.001, -0.0389, -0.1306]","[0.001, -0.0389, -0.1306]","[0.0017, -0.0383, -0.1299]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIMO.TA,"[0.814, 0.8401, 0.8427]","[0.9145, 0.9405, 0.9431]","[0.8641, 0.8901, 0.8927]","[0.8355, 0.8616, 0.8642]","[0.9087, 0.9348, 0.9374]","[0.5796, 0.6057, 0.6083]","[0.938, 0.9119, 0.9093]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.5693, 0.5953, 0.5979]","[None, None, None]","[None, None, None]","[None, None, None]","[0.998, 0.9719, 0.9693]"
RTEN.TA,"[0.5891, 0.6538, 0.4976]","[0.5678, 0.6324, 0.4762]","[None, None, None]","[0.6403, 0.7049, 0.5487]","[0.8026, 0.8673, 0.7111]","[-0.0527, 0.0119, -0.1442]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SCOP.TA,"[0.0039, -0.0049, -0.062]","[0.0037, -0.0052, -0.0622]","[-1.0, -1.0, -1.0]","[0.0038, -0.0051, -0.0621]","[0.001, -0.0078, -0.0648]","[0.0009, -0.008, -0.065]","[0.001, -0.0078, -0.0648]","[0.0036, -0.0052, -0.0622]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0002, -0.0087, -0.0657]","[0.0014, -0.0074, -0.0645]","[0.0014, -0.0074, -0.0645]","[None, None, None]"
SLARL.TA,"[0.0017, -0.054, -0.065]","[0.0013, -0.0544, -0.0654]","[None, None, None]","[0.0013, -0.0544, -0.0654]","[0.0014, -0.0543, -0.0652]","[0.0022, -0.0535, -0.0645]","[0.0023, -0.0534, -0.0644]","[0.0013, -0.0544, -0.0654]","[-0.002, -0.0577, -0.0687]","[0.0123, 0.068, 0.079]","[-0.0026, 0.0531, 0.0641]","[0.0011, -0.0546, -0.0656]","[0.0057, -0.05, -0.061]","[None, None, None]","[None, None, None]"
SHAN.TA,"[0.0014, 0.0361, 0.0245]","[0.0015, 0.0363, 0.0246]","[None, None, None]","[0.001, 0.0357, 0.0241]","[0.001, 0.0358, 0.0241]","[0.0006, 0.0353, 0.0236]","[0.001, 0.0358, 0.0241]","[0.001, 0.0357, 0.0241]","[None, None, None]","[0.0019, -0.0329, -0.0212]","[-0.0164, -0.0511, -0.0395]","[None, None, None]","[0.001, 0.0357, 0.024]","[None, None, None]","[None, None, None]"
SPEN.TA,"[0.0011, -0.0164, -0.0996]","[0.0014, -0.0161, -0.0993]","[0.6739, 0.6914, 0.7746]","[0.001, -0.0165, -0.0997]","[0.0014, -0.0161, -0.0993]","[0.0014, -0.0161, -0.0993]","[0.0015, -0.016, -0.0992]","[0.0013, -0.0162, -0.0994]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0015, -0.016, -0.0992]","[0.0025, -0.015, -0.0982]","[0.001, -0.0165, -0.0997]","[None, None, None]"
SKBN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHOM.TA,"[None, None, None]","[0.5515, 0.5389, 0.6954]","[0.6667, 0.654, 0.8105]","[None, None, None]","[0.7423, 0.7297, 0.8862]","[0.695, 0.6824, 0.8389]","[0.9248, 0.9122, 0.9313]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -0.8561]","[None, None, None]"
SAE.TA,"[0.676, 0.6946, 0.7353]","[0.6587, 0.6772, 0.718]","[0.6637, 0.6823, 0.723]","[0.6803, 0.6989, 0.7397]","[0.9686, 0.9501, 0.9093]","[0.9578, 0.9393, 0.8985]","[0.969, 0.9875, 0.9717]","[0.7218, 0.7404, 0.7811]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[1.0, 0.9815, 0.9407]","[None, None, None]"
SKLN.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9627, 0.8972, 0.9326]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SCC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7185, 0.6638, 0.7705]","[0.9819, 0.9272, 0.966]","[0.8122, 0.7575, 0.8643]","[None, None, None]","[0.7554, 0.7006, 0.8074]","[1.0, 0.9453, 0.9479]","[0.8116, 0.8663, 0.7595]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SMT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SNEL.TA,"[0.0013, -0.0204, -0.1131]","[0.0015, -0.0203, -0.113]","[0.2161, 0.2378, 0.3305]","[0.0013, -0.0204, -0.1131]","[0.001, -0.0208, -0.1135]","[0.0011, -0.0206, -0.1133]","[0.001, -0.0207, -0.1134]","[0.0015, -0.0202, -0.1129]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, -0.0207, -0.1134]"
TDRN.TA,"[0.0013, -0.0565, -0.1528]","[0.0013, -0.0566, -0.1528]","[0.6754, 0.7333, 0.8295]","[0.0013, -0.0566, -0.1528]","[0.0012, -0.0567, -0.1529]","[0.0013, -0.0565, -0.1528]","[0.0011, -0.0567, -0.153]","[0.0012, -0.0566, -0.1529]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TMRP.TA,"[0.5811, 0.6103, 0.9249]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.9661, 0.9954, 0.69]","[0.9732, 0.9975, 0.6829]","[0.9464, 0.9756, 0.7098]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -0.9707, -0.6561]","[1.0, 0.9707, 0.6561]"
TFRLF.TA,"[0.5481, 0.4817, 0.4856]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.4323, 0.3659, 0.3698]","[0.9516, 0.8851, 0.8891]","[0.5445, 0.6109, 0.607]","[-1.0, -1.0, -1.0]","[-0.1922, -0.2586, -0.2547]","[None, None, None]","[0.7554, 0.8218, 0.8179]","[0.5117, 0.5781, 0.5742]","[0.7463, 0.6799, 0.6838]","[0.7588, 0.6923, 0.6963]","[None, None, None]","[None, None, None]"
TRX.TA,"[0.0015, -0.0579, 0.2534]","[0.0047, 0.064, -0.2473]","[-1.0, -1.0, -1.0]","[0.0014, -0.0579, 0.2534]","[0.001, -0.0584, 0.2529]","[0.0012, -0.0582, 0.2531]","[None, None, None]","[0.0001, -0.0593, 0.252]","[None, None, None]","[0.0006, 0.06, -0.2513]","[0.0131, -0.0463, 0.265]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TEVA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ILCO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9468, 0.9865, 0.6819]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TIGBUR.TA,"[0.0012, -0.1326, -0.0188]","[0.0023, -0.1315, -0.0176]","[0.4904, 0.3566, 0.4704]","[0.0013, -0.1325, -0.0187]","[0.0011, -0.1327, -0.0189]","[0.0012, -0.1326, -0.0187]","[None, None, None]","[0.002, -0.1318, -0.018]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.8662, 0.9801]"
TGTR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8421, 0.7825, 0.8695]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TOEN.TA,"[None, None, None]","[0.0214, 0.0431, 0.2044]","[0.0, 0.0217, 0.183]","[None, None, None]","[0.9461, 0.9678, 0.8709]","[1.0, 0.9783, 0.817]","[0.9781, 0.9998, 0.8389]","[0.5609, 0.5826, 0.7439]","[0.538, 0.5597, 0.721]","[-0.1266, -0.1049, 0.0564]","[0.9987, 0.9795, 0.8182]","[None, None, None]","[0.9995, 0.9788, 0.8175]","[None, None, None]","[None, None, None]"
TOPS.TA,"[0.6012, 0.6075, 0.6554]","[0.4474, 0.4538, 0.5017]","[None, None, None]","[0.5986, 0.6049, 0.6528]","[0.8236, 0.8299, 0.8778]","[-1.0, -1.0, -1.0]","[0.8813, 0.8877, 0.9356]","[0.5482, 0.5545, 0.6024]","[None, None, None]","[-0.0931, -0.0995, -0.1474]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.4979, 0.5042, 0.5521]","[None, None, None]"
TSEM.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9646, 0.9277, 0.775]","[0.966, 0.929, 0.7737]","[0.9641, 0.9272, 0.7755]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.7956, 0.8326, 0.5352]","[0.9119, 0.8749, 0.8277]","[None, None, None]","[0.9993, 0.9637, 0.7389]"
UNIT.TA,"[0.0012, -0.0133, 0.0034]","[0.0013, -0.0132, 0.0035]","[0.1764, 0.1619, 0.1786]","[0.0012, -0.0133, 0.0034]","[0.001, -0.0135, 0.0032]","[0.0015, -0.013, 0.0037]","[0.001, -0.0135, 0.0032]","[None, None, None]","[None, None, None]","[0.0023, 0.0168, 0.0001]","[0.0008, 0.0153, -0.0014]","[0.0005, -0.014, 0.0027]","[0.0003, -0.0142, 0.0025]","[0.001, -0.0135, 0.0032]","[None, None, None]"
VRDS.TA,"[0.0011, -0.0774, -0.0106]","[0.0002, -0.0782, -0.0115]","[0.2379, 0.1594, 0.2262]","[0.001, -0.0774, -0.0107]","[0.001, -0.0774, -0.0107]","[0.0011, -0.0774, -0.0107]","[0.001, -0.0775, -0.0107]","[0.0017, -0.0768, -0.01]","[None, None, None]","[0.001, 0.0795, 0.0127]","[-0.0006, 0.0778, 0.0111]","[None, None, None]","[None, None, None]","[-0.001, 0.0775, 0.0107]","[1.0, 0.9215, 0.9883]"
VCTR.TA,"[0.0013, -0.0092, 0.0566]","[0.0012, -0.0093, 0.0565]","[None, None, None]","[0.0013, -0.0092, 0.0566]","[0.001, -0.0096, 0.0563]","[0.001, -0.0095, 0.0563]","[0.001, -0.0095, 0.0563]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VILR.TA,"[0.6373, 0.6071, 0.5494]","[0.9711, 0.9987, 0.941]","[None, None, None]","[0.8132, 0.783, 0.7253]","[0.8584, 0.8885, 0.9462]","[0.8025, 0.8327, 0.8904]","[0.7762, 0.8064, 0.8641]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9971, 0.9727, 0.915]","[1.0, 0.9698, 0.9121]","[None, None, None]"
VTNA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.6218, 0.5426, 0.7148]","[0.9276, 0.8484, 0.9794]","[0.9553, 0.8761, 0.9517]","[0.882, 0.8028, 0.975]","[None, None, None]","[None, None, None]","[0.8748, 0.9541, 0.7819]","[-1.0, -1.0, -0.9312]","[None, None, None]","[0.9325, 0.8532, 0.9745]","[-0.5556, -0.6348, -0.4626]","[None, None, None]"
WATR.TA,"[0.8769, 0.8913, 0.7836]","[-0.1145, -0.1, -0.2077]","[None, None, None]","[0.8741, 0.8886, 0.7809]","[1.0, 0.9855, 0.9067]","[1.0, 0.9855, 0.9067]","[1.0, 0.9855, 0.9067]","[-1.0, -1.0, -1.0]","[0.8557, 0.8701, 0.7624]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
WLFD.TA,"[0.9997, 0.9534, 0.9571]","[0.8683, 0.9146, 0.8251]","[None, None, None]","[0.9513, 0.9976, 0.9081]","[0.996, 0.9497, 0.9608]","[0.2468, 0.293, 0.2035]","[0.3645, 0.3182, 0.4077]","[0.8555, 0.9018, 0.8123]","[None, None, None]","[-0.264, -0.2177, -0.3072]","[0.777, 0.8233, 0.7338]","[None, None, None]","[None, None, None]","[-1.0, -0.9537, -1.0]","[1.0, 0.9537, 0.9568]"
WILC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9864, 0.9232]"
XTLB.TA,"[None, None, None]","[-0.262, -0.3438, -0.5242]","[-0.3333, -0.4151, -0.5955]","[None, None, None]","[0.9654, 0.9528, 0.7724]","[0.2791, 0.3609, 0.5413]","[0.2679, 0.1862, 0.0058]","[0.6161, 0.6978, 0.8783]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.992, 0.9103, 0.7299]"
YBOX.TA,"[-0.607, -0.5668, -0.3917]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.782, 0.7418, 0.5667]","[0.9587, 0.9989, 0.826]","[0.9047, 0.8645, 0.6893]","[0.6867, 0.7269, 0.902]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
