,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
BONS.TA,"[None, None, None]","[0.9805, 0.3043, 0.1028]","[0.8475, 0.4373, 0.2358]","[None, None, None]","[None, None, None]","[0.3622, -0.353, -0.5544]","[-1.0, -1.0, -1.0]","[0.3635, -0.3517, -0.5532]","[0.5992, 0.6856, 0.4841]","[0.9583, 0.2431, 0.0416]","[-0.0637, 0.6515, 0.8529]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BCNV-M.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8911, 0.8758, 0.924]","[0.6866, 0.6713, 0.7196]","[0.9681, 0.9834, 0.9351]","[0.8309, 0.8156, 0.8639]","[None, None, None]","[None, None, None]","[0.7743, 0.7896, 0.7413]"
BRIL.TA,"[0.0013, -0.073, -0.1919]","[0.0004, 0.0748, 0.1937]","[None, None, None]","[None, None, None]","[0.0077, -0.0667, -0.1856]","[None, None, None]","[None, None, None]","[0.0015, 0.0759, 0.1948]","[0.0008, -0.0736, -0.1925]","[0.0009, -0.0734, -0.1923]","[0.001, -0.0733, -0.1922]","[0.0007, -0.0736, -0.1926]","[None, None, None]","[None, None, None]","[0.001, -0.0733, -0.1923]"
CISY.TA,"[0.9454, 0.9254, 0.9287]","[0.8042, 0.7842, 0.7874]","[0.8822, 0.8622, 0.8654]","[0.9832, 0.9632, 0.9665]","[0.5576, 0.5376, 0.5408]","[None, None, None]","[0.5463, 0.5263, 0.5296]","[0.897, 0.917, 0.9137]","[0.9928, 0.9872, 0.9904]","[0.8116, 0.7916, 0.7949]","[0.9438, 0.9238, 0.927]","[None, None, None]","[None, None, None]","[0.9428, 0.9628, 0.9595]","[None, None, None]"
CAMT.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.613, 0.7009, 0.8677]","[0.7539, 0.8418, 0.9914]","[0.5701, 0.6579, 0.8248]","[None, None, None]","[None, None, None]","[0.9838, 0.8959, 0.7291]","[None, None, None]"
CAST.TA,"[0.6833, 0.7867, 0.7517]","[0.3385, 0.442, 0.9036]","[None, None, None]","[0.7163, 0.8198, 0.7186]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9377, 0.8343, 0.3727]","[0.5911, 0.6946, 0.8438]","[0.6246, 0.728, 0.8104]","[0.4107, 0.5141, 0.9757]","[0.9961, 0.8927, 0.4311]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CEL.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.8778, 0.9592, 0.9118]","[0.8208, 0.7394, 0.7868]","[0.9727, 0.8913, 0.9387]","[0.8918, 0.8104, 0.8578]","[0.9945, 0.9241, 0.9715]","[0.9013, 0.9827, 0.9353]","[None, None, None]","[0.9586, 0.96, 0.9926]","[0.0428, 0.1242, 0.0768]"
CBI.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0187, -0.0102, -0.3031]","[None, None, None]"
CGEN.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9608, 0.9451, 0.7288]","[0.8545, 0.7604, 0.5441]","[0.9374, 0.9685, 0.7522]","[None, None, None]","[None, None, None]","[0.9529, 0.953, 0.7367]","[None, None, None]"
