,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
CISY.TA,"[0.2748, 0.1931, 0.208]","[0.3975, 0.3158, 0.3307]","[0.2722, 0.1905, 0.2054]","[0.4893, 0.4075, 0.4224]","[None, None, None]","[0.4183, 0.5, 0.4851]","[0.1077, 0.1894, 0.1745]","[0.892, 0.9737, 0.9588]","[0.251, 0.1693, 0.1842]","[0.9497, 0.9686, 0.9835]","[0.3636, 0.2819, 0.2968]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[0.2861, 0.4057, 0.5023]","[0.3048, 0.4243, 0.5209]","[0.2901, 0.4096, 0.5063]","[0.2754, 0.395, 0.4916]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9608, 0.8412, 0.7446]","[0.9936, 0.8741, 0.7774]","[0.9283, 0.8088, 0.7122]","[0.291, 0.4106, 0.5072]","[None, None, None]","[0.9744, 0.9061, 0.8094]","[None, None, None]","[None, None, None]"
CAST.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.2443, -0.1463, -0.133]","[None, None, None]","[None, None, None]","[0.2077, 0.3057, 0.3189]","[0.4344, 0.5323, 0.5456]"
CEL.TA,"[0.2573, 0.2025, 0.2527]","[0.963, 0.9823, 0.9676]","[0.4489, 0.3942, 0.4443]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.1168, 0.1716, 0.1215]","[0.8885, 0.9433, 0.8931]","[0.835, 0.8897, 0.8396]","[0.9865, 0.9317, 0.9818]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DANE.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.2313, 0.2451, 0.4304]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DNYA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
DLEA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.3072, 0.2797, 0.3527]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
DELG.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.1516, 0.1757, 0.2408]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DIMRI.TA,"[0.9686, 0.9913, 0.9228]","[1.0, 0.9599, 0.9542]","[1.0, 0.9599, 0.9542]","[None, None, None]","[None, None, None]","[1.0, 0.9599, 0.9542]","[1.0, 0.9599, 0.9542]","[0.9977, 0.9576, 0.9565]","[0.8239, 0.7838, 0.8697]","[0.9861, 0.946, 0.9681]","[0.3542, 0.3943, 0.3084]","[1.0, 0.9599, 0.9542]","[None, None, None]","[None, None, None]","[-0.2474, -0.2073, -0.2932]"
DIPL.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.1514, 0.1049, 0.1656]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DSCT.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8109, 0.7991, 0.8666]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DISI.TA,"[0.0177, 0.0577, 0.1823]","[0.0037, 0.0437, 0.1682]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.047, 0.087, 0.2116]","[0.0398, 0.0798, 0.2043]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DRAL.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.0375, -0.0182, -0.1055]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
