,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
APLP.TA,"[-0.2807, -0.2397, -0.5103]","[None, None, None]","[0.7716, 0.7306, 0.9988]","[-0.7407, -0.6998, -0.9703]","[-1.0, -1.0, -1.0]","[0.1668, 0.2078, -0.0628]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.4513, 0.4104, 0.6809]","[-1.0, -1.0, -1.0]","[0.9736, 0.9326, 0.7968]","[None, None, None]","[None, None, None]","[None, None, None]"
ARD.TA,"[0.5096, 0.484, 0.5599]","[0.5154, 0.4898, 0.5656]","[0.512, 0.4864, 0.5622]","[0.5179, 0.4923, 0.5682]","[0.9788, 0.9956, 0.9285]","[0.9442, 0.9698, 0.8939]","[0.7806, 0.8062, 0.7303]","[0.9806, 0.9549, 0.9692]","[0.5343, 0.5087, 0.5846]","[0.5769, 0.5513, 0.6272]","[None, None, None]","[None, None, None]","[0.9092, 0.9348, 0.859]","[0.9903, 0.9841, 0.94]","[None, None, None]"
ASHO.TA,"[0.1251, 0.2916, 0.3801]","[0.9933, 0.8402, 0.7517]","[0.9933, 0.8402, 0.7517]","[0.9933, 0.8402, 0.7517]","[0.984, 0.8495, 0.761]","[0.9933, 0.8402, 0.7517]","[None, None, None]","[0.9933, 0.8402, 0.7517]","[0.9933, 0.8402, 0.7517]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASHG.TA,"[0.7038, 0.736, 0.6404]","[-0.3284, -0.3606, -0.2651]","[None, None, None]","[0.7278, 0.76, 0.6644]","[0.9787, 0.9465, 0.958]","[None, None, None]","[None, None, None]","[0.9711, 0.9967, 0.9078]","[0.4685, 0.4362, 0.5318]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASGR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.7411, 0.6826, 0.612]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
AUDC.TA,"[0.9483, 0.9542, 0.9571]","[0.9868, 0.9928, 0.9957]","[0.9945, 0.9996, 0.9967]","[0.9455, 0.9514, 0.9543]","[0.991, 0.9851, 0.9822]","[0.9803, 0.9863, 0.9892]","[0.5055, 0.4996, 0.4967]","[0.9713, 0.9654, 0.9625]","[0.9923, 0.9863, 0.9834]","[0.7665, 0.7606, 0.7576]","[-1.0, -1.0, -1.0]","[-0.696, -0.7019, -0.7048]","[None, None, None]","[0.9763, 0.9823, 0.9852]","[0.9983, 0.9958, 0.9929]"
AVGL.TA,"[0.159, 0.2162, 0.0963]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.998, 0.9408, 0.9392]","[0.9943, 0.9485, 0.9316]","[0.9404, 0.8832, 0.9969]","[0.9834, 0.9262, 0.9539]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.2304, 0.1732, 0.2931]","[None, None, None]","[0.9987, 0.9415, 0.9386]"
AVIV.TA,"[0.7657, 0.8149, 0.7621]","[0.8818, 0.931, 0.8782]","[None, None, None]","[0.8637, 0.9129, 0.8601]","[0.9896, 0.9404, 0.9932]","[0.9917, 0.9425, 0.9953]","[-1.0, -1.0, -1.0]","[0.9859, 0.9367, 0.9895]","[0.8631, 0.9122, 0.8595]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8884, 0.9376, 0.8848]","[-1.0, -0.9722, -1.0]","[0.9786, 0.9722, 0.975]"
AVRT.TA,"[0.6885, 0.5971, 0.5082]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8146, 0.7232, 0.6343]","[0.9082, 0.8168, 0.7278]","[0.8154, 0.7239, 0.635]","[None, None, None]","[0.8931, 0.9845, 0.9266]","[0.5358, 0.6272, 0.7161]","[0.9723, 0.8808, 0.7919]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]"
AYAL.TA,"[0.9983, 0.9978, 0.9371]","[0.9983, 0.9978, 0.9371]","[None, None, None]","[None, None, None]","[0.9983, 0.9978, 0.9371]","[0.9983, 0.9978, 0.9371]","[0.9983, 0.9978, 0.9371]","[0.9983, 0.9978, 0.9371]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9983, 0.9978, 0.9371]","[None, None, None]","[None, None, None]"
