,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares,Earnings Per Share (EPS)
ORON.TA,"[-0.069, -0.1076, -0.0271]","[0.2198, 0.2584, 0.1779]","[0.2733, 0.3119, 0.2314]","[0.2963, 0.335, 0.2544]","[-0.5216, -0.483, -0.5635]","[0.7047, 0.7433, 0.6628]","[0.7834, 0.7448, 0.8253]","[0.7193, 0.6807, 0.7612]","[0.9802, 0.9416, 0.9778]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9976, 0.9638, 0.9556]","[None, None, None]","[None, None, None]"
OVRS.TA,"[-0.0178, -0.094, -0.0589]","[0.0338, -0.0424, -0.0072]","[-0.0054, -0.0816, -0.0465]","[None, None, None]","[0.654, 0.7302, 0.6951]","[0.2052, 0.2814, 0.2462]","[0.9954, 0.9192, 0.9544]","[0.9758, 0.8996, 0.9347]","[0.9862, 0.91, 0.9452]","[0.5455, 0.4692, 0.5044]","[0.4493, 0.3731, 0.4083]","[0.9994, 0.9231, 0.9583]","[0.9533, 0.8771, 0.9123]","[None, None, None]","[None, None, None]"
PLRM.TA,"[-0.0934, 0.0521, 0.1218]","[-1.0, -0.9023, -0.8326]","[0.6889, 0.8344, 0.9041]","[-1.0, -0.9056, -0.836]","[0.4106, 0.2651, 0.1954]","[None, None, None]","[0.98, 0.8345, 0.7649]","[0.8342, 0.6887, 0.619]","[0.9406, 0.9139, 0.8442]","[0.95, 0.9045, 0.8348]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.9634, -0.8179, -0.7482]"
PAYT.TA,"[-0.052, -0.0972, -0.0367]","[0.0757, 0.0304, 0.0909]","[0.01, -0.0353, 0.0252]","[0.1029, 0.0576, 0.1181]","[0.8051, 0.8503, 0.7898]","[None, None, None]","[1.0, 0.9548, 0.9847]","[-1.0, -1.0, -1.0]","[0.6443, 0.6896, 0.6291]","[0.4625, 0.4173, 0.4778]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.4511, 0.4964, 0.4359]"
PAZ.TA,"[0.0009, 0.0286, -0.0986]","[0.0015, 0.0292, -0.098]","[0.001, 0.0286, -0.0985]","[0.001, 0.0286, -0.0985]","[0.0001, -0.0275, 0.0996]","[-0.0001, 0.0275, -0.0996]","[0.001, 0.0286, -0.0986]","[0.0007, 0.0284, -0.0988]","[0.0011, 0.0288, -0.0984]","[None, None, None]","[0.0005, 0.0282, -0.099]","[0.0036, 0.0312, -0.0959]","[0.0008, 0.0285, -0.0987]","[None, None, None]","[None, None, None]"
PCBT.TA,"[0.2552, 0.1942, 0.0387]","[-1.0, -1.0, -1.0]","[0.2311, 0.1701, 0.0146]","[-1.0, -1.0, -1.0]","[0.1329, 0.1939, 0.3494]","[-0.6972, -0.7582, -0.9137]","[1.0, 0.939, 0.7835]","[1.0, 0.939, 0.7835]","[1.0, 0.939, 0.7835]","[None, None, None]","[0.4184, 0.4794, 0.6349]","[1.0, 0.939, 0.7835]","[None, None, None]","[None, None, None]","[None, None, None]"
PLSN.TA,"[0.0142, 0.0395, 0.0674]","[-0.0804, -0.0552, -0.0272]","[-0.0514, -0.0261, 0.0018]","[-0.035, -0.0097, 0.0182]","[0.8529, 0.8277, 0.7997]","[-0.3623, -0.3875, -0.4155]","[0.9946, 0.9801, 0.9522]","[0.6896, 0.7148, 0.7428]","[0.9374, 0.9626, 0.9906]","[None, None, None]","[None, None, None]","[0.9528, 0.9275, 0.8996]","[0.9223, 0.897, 0.8691]","[None, None, None]","[-0.0839, -0.0586, -0.0307]"
PPIL.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]"
POLI.TA,"[None, None, None]","[0.0003, -0.0515, -0.0596]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0142, -0.0376, -0.0457]","[0.0152, -0.0366, -0.0446]","[0.0009, -0.0509, -0.059]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PMVM.TA,"[-0.1121, -0.1752, -0.302]","[-0.4186, -0.3555, -0.2288]","[-1.0, -1.0, -1.0]","[-0.4636, -0.4005, -0.2737]","[0.7739, 0.7108, 0.584]","[0.1137, 0.0506, -0.0762]","[0.9069, 0.8438, 0.717]","[-0.8851, -0.9482, -1.0]","[-0.1581, -0.095, 0.0318]","[None, None, None]","[None, None, None]","[None, None, None]","[0.5545, 0.4914, 0.3646]","[None, None, None]","[None, None, None]"
PRTC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, -0.0335, -0.3003]","[0.001, -0.0335, -0.3003]","[0.001, -0.0335, -0.3003]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0017, -0.0328, -0.2996]","[None, None, None]","[None, None, None]"
RMN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8489, 0.8155, 0.8322]","[-1.0, -1.0, -1.0]","[0.956, 0.9226, 0.9393]","[1.0, 0.9666, 0.9833]","[None, None, None]","[None, None, None]","[1.0, 0.9666, 0.9833]","[None, None, None]","[None, None, None]"
RIT1.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, 0.0212, -0.0081]","[0.0009, 0.0211, -0.0082]","[0.001, 0.0212, -0.0081]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.0202, -0.0091]","[-0.6573, -0.6775, -0.6482]"
AZRT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0013, 0.1644, 0.1085]","[0.0006, 0.1638, 0.1079]","[0.0009, 0.1641, 0.1082]","[None, None, None]","[None, None, None]","[0.0028, 0.166, 0.1101]","[0.0002, 0.1633, 0.1075]","[1.0, 0.8369, 0.8927]","[None, None, None]"
RTEN.TA,"[None, -1.0, -1.0]","[None, -1.0, -1.0]","[None, -1.0, -1.0]","[None, -1.0, -1.0]","[None, -1.0, -1.0]","[None, -1.0, -1.0]","[None, 0.9475, 0.756]","[None, -0.8366, -0.645]","[None, 0.2193, 0.0278]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, -1.0, -1.0]"
SPNS.TA,"[0.9703, 0.9457, 0.8379]","[0.9153, 0.8906, 0.893]","[0.9679, 0.9432, 0.8403]","[0.963, 0.9383, 0.8453]","[0.4226, 0.4473, 0.2309]","[0.3011, 0.3257, 0.1093]","[0.9845, 0.9908, 0.7928]","[0.9981, 0.9735, 0.8101]","[0.9983, 0.9736, 0.8099]","[None, None, None]","[0.3427, 0.3181, 0.5345]","[0.9998, 0.9755, 0.8081]","[0.9997, 0.975, 0.8085]","[0.9999, 0.9754, 0.8082]","[0.9231, 0.8984, 0.8852]"
SHAN.TA,"[0.1423, 0.1277, 0.1182]","[0.1006, 0.0859, 0.0765]","[0.1215, 0.1068, 0.0974]","[0.1457, 0.131, 0.1216]","[0.6165, 0.6312, 0.6406]","[-0.0986, -0.1133, -0.1227]","[0.7141, 0.6995, 0.69]","[0.4786, 0.4639, 0.4544]","[0.9911, 0.9764, 0.967]","[-1.0, -0.9853, -0.9759]","[None, None, None]","[0.4735, 0.4588, 0.4494]","[0.9401, 0.9548, 0.9642]","[1.0, 0.9853, 0.9759]","[0.0548, 0.0401, 0.0307]"
SPEN.TA,"[None, None, None]","[-0.8333, -0.8245, -0.8284]","[-0.2833, -0.2745, -0.2784]","[0.396, 0.3872, 0.3911]","[-0.25, -0.2589, -0.2549]","[-0.2897, -0.2808, -0.2847]","[0.9969, 0.9942, 0.9982]","[0.9935, 0.9847, 0.9886]","[0.9683, 0.9772, 0.9732]","[None, None, None]","[None, None, None]","[0.6497, 0.6585, 0.6546]","[0.9958, 0.9953, 0.9993]","[None, None, None]","[-0.7143, -0.7054, -0.7094]"
SAE.TA,"[None, None, None]","[None, None, None]","[0.0199, 0.0295, 0.0324]","[0.8543, 0.8638, 0.8668]","[0.3757, 0.3661, 0.3632]","[0.2216, 0.2121, 0.2091]","[0.9823, 0.9919, 0.9948]","[0.9814, 0.991, 0.9939]","[0.9515, 0.9611, 0.964]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9905, 0.9875]"
SKLN.TA,"[0.0612, 0.064, 0.3746]","[-0.7518, -0.7546, -1.0]","[None, None, None]","[0.4459, 0.4487, 0.7593]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9901, 0.9929, 0.6966]","[0.9221, 0.9249, 0.7646]","[0.9386, 0.9358, 0.6252]","[None, None, None]","[0.9381, 0.9409, 0.7486]","[None, None, None]","[0.8194, 0.8166, 0.5061]","[None, None, None]","[-0.9394, -0.9422, -1.0]"
SOLR.TA,"[1.0, 0.9721, 0.9109]","[0.5055, 0.4777, 0.4164]","[1.0, 0.9721, 0.9109]","[1.0, 0.9721, 0.9109]","[0.6723, 0.7002, 0.7614]","[0.3166, 0.2887, 0.2275]","[0.8941, 0.922, 0.9832]","[0.9507, 0.9228, 0.8616]","[0.9756, 0.9966, 0.9353]","[None, None, None]","[-0.4025, -0.4304, -0.4916]","[None, None, None]","[0.946, 0.9181, 0.8569]","[None, None, None]","[None, None, None]"
