,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ARF.TA,"[0.9677, 0.99, 0.8982]","[0.9677, 0.99, 0.8982]","[0.9953, 0.9824, 0.9258]","[-1.0, -1.0, -1.0]","[0.2429, 0.2206, 0.3123]","[-0.1215, -0.1438, -0.052]","[0.9979, 0.9756, 0.9326]","[0.956, 0.9783, 0.8865]"
ASHO.TA,"[0.9974, 0.9908, 0.6827]","[0.9974, 0.9908, 0.6827]","[0.865, 0.8716, 0.8203]","[0.92, 0.9134, 0.6053]","[0.7977, 0.8043, 0.8875]","[0.7773, 0.7839, 0.908]","[0.8659, 0.8724, 0.8194]","[None, None, None]"
ASHG.TA,"[0.9833, 0.896, 0.8267]","[0.9833, 0.896, 0.8267]","[0.9603, 0.9189, 0.8496]","[0.7218, 0.8426, 0.9118]","[0.8853, 0.994, 0.9247]","[0.81, 0.9308, 0.9999]","[0.9626, 0.9166, 0.8473]","[0.9368, 0.9424, 0.8732]"
ASGR.TA,"[0.9988, 0.9807, 0.9225]","[0.9988, 0.9807, 0.9225]","[0.9, 0.8795, 0.8213]","[0.4842, 0.5047, 0.5629]","[0.9833, 0.9628, 0.9046]","[0.9262, 0.9468, 0.9951]","[0.7116, 0.6911, 0.6329]","[0.6191, 0.5986, 0.5404]"
AUDC.TA,"[0.9892, 0.9982, 0.9332]","[0.9892, 0.9982, 0.9332]","[0.9902, 0.9972, 0.9342]","[0.7206, 0.7081, 0.7767]","[0.9937, 0.9938, 0.9376]","[0.9978, 0.9853, 0.9461]","[0.9993, 0.9881, 0.9433]","[None, None, None]"
AUSA-M.TA,"[None, None, None]","[1.0, 1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMX.TA,"[1.0, 0.9842, 0.9926]","[1.0, 0.9842, 0.9926]","[0.814, 0.7982, 0.8066]","[0.5815, 0.5973, 0.5889]","[0.9787, 0.9945, 0.9861]","[-0.2345, -0.2187, -0.2271]","[0.9702, 0.986, 0.9776]","[0.9977, 0.9865, 0.9949]"
AVGL.TA,"[0.9977, 0.9926, 0.9525]","[0.9977, 0.9926, 0.9525]","[0.9804, 0.9901, 0.9698]","[0.2041, 0.1944, 0.1543]","[0.9386, 0.9289, 0.8889]","[0.9295, 0.9197, 0.8797]","[0.9774, 0.9871, 0.9729]","[0.9975, 0.9928, 0.9527]"
AVIA.TA,"[0.9982, 0.9449, 0.8966]","[0.9982, 0.9449, 0.8966]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AILN.TA,"[0.9915, 0.9202, 0.9565]","[0.9915, 0.9202, 0.9565]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[0.9862, 0.922, 0.8521]","[0.9862, 0.922, 0.8521]","[0.9119, 0.9963, 0.9264]","[-0.4689, -0.3771, -0.3072]","[0.9265, 0.9817, 0.9118]","[0.9167, 0.9915, 0.9216]","[0.9386, 0.9697, 0.8998]","[0.9237, 0.9845, 0.9146]"
BCOM.TA,"[0.9965, 0.8978, 0.783]","[0.9965, 0.8978, 0.783]","[0.9843, 0.917, 0.8022]","[-0.5961, -0.6948, -0.8096]","[None, None, None]","[0.9714, 0.9299, 0.8151]","[0.983, 0.9183, 0.8035]","[0.9886, 0.9127, 0.7979]"
BIG.TA,"[0.991, 0.9343, 0.7705]","[0.991, 0.9343, 0.7705]","[0.9267, 0.9985, 0.8347]","[-0.3103, -0.2355, -0.0717]","[0.9343, 0.9909, 0.8271]","[0.958, 0.9672, 0.8034]","[0.9295, 0.9957, 0.8319]","[0.9319, 0.9933, 0.8295]"
BOLT.TA,"[0.9862, 0.9718, 0.9064]","[0.9862, 0.9718, 0.9064]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BLSR.TA,"[0.9876, 0.9839, 0.8646]","[0.9876, 0.9839, 0.8646]","[0.9741, 0.9975, 0.8781]","[0.9309, 0.9024, 0.7831]","[0.9875, 0.959, 0.8397]","[0.9979, 0.9694, 0.8501]","[0.9085, 0.937, 0.9437]","[0.9491, 0.9776, 0.9031]"
BONS.TA,"[0.9935, 0.931, 0.8132]","[0.9935, 0.931, 0.8132]","[None, None, None]","[0.9842, 0.9217, 0.8038]","[None, None, None]","[0.9289, 0.8664, 0.7486]","[0.8314, 0.8939, 0.9883]","[None, None, None]"
BWAY.TA,"[0.9966, 0.8355, 0.8242]","[0.9966, 0.8355, 0.8242]","[0.947, 0.8852, 0.8739]","[0.8933, 0.9389, 0.9275]","[0.9722, 0.8599, 0.8486]","[0.4829, 0.3151, 0.3037]","[0.8981, 0.9341, 0.9228]","[None, None, None]"
BLGO.TA,"[0.9979, 0.9656, 0.9917]","[0.9979, 0.9656, 0.9917]","[0.5706, 0.6029, 0.5768]","[0.44, 0.4723, 0.4462]","[None, None, None]","[0.1997, 0.232, 0.2059]","[0.994, 0.9617, 0.9878]","[None, None, None]"
CLAB.TA,"[0.9989, 0.9698, 0.9114]","[0.9989, 0.9698, 0.9114]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[0.9847, 0.9066, 0.8101]","[0.9847, 0.9066, 0.8101]","[0.8897, 0.8116, 0.715]","[0.8139, 0.7357, 0.6392]","[0.8947, 0.8165, 0.72]","[0.8395, 0.7613, 0.6648]","[0.9279, 0.8498, 0.7532]","[0.9834, 0.9052, 0.8087]"
CPTP.TA,"[1.0, 0.9586, 0.9274]","[1.0, 0.9586, 0.9274]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[0.9938, 0.939, 0.7945]","[0.9938, 0.939, 0.7945]","[0.7286, 0.7958, 0.9403]","[0.7506, 0.8178, 0.9623]","[0.8243, 0.8915, 0.964]","[0.808, 0.8752, 0.9803]","[0.8776, 0.9447, 0.9108]","[0.9934, 0.9394, 0.7949]"
CRSR.TA,"[0.9952, 0.8841, 0.6689]","[0.9952, 0.8841, 0.6689]","[0.8819, 0.7612, 0.546]","[0.1955, 0.0748, -0.1404]","[0.4363, 0.3156, 0.1004]","[0.3403, 0.2196, 0.0044]","[0.9541, 0.9251, 0.71]","[0.9834, 0.8958, 0.6807]"
CRML.TA,"[0.9995, 0.9809, 0.913]","[0.9995, 0.9809, 0.913]","[0.9259, 0.9446, 0.9875]","[0.8373, 0.856, 0.9239]","[0.8767, 0.8954, 0.9633]","[0.5952, 0.6139, 0.6818]","[0.9545, 0.9731, 0.959]","[None, None, None]"
CRMT.TA,"[1.0, 0.9829, 0.4867]","[1.0, 0.9829, 0.4867]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[0.9979, 0.9336, 0.7589]","[0.9979, 0.9336, 0.7589]","[0.9462, 0.8778, 0.703]","[0.2952, 0.2268, 0.052]","[0.8699, 0.8015, 0.6267]","[0.4381, 0.3697, 0.1949]","[0.9532, 0.9784, 0.8036]","[0.0021, -0.0664, -0.2411]"
CEL.TA,"[0.9965, 0.9254, 0.7573]","[0.9965, 0.9254, 0.7573]","[0.9819, 0.94, 0.7718]","[0.9783, 0.9436, 0.7754]","[0.9937, 0.9282, 0.7601]","[0.8997, 0.8216, 0.6535]","[0.9545, 0.8764, 0.7082]","[0.8234, 0.7453, 0.5772]"
CPIA.TA,"[None, None, None]","[0.9963, 0.8854, 0.9766]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CBI.TA,"[0.9734, 0.8648, 0.971]","[0.9734, 0.8648, 0.971]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[0.9854, 0.8853, 0.7913]","[0.9854, 0.8853, 0.7913]","[0.1301, 0.2594, 0.3534]","[0.6128, 0.4834, 0.3895]","[None, None, None]","[None, None, None]","[0.9607, 0.91, 0.816]","[None, None, None]"
CFX.TA,"[0.9998, 0.975, 0.9337]","[0.9998, 0.975, 0.9337]","[0.9657, 0.9405, 0.9681]","[-1.0, -1.0, -1.0]","[0.9752, 0.95, 0.9587]","[0.5678, 0.5931, 0.5017]","[0.9867, 0.9881, 0.9206]","[0.9241, 0.9494, 0.858]"
CGEN.TA,"[0.9993, 0.9311, 0.9354]","[0.9993, 0.9311, 0.9354]","[-0.5556, -0.6252, -0.6209]","[-0.6004, -0.67, -0.6657]","[-0.6267, -0.6963, -0.692]","[-1.0, -1.0, -1.0]","[0.8795, 0.8099, 0.8142]","[None, None, None]"
DANH.TA,"[1.0, 0.9962, 0.9998]","[1.0, 0.9962, 0.9998]","[0.9124, 0.9162, 0.9126]","[0.67, 0.6738, 0.6702]","[0.9078, 0.9116, 0.908]","[0.7626, 0.7664, 0.7628]","[0.9602, 0.9564, 0.96]","[0.7628, 0.759, 0.7626]"
DNYA.TA,"[0.9825, 0.921, 0.7809]","[0.9825, 0.921, 0.7809]","[0.8312, 0.9277, 0.9322]","[0.911, 0.9925, 0.8523]","[0.8804, 0.9769, 0.883]","[0.8612, 0.9577, 0.9022]","[0.9153, 0.9881, 0.848]","[None, None, None]"
DLEKG.TA,"[0.9855, 0.9899, 0.9526]","[0.9855, 0.9899, 0.9526]","[0.9585, 0.9831, 0.9795]","[0.9305, 0.9551, 0.9925]","[0.9306, 0.9552, 0.9926]","[0.8994, 0.924, 0.9614]","[0.9503, 0.9748, 0.9878]","[0.905, 0.9296, 0.967]"
DLTI.TA,"[0.9942, 0.9874, 0.9955]","[0.9942, 0.9874, 0.9955]","[0.894, 0.8871, 0.9042]","[0.8948, 0.9016, 0.8845]","[0.9842, 0.9773, 0.9944]","[0.9203, 0.9272, 0.9101]","[0.964, 0.9709, 0.9537]","[None, None, None]"
DELG.TA,"[0.982, 0.9798, 0.8818]","[0.982, 0.9798, 0.8818]","[0.906, 0.9082, 0.9939]","[0.4355, 0.4377, 0.5356]","[0.9122, 0.9144, 0.9876]","[0.646, 0.6482, 0.7461]","[0.9854, 0.9876, 0.9144]","[0.8915, 0.8893, 0.7913]"
DIPL.TA,"[0.992, 0.9637, 0.7459]","[0.992, 0.9637, 0.7459]","[0.8889, 0.9172, 0.8649]","[0.5711, 0.5428, 0.325]","[0.8829, 0.9112, 0.871]","[0.5078, 0.5361, 0.7539]","[0.9409, 0.9692, 0.813]","[0.863, 0.8913, 0.8909]"
DISI.TA,"[0.9926, 0.8228, 0.822]","[0.9926, 0.8228, 0.822]","[0.8824, 0.9478, 0.947]","[-1.0, -1.0, -1.0]","[0.9544, 0.8757, 0.8749]","[0.9379, 0.8922, 0.8914]","[0.9416, 0.8886, 0.8878]","[0.89, 0.9402, 0.9394]"
DRSH.TA,"[0.9952, 0.9997, 0.8869]","[0.9952, 0.9997, 0.8869]","[0.934, 0.9295, 0.9578]","[-0.4, -0.4046, -0.2918]","[None, None, None]","[0.9792, 0.9838, 0.871]","[0.9774, 0.9728, 0.9144]","[0.9656, 0.9702, 0.8574]"
ELAL.TA,"[0.9614, 0.8723, 0.6734]","[0.9614, 0.8723, 0.6734]","[0.4453, 0.5343, 0.7332]","[-1.0, -1.0, -0.8555]","[-0.5641, -0.4751, -0.2762]","[-0.9726, -0.8835, -0.6846]","[0.9968, 0.9078, 0.7089]","[0.8863, 0.7973, 0.5984]"
ESLT.TA,"[0.989, 0.9187, 0.8133]","[0.989, 0.9187, 0.8133]","[0.9548, 0.9749, 0.8695]","[0.9985, 0.9281, 0.8227]","[0.9517, 0.9779, 0.8725]","[0.9309, 0.9987, 0.8933]","[0.9799, 0.9498, 0.8444]","[0.9977, 0.9319, 0.8265]"
ELCO.TA,"[0.978, 0.9378, 0.7996]","[0.978, 0.9378, 0.7996]","[0.8928, 0.977, 0.8848]","[0.1032, 0.1874, 0.3256]","[0.8703, 0.9545, 0.9073]","[0.424, 0.5082, 0.6464]","[0.9527, 0.9631, 0.8248]","[0.839, 0.9232, 0.9386]"
ELDAV-M.TA,"[0.9929, 0.9823, 0.9066]","[0.9929, 0.9823, 0.9066]","[0.8386, 0.828, 0.7523]","[0.3758, 0.3652, 0.2895]","[0.9974, 0.992, 0.9163]","[0.9724, 0.9618, 0.8861]","[0.9776, 0.9882, 0.9361]","[0.9093, 0.8987, 0.823]"
ECP.TA,"[0.992, 0.9992, 0.8081]","[0.992, 0.9992, 0.8081]","[0.8719, 0.8807, 0.9282]","[-1.0, -1.0, -1.0]","[0.8762, 0.885, 0.924]","[0.4281, 0.4369, 0.628]","[0.995, 0.9962, 0.8051]","[0.9678, 0.959, 0.7679]"
ELCRE.TA,"[0.9871, 0.9684, 0.8538]","[0.9871, 0.9684, 0.8538]","[0.2792, 0.3238, 0.4383]","[0.9613, 0.9941, 0.8796]","[0.3419, 0.3864, 0.501]","[0.3872, 0.4317, 0.5462]","[0.9285, 0.973, 0.9124]","[-0.7846, -0.7401, -0.6255]"
ELWS.TA,"[0.938, 0.9599, 0.9712]","[0.938, 0.9599, 0.9712]","[0.8454, 0.9474, 0.9361]","[0.9991, 0.8988, 0.9101]","[0.676, 0.7781, 0.7668]","[0.9589, 0.8568, 0.8682]","[0.7259, 0.828, 0.8166]","[None, None, None]"
ELLO.TA,"[0.9871, 0.9248, 0.8389]","[0.9871, 0.9248, 0.8389]","[0.913, 0.9753, 0.9388]","[-0.7884, -0.7261, -0.6402]","[0.453, 0.5153, 0.6011]","[-1.0, -1.0, -1.0]","[0.9953, 0.933, 0.8472]","[0.9948, 0.943, 0.8571]"
ELSPC.TA,"[0.9947, 0.898, 0.7604]","[0.9947, 0.898, 0.7604]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[0.9835, 0.9406, 0.996]","[0.9835, 0.9406, 0.996]","[0.8674, 0.8245, 0.88]","[-1.0, -1.0, -1.0]","[0.7817, 0.8246, 0.7691]","[0.6322, 0.6751, 0.6196]","[0.5708, 0.5279, 0.5834]","[0.8089, 0.7659, 0.8214]"
ENLV.TA,"[0.992, 0.927, 0.8846]","[0.992, 0.927, 0.8846]","[None, None, None]","[0.8485, 0.7674, 0.7251]","[None, None, None]","[0.9474, 0.9715, 0.9292]","[0.926, 0.993, 0.9506]","[None, None, None]"
EPIT.TA,"[0.9746, 0.9295, -0.0774]","[0.9746, 0.9295, -0.0774]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
EQTL.TA,"[0.9818, 0.9483, 0.8816]","[0.9818, 0.9483, 0.8816]","[0.9336, 0.9964, 0.9298]","[0.3766, 0.4466, 0.5132]","[0.859, 0.929, 0.9956]","[0.8702, 0.9402, 0.9932]","[0.9584, 0.9717, 0.905]","[0.9072, 0.9772, 0.9562]"
FTAL.TA,"[0.9723, 0.9254, 0.862]","[0.9723, 0.9254, 0.862]","[0.8657, 0.968, 0.9685]","[-0.7977, -0.6954, -0.6319]","[0.8732, 0.9755, 0.961]","[0.9184, 0.9793, 0.9158]","[0.8784, 0.9807, 0.9558]","[0.7677, 0.87, 0.9335]"
FLYS.TA,"[0.9875, 0.9364, 0.8215]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FBRT.TA,"[0.9812, 0.9732, 1.0]","[0.9812, 0.9732, 1.0]","[0.7614, 0.8071, 0.7802]","[0.7488, 0.7944, 0.7676]","[0.859, 0.9046, 0.8778]","[0.8442, 0.8898, 0.863]","[0.9355, 0.9812, 0.9543]","[None, None, None]"
FRSX.TA,"[0.9837, 0.9688, 0.4657]","[0.9837, 0.9688, 0.4657]","[0.8862, 0.9337, 0.3681]","[0.9339, 0.9814, 0.4159]","[0.3955, 0.443, -0.1226]","[0.9244, 0.9719, 0.4063]","[0.7669, 0.8144, 0.2489]","[None, None, None]"
FORTY.TA,"[0.9938, 0.903, 0.9425]","[0.9938, 0.903, 0.9425]","[0.9455, 0.9513, 0.9908]","[0.7401, 0.8433, 0.8038]","[0.955, 0.9418, 0.9813]","[0.9017, 0.9951, 0.9654]","[0.9391, 0.9577, 0.9972]","[0.8575, 0.9607, 0.9212]"
GCT.TA,"[0.9868, 0.886, 0.772]","[0.9868, 0.886, 0.772]","[0.9958, 0.9034, 0.7894]","[-0.4114, -0.5121, -0.6261]","[0.9982, 0.8974, 0.7834]","[0.9832, 0.916, 0.802]","[0.9969, 0.8962, 0.7822]","[0.9708, 0.87, 0.756]"
GVYM.TA,"[0.9883, 0.9639, 0.9282]","[0.9883, 0.9639, 0.9282]","[0.8601, 0.9079, 0.9436]","[0.1713, 0.1235, 0.0878]","[0.9685, 0.9837, 0.948]","[0.9748, 0.9774, 0.9417]","[0.9212, 0.969, 0.9953]","[0.7937, 0.8415, 0.8772]"
GEFR.TA,"[0.9901, 0.896, 0.7479]","[0.9901, 0.896, 0.7479]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9911, 0.8772, 0.7291]","[0.9897, 0.8758, 0.7277]"
GNCL.TA,"[0.9779, 0.9614, 0.8967]","[0.9779, 0.9614, 0.8967]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNRS.TA,"[0.9921, 0.923, 0.7808]","[0.9921, 0.923, 0.7808]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.8192, -0.7344, -0.5922]","[0.9887, 0.9265, 0.7842]","[0.9659, 0.8811, 0.7389]"
GILT.TA,"[0.9972, 0.9913, 0.8946]","[0.9972, 0.9913, 0.8946]","[0.9764, 0.9649, 0.8682]","[-1.0, -1.0, -1.0]","[0.9554, 0.9669, 0.9364]","[-0.4195, -0.408, -0.3113]","[0.9582, 0.9697, 0.9336]","[0.9972, 0.9913, 0.8946]"
GLTL.TA,"[0.9687, 0.902, 0.859]","[0.9687, 0.902, 0.859]","[0.9051, 0.9657, 0.9226]","[0.3886, 0.5178, 0.5609]","[0.8515, 0.9807, 0.9762]","[0.7547, 0.8839, 0.927]","[0.8713, 0.9995, 0.9564]","[0.1822, 0.053, 0.0099]"
GKL.TA,"[0.9305, 0.8925, 0.8323]","[0.9305, 0.8925, 0.8323]","[0.9301, 0.8922, 0.8319]","[-1.0, -1.0, -1.0]","[0.9305, 0.8925, 0.8323]","[0.8881, 0.8501, 0.7898]","[0.9483, 0.9103, 0.8501]","[0.9137, 0.8757, 0.8155]"
GLRS.TA,"[0.9885, 0.9777, 0.9234]","[0.9885, 0.9777, 0.9234]","[0.9808, 0.9917, 0.9541]","[0.7513, 0.7622, 0.8164]","[0.9646, 0.9537, 0.8995]","[0.8346, 0.8237, 0.7695]","[0.9963, 0.9928, 0.9386]","[0.9334, 0.9225, 0.8683]"
GOHO.TA,"[0.937, 0.8569, 0.861]","[0.937, 0.8569, 0.861]","[0.9949, 0.9148, 0.9189]","[-1.0, -1.0, -1.0]","[0.8675, 0.9475, 0.9434]","[-0.7429, -0.6629, -0.667]","[0.8963, 0.9764, 0.9723]","[0.9417, 0.8617, 0.8657]"
GRAC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
G107.TA,"[0.999, 0.9901, 0.949]","[0.999, 0.9901, 0.949]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HGG.TA,"[0.9905, 0.9909, 0.8738]","[0.9905, 0.9909, 0.8738]","[0.9762, 0.9948, 0.8881]","[-0.6973, -0.6786, -0.5616]","[0.796, 0.7773, 0.6603]","[0.9702, 0.9515, 0.8345]","[0.9999, 0.9814, 0.8644]","[0.918, 0.8993, 0.7823]"
MSBI.TA,"[0.9828, 0.97, 0.9517]","[0.9828, 0.97, 0.9517]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[0.9958, 0.9466, 0.7025]","[0.9958, 0.9466, 0.7025]","[0.7817, 0.8393, 0.9166]","[-1.0, -1.0, -1.0]","[0.6942, 0.7518, 0.9959]","[-1.0, -1.0, -1.0]","[0.9804, 0.962, 0.7179]","[0.8477, 0.7902, 0.546]"
HICN.TA,"[0.9839, 0.9733, 0.9296]","[0.9839, 0.9733, 0.9296]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[0.9985, 0.9609, 0.9544]","[0.9985, 0.9609, 0.9544]","[0.9619, 0.9975, 0.991]","[0.837, 0.7964, 0.7899]","[0.945, 0.9044, 0.8979]","[0.879, 0.8384, 0.8319]","[0.9764, 0.9358, 0.9293]","[0.7515, 0.7109, 0.7044]"
HIPR.TA,"[0.9977, 0.984, 0.9385]","[0.9977, 0.984, 0.9385]","[0.9807, 0.9945, 0.9169]","[0.6689, 0.6827, 0.6051]","[0.8851, 0.8988, 0.8213]","[0.8722, 0.886, 0.8084]","[0.9718, 0.9856, 0.908]","[0.927, 0.9132, 0.9908]"
HIVE.TA,"[None, None, None]","[1.0, 1.0, 1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLMS.TA,"[0.9879, 0.9986, 0.958]","[0.9879, 0.9986, 0.958]","[0.8972, 0.9106, 0.9512]","[0.9568, 0.9702, 0.9892]","[0.9834, 0.9969, 0.9625]","[0.99, 0.9765, 0.9359]","[0.9855, 0.9989, 0.9605]","[0.573, 0.5864, 0.627]"
