,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,"[0.9935, 0.8478, 0.8257]","[0.9935, 0.8478, 0.8257]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[0.9912, 0.9072, 0.7032]","[0.9912, 0.9072, 0.7032]","[0.8129, 0.9145, 0.8815]","[-1.0, -1.0, -1.0]","[0.6521, 0.7538, 0.9578]","[0.3331, 0.4348, 0.6388]","[0.9445, 0.9538, 0.7498]","[0.9371, 0.8354, 0.6314]"
ADGR.TA,"[0.9964, 0.9685, 0.8369]","[0.9964, 0.9685, 0.8369]","[0.9405, 0.9756, 0.8928]","[-0.1073, -0.0722, 0.0595]","[0.9408, 0.9759, 0.8925]","[0.9299, 0.9649, 0.9034]","[0.9729, 0.9378, 0.8062]","[0.8833, 0.8482, 0.7166]"
ARDM.TA,"[0.9878, 0.2315, 0.7991]","[0.9878, 0.2315, 0.7991]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.9997, 0.982, 0.5332]","[0.9997, 0.982, 0.5332]","[0.9797, 0.9974, 0.5538]","[0.217, 0.2346, 0.6835]","[0.8881, 0.9057, 0.6454]","[0.7312, 0.7488, 0.8023]","[0.9797, 0.9621, 0.5132]","[0.9079, 0.9255, 0.6256]"
AFPR.TA,"[0.9947, 0.9939, 0.9946]","[0.9947, 0.9939, 0.9946]","[0.9177, 0.9291, 0.9176]","[-1.0, -1.0, -1.0]","[0.9183, 0.9297, 0.9182]","[0.9327, 0.9441, 0.9326]","[0.9237, 0.9351, 0.9236]","[0.9652, 0.9767, 0.9652]"
AFRE.TA,"[0.9842, 0.9166, 0.8783]","[0.9842, 0.9166, 0.8783]","[0.9305, 0.9703, 0.9321]","[0.8776, 0.9768, 0.9849]","[0.9043, 0.9965, 0.9583]","[0.9135, 0.9872, 0.949]","[0.9636, 0.9372, 0.899]","[0.8784, 0.9777, 0.9841]"
ARPT.TA,"[0.9824, 0.987, 0.976]","[0.9824, 0.987, 0.976]","[0.9122, 0.9428, 0.9538]","[-0.2919, -0.2613, -0.2503]","[0.9738, 0.9956, 0.9846]","[0.9953, 0.9647, 0.9537]","[0.9541, 0.9847, 0.9957]","[0.9307, 0.9613, 0.9723]"
ARTS.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALAR.TA,"[0.9651, 0.983, 0.6726]","[0.9651, 0.983, 0.6726]","[0.8447, 0.8267, 0.8628]","[-1.0, -1.0, -1.0]","[0.7908, 0.7729, 0.9167]","[0.4321, 0.4141, 0.7246]","[0.9092, 0.9271, 0.6167]","[0.2409, 0.223, 0.5334]"
ALBA.TA,"[0.9858, 0.9234, 0.7811]","[0.9858, 0.9234, 0.7811]","[0.9887, 0.9489, 0.8065]","[0.8166, 0.7542, 0.6119]","[0.9974, 0.935, 0.7927]","[0.9683, 0.9059, 0.7636]","[0.9966, 0.9411, 0.7987]","[0.5184, 0.5808, 0.7232]"
ALLT.TA,"[0.9936, 0.811, 0.3999]","[0.9936, 0.811, 0.3999]","[0.9581, 0.8593, 0.4482]","[0.0791, 0.2617, 0.6728]","[0.928, 0.8893, 0.4783]","[0.0709, 0.2535, 0.6646]","[0.9538, 0.8635, 0.4525]","[0.9949, 0.8122, 0.4012]"
ALMA.TA,"[0.9997, 0.8331, 0.6929]","[0.9997, 0.8331, 0.6929]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.9942, 0.9342, 0.8893]","[0.9942, 0.9342, 0.8893]","[0.9712, 0.9572, 0.9123]","[-0.316, -0.2444, -0.1995]","[0.9868, 0.9417, 0.8968]","[0.9543, 0.8827, 0.8378]","[0.9637, 0.9647, 0.9198]","[0.9747, 0.9537, 0.9088]"
ALRPR.TA,"[0.9921, 0.9785, 0.8533]","[0.9921, 0.9785, 0.8533]","[0.8842, 0.9136, 0.9612]","[-0.7928, -0.7635, -0.6382]","[0.7852, 0.8146, 0.9398]","[0.7135, 0.7428, 0.868]","[0.9495, 0.9789, 0.8959]","[0.9869, 0.9838, 0.8586]"
ALUMA.TA,"[None, None, None]","[0.9846, 0.9759, 0.7818]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.9903, 0.9876, 0.9336]","[0.9903, 0.9876, 0.9336]","[0.9304, 0.9277, 0.8736]","[0.414, 0.4114, 0.3573]","[0.8514, 0.8488, 0.7947]","[0.5509, 0.5482, 0.4941]","[0.9666, 0.9639, 0.9099]","[None, None, None]"
AMOT.TA,"[0.9876, 0.9285, 0.8478]","[0.9876, 0.9285, 0.8478]","[0.9752, 0.9408, 0.8601]","[-0.13, -0.046, 0.0347]","[0.9633, 0.9528, 0.8721]","[0.9623, 0.9537, 0.873]","[0.9875, 0.9286, 0.8479]","[0.981, 0.8971, 0.8164]"
APLP.TA,"[0.9923, 0.8565, 0.8968]","[0.9923, 0.8565, 0.8968]","[0.8867, 0.7509, 0.7912]","[0.8783, 0.9859, 0.9738]","[0.8683, 0.9958, 0.9638]","[0.8831, 0.981, 0.9786]","[0.9568, 0.9073, 0.9476]","[None, None, None]"
ARD.TA,"[0.9959, 0.9621, 0.9628]","[0.9959, 0.9621, 0.9628]","[0.9837, 0.9743, 0.975]","[0.9691, 0.9271, 0.9278]","[0.9886, 0.9695, 0.9701]","[0.9439, 0.9019, 0.9026]","[0.9728, 0.9853, 0.9859]","[0.8864, 0.8444, 0.8451]"
ARBE.TA,"[1.0, 0.9727, 0.9903]","[1.0, 0.9727, 0.9903]","[0.3007, 0.2734, 0.291]","[0.9295, 0.9022, 0.9198]","[-1.0, -1.0, -1.0]","[0.9283, 0.901, 0.9186]","[0.8759, 0.8486, 0.8662]","[None, None, None]"
