,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
GOLD.TA,257.93,1115.5,1115.24,311.99,-1.17,-2.12,-71.43,-36.71,-0.79,,102.38,-1138.92,-337.96,0.04,
GOHO.TA,-56.26,529.69,,-60.17,-3.02,-3.97,,,-1.31,-48.85,121.03,-1036.03,-382.19,0.0,
HAMAT.TA,105.3,86.04,-81.97,98.6,0.23,-4.92,,,11.74,83.46,,,,,
HARL.TA,-99.75,107.24,,,-99.91,-99.91,,,99.96,,,,,,
HLAN.TA,100.69,100.12,,97.81,8.5,6.91,-28.68,-15.51,0.15,97.53,2784.62,95.81,-534.73,,
HRON.TA,,221.61,938.92,0.0,0.44,17.02,7.86,-1.91,-2.32,,0.0,0.0,0.0,,
HLMS.TA,445.19,-105.32,0.0,119.9,4.46,,,,13.92,,12.92,31.66,-230.03,,
INRM.TA,102.93,118.17,77.27,98.33,6.62,5.6,,,-4.54,115.93,91.87,-102.05,-29.93,,73.09
INCR.TA,36.85,82.43,118.18,40.86,71.63,227.53,219.04,4608.9,51.96,73.55,-73.98,-125.04,18799.89,0.15,
ISCN.TA,301.79,2749.14,,,2105.6,1690.31,,,2058.51,46222.45,,,,,
ISRA.TA,97.29,154.66,160.29,,-4.9,-6.97,,,-2.13,158.23,54.24,-5.77,-47.08,0.0,
ISTA.TA,590.55,203.72,142.74,320.4,3.64,4.91,,,-2.27,52.74,,-5702.81,4295.72,-2.67,
JBNK.TA,,19871.18,,,735.11,845.46,,,5578.5,,,,,,
KAFR.TA,153.63,160.09,,140.48,0.49,2.03,-16.95,-29.68,2.03,170.38,0.0,-367.2,-1495.83,,
KMDA.TA,97.35,34.87,33.33,101.58,2.77,-10.79,-51.97,-75.0,0.62,44.25,-156.04,100.95,-96.28,,
KRDI.TA,,,,,-4.47,0.0,,,-12.11,,,,,,
KEN.TA,,86.52,95.81,52.17,2.78,2.09,0.0,45.2,5.78,-192.31,95.45,-68.54,247.22,,
KRUR.TA,126.53,150.73,0.0,129.62,-2.02,0.0,,,0.0,-0.47,-47.77,-223.54,0.0,,0.0
LAHAV.TA,,,,,,,,,,,,,,,
