,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
ILX.TA,23867.71,23187.66,27032.48,,,,,85100.87,60352.96,97978.26,-77.38,99900.0,,61511.99,
INCR.TA,15563.91,127777.24,15421.61,,,,,,,,,,,,
ISCN.TA,39109.24,37665.25,,43055.67,,,,108213.49,153690.27,77234.28,0.0,,99900.0,,
ISHI.TA,38698.81,56301.62,38550.29,41336.09,,,,99900.0,70409.17,103098.19,,,,,99900.0
ISRA.TA,-75.54,185.21,,-68.33,,,,0.62,-3.71,10.14,185.06,,,,
ISRO.TA,18201.22,-11028.89,6121.37,80.8,,-579326.85,,101234.68,77683.81,,-103.05,,,,
JBNK.TA,-99.78,-98.77,,,,,,-85.4,-86.71,-97.98,,,,,-20.0
KAFR.TA,0.0,116.4,0.0,0.0,,-186.51,139.48,17.23,,9.7,,,,,
KMDA.TA,-72.89,16.91,-62.73,135.34,161.97,99.16,-109.72,-4.89,-39.57,-0.95,20.0,,,41.58,-6.38
KRUR.TA,-83.4,-94.25,-84.74,-95.15,,0.0,0.0,0.0,-57.33,39.33,0.0,-75.0,,,
KLIL.TA,-68.59,-69.39,-66.41,-62.08,,54.55,98.15,4.85,249.8,3.62,0.0,,,,
LAHAV.TA,,-97.82,-72.85,,,,,0.0,-64.01,274.12,,,,,
LUMI.TA,35.86,0.0,,,,,,0.0,14.36,0.0,0.0,-100.0,,,
LCTX.TA,20.64,83.51,73.62,87.0,192.97,-100.47,-98.61,-17.2,-29.1,-6.25,84.62,,3.18,,
LUZN.TA,,230.03,,360.36,,1626.39,,1206.11,869.95,366.02,100.35,,,12390.64,83960.0
MTRN.TA,40317.63,47845.51,39654.88,51341.38,,,,121832.59,130364.12,102826.19,-50.0,49865.86,,,
MDPR.TA,-69.49,194.61,,,,-1510.59,484.98,0.0,-2.2,,102.78,,9.7,,
MLSR.TA,,,,,,,,,,,,,,,
MNIN.TA,-70.17,15.95,-70.35,-61.35,,,,0.0,23.11,0.0,0.0,129.17,,-42.51,-3.82
MNRT.TA,,-104.49,,,,-94.1,-33.39,6.11,3.91,7.89,-104.0,-54.29,,,
MCMN.TA,-53.6,-83.25,,,,,,35.45,-8.97,7.75,,,22.63,,
MGDL.TA,-73.78,104.88,,,,,,0.0,8.74,0.0,,,,,
MZTF.TA,1022.47,167689.47,,,,,,1034.82,802.54,21103.06,,,,,
MDIN.TA,-67.43,-94.95,,,,,-78.76,0.0,-11.59,67.5,,,,,
NFTA.TA,30512.05,61753.21,71068.9,27882.84,18159.98,,,103565.56,98703.95,109596.91,,,,,
NVPT.TA,-58.66,287.73,-8.94,46.89,,,,22.07,-42.36,,0.0,,,,
NYAX.TA,-71.35,60.52,-72.82,63.24,-102.54,30.72,-103.63,3.82,17.58,-4.99,63.54,,,,123.22
NTO.TA,27925.63,99900.0,25128.84,,,-32731.75,75579.66,112167.4,76822.12,106571.84,-98.99,,,,
NTML.TA,28331.39,21507.66,25818.14,24248.48,,-97420.0,-62882.0,114322.51,122189.07,105380.62,,,,,
NXTM.TA,24683.66,12245.28,20651.41,18922.47,,-9972757.14,-35377.91,99900.0,290316.98,99900.0,-87.28,99900.0,-0.0,,66821.16
NXFR.TA,-65.29,-127.87,-94.06,-200.0,,0.0,-100.32,-10.92,-26.19,-12.85,-200.0,,,,
NICE.TA,27355.96,28983.49,27695.84,27320.06,41628.96,-6345.53,-31166.23,99848.79,64239.02,99785.66,-70.81,,99835.72,69097.91,105686.38
NISA.TA,24874.86,-4762.76,37123.89,57390.68,,-40818.35,-69531.7,106334.21,85194.51,102006.43,-110.98,,,,105801.61
NOFR.TA,,,,,,,,0.0,-54.42,74.98,,,,-41.85,0.0
OPCE.TA,,,,,,,,-99.18,-99.22,-99.1,,,,-99.92,-99.72
OPK.TA,-17.97,24.93,,-14.74,,,,-3.87,-3.16,-4.17,27.27,,1.31,,
ORMP.TA,-75.06,64.77,,66.73,67.41,-316.8,-41.14,42.54,-89.91,46.03,128.21,,33.78,,
ORIN.TA,-67.46,165.38,,,,68.42,-90.38,1.5,51.65,423.28,,,-0.05,,-34.56
OVRS.TA,-73.12,-67.02,-71.14,-68.95,-53.27,48.57,44.21,1.0,25.56,1.41,-67.57,,,9.92,-4.23
PMNT.TA,-47.08,0.0,,152.47,,15.42,-101.86,36.78,597.16,6.38,0.0,,,166.08,
PAZ.TA,-63.85,,-66.56,-77.78,-87.44,-220.73,-77.76,0.0,0.0,0.0,,,,3.59,0.52
PERI.TA,-20.69,-12.62,,-20.63,-18.32,81.25,-99.45,-1.83,-12.96,4.04,-25.0,,16.56,,
PLUR.TA,,77.07,,77.4,71.57,0.34,-100.96,-10.47,202.51,-14.42,79.66,,14.17,,2.62
POLI.TA,651457.01,-3500.72,,,,66629181.63,-12712971.67,8313567.36,8137410.55,27199.76,,,,,
PRSK.TA,104615.34,102071.76,99900.0,,,,,99900.0,99900.0,99900.0,,,,,
PRTC.TA,4489.5,,,,,,,99900.0,99900.0,99900.0,0.0,,,,
RMLI.TA,28787.43,38267.79,27103.7,,38012.6,-17186.04,-9021.27,112280.98,114175.17,88802.19,,,,,
RANI.TA,,,,,,,,-5.77,72.35,2.24,,,,,
RPAC.TA,30124.82,214412.13,37003.77,75592.34,,,,128599.92,84975.33,99900.0,-55.45,,111.48,,
RATI.TA,-72.05,-63.2,,,-68.15,57.96,-135.93,2.62,0.17,12.6,-63.77,,,,
RAVD.TA,-70.92,240.17,-42.84,186.34,,6873.4,-437.66,375.33,202.01,756.41,,,,,908.1
RVL.TA,-73.72,-102.28,-78.14,,,-254.16,0.0,-4.79,-34.45,0.0,-102.35,-92.81,,,
RZR.TA,-89.38,-3.08,0.0,,,,,0.0,0.0,0.0,,,,,
RTLS.TA,25474.64,5922.63,24959.23,11463.8,,,,97583.33,98156.15,97528.43,-95.35,99900.0,,,
RIMO.TA,-88.51,4.77,-92.72,,,400.17,-44.17,-29.25,-72.94,0.0,-67.5,,-99.9,,
