,Revenue,Net Income,Earnings Per Share (EPS),Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Gross Profit,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Operating Cash Flow,Number of Outstanding Shares
NISA.TA,300.4,-83.45,-73.68,73.94,-6.66,-38.78,-2.06,-0.08,168.64,-85.9,299.47,-11.81,6.82,-37.41,
NOFR.TA,,,,,0.44,34.41,-3.52,,,,,-0.6,0.0,,
NSTR.TA,,76.47,76.86,,0.24,,3.01,,,,,,,397.83,
ORMP.TA,98.81,,145.45,,-11.05,-21.3,-10.06,,,,,,,,1.26
ORIN.TA,92.42,323.8,236.0,,-4.58,-34.06,18.0,,110.51,25.45,-818.88,-18.55,-37.08,627.92,0.0
PAZ.TA,19.74,,,10.38,-12.13,-33.93,-7.17,,17.54,,,,,,
PLUR.TA,,-95.7,-94.44,-94.35,-3.06,18.67,-18.54,,,197.72,100.0,,-5.38,,0.4
POLI.TA,0.0,122.06,,,-8.19,22.86,0.83,,,0.0,0.0,,,,
PRSK.TA,0.0,0.0,0.0,,11.5,10.27,13.7,,0.0,,,-40.03,-30.41,,
PRTC.TA,128.88,,0.0,,0.0,0.0,0.0,,,,,,,,
RMLI.TA,-6.85,-55.07,,,-5.61,-5.6,-4.26,,-3.26,,,,,,
RANI.TA,,,,,6.12,-13.48,-2.19,,,,,,,,
RPAC.TA,1.64,-48.04,18.09,-45.29,-3.96,-7.78,-31.74,,-26.5,,,,,,0.0
RATI.TA,117.68,160.7,164.0,130.8,3.98,0.1,18.04,,,0.98,0.0,,,86.15,
RAVD.TA,0.0,0.0,,,0.0,0.0,-21.78,,0.0,,,0.0,0.0,,
RTLS.TA,123.14,515.98,475.0,247.87,8.91,12.98,3.8,0.0,131.81,,,,,,
RIMO.TA,770.05,0.0,207.69,,41.35,245.05,0.0,-10.0,1274.4,-129.23,-26.43,99900.0,-26.02,934.03,99900.0
RTEN.TA,2.32,0.0,,,4.81,1095.83,32.07,,-54.38,,,,,,
SLARL.TA,3.97,-94.01,,-91.81,-62.22,-57.55,-95.06,,-83.47,,,,,,
SPNTC.TA,290.21,2271.2,2075.0,5116.78,7.38,,-1.55,,471.43,-279.53,-224.05,,,,
TMRP.TA,0.0,-71.12,-71.11,,-0.09,0.84,-2.53,,,-628.13,-25.26,,0.17,51.65,0.0
TFRLF.TA,392.91,354.18,353.85,386.02,-5.46,-90.12,-7.25,,339.47,-661.52,-66.8,0.0,0.0,-207.97,
TRX.TA,275.86,-223.21,-254.55,111.85,16.13,27.78,2.55,,286.94,91.9,125.83,-80.0,-2.29,,
TEVA.TA,3.41,75.63,75.58,-33.1,-2.39,-1.89,-3.29,,3.1,111.8,-16900.0,-17.24,-2.29,351.02,0.27
ILCO.TA,14.06,-33.75,,26.27,-1.6,-4.72,5.76,,23.53,,,,,,
TIGBUR.TA,103.94,245.08,237.5,,3.47,3.4,-2.93,109.84,103.18,56.14,-335.04,2.11,-2.7,27.22,0.0
VRDS.TA,108.05,65.16,33.33,120.8,0.0,0.0,0.0,,145.17,-98.6,829.4,,,376.48,
VTNA.TA,,203.26,,,15.51,18.5,11.57,-47.5,135.15,59.41,117.87,38.58,-5.22,-64.64,
WATR.TA,-9.17,682.14,,20.01,-0.17,0.0,-0.05,,-10.85,0.0,0.0,,,0.0,
XTLB.TA,,-56.32,-100.0,-81.12,-13.05,-75.03,-4.81,,,,,,,,0.0
ZUR.TA,,,,,,,,,,,,,,,
