,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,0.0,0.0,,,,,,
ACKR.TA,0.0,0.0,-81.28,-83.71,-81.03,-84.1,-2.91,-6.88
ADGR.TA,0.0,0.0,-76.65,-96.61,-76.93,-77.03,0.06,3.67
ARDM.TA,0.0,0.0,,,,,,
AFHL.TA,0.0,0.0,-79.71,272.43,-66.19,-9.52,-4.23,-6.16
AFPR.TA,0.0,0.0,-74.93,-72.12,-72.13,-72.12,1.63,2.1
AFRE.TA,0.0,0.0,-80.71,-86.35,-81.01,-83.55,7.36,-15.57
ARPT.TA,0.0,0.0,-74.28,-52.43,-74.06,-75.95,-0.64,-4.68
ARTS.TA,0.0,0.0,,,,,,
ALAR.TA,0.0,0.0,-68.42,126.06,-65.06,211.57,29.99,-13.84
ALBA.TA,0.0,0.0,-75.67,-53.13,-75.6,-72.75,-1.23,-17.19
ALLT.TA,0.0,0.0,-76.5,96.0,-71.34,95.78,-3.55,0.13
ALMA.TA,0.0,0.0,,,,,,
ALHE.TA,0.0,0.0,-72.36,85.8,-71.87,-71.84,-0.72,0.7
ALRPR.TA,0.0,0.0,-79.69,103.98,-88.03,-88.33,-1.92,-5.04
ALUMA.TA,,0.0,,,,,,
AMRK.TA,0.0,0.0,-77.66,-48.86,-73.98,-70.95,-0.52,
AMOT.TA,0.0,0.0,-74.82,-78.15,-74.24,-74.51,1.4,4.09
APLP.TA,0.0,0.0,-61.42,71.67,-62.94,71.59,9.16,
ARD.TA,0.0,0.0,-72.81,-74.75,-73.62,-72.4,4.92,28.22
ARF.TA,0.0,0.0,-78.99,-116.38,-102.3,-106.7,-1.74,-1.51
ASHG.TA,0.0,0.0,-76.89,-81.94,-77.54,-79.74,-0.95,-0.46
ASGR.TA,0.0,0.0,-72.88,98.84,-76.5,-77.34,1.71,7.68
AUDC.TA,0.0,0.0,-75.42,-76.28,-75.58,-77.25,-0.41,
AUSA-M.TA,,0.0,,,,,,
AVGL.TA,0.0,0.0,-72.8,-92.49,-76.04,-78.76,0.81,-0.86
AVIA.TA,0.0,0.0,,,,,,
AILN.TA,0.0,0.0,,,,,,
AZRG.TA,0.0,0.0,-74.55,-79.15,-73.77,-73.14,-0.53,2.4
BCOM.TA,0.0,0.0,-75.23,-70.05,,-76.74,10.08,14.06
BIG.TA,0.0,0.0,-75.41,-84.36,-72.62,-72.28,0.96,0.41
BLSR.TA,0.0,0.0,-71.98,-78.95,-72.34,-72.47,1.18,0.31
BONS.TA,0.0,0.0,,72.22,,72.37,-13.45,
BWAY.TA,0.0,0.0,-71.39,102.64,-70.98,101.88,3.45,
CLAB.TA,0.0,0.0,,,,,,
CAMT.TA,0.0,0.0,-69.24,-68.46,-69.71,-67.53,3.64,0.14
CPTP.TA,0.0,0.0,,,,,,
CRSM.TA,0.0,0.0,-68.02,-67.25,-70.73,-69.23,0.98,7.54
CRSR.TA,0.0,0.0,-77.02,-51.64,-76.5,-79.77,2.22,19.84
CRML.TA,0.0,0.0,-81.43,-90.08,-81.76,-93.98,8.01,-55.57
CRMT.TA,0.0,0.0,,,,,,
CAST.TA,0.0,0.0,-75.37,-90.81,-76.54,-77.23,-2.69,-31.2
CEL.TA,0.0,0.0,-74.01,-94.78,-74.7,-77.74,1.0,-12.36
CPIA.TA,,0.0,,,,,,
CFX.TA,0.0,0.0,-75.67,100.36,-74.24,135.57,-2.68,47.19
CGEN.TA,0.0,0.0,-92.35,61.25,-98.55,34.64,-6.29,
DANH.TA,0.0,0.0,-79.34,-102.88,-82.88,-98.57,3.03,-22.32
DLEKG.TA,0.0,0.0,-76.03,-83.11,-79.0,-78.97,1.95,-0.31
DELG.TA,0.0,0.0,-75.73,-86.95,-74.95,-79.86,1.75,-3.72
DIPL.TA,0.0,0.0,-75.39,-94.73,-75.94,-80.09,0.25,-4.41
DISI.TA,0.0,0.0,-70.11,107.45,-68.6,-66.86,1.61,0.91
DRSH.TA,0.0,0.0,-74.03,-80.95,,-72.77,0.07,-14.29
ELAL.TA,0.0,0.0,-70.52,-29.57,-57.9,-52.83,11.37,-5.05
EMITF-M.TA,0.0,0.0,,,,,,
ESLT.TA,0.0,0.0,-73.99,-65.75,-74.77,-70.94,5.32,-3.2
ELCO.TA,0.0,0.0,-73.77,85.64,-72.69,-65.22,3.56,2.97
ECP.TA,0.0,0.0,-72.89,118.39,-71.79,-41.19,13.14,13.55
ELCRE.TA,0.0,0.0,87.91,64.0,87.23,85.83,-0.77,-46.12
ELWS.TA,0.0,0.0,-60.93,75.08,-30.35,77.04,8.75,
ELLO.TA,0.0,0.0,-83.12,-262.82,-103.76,-1700.94,8.8,10.81
ELSPC.TA,0.0,0.0,,,,,,
ENOG.TA,0.0,0.0,-81.24,-56.79,-78.79,-77.06,-43.1,-17.54
ENLV.TA,0.0,0.0,,85.76,,84.29,-15.7,
EQTL.TA,0.0,0.0,-72.86,-25.13,-72.65,-72.43,1.5,-4.05
EVGN.TA,0.0,0.0,-25.71,83.82,-1.72,84.59,-8.46,-0.24
FTAL.TA,0.0,0.0,-79.76,-459.5,-82.01,-92.18,1.83,-2.96
FLYS.TA,0.0,,,,,,,
FBRT.TA,0.0,0.0,-68.71,-65.05,-64.07,-62.95,8.44,
FRSX.TA,0.0,0.0,-79.68,91.66,-81.07,82.14,-3.87,
FORTY.TA,0.0,0.0,-73.35,-73.19,-74.49,-73.85,-0.16,-16.91
GCT.TA,0.0,0.0,-75.23,57.69,-75.4,-75.62,-0.93,12.72
GVYM.TA,0.0,0.0,-74.24,-86.26,-74.27,-74.08,1.9,2.41
GEFR.TA,0.0,0.0,,,,,,
GNCL.TA,0.0,0.0,,,,,,
GNRS.TA,0.0,0.0,-81.32,-80.96,-78.46,-80.22,4.4,6.95
GILT.TA,0.0,0.0,-71.41,-78.88,-73.27,-71.97,-0.19,0.0
GLTL.TA,0.0,0.0,-71.93,-152.45,-75.18,-82.6,-2.34,-31.96
GKL.TA,0.0,0.0,,,,,,
GLRS.TA,0.0,0.0,-70.42,-71.36,-70.04,-67.7,-19.61,-4.81
GOHO.TA,0.0,0.0,-78.06,-60.32,-68.71,16.98,-2.97,0.13
GRAC.TA,,,,,,,,
G107.TA,0.0,0.0,,,,,,
HGG.TA,0.0,0.0,-85.25,-98.48,-86.01,-87.71,-2.97,0.12
MSBI.TA,0.0,0.0,,,,,,
HLAN.TA,0.0,0.0,-72.6,-73.24,-73.31,-72.81,-1.63,-20.0
HIPR.TA,0.0,0.0,-69.94,-64.88,-71.23,-67.54,-0.34,-5.76
HIVE.TA,,0.0,,,,,,
HLMS.TA,0.0,0.0,-74.71,-63.27,-75.54,-75.59,2.5,-8.5
HMGS.TA,0.0,0.0,,,,,,
HUMX.TA,0.0,0.0,,,,,,
ICON.TA,0.0,0.0,-73.2,-72.29,-74.16,-74.35,11.0,
IDNT.TA,0.0,0.0,,,,,,
IDMO.TA,0.0,0.0,,,,,,
ILX.TA,0.0,0.0,-73.81,-72.64,-74.93,-77.41,-1.64,-33.44
INRM.TA,0.0,0.0,-83.2,-87.82,-87.24,-106.06,15.95,-5.88
INCR.TA,0.0,0.0,,,,,,
ISHI.TA,0.0,0.0,-82.4,-88.37,-84.62,-94.8,-1.92,-4.42
ISRG.TA,0.0,0.0,-83.41,-117.06,-83.7,-101.94,14.01,33.72
ISRO.TA,0.0,0.0,-82.04,-88.11,-88.49,-87.32,1.35,1.1
ISTA.TA,0.0,0.0,-86.54,-91.2,-78.84,-46.82,4.76,-2.11
JNGO.TA,,0.0,,,,,,
KDST.TA,0.0,0.0,,,,,,
KEN.TA,0.0,0.0,-74.85,103.39,-69.03,-85.9,-1.35,1.51
KSTN.TA,0.0,0.0,-75.32,-89.29,74.01,62.91,6.8,0.22
KLIL.TA,0.0,0.0,-79.88,-80.53,-81.18,-91.68,2.16,
LSCO.TA,0.0,0.0,,,,,,
LBRA.TA,0.0,0.0,,,,,,
LCTX.TA,0.0,0.0,-83.86,69.55,-83.73,73.07,7.39,
LPSN.TA,0.0,0.0,-78.82,64.52,-78.51,68.52,-13.26,0.1
MGIC.TA,0.0,0.0,-75.57,-76.24,-76.01,-74.31,2.7,-20.36
MTLF.TA,,0.0,,,,,,
MTRX.TA,0.0,0.0,-72.22,-69.8,-72.89,-71.84,1.34,-14.68
MAXO.TA,0.0,0.0,-72.01,-67.99,-71.69,-72.13,5.24,-6.8
MTRN.TA,0.0,0.0,-75.87,-73.98,-77.55,-77.56,10.67,9.8
MEDN.TA,0.0,0.0,-68.71,105.67,286.33,123.55,0.77,-8.38
MLSR.TA,0.0,0.0,-74.43,-76.47,-73.38,-72.92,5.99,15.44
MNIN.TA,0.0,0.0,-77.27,-70.29,-76.17,-73.51,-0.8,-9.88
MLD.TA,,0.0,,,,,,
MZTF.TA,0.0,0.0,-75.59,-74.09,,,0.55,
MLRN.TA,0.0,0.0,,,,,,
NFTA.TA,0.0,0.0,-74.56,14.67,-71.57,-70.11,8.57,-1.99
NYAX.TA,0.0,0.0,-72.84,68.8,-68.3,76.76,24.71,9403.67
NTGR.TA,0.0,0.0,-92.48,-102.38,-96.14,-99.43,8.7,53.68
NTNB.TA,,0.0,,,,,,
NXTG.TA,0.0,0.0,,,,,,
NXTM.TA,0.0,0.0,-79.64,-85.52,-82.56,-86.94,-0.21,-1.02
NXFR.TA,0.0,0.0,,,,,,
NXGN.TA,0.0,0.0,,,,,,
NICE.TA,0.0,0.0,-72.27,-68.56,-72.87,-72.1,-1.39,0.09
NISA.TA,0.0,0.0,-73.77,59.39,-70.41,-64.94,0.38,-15.01
NVLG.TA,0.0,0.0,-73.35,128.57,-71.46,-58.97,-0.33,-100.0
NURI.TA,,0.0,,,,,,
OPCE.TA,0.0,0.0,-75.0,-87.5,-69.34,-97.01,-0.3,3.02
OPK.TA,0.0,0.0,-79.89,56.67,-86.78,54.78,-1.87,47.34
ORAD.TA,0.0,0.0,,,,,,
ORA.TA,0.0,0.0,-72.97,-68.98,-70.15,-69.13,5.92,13.85
OVRS.TA,0.0,0.0,,,,,,
PLRM.TA,0.0,0.0,-74.7,-65.46,-71.82,-65.58,4.88,
PTNR.TA,0.0,0.0,-74.75,-66.26,-73.35,-69.02,-0.08,0.0
PEN.TA,0.0,0.0,-77.95,-81.28,,,-7.77,
PERI.TA,0.0,0.0,-78.76,-89.76,-82.11,-93.6,-6.57,
PTCH.TA,,0.0,,,,,,
PHTM.TA,0.0,0.0,,,,,,
PLCR.TA,0.0,0.0,,,,,,
PMVM.TA,0.0,0.0,,,,,,
PRSK.TA,0.0,0.0,-67.38,-102.87,-78.3,-78.95,0.96,89.65
PRTC.TA,0.0,0.0,-70.75,-69.28,,78.47,1.9,-0.55
PRPD.TA,,0.0,,,,,,
PULS.TA,0.0,0.0,,,,,,
PPBT.TA,0.0,0.0,,81.08,,79.95,-10.02,
QLTU.TA,0.0,0.0,,,,,,
QLRD.TA,0.0,0.0,,,,,,
RANI.TA,0.0,0.0,-71.87,-123.72,-70.78,-69.03,1.12,-7.37
RAVD.TA,0.0,0.0,,,,,,
RVL.TA,0.0,0.0,-76.28,69.64,-76.26,-86.89,0.1,-13.21
RAYG-M.TA,,0.0,,,,,,
RIT1.TA,0.0,0.0,-73.57,-84.96,-70.9,-73.09,0.13,-6.64
RTLS.TA,0.0,0.0,-76.76,-88.06,-76.57,-90.2,0.01,-6.25
RIMO.TA,0.0,0.0,-77.39,-75.11,-77.28,-77.8,4.4,
RSEL.TA,0.0,0.0,,,,,,
SPNS.TA,0.0,0.0,-73.91,-72.2,-73.79,-73.98,-0.84,-50.04
SVRE.TA,0.0,0.0,,,,,,
SVRT.TA,0.0,0.0,,,,,,
SCDX.TA,0.0,0.0,,,,,,
SLARL.TA,0.0,0.0,-74.63,-72.22,-74.67,-74.57,6.4,5.66
SHGR.TA,0.0,0.0,-72.88,-40.49,-69.36,-54.86,-2.86,-6.97
SPEN.TA,0.0,0.0,-78.47,-80.38,-81.22,-84.38,1.59,-2.92
SHOM.TA,0.0,0.0,,,,,,
SAE.TA,0.0,0.0,-75.06,-71.79,-74.5,-73.47,1.9,-1.42
SKLN.TA,0.0,0.0,-81.97,81.0,-99.67,75.3,-2.19,7.29
SOLR.TA,0.0,0.0,-79.79,-204.09,-84.0,26.73,-2.3,6.74
SONO.TA,0.0,,,,,,,
SPDV.TA,0.0,0.0,,,,,,
SPRG.TA,0.0,0.0,,,,,,
SPNTC.TA,0.0,0.0,-73.77,-55.32,-70.41,-65.65,0.6,-15.01
STG.TA,0.0,0.0,-74.31,-80.99,-74.09,-73.78,3.29,0.08
STRS.TA,0.0,0.0,-74.6,-89.55,-76.87,-85.71,5.92,5.39
TDRN.TA,0.0,0.0,-80.96,-90.45,-78.96,-84.71,6.02,-0.18
TMRP.TA,0.0,0.0,-70.9,-67.07,-69.63,-69.42,-0.55,-4.02
TECT.TA,0.0,0.0,,,,,,
TFRLF.TA,0.0,0.0,-68.96,-60.61,-67.52,-62.39,2.49,-4.76
TRX.TA,0.0,0.0,-74.24,318.13,-74.66,82.49,-2.97,-11.11
TIGI.TA,,0.0,,,,,,
TGTR.TA,0.0,0.0,,,,,,
TNDO.TA,,0.0,,,,,,
TSEM.TA,0.0,0.0,-77.0,-91.39,-79.46,-83.11,2.0,-12.12
TRAN.TA,,0.0,,,,,,
TURB.TA,,0.0,,,,,,
UMH.TA,0.0,0.0,-73.89,-119.87,-73.82,-74.33,-0.78,-2.67
UTRN.TA,0.0,0.0,,,,,,
VRDS.TA,0.0,0.0,-73.82,56.67,-80.76,-164.69,-0.34,-5.22
VCTR.TA,0.0,0.0,-74.81,-75.55,-72.03,-74.88,12.71,-23.8
VISN.TA,0.0,0.0,,,,,,
VTNA.TA,0.0,0.0,-72.24,-87.71,-77.88,-79.2,1.65,-0.59
WILC.TA,0.0,0.0,-74.96,-41.39,-71.26,-42.87,3.15,
XTLB.TA,0.0,0.0,,127.22,,77.12,20.69,
YBOX.TA,0.0,0.0,-90.2,-113.72,-95.79,-110.48,9.04,20.65
ZNKL.TA,0.0,0.0,-73.55,-83.31,-71.45,-68.92,-2.79,-26.35
ZOOZ.TA,0.0,0.0,,,,,,
ZUR.TA,0.0,0.0,-70.93,-21.2,-58.39,-66.87,4.25,
