,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
ORBI.TA,-22.3,87.5,87.98,-23.07,91.29,5.04,-28.53,5.47,,0.0,-31.1,-34.72,,,
ORIN.TA,48.32,-22.98,-83.33,40.83,,3.42,0.0,-19.51,,-25.15,-324.71,244.55,6.15,42.65,0.0
PTNR.TA,3.73,8.51,7.69,,-1.18,0.21,-1.38,2.86,,6.08,-100.0,-13.89,,,0.34
PAZ.TA,198.38,-85.62,,89.68,,13.8,17.02,7.69,,,,,,,
PCBT.TA,66.36,-141.37,-150.0,37.94,-148.62,-3.8,23.92,-2.39,,274.98,7.77,-156.04,-13.1,-2.5,
PLSN.TA,46.35,30.67,30.6,40.69,22.41,-3.61,-6.43,3.02,0.0,425.49,34.72,-243.03,-17.61,34.56,
PLUR.TA,,-44.33,-42.86,,-47.11,-2.53,-5.67,-4.39,,,108.31,,,-1.01,0.36
POLI.TA,0.0,-6.23,,,,17.4,-9.27,-1.66,,,-137.01,62.99,-4.62,26.05,
PMVM.TA,58.92,2.93,0.0,101.22,,-32.58,-60.77,0.0,,,,,,4.68,
PRTC.TA,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,
RMN.TA,,28.66,-99.27,54.66,,0.01,-12.4,1.74,100.0,42.66,-5.66,-92.18,-32.37,11.95,
RPAC.TA,225.52,553.39,90.09,266.68,273.7,4.12,8.43,46.49,,263.41,-240.43,-291.56,,,0.0
RATI.TA,59.33,4.31,,,52.4,-4.29,-7.8,6.48,,38.71,-204.93,-623.02,,,
RAVD.TA,,,,,,,,,,,,,,,
RTLS.TA,62.94,88.12,130.43,63.92,87.25,3.36,7.5,-1.32,0.0,46.21,-140.95,-68.22,,,
RIMO.TA,0.0,0.0,0.0,0.0,,0.0,7.11,0.0,51.11,0.0,200.0,0.0,0.0,0.0,0.0
RTEN.TA,18.18,-32.94,,61.43,,22.33,28.04,1.8,,,,,,,
SVRE.TA,,,,,,,,,,,,,,,
SLARL.TA,-15.59,673.3,,,717.35,210.67,207.72,1988.32,,,,,,,
SCC.TA,50.89,-33.07,0.0,38.18,17.9,11.43,12.12,7.15,,299.72,-1.75,-17.67,,,
SMT.TA,,,,,,2.62,-6.22,15.22,,,,,,,0.0
SNEL.TA,-16.76,138.38,,-36.15,-77.63,2.24,3.08,-85.04,,,,,,,
TMRP.TA,-3.34,86.78,84.62,,,-3.19,-5.44,2.88,0.0,39.39,-81.24,-83.11,,-3.59,0.0
TFRLF.TA,-38.91,-62.67,-62.71,-34.55,-49.19,-6.01,839.75,13.34,,-242.88,41.6,706.46,55.16,-33.33,
TRX.TA,0.0,0.0,0.0,0.0,0.0,0.58,2.0,-1.48,,,0.0,0.0,,,
TEVA.TA,-5.04,125.0,123.81,-6.97,144.15,-3.66,,-2.99,,341.46,43.11,-130.95,61.08,-9.16,0.81
ILCO.TA,-12.53,36.32,,,,-0.59,-3.96,6.67,,,,,,,
UNIT.TA,99.62,87.88,88.51,95.77,119.24,-5.91,7.9,-15.36,250.0,168.49,-39.5,-60.31,35.87,53.51,
VRDS.TA,-99.85,-99.94,47.5,-99.84,-99.92,-99.9,-99.9,-99.9,-100.1,-99.78,99.87,-99.83,,,
VCTR.TA,52.84,68.25,,52.95,58.41,-1.21,-2.19,3.17,,32.78,8.37,-88.82,,,
VTNA.TA,44.13,95.18,,35.01,,-12.01,-15.68,-6.87,161.9,9.86,-274.26,-1709.13,-7.59,5.32,
WATR.TA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
