,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Operating Income (EBIT),Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Number of Outstanding Shares,Dividends Paid
KRDI.TA,-95.71,-2.58,,-85.82,,,,-26.99,-8.85,,,,-49.26,,
KEN.TA,,-64.11,79.57,-67.61,-76.09,59.91,-85.94,27.32,15.17,-80.6,2.04,-17.55,2.98,,
KRUR.TA,22795.85,19712.23,0.0,22871.26,,-79131.72,-204760.0,109441.32,39682.26,25137.44,,,2152630.49,,
LAHAV.TA,,,,,,,,,,,,,,,
LPHL.TA,-74.81,,-88.97,,,,,4.55,-2.15,,,,218.11,,
LSCO.TA,23270.94,-24542.2,-121.05,23747.71,,-66041.71,47984.91,99900.0,99900.0,-39005.74,,,99900.0,,
LCTX.TA,,,,,,,,,,,,,,,
LPSN.TA,29328.56,-19599.05,80.98,,74975.14,-26206.47,523.14,103618.03,103883.07,,,,102826.48,3.06,
LUZN.TA,,0.0,0.0,,0.0,0.0,248.6,0.0,10.95,,0.0,,0.0,,
MLTM.TA,25454.28,32781.63,-66.76,27750.02,,-51236.24,-41964.93,99900.0,115759.45,29150.7,78501.49,,97723.9,0.0,
MTRX.TA,28672.94,28763.51,-72.3,27184.63,,-10147.89,-34461.92,97620.61,53310.93,28223.3,,,96486.06,,-32174.94
MLSR.TA,,,,,,,,-99.92,-99.94,,,,-99.92,,
MNIN.TA,25094.64,41954.5,-53.86,27146.43,,-87198.17,-23461.24,101899.66,102034.58,34437.61,85983.14,92994.98,96089.27,,120100.0
MNIF.TA,-71.9,68.88,15.0,,,,,0.0,0.0,,-78.75,0.77,0.0,2.36,
MNRT.TA,,689.59,,,,98.48,-101.75,0.43,2.63,-54.63,,,-0.99,,-193.75
MCRNT.TA,-64.84,78.97,,101.55,,-122.51,-105.64,-5.66,15.31,81.01,,,24.51,,
MLD.TA,-79.55,-41.58,,-77.34,,,,-22.37,53.32,37.09,,,-109.8,,
MZTF.TA,,38233.33,,,,,,1332.22,1219.35,,,65.38,34153.97,,
NXTM.TA,33354.35,43758.52,,31090.73,,,,99900.0,60850.83,,,,64513.82,-0.0,99900.0
NICE.TA,-72.39,-73.41,-73.83,-71.72,-65.81,76.19,-122.32,2.11,3.61,-72.54,,0.47,1.15,1.16,
OPK.TA,-62.02,1.68,0.0,,,,,1.88,2.69,-33.29,,,1.49,0.03,
ORAD.TA,-73.07,110.63,,-69.54,-78.99,-126.94,91.74,15.41,30.62,147.24,,,6.19,,
ORMP.TA,-75.13,51.61,58.93,,50.55,-74.08,-97.54,-8.2,-69.93,50.44,,,-14.19,15.97,
ORBI.TA,-76.92,-81.41,,-77.96,0.0,-109.82,0.0,0.0,-4.09,-86.98,,,0.0,202.25,
ORIN.TA,31816.72,139784.98,-19.23,24887.53,,-99900.0,99900.0,116377.54,120540.13,22166.98,,,105643.19,3.37,
OVRS.TA,23054.57,16762.0,-82.5,20413.73,,-38999.79,-20285.94,98120.31,105535.9,,100668.68,94528.6,102147.44,,6872.48
PLRM.TA,26976.53,30973.06,-87.9,26426.12,,,,107838.56,128569.98,27914.02,,,90317.85,,
PAZ.TA,-72.2,,,-80.95,,,,-5.97,11.99,,,,-16.2,,
PERI.TA,-24.08,-63.27,-70.0,,5.2,-862.21,538.7,11.01,-15.48,-61.28,,,36.13,32.93,
PHOE.TA,,25989.41,-72.87,,28868.32,-83172.91,111904.5,104927.11,1448639.52,,159156.65,301753.31,98290.8,,99900.0
PLUR.TA,,70.88,79.38,,76.71,113.79,-99.51,-10.04,25.23,70.36,,,-12.75,0.47,
POLI.TA,,-100.01,,,,,,-88.99,-86.29,,,,-99.97,,
PRTC.TA,0.0,0.0,0.0,,,-99.9,,0.0,0.0,,-98.69,,0.0,,
RMLI.TA,24824.45,26732.9,,25050.3,43732.14,-23607.32,-14529.29,105497.44,209282.8,,,,89472.89,,
RTPT.TA,,,,,,,,,,,,,,,
RAVD.TA,-80.6,,,-79.56,,,,0.0,-28.62,,-89.23,0.0,-0.15,,
RIT1.TA,,,,,,,,100323.75,95221.6,,,,101401.82,103029.67,24900.0
REKA.TA,-75.64,-95.37,-83.16,-77.27,,71.33,-154.87,-1.98,-41.62,-80.96,,,1.3,,
RIMO.TA,2907.42,30453.41,-111.97,2043.07,,2719.42,-128250.87,83693.2,246469.03,1212.68,,,102027.2,263917.31,
SPNS.TA,28521.35,29217.54,-72.31,28273.96,20078.53,-1906.07,-14020.6,97434.45,167343.59,27375.95,99900.0,79864.73,100628.97,106433.87,
SCOP.TA,-72.6,-54.01,-56.08,-68.4,-59.07,86.5,-141.2,2.02,8.49,-60.23,,-32.31,21.58,,
SLARL.TA,,0.0,,0.0,0.0,0.0,0.0,0.0,-61.38,0.0,,0.0,0.0,,
SKBN.TA,21868.7,19861.22,,22729.41,,,,97116.15,177966.63,32036.44,,,35324.93,,
SKLN.TA,-75.95,99.14,100.92,,137.26,80.18,-96.24,-1.22,-1.57,-14.84,101.24,-48.3,-0.56,,
SPNTC.TA,23036.44,33035.16,0.0,29527.06,,-15768.61,-40802.37,104910.46,109487.41,34299.08,384573.52,71881.99,99273.79,,-85552.59
STRS.TA,24582.63,37286.57,-62.74,,20990.05,,,99900.0,,31177.06,,,,,
TMRP.TA,-86.44,-102.36,-104.0,,,-0.2,,6.47,-5.05,,,,-1.02,0.27,
TFRLF.TA,32069.44,77049.12,-21.05,38346.96,,-99900.0,99900.0,119409.06,121573.76,55898.14,99900.0,99900.0,113022.06,,
TEVA.TA,-76.16,101.93,101.92,-75.69,-133.31,-41.14,73.85,-3.23,,112.15,-15.4,-1.95,-0.26,1.1,
TIGBUR.TA,-70.57,-40.9,,-69.5,,,,8.8,78.51,-53.35,-20.69,-95.71,8.82,-0.0,-46.34
TGTR.TA,,,,,,,,,,,,,,,
TSEM.TA,0.64,-1.57,-10.34,-0.27,19.74,20.27,-262.64,-0.79,-6.2,-1.58,-4.9,-14.85,1.59,0.17,
UNIT.TA,-73.58,-60.79,-54.35,-73.54,,36.85,81.4,-4.74,60.67,,0.0,0.0,7.66,,
VILR.TA,120.06,235.54,,15.97,,,,0.0,67.44,,,,-26.65,,
VTNA.TA,-67.83,,-99.08,-66.1,,,,20.35,52.65,,,-67.27,-2.61,,0.0
WILC.TA,-74.3,-60.77,-61.95,-75.08,-93.41,152.79,-101.16,4.3,14.94,-73.88,,,3.5,3.23,
YBOX.TA,0.0,-0.07,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,
