,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,0.0,0.0,,,,,,
ACKR.TA,0.0,0.0,257.17,115.04,241.12,206.47,2.41,-7.75
ADGR.TA,0.0,0.0,289.19,-425.93,291.09,286.22,-4.37,5.08
ARDM.TA,0.0,0.0,,,,,,
AFHL.TA,0.0,0.0,289.48,322.78,250.99,190.55,6.19,1.61
AFPR.TA,0.0,0.0,275.73,91.37,273.35,282.44,-2.04,1.05
AFRE.TA,0.0,0.0,275.33,480.48,260.42,253.36,5.96,-17.75
ARPT.TA,0.0,0.0,290.06,145.95,304.94,317.02,0.15,-0.09
ARTS.TA,0.0,0.0,,,,,,
ALAR.TA,0.0,0.0,342.37,36.03,362.9,567.95,4.63,-60.98
ALBA.TA,0.0,0.0,281.13,270.4,269.57,236.31,-4.09,-4.41
ALLT.TA,0.0,0.0,296.79,-2305.33,289.21,-2671.43,0.13,0.13
ALMA.TA,0.0,0.0,,,,,,
ALHE.TA,0.0,0.0,293.56,-898.39,302.45,318.42,2.01,2.57
ALRPR.TA,0.0,0.0,259.63,156.81,382.71,201.74,-2.74,6.97
ALUMA.TA,,0.0,,,,,,
AMRK.TA,0.0,0.0,285.78,682.05,343.09,542.49,1.05,
AMOT.TA,0.0,0.0,294.05,161.74,290.16,287.95,1.01,0.43
APLP.TA,0.0,0.0,240.18,-296.0,305.16,-292.6,0.86,
ARD.TA,0.0,0.0,300.09,302.29,297.77,301.81,-2.99,-12.44
ARF.TA,0.0,0.0,281.04,-142.86,750.0,400.0,5.38,46.82
ASHG.TA,0.0,0.0,308.95,2111.72,279.96,255.06,0.92,-0.13
ASGR.TA,0.0,0.0,297.96,-394.15,295.05,289.13,-8.21,2.43
AUDC.TA,0.0,0.0,302.0,471.52,302.45,252.85,2.9,
AUSA-M.TA,,0.0,,,,,,
AMX.TA,0.0,0.0,381.99,-476.32,363.35,592.9,12.08,-5.75
AVGL.TA,0.0,0.0,302.75,-275.64,320.35,324.11,2.74,1.73
AVIA.TA,0.0,0.0,,,,,,
AILN.TA,0.0,0.0,,,,,,
AZRG.TA,0.0,0.0,291.06,285.64,292.83,286.61,4.65,10.08
BCOM.TA,0.0,0.0,297.67,437.5,,306.22,-1.44,-3.72
BIG.TA,0.0,0.0,283.34,118.47,286.01,287.02,2.31,0.43
BLSR.TA,0.0,0.0,288.38,527.2,294.02,292.62,1.35,-7.01
BONS.TA,0.0,0.0,,-298.2,,-312.69,-11.38,
BWAY.TA,0.0,0.0,,,,,,
CLAB.TA,0.0,0.0,,,,,,
CAMT.TA,0.0,0.0,282.08,261.96,275.88,264.53,6.02,0.14
CPTP.TA,0.0,0.0,,,,,,
CRSM.TA,0.0,0.0,265.84,262.53,259.9,227.19,18.33,-4.6
CRSR.TA,0.0,0.0,280.07,805.06,457.83,523.42,6.78,-2.86
CRML.TA,0.0,0.0,232.14,146.98,217.05,115.02,-1.79,
CRMT.TA,0.0,0.0,,,,,,
CAST.TA,0.0,0.0,310.57,713.08,315.34,485.99,3.43,
CEL.TA,0.0,0.0,298.21,208.93,292.76,287.37,2.54,7.67
CPIA.TA,,0.0,,,,,,
CFX.TA,0.0,0.0,289.76,-376.23,290.43,179.18,-4.77,7.58
CGEN.TA,0.0,0.0,62.64,-1215.28,47.32,-431.21,-6.9,
DANH.TA,0.0,0.0,248.33,118.99,215.55,81.73,0.32,-12.59
DLEKG.TA,0.0,0.0,361.64,248.39,420.16,412.46,11.77,-1.98
DELG.TA,0.0,0.0,290.22,183.09,292.3,254.83,-1.29,-8.12
DIPL.TA,0.0,0.0,268.41,243.28,267.6,184.15,-3.95,-6.34
DISI.TA,0.0,0.0,332.44,128.44,340.78,343.51,-4.4,-6.99
DRSH.TA,0.0,0.0,284.33,145.4,,309.72,11.83,14.04
ELAL.TA,0.0,0.0,241.98,192.33,200.44,185.48,5.65,-8.72
EMITF-M.TA,0.0,0.0,,,,,,
ESLT.TA,0.0,0.0,297.54,305.96,297.74,305.34,1.15,0.48
ELCO.TA,0.0,0.0,286.1,-1657.26,286.06,272.78,0.11,-2.62
ECP.TA,0.0,0.0,274.32,71.64,274.8,245.71,-1.17,-12.51
ELCRE.TA,0.0,0.0,-755.53,-235.74,-633.4,-602.46,2.21,7.35
ELWS.TA,0.0,0.0,185.81,-341.67,167.16,-282.28,-9.28,
ELLO.TA,0.0,0.0,,,,,,
ELSPC.TA,0.0,0.0,,,,,,
ENOG.TA,0.0,0.0,,,,,,
ENLV.TA,0.0,0.0,,,,,,
EQTL.TA,0.0,0.0,299.97,261.24,278.67,290.75,-0.67,0.6
FTAL.TA,0.0,0.0,238.61,-19.51,219.15,172.2,-6.58,0.46
FLYS.TA,0.0,,,,,,,
FBRT.TA,0.0,0.0,291.68,330.59,354.59,355.11,0.44,
FRSX.TA,0.0,0.0,292.79,-234.47,654.29,-273.81,-19.28,
FORTY.TA,0.0,0.0,,,,,,
GCT.TA,0.0,0.0,293.93,139.69,291.42,280.95,-8.12,2.68
GVYM.TA,0.0,0.0,270.36,1041.36,297.18,295.07,-0.23,-0.1
GEFR.TA,0.0,0.0,274.29,-394.93,274.29,-376.93,-0.19,-0.24
GNCL.TA,0.0,0.0,,,,,,
GNRS.TA,0.0,0.0,76.29,65.85,52.3,113.64,0.19,1.06
GILT.TA,0.0,0.0,309.39,264.41,309.39,167.99,-0.79,0.0
GLTL.TA,0.0,0.0,261.03,67.7,254.6,207.2,2.58,8906.25
GKL.TA,0.0,0.0,300.12,90.14,299.74,312.88,-1.62,-3.37
GLRS.TA,0.0,0.0,264.26,211.7,299.77,313.92,25.7,-5.59
GOHO.TA,0.0,0.0,314.1,6.06,339.09,705.38,-7.51,-0.01
GRAC.TA,,,,,,,,
G107.TA,0.0,0.0,,,,,,
HGG.TA,0.0,0.0,263.44,661.47,264.93,228.72,8.35,-34.69
MSBI.TA,0.0,0.0,,,,,,
HAMAT.TA,0.0,0.0,257.15,114.3,242.02,42.54,1.28,-18.9
HICN.TA,0.0,0.0,,,,,,
HLAN.TA,0.0,0.0,308.57,402.32,341.22,370.68,28.11,0.0
HIPR.TA,0.0,0.0,338.85,312.04,312.42,334.31,-1.0,-7.61
HIVE.TA,,0.0,,,,,,
HLMS.TA,0.0,0.0,275.0,355.85,286.01,285.57,4.13,12.69
HMGS.TA,0.0,0.0,,,,,,
HUMX.TA,0.0,0.0,,,,,,
IDNT.TA,0.0,0.0,,,,,,
IDMO.TA,0.0,0.0,,,,,,
ILX.TA,0.0,0.0,283.33,200.83,276.34,275.87,-1.36,
INRM.TA,0.0,0.0,226.19,180.76,209.05,75.44,0.1,-7.14
INCR.TA,0.0,0.0,,,,,,
ISHI.TA,0.0,0.0,275.93,267.16,266.54,193.13,-5.12,-6.48
ISRG.TA,0.0,0.0,172.7,8.38,122.01,34.54,5.17,-20.16
ISRO.TA,0.0,0.0,219.08,134.42,253.04,132.03,-1.93,0.57
ISTA.TA,0.0,0.0,157.7,179.41,247.95,297.36,1.39,15.37
JNGO.TA,,0.0,,,,,,
KAFR.TA,0.0,0.0,278.67,347.35,264.43,254.85,-6.32,-52.53
KEN.TA,0.0,0.0,217.01,1289.94,156.76,28.39,2.49,-13.49
KSTN.TA,0.0,0.0,100.0,1366.6,-96.97,-147.16,14.45,37.46
KLIL.TA,0.0,0.0,245.28,37.85,196.13,-31.72,-0.83,
LAHAV.TA,0.0,0.0,279.92,417.61,-43.48,239.24,4.06,11.23
LSCO.TA,0.0,0.0,,,,,,
LBRA.TA,0.0,0.0,,,,,,
LCTX.TA,0.0,0.0,151.36,-513.35,144.99,-459.32,17.21,
LPSN.TA,0.0,0.0,320.87,-374.31,340.81,-339.17,-12.17,12.07
MGIC.TA,0.0,0.0,,,,,,
MTLF.TA,,0.0,,,,,,
MTRX.TA,0.0,0.0,293.25,323.04,306.25,315.76,9.41,-1.38
MAXO.TA,0.0,0.0,256.84,247.74,260.78,255.71,2.44,242.59
MTRN.TA,0.0,0.0,407.16,-75.89,380.99,1601.57,-1.22,3.55
MEDN.TA,0.0,0.0,539.5,-106.09,-6.94,-102.68,-13.1,-1.43
MLSR.TA,0.0,0.0,283.27,392.28,294.79,290.66,10.83,31.7
MNIN.TA,0.0,0.0,263.23,245.13,269.87,246.26,-2.7,-8.21
MLD.TA,,0.0,,,,,,
MZTF.TA,0.0,0.0,286.28,282.81,,,2.81,
MLRN.TA,0.0,0.0,,,,,,
NFTA.TA,0.0,0.0,305.13,561.63,264.8,271.2,-5.71,5.25
NYAX.TA,0.0,0.0,278.31,-913.73,272.73,143.19,-3.22,27.37
NTGR.TA,0.0,0.0,259.88,-2857.67,182.93,26.97,2.45,8.65
NTNB.TA,,0.0,,,,,,
NXTM.TA,0.0,0.0,255.17,64.93,234.46,173.63,2.57,-0.9
NXFR.TA,0.0,0.0,,,,,,
NXGN.TA,0.0,0.0,,,,,,
NISA.TA,0.0,0.0,297.12,19665.0,311.45,292.06,-2.23,-26.12
NVLG.TA,0.0,0.0,334.09,232.84,307.15,290.71,-3.96,
NURI.TA,,0.0,,,,,,
OPCE.TA,0.0,0.0,216.15,37.04,156.52,79.84,-10.32,-14.96
OPK.TA,0.0,0.0,310.72,-313.84,444.52,-155.0,-2.48,-1.26
ORAD.TA,0.0,0.0,,,,,,
ORA.TA,0.0,0.0,315.35,460.33,363.15,392.53,1.36,1.35
OVRS.TA,0.0,0.0,,,,,,
PTNR.TA,0.0,0.0,290.6,225.88,263.03,255.05,0.96,0.0
PEN.TA,0.0,0.0,263.65,238.39,,,10.31,
PERI.TA,0.0,0.0,387.57,496.69,358.94,390.39,2.58,
PTCH.TA,,0.0,,,,,,
PHTM.TA,0.0,0.0,,,,,,
PLCR.TA,0.0,0.0,,,,,,
PMVM.TA,0.0,0.0,,,,,,
PRSK.TA,0.0,0.0,267.33,362.25,390.92,377.64,5.2,2.54
PRTC.TA,0.0,0.0,301.53,301.28,,-378.75,0.67,-62.75
PRPD.TA,,0.0,,,,,,
PULS.TA,0.0,0.0,,,,,,
PPBT.TA,0.0,0.0,,-992.01,,-406.47,5.51,
QLTU.TA,0.0,0.0,,,,,,
QLRD.TA,0.0,0.0,,,,,,
RANI.TA,0.0,0.0,162.03,-13.34,261.38,164.26,-3.03,0.48
RAVD.TA,0.0,0.0,,,,,,
RVL.TA,0.0,0.0,286.16,461.47,291.1,253.14,3.97,9.58
RAYG-M.TA,,0.0,,,,,,
RIT1.TA,0.0,0.0,284.92,2715.75,251.8,283.16,3.11,6.96
REKA.TA,0.0,0.0,268.98,232.81,350.83,-42.45,-1.57,-0.85
RTLS.TA,0.0,0.0,275.78,218.64,271.35,680.41,-3.39,5.88
RIMO.TA,0.0,0.0,291.3,326.57,308.36,314.65,-2.58,
RSEL.TA,0.0,0.0,,,,,,
SPNS.TA,0.0,0.0,295.82,293.67,294.9,294.78,1.23,0.07
SVRE.TA,0.0,0.0,,,,,,
SVRT.TA,0.0,0.0,,,,,,
SCDX.TA,0.0,0.0,,,,,,
SLARL.TA,0.0,0.0,295.1,262.24,294.33,294.24,1.04,0.14
SHGR.TA,0.0,0.0,284.5,219.75,305.7,282.74,-0.96,-7.29
SPEN.TA,0.0,0.0,271.44,1012.5,259.22,226.83,1.27,14.3
SHOM.TA,0.0,0.0,,,,,,
SAE.TA,0.0,0.0,281.56,177.22,279.37,250.0,-6.11,-12.98
SKLN.TA,0.0,0.0,233.24,-61.26,140.4,13.95,2.47,9.43
SONO.TA,0.0,,,,,,,
SPDV.TA,0.0,0.0,,,,,,
SPRG.TA,0.0,0.0,,,,,,
SPNTC.TA,0.0,0.0,297.12,574.62,311.45,293.32,-1.28,-26.12
STG.TA,0.0,0.0,294.0,645.34,294.85,295.84,5.74,0.01
STRS.TA,0.0,0.0,278.48,530.3,265.7,195.18,0.95,-6.4
TDRN.TA,0.0,0.0,222.48,-45.98,191.99,130.45,-4.82,-0.57
TMRP.TA,0.0,0.0,281.39,263.73,289.17,286.6,-0.03,0.19
TECT.TA,0.0,0.0,,,,,,
TFRLF.TA,0.0,0.0,284.73,245.81,261.21,248.71,-1.14,
TLSY.TA,0.0,0.0,349.89,439.92,328.71,469.67,1.0,-14.29
TRX.TA,0.0,0.0,351.31,646.36,345.57,413.9,4.91,-16.67
TIGI.TA,,0.0,,,,,,
TGTR.TA,0.0,0.0,,,,,,
TNDO.TA,,0.0,,,,,,
TSEM.TA,0.0,0.0,,,,,,
TRAN.TA,,0.0,,,,,,
TURB.TA,,0.0,,,,,,
UMH.TA,0.0,0.0,296.49,66.89,301.37,261.05,4.14,-0.04
UTRN.TA,0.0,0.0,,,,,,
VRDS.TA,0.0,0.0,278.27,-384.01,223.44,116.61,-1.92,0.79
VCTR.TA,0.0,0.0,272.45,174.84,239.39,280.15,-3.63,-6.92
VISN.TA,0.0,0.0,,,,,,
VTNA.TA,0.0,0.0,336.61,945.95,302.27,300.65,2.34,-14.6
WILC.TA,0.0,0.0,276.83,238.87,284.48,212.19,3.49,
XTLB.TA,0.0,0.0,,,,,,
YBOX.TA,0.0,0.0,179.88,-0.7,223.45,-420.18,7.87,12.39
ZNKL.TA,0.0,0.0,239.15,200.87,228.01,211.66,3.76,-100.0
ZOOZ.TA,0.0,0.0,,,,,,
ZUR.TA,0.0,0.0,269.18,603.73,158.13,248.44,-1.17,
