,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
GNRS.TA,,,0.0,,,-9905.35,6080.46,23.45,367.38,4.23,,,0.1,,
GILT.TA,-2.65,-173.4,-162.5,-1.51,-215.63,-195.26,-3692.59,-2.26,5.07,-4.92,,0.0,,,0.03
GNGR.TA,56.37,61.93,,51.0,-48.15,-108.08,-2295.05,-2.93,-6.99,3.82,1.28,,,0.0,
GKL.TA,28.53,3.3,,25.9,,-507.78,262.67,-10.39,,0.72,,,,,
GOLD.TA,0.0,0.0,0.0,0.0,110.3,143.93,193.49,4.61,-1.29,7.27,,,-17.82,,0.0
GOHO.TA,64.78,140.96,141.03,77.84,323.24,-0.22,-52.62,0.54,-46.22,4.49,,-2.46,-0.97,,0.46
GOLF.TA,61.11,64.31,62.96,62.49,497.46,-14.19,-81.82,-1.82,-1.31,5.49,25.5,-14.6,1297.02,,
MSBI.TA,74.64,-210.04,-300.0,65.5,114.35,-51.55,-68.98,-0.63,2.15,-28.83,,,,,
HAMAT.TA,-99.84,-99.8,-41.67,-99.82,-99.82,99.89,-99.99,-99.9,-99.9,-99.91,,-99.95,-99.91,,
HARL.TA,46.49,5.6,,,,,,46551.82,99900.0,99900.0,24.64,,,,
HLAN.TA,48.55,42.24,,46.81,45.29,,,-6.04,-10.42,0.77,,,,,
HRON.TA,1.11,341.73,,136.28,,-9.04,-24.53,-3.82,501.91,1.6,35.32,-2.36,,0.0,
ICL.TA,0.08,132.14,130.77,14.06,159.17,-17.07,-0.6,0.43,-0.78,1.85,14.69,,-7.49,-19.44,-0.04
IDIN.TA,49.85,12.28,,,,-59.71,1821.66,1.68,2.27,10.87,-16.9,,,,
ILX.TA,-99.91,-99.71,228.52,-99.69,-99.7,-100.23,99.86,-99.89,-99.92,-99.89,,,,,
INRM.TA,-99.67,-99.63,277.78,-99.66,-99.65,99.86,-99.96,-99.89,-99.83,-99.89,,,,,
ININ.TA,186.29,-98.86,-1.15,252.15,-309.6,-66.67,-61.21,166.99,435.6,-7.27,-76.15,2.61,210.57,,
ISCN.TA,247.53,-32.44,135.29,2449.16,47300.0,-19444.68,-31483.33,-73.54,-62.05,-83.55,32595.56,-88.49,277.14,,
ISRA.TA,37.02,75.51,0.0,,72.48,-373.97,36.2,0.35,12.0,12.29,,-30.92,0.5,200.0,0.0
ISRO.TA,231708.69,18549.83,,314874.95,58431.94,,,102676.24,101123.49,104653.77,,43565.23,92129.3,,
JBNK.TA,50.45,22.46,182.35,,,,,-1.51,-1.67,-0.5,,,,,
