,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
GKL.TA,0.0,0.0,-0.04,421.79,0.0,-4.25,1.77,-1.68
GLRS.TA,0.0,0.0,3.07,26.02,-2.4,-15.4,1.51,-5.51
GOHO.TA,0.0,0.0,5.79,13259.93,19.55,180.59,16.66,0.47
GRAC.TA,,,,,,,,
G107.TA,0.0,0.0,,,,,,
HGG.TA,0.0,0.0,1.43,168.78,-21.36,-3.93,-0.95,-9.16
MSBI.TA,0.0,0.0,,,,,,
HAMAT.TA,0.0,0.0,21.41,272.95,30.16,59411.76,1.54,-15.65
HICN.TA,0.0,0.0,,,,,,
HLAN.TA,0.0,0.0,3.66,-16.45,-5.65,-12.25,-2.51,-25.0
HIPR.TA,0.0,0.0,2.16,33.33,11.72,13.0,3.05,-7.07
HIVE.TA,,0.0,,,,,,
HLMS.TA,0.0,0.0,9.07,3.11,0.45,-2.21,0.24,41.5
HMGS.TA,0.0,0.0,,,,,,
HUMX.TA,0.0,0.0,,,,,,
ICON.TA,0.0,0.0,-11.31,-38.69,-11.4,-29.26,-11.82,
IDNT.TA,0.0,0.0,,,,,,
IDMO.TA,0.0,0.0,,,,,,
ILX.TA,0.0,0.0,9.71,136.16,13.3,66.72,1.01,-100.0
INRM.TA,0.0,0.0,32.72,104.18,42.63,538.24,6.14,-6.67
INCR.TA,0.0,0.0,,,,,,
ISHI.TA,0.0,0.0,15.31,-4.52,22.49,85.83,3.67,-3.25
ISRG.TA,0.0,0.0,86.12,173.61,101.2,209.46,6.55,-5.23
ISRO.TA,0.0,0.0,15.64,52.35,29.27,46.06,10.69,1.52
ISTA.TA,0.0,0.0,77.29,44.02,21.01,-30.37,-0.07,1.81
JNGO.TA,,0.0,,,,,,
KAFR.TA,0.0,0.0,1.95,-22.21,2.44,-4.78,1.99,-5.23
KMDA.TA,0.0,0.0,-1.72,-12.72,-9.06,-6.13,0.05,
KEN.TA,0.0,0.0,30.94,-61.61,86.67,311.11,2.93,0.66
KSTN.TA,0.0,0.0,,57.35,-102.37,-88.85,-1.35,1.59
KLIL.TA,0.0,0.0,32.99,228.42,70.96,480.96,3.09,
