,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
EQTL.TA,0.31,10.11,,,3.38,1630.26,,158.93,-29.28,,,,,,
EVGN.TA,32.26,-224.17,-240.0,72.46,-4.74,137.12,,-20.81,-198.97,,-357.34,3142.16,,,1.44
FTAL.TA,81.91,325.39,,,3.27,3.2,,3.77,82.83,-77.94,-651.99,1781.79,0.0,,
FORTY.TA,-49.48,-48.46,-48.8,-46.85,1.33,1.71,-68.84,0.43,-48.51,,,,35.89,,0.3
FOX.TA,63.98,55.91,49.95,63.19,2.02,0.2,-83.02,5.22,56.28,71.11,-75.97,-31.4,36.72,198.18,
GSFI.TA,48.69,-71.59,-75.0,36.99,0.0,-0.91,,-1.08,-33.55,205.48,-199.41,-173.06,,,
GAGR.TA,57.01,179.17,114.81,67.8,0.0,-2.1,934.09,0.0,816.67,-164.68,-1450.82,107.33,-96.77,0.0,
GVYM.TA,-41.36,-54.63,,,1.4,0.89,,1.59,-52.04,12.25,,0.0,,0.0,
GNRS.TA,,0.0,,,46.89,175.05,,20.33,,,,,,0.0,
GILT.TA,-12.32,230.23,,5.32,0.3,1.96,,0.21,372.4,-40.61,116.64,,,,0.03
GOLD.TA,0.0,0.0,0.0,0.0,0.87,-3.77,0.0,2.71,,22.72,12.41,-40.5,0.0,,0.0
GOHO.TA,55.61,0.32,,58.18,-0.9,-0.77,,-1.13,55.78,,,,,,0.0
HGG.TA,,,0.0,0.0,0.0,-54.85,,0.0,,,,,,,
MSBI.TA,0.0,0.0,0.0,0.0,0.3,-1.43,,0.0,0.0,,,,,,
HAMAT.TA,49.9,52.28,,50.09,-0.13,-2.93,,5.18,48.82,,,,,,
HARL.TA,145663.47,97848.27,,,100958.67,100958.68,,-100962.35,,,,,,,
HLAN.TA,47.72,41.79,,45.97,0.0,67.72,39.7,0.0,41.95,52.72,-279.14,-42.9,36.7,300.0,
HLMS.TA,9.67,66.75,0.0,-44.88,-1.88,,-32.5,42.58,,-47.47,31.18,-71.75,97.7,,
HUMX.TA,0.0,,,0.0,0.0,0.0,,0.0,,,,,,,
ILX.TA,62.56,118.91,118.85,92.43,10.75,-2.47,-70.12,20.76,,105.57,,,-39.54,200.0,
INRM.TA,52.12,38.98,46.15,46.95,1.22,1.66,,14.42,41.01,46.82,-56.56,-9.99,,49.83,
INCR.TA,-44.73,,,,,,,,,99.5,,,,,
ISCN.TA,128.93,155.73,,,11.43,37.44,,13.6,207.96,,,,,,
ISHI.TA,0.0,0.0,,0.0,0.0,,,-3.48,0.0,,,,,,
ISRA.TA,79.96,-301.91,,,5.41,29.64,,-25.43,86.85,80.22,143.8,0.0,,,0.0
ISRO.TA,96.18,247.83,248.96,124.2,12.81,0.0,,22.68,,165.36,,,,,
ISTA.TA,,-61.61,0.0,10.02,-3.79,94.09,,0.0,,-44.85,93.79,-100.63,,,0.0
JBNK.TA,,48.92,,,0.15,-0.05,,2.95,,,,,21.2,,
KAFR.TA,72.1,23.09,23.81,77.27,-5.4,3.42,,,62.5,,,,,250.0,
KMDA.TA,46.88,-23.32,-25.0,31.83,0.08,33.53,-14.75,-0.4,-23.58,,34593.0,-40.33,-100.0,,
KRDI.TA,,,,,0.0,0.0,,3.85,,,,,,,
KARE.TA,40.61,15.91,,39.59,0.0,11.85,0.0,0.0,30.47,,,,0.0,,
KEN.TA,,50.9,-47.25,111.43,19.06,30.96,758.0,13.74,358.33,209.3,4.0,260.8,19.25,,
KRUR.TA,92.8,101.31,0.0,89.59,2.06,0.0,,0.0,116.36,91.47,69.09,0.0,,,
