,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
INRM.TA,138126.31,141031.05,41.18,138074.61,141387.46,,-132074.99,-213631.32,101862.75,98907.41,105786.51,,,,
INCR.TA,189.08,-1978.06,-1700.0,197.47,30.0,,-12.22,1701.58,1.69,607.17,4.23,,,,
ISHI.TA,-99.63,-99.57,,-99.64,-99.58,,,,-99.9,-99.89,-99.9,,,,
ISRO.TA,,,,,,,,,,,,,,,
JBNK.TA,64.82,48.52,47.92,,,,,,0.31,0.23,2.82,,,,
KAFR.TA,-99.87,-99.89,44.44,-99.87,-99.88,,99.93,99.46,-99.9,-99.91,-99.89,-99.94,-99.86,,-99.94
KMDA.TA,30.97,10.24,8.57,27.32,15.97,200.58,30.95,-1.7,2.09,10.67,1.08,,,,
KRDI.TA,313.47,-29.76,,171.53,-360.1,,,,26.13,7.38,26.98,,,,
KEN.TA,,,,,,,,,,,,,-16.67,,
KRUR.TA,-99.87,-99.87,,-99.87,-99.77,,99.9,99.94,-99.9,-99.68,-100.0,,,,
LAHAV.TA,,,,,,,,,,,,,,,
LSCO.TA,36.63,86.18,72.73,33.36,11.0,6570.0,-160405.56,77154.9,3.71,4.66,1.62,-38.12,0.0,,-9.99
LEVI.TA,88.83,54.18,-45.3,-7.62,87.77,,-0.35,-124.63,1.06,-4.75,35.01,-75.04,50.0,,-58.82
LCTX.TA,219.79,-166.15,-180.0,207.25,-293.26,-39.97,7.43,19.22,4.71,-0.65,5.48,,,0.04,
LPSN.TA,-99.61,99.72,-181.03,,,-99.91,99.87,-97.18,-99.81,-99.81,-99.8,,,-0.85,
LUZN.TA,,79.54,79.51,,37.69,,,,2.91,-59.98,0.54,,,,17.25
MLTM.TA,42.81,48.01,-85.14,40.73,49.92,,-15.49,-117.1,12.69,-13.4,0.54,,,900.0,
MTRX.TA,37.34,46.97,46.32,40.46,39.57,,-14.21,-101.79,4.24,80.64,6.66,,33.15,,
MGOR.TA,,16.43,,,30.9,,,,8.97,-10.84,1.6,,-66.67,,
MLSR.TA,-84.79,-138.23,,,,,-48.64,-86.83,22.12,63.43,-0.71,-3.48,200.0,,-91.54
MNIN.TA,36.69,78.19,,39.89,50.13,,-10.07,-61.37,-2.3,-6.94,4.3,-6.92,-200.0,,-26.86
MMHD.TA,,,,,,,,,103516.92,,,99900.0,,,
MCRNT.TA,-78.36,-14.31,,-140.85,-16.31,,393.86,19880.0,75.24,-21.3,489.44,,,,
MGDL.TA,,,,,,,,,2764.84,2857.65,,,,,
MLD.TA,31.28,-1750.66,-162.07,41.48,-695.67,75.0,451.61,35.56,0.0,-37.54,482.67,844.03,,,
MZTF.TA,,-98.91,,,,,,,-92.55,-91.07,-99.69,,,,
MYDS.TA,,100.57,640.0,,-99.76,99.85,-99.74,99.66,-99.93,-99.93,-99.9,-99.9,,,-99.95
NFTA.TA,32.5,-99.96,,31.37,3.03,,,-185.59,2.51,19.11,-12.98,491.08,,,
NVPT.TA,,,,,,,,,,,,,,,
NTO.TA,30.38,19.02,-25.53,29.71,26.72,,-101.38,-62.73,-2.93,-16.06,3.26,,,,9.68
NTML.TA,,,,,,,,,-0.51,-62.03,,,,,
NXTM.TA,-99.85,-99.85,,-99.85,-99.86,,99.92,-99.74,-99.88,-99.91,-99.83,-99.89,-99.9,0.0,
OPK.TA,235.33,28.96,25.0,250.35,163.07,656.54,-58.22,18.78,4.29,7.22,2.94,94.36,,-0.01,94.48
ORMP.TA,33.56,-35.18,-27.27,,-34.52,-24.62,173.0,6.63,-3.3,925.97,-3.61,-8.73,,5.31,
ORBI.TA,43.64,62.76,,51.92,72.79,2260.38,575.45,-9.6,9.09,19.17,5.63,-100.0,,,
