,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Short-Term Debt,Number of Outstanding Shares
ICON.TA,-99.71,-99.76,,-99.86,-99.87,,,,-99.87,-99.87,-99.94,,0.0,-99.93,
IDIN.TA,-99.85,-99.9,,,,,,,-99.9,-99.9,-99.91,,-100.2,,
ILX.TA,3.16,-16.4,,3.75,-27.59,-38.78,-78.49,-108.04,-35.95,-38.07,-0.17,,,,
INRM.TA,-99.68,-99.64,31.82,-99.67,-99.64,-99.91,99.54,100.01,-99.89,-99.89,-99.9,,-99.87,,
ILDC.TA,71.43,1288.72,57.75,261.02,,-15508.82,0.0,90.21,14.19,-10.98,563.13,5438.45,,2469203.57,
ISRA.TA,50.29,44.02,44.41,,,,,,3.51,1.36,6.38,,0.0,,99900.0
ISRO.TA,63.98,115.32,,73.35,107.9,,,,2.6,,-4.43,,0.0,,
JBNK.TA,,1783.99,,,,,,,633.56,594.59,4205.5,,,,
KRDI.TA,-96.96,-102.88,-531.58,-97.91,-102.73,124.43,108.86,-135.61,-90.07,-65.28,-108.0,,,,
KEN.TA,,,,,,,,,,,,,,,
KRUR.TA,-11.85,11.41,10.22,-12.89,2.28,,28.23,22.48,7.65,-97.42,4.97,,,,
KLIL.TA,49.44,90.88,90.96,59.9,-18.51,,-210.34,-369.82,0.54,-71.79,1.58,,,,
KNFM.TA,,348.65,126.83,-12.51,8.61,,,,-0.79,13.69,22.12,,-73.67,,0.0
LAHAV.TA,,32.52,,,,,,,2.53,0.02,1.92,,0.0,,
LPHL.TA,-99.81,-99.8,148.59,-99.75,,,,,-99.9,-99.9,-99.9,,-99.8,,
LUMI.TA,,,,,,,,,,,,,,,
LEVI.TA,182187.77,193653.87,0.0,32369188.9,,,-741088.99,218873.98,97841.0,,97242.36,99997050.32,,,
LBRA.TA,-99.84,100.06,,,,-100.0,99.88,-99.9,-99.9,-99.9,-99.89,,,,
MLTM.TA,-49.7,246.77,-11.54,8.87,123.45,,-31.94,-559.95,-1.77,,0.47,,,,0.0
MTRX.TA,51.73,44.29,,50.07,46.84,,-11.32,-47.26,-0.05,-56.25,2.84,,,,
MTRN.TA,,,,,,,,,,,,,113536.36,,
MDTR.TA,41.62,-11.14,-7.5,33.97,-43.16,,-161.54,448.11,5.31,7.03,0.66,,0.0,,
MLSR.TA,,106.5,106.67,,129.64,,-25.72,329.23,-11.98,-44.33,5.59,-14.49,,,-0.04
MNIN.TA,49.62,52.62,50.98,51.62,51.77,-5.91,-19.39,-1.94,1.05,-0.32,2.92,-8.23,0.0,-13.24,
MNIF.TA,,-99.7,202.0,,,,99.88,-99.75,-99.88,-99.88,-99.87,-99.83,99.84,-99.72,-99.9
MNRT.TA,0.02,,0.0,,,,-60.7,238.74,16.49,22.55,0.32,20.61,,,
MMHD.TA,,-100.05,0.0,,,,-10845.27,148.42,-99.88,-99.88,99.9,,174900.0,,
MCLL.TA,57.78,41.78,,,,,,,-22.17,-21.7,-20.69,,,,
MGDL.TA,-94.91,-94.06,,,,,99.96,100.0,-96.09,-97.27,158.17,-99.8,,,
MLD.TA,-49.07,104.64,,149.16,,28.97,62.66,3775.68,74.69,25.75,39.2,,,-37.87,
MDIN.TA,,,,,,,,,,,,,,,
MYDS.TA,,130.85,133.33,,265.81,68.62,46.42,-82.3,0.0,193.15,0.0,,,,
NFTA.TA,151751.85,48572.57,,,,,,,105676.99,103080.48,108676.56,,99900.0,,
NVPT.TA,63.92,112.71,,76.78,102.16,,99.9,,10.85,-5.02,27.02,-30.16,,42.85,
NTO.TA,,,,,,,-40.54,257.14,10.02,25.76,3.17,,,,
NXTM.TA,65.34,86.58,-14.29,61.98,114.44,-77.87,-226.7,-18.53,2.34,78.85,5.88,,,,0.01
NICE.TA,3.48,5.72,6.11,4.84,7.77,84.83,367.76,-35.66,-0.68,,1.15,0.09,,-17.83,-0.32
NISA.TA,-99.81,100.08,,-99.85,-99.92,-100.0,100.0,100.0,-99.9,-99.9,-99.93,,,,
NOFR.TA,-98.36,82.07,,,92.06,105.43,78.35,-64.71,-95.48,-93.78,-98.36,,,,
OPCE.TA,-99.82,-99.64,,-99.79,,-88.54,-651.89,-251.18,8.04,-7.93,-2.63,11.79,,,
ORMP.TA,0.0,258.63,272.73,,232.15,527.67,469.13,3067.82,47.71,-47.11,-1.61,,,,0.16
ORIN.TA,0.14,219.43,235.71,7.81,3.83,,-37.44,-134.85,-6.27,-4.2,8.64,161.53,,108.38,
ORON.TA,22.4,329.36,330.0,265.86,,,39.93,73.58,-17.23,-24.52,-2.76,,,,
OVRS.TA,46.73,9.36,,40.43,,,-29.35,-0.49,0.05,-35.69,-0.03,0.0,,0.0,
PLRM.TA,-99.83,-99.82,,-99.8,-99.82,,99.81,99.88,-99.9,-99.9,-99.89,,-100.1,,
PAZ.TA,332327.37,207592.31,,305702.05,309962.89,239669.45,-1000392.61,1088472.09,76872.89,97953.27,75621.04,100329.61,,101698.94,
PCBT.TA,207.68,34.99,-150.0,229.37,-1.12,-12.92,-111.93,372.26,0.0,0.0,0.0,,,0.0,
PERI.TA,3.81,53.37,51.16,,63.26,-15.36,-664.78,119900.0,4.04,-0.16,5.81,,,,1.28
PLSN.TA,146954.17,123594.85,25.46,142302.84,27753.7,,-120342.1,-983537.58,98285.95,62578.76,107131.38,90019.02,0.0,95717.15,
PPIL.TA,48.59,2180.07,,,,,,,-5.08,-2.6,-1.93,-6.77,,-0.37,0.0
POLP.TA,1.01,-3.8,,-2.43,-4.58,,43.9,46.77,7.2,23.16,-5.42,,45.45,,
PMVM.TA,-99.66,0.0,,0.0,0.0,,-40.03,-71.37,0.0,10.7,-555.75,,,,
PRMG.TA,-48.65,1.47,,-6.41,-18.85,,1.03,-570.15,-4.42,-4.15,6.76,,,,
PRTC.TA,,,,,,,,,-0.8,3.27,-2.03,4.94,,,
RMN.TA,,,,,,,,,12.48,1.06,1.81,-7.15,95.82,0.0,
RMLI.TA,-99.9,-99.95,,-99.91,-99.89,,-100.49,99.84,-99.9,-99.9,-99.91,,,,
RANI.TA,,39.66,37.04,,47.18,,,,0.0,-68.74,-6.31,,,,
RATI.TA,53.67,52.46,52.63,,53.17,36.75,36.73,-198.18,-4.51,-7.29,0.97,-0.03,85.71,-45.53,
RIT1.TA,,,346.84,,,,,,107142.9,111716.25,104818.06,94566.52,-150792.63,,100000931.99
RTLS.TA,158861.88,141680.42,42.25,157830.78,132104.26,,-20335.2,-189718.36,99959.18,102256.57,96005.71,,165368.1,,
RIMO.TA,-99.62,-99.83,109.96,-99.62,-99.63,-99.76,99.71,99.75,-99.9,-99.87,-99.91,,-100.0,-99.9,-99.9
SRAC.TA,52.8,50.1,52.44,,,,-100.0,-1905.18,-3.38,,3.72,,0.0,,
SPNS.TA,-99.9,-99.9,0.0,-99.9,-99.9,-99.89,99.92,99.87,-99.9,-99.94,-99.9,-99.9,-99.8,-99.9,1.12
SPEN.TA,,,,,,,,,,,,,,,
SAE.TA,,,183.33,-99.85,-99.73,,99.78,100.06,-99.9,-99.9,-99.9,,,,
SKLN.TA,44.46,-60.68,-59.79,,29.17,-163.28,-119.18,121.7,7.0,17.26,9.72,16.8,,131.45,
SOLR.TA,2.16,78.14,,2.42,92.07,43.64,-27.09,205.03,-14.33,16.71,-2.75,,,,
SCC.TA,,,,,,,,,,,,,,,
SFRN.TA,,192.83,196.43,,,,-1013.85,1217.84,12.27,97.88,-5.93,199.0,,170.76,
SMT.TA,150534.43,-36275.0,,84546.13,,,-33346.53,-202559.47,98747.15,109135.42,102395902.3,104964678.07,,,99737.04
SNFL.TA,11.05,-33.61,,-8.69,278.62,28.35,-361.52,86.1,-4.23,4.2,-18.99,22.21,,14.11,
SNCM.TA,235.89,212.53,196.3,265.24,446.02,,-87.31,-1117.28,7.01,13.65,-20.58,,-401.34,,0.0
TMRP.TA,-49.22,-34.18,-32.0,,-48.84,,140.53,200.39,-4.86,-7.47,1.32,-3.6,100.0,,0.25
TFRLF.TA,50.85,68.92,69.23,53.65,61.01,51.22,71.83,-23.55,-2.49,-89.38,5.9,-4.36,,-44.61,
TRLT.TA,,,,,,,,,,,,,,,
TRX.TA,46.63,-604.67,-333.33,44.31,-197.18,-68.59,2.45,-53.15,0.78,1.38,-3.8,-54.44,,0.0,
TTAM.TA,-5.99,-68.06,-66.67,-7.01,-45.01,,,,3.7,-61.09,-16.61,,56.48,,
TOEN.TA,51.3,41.94,44.44,,,,107.22,-90.98,11.72,-43.67,0.77,-5.61,,-5.75,
TOPS.TA,-0.11,3.37,0.0,0.0,0.0,,80.18,26.62,-1.58,51.94,0.0,0.0,0.0,0.0,
TRPZ.TA,-47.23,-27.43,80.0,-43.64,-33.53,,9.3,131.33,-9.06,-42.56,-13.09,,-100.0,,
UMH.TA,,,,,,,,,,,,,,,
VRDS.TA,-99.85,100.28,,-99.84,-99.52,,,,-99.9,-99.9,-99.96,,,,
VCTR.TA,,,,,155.48,,,,98969.17,97350.94,99609.67,,,,
WATR.TA,,370.52,,,205.31,0.0,-9.28,89.76,2.68,3.78,0.47,2.66,,49.2,
YBOX.TA,0.0,-147.65,200.0,0.0,-13.01,112.52,-229.52,545.25,-35.99,0.0,0.0,72.04,,-33.54,
