,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
GAGR.TA,54.13,745.01,700.0,74.03,19.06,7.37,36.24,283.42,,100.0,,,,0.0,
GVYM.TA,143.0,189.19,,,-0.71,0.34,-1.1,170.02,-27.92,,10.42,-100.0,0.39,-262.5,
GNRS.TA,,-99.97,,,-99.89,-99.91,-99.9,,,,,,,-99.9,
GILT.TA,338.42,-1695.24,,306.82,11.98,33.73,2.01,176.03,,-1668.88,,,,,-0.22
GLTL.TA,31.21,-133.55,,29.07,0.0,-42.54,15.11,-757.4,,,,,,,
GKL.TA,,,,,7.11,77.17,-18.88,,,,,,,,0.29
GOLD.TA,26.35,-48.57,-48.51,33.32,-1.27,-4.11,-0.22,,,240.17,-67.29,,-70.59,97.99,
GOHO.TA,37.6,-34.72,,42.49,0.4,-0.38,1.78,98.93,,,,429.7,20.11,,
G107.TA,127.48,-537.31,-536.36,77.17,1406.52,7.73,403.26,-581.86,,,,,,,
MSBI.TA,21.97,487.03,,64.45,-5.97,-21.24,,36.67,,,,,,,
HAMAT.TA,38.59,51.55,,37.8,-40.64,-82.76,3.0,33.8,,,,,,,
HARL.TA,,-9.1,,,13.78,13.78,-13.98,,,,,-21.82,16.32,,
HLAN.TA,-99.86,-99.85,,-99.86,-99.9,-99.92,-99.88,-99.85,,97.91,100.05,-99.93,-99.91,-99.95,
HUMX.TA,-86.51,,-32.09,-83.9,0.0,0.0,0.0,,,,,,,,
ILX.TA,-99.87,-99.88,27.81,-99.87,-99.9,-99.91,-99.89,,,,,-99.67,,-99.9,
INRM.TA,-99.86,-99.87,38.6,-99.86,-99.9,-99.89,-99.9,-99.87,-99.86,99.85,99.9,-99.85,-99.93,-99.87,
INCR.TA,-99.12,,,,,,,,-99.37,,,,,,
ISCN.TA,-99.87,-99.82,626.25,,-99.87,-99.94,-99.88,-99.88,,,,,,,-99.9
ILDC.TA,,-107.0,-149.28,,-98.61,-99.74,-95.85,,,94.11,-85.97,,-99.85,,
ISHI.TA,-99.88,-99.91,,-99.89,-99.89,-99.9,-99.9,-99.87,,,,,-99.9,,
ISRA.TA,41.87,51.28,,,-7.01,-7.19,-6.61,46.0,,,,,,,
ISRS.TA,4.2,171.41,168.26,3.24,8.4,9.9,25.85,,,,,18.68,17.6,,
ISRO.TA,-99.86,-99.96,37.01,-99.85,-99.9,-99.86,,,,,,,,,
