,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,0.0,0.0,,,,,,
ACKR.TA,0.0,0.0,10.47,-5.34,-0.86,-0.56,-1.0,-7.34
ADGR.TA,0.0,0.0,0.49,-751.95,-0.49,-0.66,4.67,8.45
ARDM.TA,0.0,0.0,,,,,,
AFHL.TA,0.0,0.0,2.66,-46.29,5.21,4.85,4.81,-2.07
AFPR.TA,0.0,0.0,7.63,23.08,14.97,14.93,2.67,3.83
AFRE.TA,0.0,0.0,17.39,44.95,30.76,46.49,4.42,16.03
ARPT.TA,0.0,0.0,-0.02,-38.74,-0.7,7.25,-1.12,0.22
ARTS.TA,0.0,0.0,,,,,,
ALAR.TA,0.0,0.0,6.06,-124.37,3.96,3.6,20.8,-42.4
ALBA.TA,0.0,0.0,5.72,2.94,10.74,31.2,-1.03,-18.85
ALLT.TA,0.0,0.0,1.25,-33.71,0.51,-22.71,-0.58,0.13
ALMA.TA,0.0,0.0,,,,,,
ALHE.TA,0.0,0.0,0.67,58.86,-1.2,-4.91,-0.93,0.85
ALRPR.TA,0.0,0.0,19.08,-1886.0,37.18,90.22,1.32,0.7
ALUMA.TA,,0.0,,,,,,
AMRK.TA,0.0,0.0,23.92,26.7,7.51,15.96,5.12,
AMOT.TA,0.0,0.0,4.52,11.16,1.27,0.65,1.17,1.54
APLP.TA,0.0,0.0,-14.75,-3.5,-19.98,-3.93,-5.97,
ARD.TA,0.0,0.0,-0.92,-8.27,1.42,2.57,-2.27,-9.35
ARF.TA,0.0,0.0,9.46,136.84,480.0,200.0,0.96,-12.76
ASHO.TA,0.0,0.0,-9.74,-10.09,-11.73,-12.64,0.89,
ASHG.TA,0.0,0.0,-4.27,8.76,7.09,15.8,0.1,1.45
ASGR.TA,0.0,0.0,2.62,-4979.83,8.54,13.86,0.75,-2.75
AUDC.TA,0.0,0.0,0.38,81.18,2.09,50.44,-1.9,
AUSA-M.TA,,0.0,,,,,,
AVGL.TA,0.0,0.0,-1.25,483.0,13.07,38.05,0.49,-1.27
AVIA.TA,0.0,0.0,,,,,,
AILN.TA,0.0,0.0,,,,,,
AZRG.TA,0.0,0.0,4.27,-66.38,3.75,3.04,-1.76,-1.9
BCOM.TA,0.0,0.0,-2.79,-3.57,,-1.13,-2.29,-1.78
BIG.TA,0.0,0.0,6.99,115.59,9.72,10.97,2.24,-1.7
BOLT.TA,0.0,0.0,,,,,,
BLITZ-M.TA,,0.0,,,,,,
BLSR.TA,0.0,0.0,6.57,-15.04,10.45,8.22,0.76,1.53
BONS.TA,0.0,0.0,,10.98,,12.4,-17.59,
BWAY.TA,0.0,0.0,10.01,440.54,10.64,530.11,0.75,
BLGO.TA,0.0,0.0,53.93,74.52,,131.7,-1.42,
CLAB.TA,0.0,0.0,,,,,,
CAMT.TA,0.0,0.0,5.75,12.76,14.57,21.88,-2.47,0.14
CPTP.TA,0.0,0.0,,,,,,
CRSM.TA,0.0,0.0,-7.3,-8.33,2.51,7.92,4.06,-5.7
CRSR.TA,0.0,0.0,89.74,739.73,301.1,624.48,3.35,-1.48
CRML.TA,0.0,0.0,32.45,211.85,45.54,394.57,-0.19,-100.0
CRMT.TA,0.0,0.0,,,,,,
CAST.TA,0.0,0.0,23.7,1353.31,42.42,340.75,1.69,-71.41
CEL.TA,0.0,0.0,-3.76,685.71,5.92,41.33,-0.24,0.2
CPIA.TA,,0.0,,,,,,
CBI.TA,0.0,0.0,,,,,,
CLIS.TA,0.0,0.0,-42.52,421.95,,,-0.11,
CFX.TA,0.0,0.0,-1.78,-138.46,0.21,-1.23,-0.71,57.02
CGEN.TA,0.0,0.0,161.9,70.79,1026.91,59.82,-3.11,
DANH.TA,0.0,0.0,18.38,762.33,33.11,1191.38,-0.11,-10.76
DNYA.TA,0.0,0.0,2.22,-1.71,-2.08,-1.84,-3.99,
DLEKG.TA,0.0,0.0,-14.65,42.01,-22.87,-25.66,1.23,-9.94
DLTI.TA,0.0,0.0,1.04,3.74,8.0,12.5,1.1,
DELG.TA,0.0,0.0,4.58,86.56,3.62,29.26,1.37,-1.06
DIPL.TA,0.0,0.0,3.92,1358.9,3.98,27.95,0.65,-8.34
DISI.TA,0.0,0.0,-40.83,23.08,-34.62,-37.93,-21.83,-7.5
DRSH.TA,0.0,0.0,0.41,44.57,,-0.22,4.62,10.25
ELAL.TA,0.0,0.0,-14.66,-26.61,-26.15,-25.56,8.23,-5.33
ESLT.TA,0.0,0.0,4.65,6.37,4.15,10.55,2.56,-19.17
ELCO.TA,0.0,0.0,0.37,-29.16,-2.24,-19.64,2.2,5.01
ELDAV-M.TA,0.0,0.0,4.65,50.17,12.6,9.53,35.27,34.04
ECP.TA,0.0,0.0,0.41,-99.43,0.57,-12.34,2.43,-2.53
ELCRE.TA,0.0,0.0,-110.3,-21.68,-102.72,-81.92,-5.87,-8.73
ELWS.TA,0.0,0.0,12.3,3.87,10.09,-3.27,24.98,
ELLO.TA,0.0,0.0,36.03,160.31,653.87,94.05,-4.8,-4.93
ELSPC.TA,0.0,0.0,,,,,,
ENOG.TA,0.0,0.0,41.25,-89.2,25.57,17.73,78.3,21.29
ENLV.TA,0.0,0.0,,25.22,,24.41,2.75,
EPIT.TA,0.0,0.0,,,,,,
EQTL.TA,0.0,0.0,1.41,-58.41,-7.22,-9.61,-1.27,-2.81
EVGN.TA,0.0,0.0,-78.19,-40.28,-90.28,-49.34,-12.42,0.47
FTAL.TA,0.0,0.0,41.69,176.82,74.04,422.32,2.91,1.44
FLYS.TA,0.0,,,,,,,
FBRT.TA,0.0,0.0,-24.47,-37.96,-35.96,-38.6,-4.42,
FRSX.TA,0.0,0.0,21.78,-106.51,26.87,-10.04,-16.96,
FORTY.TA,0.0,0.0,-4.4,9.79,1.36,3.92,-3.76,-3.69
GCT.TA,0.0,0.0,4.64,164.64,6.83,13.98,0.78,-1.03
GVYM.TA,0.0,0.0,0.86,282.9,1.31,1.2,1.14,-9.21
GEFR.TA,0.0,0.0,,,,,,
GNCL.TA,0.0,0.0,,,,,,
GNRS.TA,0.0,0.0,-55.41,-93.78,-76.06,-59.84,-0.32,-1.24
GILT.TA,0.0,0.0,0.73,-73.77,-5.28,-48.23,-2.14,0.0
GLTL.TA,0.0,0.0,17.04,279.73,36.45,250.13,28.36,-46.46
GKL.TA,0.0,0.0,,,,,,
GLRS.TA,0.0,0.0,2.1,10.79,-0.79,5.48,13.8,-6.54
GOHO.TA,0.0,0.0,-23.71,-87.26,-55.97,-111.07,-0.62,-47.15
GRAC.TA,,,,,,,,
G107.TA,0.0,0.0,,,,,,
HGG.TA,0.0,0.0,33.18,36.83,73.35,50.4,5.98,-13.91
MSBI.TA,0.0,0.0,,,,,,
HAMAT.TA,0.0,0.0,1.55,-163.1,-2.52,-98.69,0.51,-13.92
HICN.TA,0.0,0.0,,,,,,
HLAN.TA,0.0,0.0,-5.5,1.54,0.61,2.31,7.79,0.0
HIPR.TA,0.0,0.0,-28.87,-42.63,-25.31,-35.27,-0.54,-13.78
HIVE.TA,,0.0,,,,,,
HLMS.TA,0.0,0.0,4.97,-32.77,13.21,16.36,2.12,32.28
HMGS.TA,0.0,0.0,,,,,,
HUMX.TA,0.0,0.0,,,,,,
ICON.TA,0.0,0.0,-2.49,-13.65,-2.7,-6.45,11.08,
IDNT.TA,0.0,0.0,,,,,,
IDMO.TA,0.0,0.0,,,,,,
ILX.TA,0.0,0.0,-8.79,-60.59,-10.82,-41.13,-0.18,-49.76
INRM.TA,0.0,0.0,37.02,-18.61,53.93,168.59,16.65,-6.25
INCR.TA,0.0,0.0,,,,,,
ISHI.TA,0.0,0.0,11.97,66.5,16.38,97.36,-0.3,-5.74
ISRG.TA,0.0,0.0,38.04,353.58,81.63,2364.71,13.79,-2.17
ISRO.TA,0.0,0.0,60.9,206.3,112.19,180.47,3.28,0.12
ISTA.TA,0.0,0.0,67.13,117.53,37.51,222.25,2.33,-0.09
JNGO.TA,,0.0,,,,,,
KAFR.TA,0.0,0.0,6.24,21.44,6.36,15.69,0.24,-7.56
KMDA.TA,0.0,0.0,12.55,87.15,13.13,39.64,2.29,
KEN.TA,0.0,0.0,4.02,1300.0,-18.92,50.0,-1.46,-1.67
KSTN.TA,0.0,0.0,-100.0,-175.27,-10.91,22.39,-7.33,-21.71
KLIL.TA,0.0,0.0,-9.63,-52.74,-20.07,-168.59,0.1,
LAHAV.TA,0.0,0.0,8.8,1326.96,612.67,-7.29,5.33,9.61
LSCO.TA,0.0,0.0,,,,,,
LBRA.TA,0.0,0.0,,,,,,
LCTX.TA,0.0,0.0,-2.49,11.95,1.34,11.92,-5.24,
LPSN.TA,0.0,0.0,-6.19,217.3,5.35,34.67,-2.89,-8.48
MGIC.TA,0.0,0.0,4.23,3.65,5.84,2.91,-1.78,-6.39
MTLF.TA,,0.0,,,,,,
MTRX.TA,0.0,0.0,-8.32,1.24,-2.59,0.52,-3.92,-7.29
MAXO.TA,0.0,0.0,1.16,-0.55,-0.37,2.93,3.23,-36.35
MTRN.TA,0.0,0.0,33.16,9.14,39.6,21.63,-7.19,31.73
MEDN.TA,0.0,0.0,-40.16,-731.89,-246.95,-514.94,-15.06,-12.08
MLSR.TA,0.0,0.0,7.38,47.13,5.88,5.33,-2.65,-3.03
MNIN.TA,0.0,0.0,-5.55,-27.12,-5.74,-19.56,-1.22,-9.4
MCRNT.TA,0.0,0.0,,,,,,
MLD.TA,,0.0,,,,,,
MZTF.TA,0.0,0.0,6.59,14.15,,,2.44,
MLRN.TA,0.0,0.0,,,,,,
